event_type,gc_thread,start_ns,time_ns
sweep,-1,3219368,190
mark,-1,3222063,32376
sweep,-1,3260921,2922
concsweep,0,3286765,16685
collection,-1,3222008,82940
concsweep,1,3287470,15988
sweep,-1,4839994,99
mark,-1,4840383,21287
sweep,-1,4866624,2019
sweep,-1,4892436,1830
concsweep,1,4893501,11026
collection,-1,4840345,65536
concsweep,0,4892946,11585
sweep,-1,6378970,89
mark,-1,6379260,18433
sweep,-1,6401564,1790
sweep,-1,6424601,6986
concsweep,1,6429110,8566
concsweep,0,6428465,9265
collection,-1,6379231,63696
sweep,-1,7682759,64
mark,-1,7682990,20167
sweep,-1,7707035,1577
sweep,-1,7730150,6293
concsweep,1,7733561,8780
concsweep,0,7732950,9416
collection,-1,7682967,63522
sweep,-1,8997118,68
mark,-1,8997394,17656
sweep,-1,9018858,1563
sweep,-1,9040561,6591
concsweep,1,9045382,8534
concsweep,0,9044815,9170
collection,-1,8997364,58548
sweep,-1,10295709,62
mark,-1,10295953,15756
sweep,-1,10315863,1625
sweep,-1,10339215,4872
concsweep,1,10342239,8954
concsweep,0,10341628,9590
collection,-1,10295929,58608
sweep,-1,11582619,80
mark,-1,11582885,14844
sweep,-1,11601511,1538
sweep,-1,11623315,5155
concsweep,0,11627744,10189
concsweep,1,11628298,9650
collection,-1,11582863,56485
sweep,-1,12861183,56
mark,-1,12861491,17555
sweep,-1,12882942,1542
sweep,-1,12905350,5949
concsweep,1,12909378,8819
concsweep,0,12908843,9388
collection,-1,12861455,59657
sweep,-1,14141983,71
mark,-1,14142255,15147
sweep,-1,14161017,1535
sweep,-1,14183238,7220
concsweep,0,14187888,9284
concsweep,1,14187673,9526
collection,-1,14142226,58113
sweep,-1,15409359,67
mark,-1,15409621,16031
sweep,-1,15429527,1520
sweep,-1,15450769,6674
concsweep,0,15456310,9003
collection,-1,15409589,56956
concsweep,1,15456260,9112
sweep,-1,16677434,47
mark,-1,16677658,14864
sweep,-1,16696271,1706
sweep,-1,16717805,4156
concsweep,1,16723152,9459
collection,-1,16677634,55923
concsweep,0,16723159,9416
sweep,-1,17937242,64
mark,-1,17937487,16163
sweep,-1,17957382,1507
sweep,-1,17977266,9348
concsweep,0,17984969,8533
concsweep,1,17984973,8567
collection,-1,17937457,60325
sweep,-1,19090358,59
mark,-1,19090589,13637
sweep,-1,19107672,1379
sweep,-1,19134437,7601
concsweep,0,19139380,8882
concsweep,1,19139381,8921
collection,-1,19090564,60334
sweep,-1,20214274,55
mark,-1,20214492,13465
sweep,-1,20231105,1348
sweep,-1,20258941,5467
concsweep,1,20261581,7429
concsweep,0,20260972,8042
collection,-1,20214471,58854
sweep,-1,21320599,48
mark,-1,21320801,12931
sweep,-1,21336885,1323
concsweep,0,21365798,46408
collection,-1,21320774,92342
concsweep,1,21366481,45749
sweep,-1,22523941,70
mark,-1,22524185,12849
sweep,-1,22540398,1352
sweep,-1,22566718,5623
concsweep,0,22571287,7994
concsweep,1,22571277,8048
collection,-1,22524159,57570
sweep,-1,23631830,48
mark,-1,23632052,14993
sweep,-1,23650330,1289
sweep,-1,23677049,5496
concsweep,0,23681340,8587
concsweep,1,23681344,8595
collection,-1,23632028,59417
sweep,-1,24748296,71
mark,-1,24748509,12680
sweep,-1,24764394,1338
sweep,-1,24791735,5508
concsweep,1,24795157,8012
concsweep,0,24795258,7929
collection,-1,24748482,57521
sweep,-1,25850605,41
mark,-1,25850818,14074
sweep,-1,25868086,1342
sweep,-1,25895021,5469
concsweep,1,25898876,8415
concsweep,0,25898881,8390
collection,-1,25850790,58757
sweep,-1,26978564,62
mark,-1,26978795,12791
sweep,-1,26994989,1346
sweep,-1,27022415,5919
concsweep,1,27026754,7461
concsweep,0,27026289,8007
collection,-1,26978769,57562
sweep,-1,28079165,52
mark,-1,28079381,14406
sweep,-1,28096929,1329
sweep,-1,28123047,6708
concsweep,0,28126739,8095
concsweep,1,28128736,6060
collection,-1,28079356,58953
sweep,-1,29182706,53
mark,-1,29182905,12533
sweep,-1,29198704,1353
sweep,-1,29224492,11710
concsweep,1,29231790,5924
concsweep,0,29229786,7958
collection,-1,29182879,58925
sweep,-1,30309217,47
mark,-1,30309440,14492
sweep,-1,30327207,1304
sweep,-1,30353585,5473
concsweep,0,30357315,9580
concsweep,1,30358387,8525
collection,-1,30309414,58928
sweep,-1,31405291,72
mark,-1,31405519,12116
sweep,-1,31420947,1340
sweep,-1,31446630,10716
concsweep,1,31452894,7575
concsweep,0,31452198,8248
collection,-1,31405494,60954
sweep,-1,32507725,68
mark,-1,32507961,11781
sweep,-1,32522889,1257
sweep,-1,32549519,6567
concsweep,1,32554651,7733
concsweep,0,32553941,8495
collection,-1,32507934,55745
sweep,-1,33599263,54
mark,-1,33599475,13099
sweep,-1,33615751,1347
sweep,-1,33643265,2854
concsweep,0,33646793,7717
concsweep,1,33647475,7017
collection,-1,33599448,56255
sweep,-1,34708608,63
mark,-1,34708825,12363
sweep,-1,34724631,1296
sweep,-1,34750599,9573
concsweep,1,34756574,7781
concsweep,0,34756004,8335
collection,-1,34708807,58384
sweep,-1,35801788,57
mark,-1,35801997,13029
sweep,-1,35818306,1372
sweep,-1,35844512,3627
concsweep,0,35850541,8110
concsweep,1,35852403,6230
collection,-1,35801977,64384
sweep,-1,36891936,66
mark,-1,36892151,11874
sweep,-1,36907455,1411
sweep,-1,36934704,3742
concsweep,1,36938171,9542
concsweep,0,36936215,11497
collection,-1,36892126,64305
sweep,-1,38133283,86
mark,-1,38133662,16100
sweep,-1,38153959,1781
sweep,-1,38180967,4914
concsweep,0,38184151,10730
concsweep,1,38185228,9742
collection,-1,38133616,62547
sweep,-1,39233137,49
mark,-1,39233358,14506
sweep,-1,39251648,1648
sweep,-1,39279489,5495
concsweep,1,39284060,6815
concsweep,0,39283141,7742
collection,-1,39233338,60211
sweep,-1,40325898,51
mark,-1,40326105,13856
sweep,-1,40343138,1343
sweep,-1,40368728,7524
concsweep,0,40374139,8339
concsweep,1,40375076,7431
collection,-1,40326085,57569
sweep,-1,41422532,46
mark,-1,41422738,12498
sweep,-1,41438419,1308
sweep,-1,41464521,7386
concsweep,0,41469206,8289
concsweep,1,41470163,7288
collection,-1,41422713,56866
sweep,-1,42521158,66
mark,-1,42521398,13686
sweep,-1,42538315,1390
sweep,-1,42565728,5667
concsweep,1,42570466,6996
concsweep,0,42569394,8103
collection,-1,42521373,59034
sweep,-1,43616045,60
mark,-1,43616261,12581
sweep,-1,43632085,1459
sweep,-1,43657905,4518
collection,-1,43616236,54478
concsweep,1,43663924,6791
concsweep,0,43662793,7922
sweep,-1,44708946,57
mark,-1,44709175,13684
sweep,-1,44726163,1369
sweep,-1,44752074,6505
concsweep,1,44758237,7049
concsweep,0,44757171,8146
collection,-1,44709150,57260
sweep,-1,45798807,73
mark,-1,45799027,12385
sweep,-1,45814726,1386
sweep,-1,45841423,5372
concsweep,1,45846334,10326
concsweep,0,45845482,11199
collection,-1,45799003,66181
sweep,-1,46901831,65
mark,-1,46902050,12013
sweep,-1,46917447,1307
sweep,-1,46943983,6303
concsweep,1,46949776,7164
concsweep,0,46948892,8084
collection,-1,46902030,56067
sweep,-1,47989101,47
mark,-1,47989329,11839
sweep,-1,48004365,1280
sweep,-1,48030744,6605
concsweep,0,48035183,8005
concsweep,1,48036127,7025
collection,-1,47989304,57035
sweep,-1,49083615,56
mark,-1,49083827,13264
sweep,-1,49100333,1433
sweep,-1,49127654,3722
concsweep,1,49131087,7405
concsweep,0,49130170,8327
collection,-1,49083800,56274
sweep,-1,50175854,56
mark,-1,50176061,11585
sweep,-1,50190860,1359
sweep,-1,50216708,8191
concsweep,1,50222790,7548
concsweep,0,50221953,8361
collection,-1,50176041,57746
sweep,-1,51275080,48
mark,-1,51275268,11513
sweep,-1,51290119,1313
sweep,-1,51316435,6985
concsweep,0,51320821,8787
concsweep,1,51321690,7889
collection,-1,51275248,57484
sweep,-1,52365439,48
mark,-1,52365655,11979
sweep,-1,52381144,1340
sweep,-1,52406835,6541
concsweep,1,52412104,7255
concsweep,0,52411258,8143
collection,-1,52365627,55860
sweep,-1,53456995,36
mark,-1,53499484,12316
sweep,-1,53514854,1336
sweep,-1,53541537,6249
concsweep,1,53546697,7176
concsweep,0,53545833,8076
collection,-1,53499448,57046
sweep,-1,54602187,76
mark,-1,54602447,13229
sweep,-1,54619249,1313
sweep,-1,54645515,6414
concsweep,1,54651311,7501
concsweep,0,54650373,8483
collection,-1,54602418,57739
sweep,-1,55692576,57
mark,-1,55692796,12217
sweep,-1,55708375,1323
sweep,-1,55734293,10643
concsweep,0,55739868,8153
collection,-1,55692769,55640
concsweep,1,55740848,7203
sweep,-1,56796250,54
mark,-1,56796473,12215
sweep,-1,56812001,1277
sweep,-1,56836520,7284
concsweep,1,56843991,6239
concsweep,0,56842702,7509
collection,-1,56796446,55416
sweep,-1,57881649,54
mark,-1,57881846,12192
sweep,-1,57897330,1285
sweep,-1,57924284,1933
sweep,-1,57934577,1847
concsweep,0,57930826,7657
collection,-1,57881818,57515
concsweep,1,57932164,6292
sweep,-1,58980485,52
mark,-1,58980704,12672
sweep,-1,58996956,1322
sweep,-1,59023607,6325
concsweep,1,59028739,7360
concsweep,0,59027789,8347
collection,-1,58980677,58738
sweep,-1,60068568,41
mark,-1,60068764,12446
sweep,-1,60084391,1317
sweep,-1,60111251,3588
concsweep,0,60115895,7842
concsweep,1,60116935,6785
collection,-1,60068739,59952
sweep,-1,61162027,55
mark,-1,61162234,12836
sweep,-1,61178329,1308
sweep,-1,61204609,6490
concsweep,1,61210228,7112
concsweep,0,61209158,8221
collection,-1,61162210,58335
sweep,-1,62254928,57
mark,-1,62255150,11998
sweep,-1,62270376,1360
sweep,-1,62296414,5450
collection,-1,62255125,55985
concsweep,0,62300527,10519
concsweep,1,62301482,9623
sweep,-1,63345802,63
mark,-1,63346016,11340
sweep,-1,63360649,1299
sweep,-1,63387557,5672
concsweep,1,63392354,7529
concsweep,0,63391478,8444
collection,-1,63345996,56307
sweep,-1,64439276,48
mark,-1,64439487,11648
sweep,-1,64454347,1340
sweep,-1,64479989,5450
concsweep,1,64484976,8116
collection,-1,64439459,54264
concsweep,0,64484019,9095
sweep,-1,65529637,53
mark,-1,65529829,11688
sweep,-1,65544756,1315
sweep,-1,65570441,11648
concsweep,1,65576641,7375
concsweep,0,65575714,8271
collection,-1,65529805,61148
sweep,-1,66628210,60
mark,-1,66628441,11646
sweep,-1,66643470,1327
sweep,-1,66668992,8189
concsweep,1,66675591,7364
concsweep,0,66674706,8230
collection,-1,66628416,55704
sweep,-1,67718943,63
mark,-1,67719157,11837
sweep,-1,67734176,1344
sweep,-1,67759661,8104
concsweep,1,67764880,7623
collection,-1,67719137,53752
concsweep,0,67763853,8690
sweep,-1,68811012,46
mark,-1,68811221,12955
sweep,-1,68876814,1432
sweep,-1,68902566,5944
concsweep,1,68910360,6653
concsweep,0,68909261,7751
collection,-1,68811195,111695
sweep,-1,69952129,55
mark,-1,69952339,13792
sweep,-1,69969491,1343
sweep,-1,69996131,5349
concsweep,1,70003827,6981
concsweep,0,70002716,8097
collection,-1,69952312,67189
sweep,-1,71056210,62
mark,-1,71056442,12793
sweep,-1,71072707,1344
sweep,-1,71099198,6363
concsweep,1,71105002,6964
concsweep,0,71103553,8420
collection,-1,71056416,57459
sweep,-1,72141163,56
mark,-1,72141358,13012
sweep,-1,72157639,1381
sweep,-1,72184492,3701
concsweep,1,72189379,6651
collection,-1,72141338,55011
concsweep,0,72188430,7606
sweep,-1,73233958,48
mark,-1,73234158,12005
sweep,-1,73249341,1313
sweep,-1,73276050,6111
concsweep,1,73281053,7103
concsweep,0,73280072,8127
collection,-1,73234131,57598
sweep,-1,74322968,75
mark,-1,74323215,12364
sweep,-1,74338790,1313
sweep,-1,74365203,5398
concsweep,1,74370920,6619
concsweep,0,74369882,7698
collection,-1,74323189,56079
sweep,-1,75416746,52
mark,-1,75416946,11625
sweep,-1,75431805,1341
sweep,-1,75458908,5502
concsweep,1,75463593,7016
concsweep,0,75462620,7999
collection,-1,75416919,56002
sweep,-1,76502138,53
mark,-1,76502342,11914
sweep,-1,76517891,1356
sweep,-1,76543333,6402
concsweep,1,76548567,7432
concsweep,0,76547657,8377
collection,-1,76502323,55686
sweep,-1,77589737,46
mark,-1,77589939,11047
sweep,-1,77604530,1338
sweep,-1,77630213,6354
concsweep,1,77636255,7413
concsweep,0,77635346,8367
collection,-1,77589911,54925
sweep,-1,78684296,76
mark,-1,78684540,11313
sweep,-1,78699364,1327
sweep,-1,78724673,8009
concsweep,0,78730772,7467
concsweep,1,78731713,6555
collection,-1,78684513,56697
sweep,-1,79781875,56
mark,-1,79782069,10930
sweep,-1,79796280,1334
sweep,-1,79822115,8301
concsweep,0,79827975,8518
collection,-1,79782049,54831
concsweep,1,79828916,7608
sweep,-1,80877202,58
mark,-1,80877417,12668
sweep,-1,80893366,1326
sweep,-1,80918296,5395
concsweep,1,80924012,6647
collection,-1,80877390,54076
concsweep,0,80923133,7511
sweep,-1,81966962,57
mark,-1,81967212,10689
sweep,-1,81981189,1339
sweep,-1,82007313,5434
concsweep,1,82011734,7054
concsweep,0,82010720,8111
collection,-1,81967192,54723
sweep,-1,83062967,60
mark,-1,83063190,11499
sweep,-1,83078109,1340
sweep,-1,83104399,5569
collection,-1,83063162,53442
concsweep,0,83108098,8481
concsweep,1,83109055,7565
sweep,-1,84145907,48
mark,-1,84146107,11856
sweep,-1,84161464,1348
sweep,-1,84187827,3655
concsweep,1,84193010,35486
concsweep,0,84192025,36482
collection,-1,84146080,90328
sweep,-1,85276937,85
mark,-1,85277174,12501
sweep,-1,85293110,1359
sweep,-1,85320133,6137
concsweep,1,85324933,7068
concsweep,0,85324004,8040
collection,-1,85277150,57884
sweep,-1,86370617,88
mark,-1,86370859,11625
sweep,-1,86385811,1327
sweep,-1,86412260,6499
concsweep,1,86417822,7368
concsweep,0,86416840,8395
collection,-1,86370833,57790
sweep,-1,87460049,72
mark,-1,87460285,11460
sweep,-1,87474942,1319
sweep,-1,87501489,5240
concsweep,1,87505794,6999
concsweep,0,87504670,8133
collection,-1,87460260,54203
sweep,-1,88544775,77
mark,-1,88544993,12354
sweep,-1,88560520,1355
sweep,-1,88585677,7475
concsweep,0,88591346,8263
concsweep,1,88592202,7470
collection,-1,88544973,57215
sweep,-1,89636914,67
mark,-1,89637131,11885
sweep,-1,89652316,1527
sweep,-1,89678810,6979
concsweep,1,89683810,7728
concsweep,0,89682921,8658
collection,-1,89637105,57837
sweep,-1,90730650,66
mark,-1,90730888,12384
sweep,-1,90746689,1318
sweep,-1,90771874,8501
concsweep,1,90778513,7252
concsweep,0,90778420,7311
collection,-1,90730868,58483
sweep,-1,91823575,59
mark,-1,91823784,12249
sweep,-1,91839169,1368
sweep,-1,91864751,7686
concsweep,1,91870822,7627
concsweep,0,91869981,8443
collection,-1,91823758,57127
sweep,-1,92915228,61
mark,-1,92915452,13260
sweep,-1,92931877,1333
