event_type,gc_thread,start_ns,time_ns
sweep,-1,1845344849,131
mark,-1,1845351455,163932
sweep,-1,1845526451,5024
concsweep,1,1845533776,6545130
concsweep,0,1845533779,6545129
collection,-1,1845351417,6758180
sweep,-1,3420666019,137
mark,-1,3420667098,174378
sweep,-1,3420850740,13517
collection,-1,3420667071,6680765
concsweep,1,3420865733,6482100
concsweep,0,3420873968,6473883
sweep,-1,5003573379,145
mark,-1,5003574421,157592
sweep,-1,5003741781,4572
concsweep,1,5003779155,6507516
collection,-1,5003574392,6714918
concsweep,0,5003779161,6507552
sweep,-1,6574449185,134
mark,-1,6574450380,185057
sweep,-1,6574644953,13101
concsweep,1,6574669088,6473724
concsweep,0,6574663590,6479241
collection,-1,6574450344,6737368
