event_type,gc_thread,start_ns,time_ns
sweep,-1,7999546,198
mark,-1,8004188,81665
sweep,-1,8096075,3135
sweep,-1,8120117,4404
collection,-1,8004108,148048
concsweep,0,8127484,24369
concsweep,1,8126515,25304
sweep,-1,14217191,115
mark,-1,14217611,51148
sweep,-1,14282107,1487
concsweep,1,14312819,3757
concsweep,0,14283052,33665
collection,-1,14217573,106651
sweep,-1,17958716,71
mark,-1,17959133,50195
sweep,-1,18013109,1293
collection,-1,17959109,80660
concsweep,0,18037238,2456
concsweep,1,18014566,25117
sweep,-1,21632782,56
mark,-1,21633053,41904
sweep,-1,21678723,1300
collection,-1,21633025,74593
concsweep,1,21701678,5904
concsweep,0,21679479,28179
sweep,-1,25121447,99
mark,-1,25121744,36642
sweep,-1,25162425,1087
collection,-1,25121718,86887
concsweep,1,25195425,13106
concsweep,0,25195187,13351
sweep,-1,28615709,78
mark,-1,28615999,36775
sweep,-1,28656540,1049
concsweep,0,28689076,15948
concsweep,1,28689723,15294
collection,-1,28615972,103704
sweep,-1,32129974,60
mark,-1,32130255,35998
sweep,-1,32169954,1178
collection,-1,32130230,87431
concsweep,1,32203486,14134
concsweep,0,32203603,14031
sweep,-1,35714858,77
mark,-1,35715198,36692
sweep,-1,35755846,1320
collection,-1,35715172,86853
concsweep,1,35784506,17436
concsweep,0,35789445,12475
sweep,-1,39222518,85
mark,-1,39222802,36188
sweep,-1,39262521,1141
concsweep,1,39297412,13442
collection,-1,39222775,88398
concsweep,0,39296029,14844
sweep,-1,42706731,84
mark,-1,42707105,36996
sweep,-1,42747676,1147
concsweep,0,42782067,16500
concsweep,1,42782526,16024
collection,-1,42707079,100371
sweep,-1,46209668,82
mark,-1,46209979,34036
sweep,-1,46247589,1150
sweep,-1,46276703,2577
collection,-1,46209954,85770
concsweep,0,46281316,14309
concsweep,1,46282166,13461
sweep,-1,49689340,84
mark,-1,49689643,32502
sweep,-1,49725516,1122
sweep,-1,49754836,2488
concsweep,0,49759265,14107
concsweep,1,49760177,13181
collection,-1,49689617,85832
sweep,-1,53165098,79
mark,-1,53165384,43135
sweep,-1,53212251,1189
sweep,-1,53241591,2478
collection,-1,53165351,94624
concsweep,0,53246370,13574
concsweep,1,53247078,12870
sweep,-1,56631754,64
mark,-1,56632018,35022
sweep,-1,56670612,1084
sweep,-1,56699191,2478
collection,-1,56631993,85957
concsweep,1,56705409,12498
concsweep,0,56704613,13302
sweep,-1,60099050,75
mark,-1,60099354,35434
sweep,-1,60138708,1138
sweep,-1,60159070,2497
collection,-1,60099328,78362
concsweep,0,60162321,15357
concsweep,1,60163231,14464
sweep,-1,63580652,91
mark,-1,63580982,36538
sweep,-1,63620922,1289
concsweep,0,63654779,14616
concsweep,1,63655101,14270
collection,-1,63580957,96662
sweep,-1,67217956,89
mark,-1,67218393,36896
sweep,-1,67259433,1401
sweep,-1,67288803,1665
concsweep,0,67293665,13182
concsweep,1,67294109,12778
collection,-1,67218348,98149
sweep,-1,70676558,81
mark,-1,70676869,35192
sweep,-1,70715481,1114
concsweep,1,70750121,14306
concsweep,0,70749507,14916
collection,-1,70676842,99588
sweep,-1,74157524,64
mark,-1,74157850,34504
sweep,-1,74195752,1168
concsweep,1,74230636,12969
concsweep,0,74229791,13833
collection,-1,74157824,98839
sweep,-1,77641793,80
mark,-1,77642059,36047
sweep,-1,77681653,1107
sweep,-1,77710364,2513
collection,-1,77642032,86989
concsweep,1,77716313,12625
concsweep,0,77715634,13322
sweep,-1,81221156,66
mark,-1,81221520,39488
sweep,-1,81264725,1271
sweep,-1,81288864,2472
concsweep,1,81293559,14018
concsweep,0,81292775,14813
collection,-1,81221492,101000
sweep,-1,84706067,79
mark,-1,84706351,35135
sweep,-1,84745090,997
sweep,-1,84756563,10513
sweep,-1,84781332,822
collection,-1,84706326,93053
concsweep,0,84777845,21480
concsweep,1,84778172,21157
sweep,-1,88180255,91
mark,-1,88180560,36792
sweep,-1,88220971,1047
sweep,-1,88232868,8803
concsweep,0,88253633,14945
concsweep,1,88254387,14185
collection,-1,88180529,92917
sweep,-1,91617160,75
mark,-1,91617475,34127
sweep,-1,91654917,1022
sweep,-1,91689293,898
collection,-1,91617449,89428
concsweep,1,91687927,18881
concsweep,0,91687398,19419
sweep,-1,95055429,55
