event_type,gc_thread,start_ns,time_ns
sweep,-1,5655081,141
mark,-1,5658175,26133
sweep,-1,5689750,1823
concsweep,0,5719745,20076
concsweep,1,5720506,19334
collection,-1,5658127,120727
sweep,-1,10137906,92
mark,-1,10138242,48912
sweep,-1,10190498,3051
collection,-1,10138208,91036
concsweep,1,10221332,7869
concsweep,0,10220939,8191
sweep,-1,14538128,55
mark,-1,14538393,36994
sweep,-1,14578783,1132
concsweep,1,14612067,11076
concsweep,0,14612544,10585
collection,-1,14538359,120333
sweep,-1,18813784,62
mark,-1,18814083,51717
sweep,-1,18869164,2568
concsweep,1,18899078,64784
collection,-1,18814048,150232
concsweep,0,18899958,63902
sweep,-1,23313222,70
mark,-1,23313524,53252
sweep,-1,23370349,1145
collection,-1,23313491,101548
concsweep,0,23399535,15448
concsweep,1,23398536,16472
sweep,-1,27699699,64
mark,-1,27699973,39052
sweep,-1,27742471,1033
concsweep,1,27773466,14799
concsweep,0,27773949,14320
collection,-1,27699943,118049
sweep,-1,32049604,50
mark,-1,32049885,14330
sweep,-1,32067555,876
concsweep,1,32098907,9679
collection,-1,32049851,59216
concsweep,0,32099481,9146
sweep,-1,36413374,48
mark,-1,36413649,44120
sweep,-1,36461187,2555
collection,-1,36413615,87388
concsweep,0,36493096,7843
concsweep,1,36492495,8465
sweep,-1,40685282,57
mark,-1,40685545,39097
sweep,-1,40728049,899
concsweep,1,40759695,34125
collection,-1,40685510,108579
concsweep,0,40759858,33999
sweep,-1,45060466,44
mark,-1,45060737,32673
sweep,-1,45096821,884
collection,-1,45060702,153243
concsweep,0,45128881,85066
concsweep,1,45128184,85776
sweep,-1,49434986,44
mark,-1,49435248,31943
sweep,-1,49470724,974
concsweep,1,49502648,10990
concsweep,0,49503127,10483
collection,-1,49435213,83819
sweep,-1,53800398,51
mark,-1,53800657,34671
sweep,-1,53838694,897
collection,-1,53800627,155688
concsweep,1,53871327,84840
concsweep,0,53871643,84559
sweep,-1,58149640,135
mark,-1,58149966,49463
sweep,-1,58202869,983
concsweep,0,58234817,11405
concsweep,1,58234274,11984
collection,-1,58149933,104985
sweep,-1,62482230,47
mark,-1,62482500,36720
sweep,-1,62522446,956
concsweep,0,62555406,11437
