event_type,gc_thread,start_ns,time_ns
sweep,-1,4580133,129
mark,-1,4582113,58764
sweep,-1,4645752,1691
concsweep,0,4674974,19264
concsweep,1,4674885,19352
collection,-1,4582063,124489
sweep,-1,7991205,39
mark,-1,7991437,57528
sweep,-1,8052559,1310
concsweep,1,8082186,17889
collection,-1,7991395,109205
concsweep,0,8082717,17376
sweep,-1,11311438,35
mark,-1,11311660,58705
sweep,-1,11373901,1065
concsweep,1,11402284,27984
concsweep,0,11404136,26105
collection,-1,11311626,121738
sweep,-1,14596659,44
mark,-1,14596892,64786
sweep,-1,14665144,987
concsweep,1,14694798,20909
concsweep,0,14696862,18809
collection,-1,14596854,129526
sweep,-1,17861852,44
mark,-1,17862056,53072
sweep,-1,17918381,960
concsweep,0,17950477,31990
collection,-1,17862022,120995
concsweep,1,17948306,34142
sweep,-1,21131871,21
mark,-1,21132055,54668
sweep,-1,21189882,1062
concsweep,0,21221708,19888
concsweep,1,21219636,21932
collection,-1,21132025,120500
sweep,-1,24520646,51
mark,-1,24520880,54364
sweep,-1,24578654,1170
concsweep,1,24606890,17078
concsweep,0,24607531,16437
collection,-1,24520844,109567
sweep,-1,27800672,33
mark,-1,27800887,53738
sweep,-1,27857848,1082
sweep,-1,27889519,718
concsweep,1,27888451,21253
concsweep,0,27889053,20691
collection,-1,27800856,119934
sweep,-1,31015612,47
mark,-1,31015861,51077
sweep,-1,31070260,966
concsweep,1,31102035,20525
concsweep,0,31102648,19926
collection,-1,31015828,117866
sweep,-1,34243967,37
mark,-1,34244178,50842
sweep,-1,34298245,925
concsweep,1,34329416,19894
concsweep,0,34330087,19229
collection,-1,34244146,118551
sweep,-1,37477019,21
mark,-1,37477208,49472
sweep,-1,37529666,972
concsweep,1,37559847,33729
concsweep,0,37560711,32877
collection,-1,37477178,126758
sweep,-1,40718215,23
mark,-1,40718393,48527
sweep,-1,40770316,1089
concsweep,1,40802373,20422
concsweep,0,40803138,19650
collection,-1,40718362,116237
sweep,-1,43968469,36
mark,-1,43968674,52008
sweep,-1,44023964,1001
concsweep,0,44054998,25488
concsweep,1,44054415,26085
collection,-1,43968641,114994
sweep,-1,47214897,35
mark,-1,47215110,51607
sweep,-1,47270002,1028
sweep,-1,47275680,27931
concsweep,1,47301561,3017
concsweep,0,47302229,2339
collection,-1,47215078,104976
sweep,-1,50466986,28
mark,-1,50467198,51054
sweep,-1,50521503,1096
concsweep,1,50551993,21069
concsweep,0,50552627,20465
collection,-1,50467167,118122
sweep,-1,53694127,35
mark,-1,53694335,52122
sweep,-1,53749624,955
concsweep,1,53780798,18151
concsweep,0,53781503,17453
collection,-1,53694300,116581
sweep,-1,56926648,21
mark,-1,56926839,50777
sweep,-1,57044649,1326
concsweep,1,57075508,12857
concsweep,0,57076190,12177
collection,-1,56926808,169945
sweep,-1,60215061,38
mark,-1,60215256,52584
sweep,-1,60271382,980
concsweep,1,60301543,18330
concsweep,0,60302156,17732
collection,-1,60215225,106739
sweep,-1,63453672,25
mark,-1,63453866,52551
sweep,-1,63509765,1064
sweep,-1,63541597,1165
concsweep,1,63540941,21334
concsweep,0,63541588,20687
collection,-1,63453833,119604
sweep,-1,66663108,33
mark,-1,66663320,52642
sweep,-1,66719228,960
collection,-1,66663288,109314
concsweep,1,66752604,19944
concsweep,0,66753221,19358
sweep,-1,69882190,36
mark,-1,69882396,49763
sweep,-1,69935430,1033
concsweep,0,69967227,28129
collection,-1,69882363,113192
concsweep,1,69966703,28722
sweep,-1,73132357,26
mark,-1,73132597,50342
sweep,-1,73186242,1070
collection,-1,73132566,103668
concsweep,0,73217836,18380
concsweep,1,73217187,19034
sweep,-1,76362658,30
mark,-1,76362895,51809
sweep,-1,76418127,981
collection,-1,76362863,106199
concsweep,0,76449801,19223
concsweep,1,76449242,19834
sweep,-1,79571124,39
mark,-1,79571324,48947
sweep,-1,79623664,989
concsweep,0,79654783,18328
concsweep,1,79654145,19002
collection,-1,79571293,115896
sweep,-1,82792620,24
mark,-1,82792838,49806
sweep,-1,82845884,1014
collection,-1,82792805,113078
concsweep,0,82877779,28083
concsweep,1,82876834,29111
sweep,-1,86134185,21
mark,-1,86134429,51323
sweep,-1,86189084,947
sweep,-1,86216691,1209
collection,-1,86134395,111445
concsweep,1,86217263,28498
concsweep,0,86217960,27863
sweep,-1,89414810,25
mark,-1,89415001,52521
sweep,-1,89470534,1020
sweep,-1,89476492,28079
concsweep,1,89501434,3931
concsweep,0,89502208,3116
collection,-1,89414970,105968
sweep,-1,92665896,32
mark,-1,92666092,51606
sweep,-1,92720986,1039
concsweep,1,92752785,20423
concsweep,0,92753353,19882
collection,-1,92666061,120654
sweep,-1,95866480,27
mark,-1,95866668,50878
sweep,-1,95920882,1122
concsweep,0,95952729,28102
collection,-1,95866638,114433
concsweep,1,95952038,28803
sweep,-1,99116901,30
mark,-1,99117158,50966
sweep,-1,99171519,1052
concsweep,1,99203391,17506
concsweep,0,99204061,16910
collection,-1,99117127,108077
sweep,-1,102334274,26
mark,-1,102334488,50130
sweep,-1,102387923,917
concsweep,1,102419007,17356
concsweep,0,102419751,16606
collection,-1,102334456,117089
sweep,-1,105535823,34
mark,-1,105536015,51974
sweep,-1,105591038,1030
concsweep,1,105622248,29655
collection,-1,105535984,116395
concsweep,0,105622856,29087
sweep,-1,108755469,33
mark,-1,108755655,50794
sweep,-1,108809579,926
concsweep,1,108842427,27687
concsweep,0,108843209,26939
collection,-1,108755624,117516
sweep,-1,112017512,41
mark,-1,112017727,48834
sweep,-1,112070068,988
collection,-1,112017693,115508
concsweep,1,112100421,32738
concsweep,0,112101108,32070
sweep,-1,115263205,35
mark,-1,115263423,53455
sweep,-1,115320383,1101
concsweep,1,115353510,27039
collection,-1,115263391,117364
concsweep,0,115354173,26362
sweep,-1,118480535,30
mark,-1,118480812,49255
sweep,-1,118533362,930
concsweep,0,118565147,17006
concsweep,1,118564487,17651
collection,-1,118480777,103844
sweep,-1,121701859,41
mark,-1,121702063,52480
sweep,-1,121757744,945
concsweep,0,121789911,18403
concsweep,1,121789194,19128
collection,-1,121702032,119461
sweep,-1,124928465,32
mark,-1,124928681,50121
sweep,-1,124981995,971
concsweep,0,125013608,19841
concsweep,1,125012821,20609
collection,-1,124928651,116736
sweep,-1,128184233,27
mark,-1,128184424,52024
sweep,-1,128239905,1031
sweep,-1,128243023,30529
concsweep,0,128273547,933
concsweep,1,128272856,1664
collection,-1,128184388,93386
sweep,-1,131440958,47
mark,-1,131441204,51266
sweep,-1,131495983,1126
concsweep,1,131526145,18286
concsweep,0,131526648,17786
collection,-1,131441171,107940
sweep,-1,134645955,34
mark,-1,134646163,50607
sweep,-1,134700081,947
concsweep,1,134730427,20332
concsweep,0,134731096,19670
collection,-1,134646128,115760
sweep,-1,137884702,58
mark,-1,137884923,51415
sweep,-1,137939641,1063
concsweep,0,137971460,23987
concsweep,1,137970816,24632
collection,-1,137884890,113801
sweep,-1,141090264,31
mark,-1,141090454,50795
sweep,-1,141144810,942
concsweep,0,141177268,18269
concsweep,1,141176467,19048
