event_type,gc_thread,start_ns,time_ns
sweep,-1,23871345,181
mark,-1,23875735,20903
sweep,-1,23901303,2317
concsweep,0,23933069,95794
concsweep,1,23933793,95094
collection,-1,23875688,342137
sweep,-1,44253350,63
mark,-1,44253594,13215
sweep,-1,44270060,1010
concsweep,0,44301386,94805
concsweep,1,44301912,94295
collection,-1,44253571,311442
sweep,-1,64584921,28
mark,-1,64585086,11058
sweep,-1,64599509,932
concsweep,1,64630404,98110
concsweep,0,64629619,98968
collection,-1,64585066,258834
sweep,-1,84960877,39
mark,-1,84961094,11443
sweep,-1,84976201,885
concsweep,1,85010798,94051
concsweep,0,85010303,94585
collection,-1,84961067,312354
sweep,-1,105432502,68
mark,-1,105432828,11149
sweep,-1,105447769,979
concsweep,1,105479723,97162
concsweep,0,105479208,97681
collection,-1,105432791,199340
sweep,-1,126085399,52
mark,-1,126085688,11677
sweep,-1,126100894,922
concsweep,0,126103884,7776
concsweep,1,126102614,9061
collection,-1,126085659,26858
sweep,-1,146506403,58
mark,-1,146506659,10994
sweep,-1,146520906,846
concsweep,1,146553346,96747
concsweep,0,146553216,96881
collection,-1,146506629,295806
sweep,-1,166872373,58
mark,-1,166872613,10141
sweep,-1,166886688,795
concsweep,1,166918609,97122
concsweep,0,166918222,97494
collection,-1,166872588,311816
sweep,-1,187235840,27
mark,-1,187236031,10686
sweep,-1,187250159,807
concsweep,1,187284321,94711
concsweep,0,187284053,94992
collection,-1,187236000,311888
sweep,-1,207754323,38
mark,-1,207754618,14978
sweep,-1,207773274,823
concsweep,1,207808088,106491
concsweep,0,207807867,106785
collection,-1,207754593,329322
sweep,-1,228104049,43
mark,-1,228104227,13106
sweep,-1,228120394,777
concsweep,1,228155110,106174
concsweep,0,228154393,106939
collection,-1,228104208,326560
sweep,-1,248479873,32
mark,-1,248480073,10330
sweep,-1,248493671,845
concsweep,1,248528916,105988
concsweep,0,248527798,107078
collection,-1,248480054,324910
sweep,-1,268919513,28
mark,-1,268919681,10342
sweep,-1,268933475,812
concsweep,1,268964856,97863
concsweep,0,268964420,98332
collection,-1,268919663,311776
sweep,-1,289289440,50
mark,-1,289289638,13278
sweep,-1,289306594,822
concsweep,1,289338676,96768
concsweep,0,289338177,97255
collection,-1,289289619,314102
sweep,-1,309709151,57
mark,-1,309709397,10182
sweep,-1,309722961,866
concsweep,1,309754969,96840
concsweep,0,309754248,97573
collection,-1,309709376,310936
sweep,-1,330170268,27
mark,-1,330170450,10173
sweep,-1,330184054,809
concsweep,1,330216537,97656
concsweep,0,330215943,98294
collection,-1,330170424,313157
sweep,-1,350680303,28
mark,-1,350680455,10123
sweep,-1,350693979,790
concsweep,1,350725913,98113
concsweep,0,350725635,98424
collection,-1,350680436,331091
sweep,-1,371158157,29
mark,-1,371158322,10860
sweep,-1,371172460,884
concsweep,1,371203641,98420
concsweep,0,371203124,98949
collection,-1,371158303,312758
sweep,-1,391747998,53
mark,-1,391748300,11010
sweep,-1,391763215,894
concsweep,1,391794149,98692
concsweep,0,391793676,99175
collection,-1,391748279,313710
sweep,-1,412146549,41
mark,-1,412146811,10875
sweep,-1,412160825,835
concsweep,1,412193022,96982
concsweep,0,412192239,97786
collection,-1,412146791,311785
sweep,-1,432535335,28
mark,-1,432535492,10512
sweep,-1,432549198,781
concsweep,1,432581347,97068
concsweep,0,432580240,98209
collection,-1,432535473,311556
sweep,-1,452937054,28
mark,-1,452937235,10743
sweep,-1,452951381,765
concsweep,1,452982499,98241
concsweep,0,452981866,98909
collection,-1,452937216,311320
sweep,-1,473256401,27
mark,-1,473256602,9875
sweep,-1,473269814,762
concsweep,1,473301975,96506
concsweep,0,473301223,97270
collection,-1,473256583,310216
sweep,-1,493609089,29
mark,-1,493609256,9742
sweep,-1,493622522,812
concsweep,1,493654575,97053
concsweep,0,493653736,97912
collection,-1,493609238,310969
sweep,-1,514098585,113
mark,-1,514098897,10476
sweep,-1,514113342,852
concsweep,1,514145403,97124
concsweep,0,514144807,97757
collection,-1,514098873,312308
sweep,-1,534438791,27
mark,-1,534439019,9798
sweep,-1,534452150,898
concsweep,1,534484245,96879
concsweep,0,534483521,97623
collection,-1,534438996,310422
sweep,-1,554778474,30
mark,-1,554778643,9925
sweep,-1,554791919,797
concsweep,0,554824090,96498
concsweep,1,554824382,96226
collection,-1,554778624,310454
sweep,-1,575168701,29
mark,-1,575168891,10005
sweep,-1,575182300,811
concsweep,1,575214486,97342
concsweep,0,575213745,98109
collection,-1,575168868,311376
