event_type,gc_thread,start_ns,time_ns
sweep,-1,16832676,58
mark,-1,16836092,24017
sweep,-1,16865297,1612
concsweep,1,16897403,61250
concsweep,0,16896181,62477
collection,-1,16836046,132449
sweep,-1,32563567,40
mark,-1,32563826,14408
sweep,-1,32581435,1082
concsweep,1,32613965,58216
concsweep,0,32613383,58802
collection,-1,32563791,117812
sweep,-1,48259806,49
mark,-1,48260042,14162
sweep,-1,48277272,977
concsweep,0,48308578,60483
concsweep,1,48309085,59980
collection,-1,48260015,111597
sweep,-1,63957646,50
mark,-1,63957890,14289
sweep,-1,63975378,1087
concsweep,0,64007065,60495
concsweep,1,64007616,59980
collection,-1,63957856,119283
sweep,-1,79611201,44
mark,-1,79611426,13414
sweep,-1,79627789,933
concsweep,1,79660696,58781
concsweep,0,79660209,59299
collection,-1,79611400,117956
sweep,-1,95327661,35
mark,-1,95327881,13119
sweep,-1,95344084,1178
concsweep,1,95375919,60924
concsweep,0,95375434,61436
collection,-1,95327856,119215
sweep,-1,110993752,35
mark,-1,110993980,12119
sweep,-1,111009355,1025
concsweep,1,111041290,60129
concsweep,0,111040806,60620
collection,-1,110993953,117657
sweep,-1,126670103,48
mark,-1,126670338,12987
sweep,-1,126686540,937
concsweep,1,126718177,60442
concsweep,0,126717726,60930
collection,-1,126670313,118529
sweep,-1,142352168,49
mark,-1,142352400,12425
sweep,-1,142368281,907
concsweep,0,142402264,57060
concsweep,1,142402379,56957
collection,-1,142352375,116831
sweep,-1,158091878,57
mark,-1,158092123,13324
sweep,-1,158108454,1033
concsweep,1,158140316,59894
concsweep,0,158139832,60383
collection,-1,158092096,110697
sweep,-1,173740085,49
mark,-1,173740325,13378
sweep,-1,173756815,964
concsweep,1,173790209,58818
concsweep,0,173790103,58964
collection,-1,173740290,118294
sweep,-1,189410047,49
mark,-1,189410276,12560
sweep,-1,189425929,1023
concsweep,1,189456584,60743
concsweep,0,189456073,61282
collection,-1,189410250,116987
sweep,-1,205219503,52
mark,-1,205219732,13469
sweep,-1,205236916,1097
concsweep,1,205268975,59834
concsweep,0,205268611,60228
collection,-1,205219708,119304
sweep,-1,220971222,55
mark,-1,220971483,13275
sweep,-1,220987937,947
concsweep,1,221019463,60640
concsweep,0,221019167,60942
collection,-1,220971448,118737
sweep,-1,236647201,48
mark,-1,236647455,12348
sweep,-1,236663231,992
concsweep,1,236695239,60074
concsweep,0,236694862,60490
collection,-1,236647428,117807
