event_type,gc_thread,start_ns,time_ns
sweep,-1,421829132,273
mark,-1,421834215,146933
sweep,-1,421991145,2962
sweep,-1,422020794,25799
concsweep,1,422026864,8045783
collection,-1,421834175,8239932
concsweep,0,422025954,8046707
sweep,-1,625475701,186
mark,-1,625476430,3272526
sweep,-1,628758171,2435
sweep,-1,628779690,35969
concsweep,1,628798856,7802689
concsweep,0,628798842,7802717
collection,-1,625476404,11131609
sweep,-1,829119540,187
mark,-1,829120226,3250995
sweep,-1,832380665,2610
sweep,-1,832403547,31902
concsweep,1,832419937,7835807
collection,-1,829120200,11136943
concsweep,0,832419939,7835824
sweep,-1,1036486341,186
mark,-1,1036487035,3259179
sweep,-1,1039755603,2582
sweep,-1,1039781434,18602
concsweep,1,1039782929,7809154
concsweep,0,1039772077,7820022
collection,-1,1036487014,11112025
sweep,-1,1241362095,182
mark,-1,1241362768,3204351
sweep,-1,1244575934,2410
sweep,-1,1244598644,37752
concsweep,0,1244618583,7789340
concsweep,1,1244618592,7789313
collection,-1,1241362744,11052497
sweep,-1,1445902329,134
mark,-1,1445902940,3225069
sweep,-1,1449136993,2724
sweep,-1,1449160241,38605
concsweep,1,1449179604,7765864
concsweep,0,1449179597,7765928
collection,-1,1445902914,11047756
sweep,-1,1649886555,188
mark,-1,1649887239,3305430
sweep,-1,1653201859,2722
sweep,-1,1653224959,35182
concsweep,1,1653240157,7807413
concsweep,0,1653240150,7807500
collection,-1,1649887214,11167194
sweep,-1,1852647810,197
mark,-1,1852648493,3222648
sweep,-1,1855879651,2447
sweep,-1,1855902449,35401
collection,-1,1852648468,11123400
concsweep,0,1855918997,7852743
concsweep,1,1855918995,7852730
sweep,-1,2056478754,133
mark,-1,2056479632,3282397
sweep,-1,2059771095,10735
sweep,-1,2059795707,19791
concsweep,0,2059796731,7838812
concsweep,1,2059790966,7844593
collection,-1,2056479603,11161776
sweep,-1,2259971675,201
mark,-1,2259972441,3309456
sweep,-1,2263286832,2568
sweep,-1,2263308892,29567
concsweep,0,2263319850,7849380
concsweep,1,2263319425,7849815
collection,-1,2259972417,11203299
sweep,-1,2462623075,216
mark,-1,2462623757,3254988
sweep,-1,2465886638,2620
sweep,-1,2465909159,32311
concsweep,1,2465924024,7825986
concsweep,0,2465924026,7825997
collection,-1,2462623734,11130954
sweep,-1,2666558732,124
mark,-1,2666559394,3271215
sweep,-1,2669839318,2380
sweep,-1,2669861564,34527
concsweep,1,2669878921,7811035
collection,-1,2666559368,11131791
concsweep,0,2669878924,7811046
sweep,-1,2869374245,300
mark,-1,2869375005,3311697
sweep,-1,2872695836,2650
sweep,-1,2872718372,35213
collection,-1,2869374979,11289472
concsweep,1,2872735329,7929412
concsweep,0,2872735314,7929156
sweep,-1,3073602204,193
mark,-1,3073602870,3251831
sweep,-1,3076863819,2412
sweep,-1,3076887456,38013
concsweep,1,3076905456,7831634
concsweep,0,3076905446,7831624
collection,-1,3073602847,11138395
sweep,-1,3278687219,143
mark,-1,3278687851,3258845
sweep,-1,3282035305,2828
sweep,-1,3282058585,32044
concsweep,0,3282073370,7842093
collection,-1,3278687827,11229195
concsweep,1,3282073376,7842124
sweep,-1,3483971888,291
mark,-1,3483972658,3321652
sweep,-1,3487301984,2536
