event_type,gc_thread,start_ns,time_ns
sweep,-1,1142158359,168
mark,-1,1142164644,163181
sweep,-1,1142336800,2387
collection,-1,1142164564,7023190
concsweep,1,1142370245,6817563
concsweep,0,1142370246,6817575
sweep,-1,2047080303,133
mark,-1,2047081286,67295
sweep,-1,2047156396,2190
sweep,-1,2047192053,1300
collection,-1,2047081250,6897777
concsweep,0,2047191961,6786997
concsweep,1,2047191961,6787129
sweep,-1,2948942025,99
mark,-1,2948942752,317237
sweep,-1,2949266806,10668
collection,-1,2948942717,7124911
concsweep,1,2949280192,6787345
concsweep,0,2949289789,6777763
sweep,-1,3848044993,138
mark,-1,3848045717,75265
sweep,-1,3848126776,2073
collection,-1,3848045681,6920443
concsweep,1,3848160641,6805516
concsweep,0,3848160634,6805505
sweep,-1,4747936741,229
mark,-1,4747937417,311307
sweep,-1,4748254526,2327
sweep,-1,4748286460,2907
concsweep,1,4748287061,6798589
collection,-1,4747937382,7148718
concsweep,0,4748287062,6798584
