event_type,gc_thread,start_ns,time_ns
sweep,-1,5296175677,147
mark,-1,5296181944,32355
sweep,-1,5296222475,2410
concsweep,0,5296256055,6348690
concsweep,1,5296256064,6348699
collection,-1,5296181901,6591510
sweep,-1,10295423045,133
mark,-1,10295423934,31132
sweep,-1,10295460200,2468
concsweep,1,10295492236,6190270
concsweep,0,10295491624,6190889
collection,-1,10295423894,6426607
sweep,-1,15309351117,118
mark,-1,15309352168,31020
sweep,-1,15309388458,2234
concsweep,1,15309423585,6281539
concsweep,0,15309423487,6281631
collection,-1,15309352123,6522736
sweep,-1,20313144725,124
mark,-1,20313145535,22617
sweep,-1,20313173464,2752
concsweep,0,20313206102,6203955
concsweep,1,20313206208,6203899
collection,-1,20313145496,6432770
sweep,-1,25307158693,112
mark,-1,25307159534,23026
sweep,-1,25307187757,2166
concsweep,1,25307219909,6191223
concsweep,0,25307219688,6191442
collection,-1,25307159492,6420227
sweep,-1,30304844782,123
mark,-1,30304845772,22467
sweep,-1,30304873743,2235
concsweep,1,30304906378,6309192
concsweep,0,30304906008,6309561
collection,-1,30304845732,6390248
sweep,-1,35297007284,129
mark,-1,35297008197,30738
sweep,-1,35297043904,2181
concsweep,1,35297075199,6221413
concsweep,0,35297075189,6221428
collection,-1,35297008159,6457231
sweep,-1,40301555017,111
mark,-1,40301556137,22613
sweep,-1,40301583995,2364
concsweep,0,40301616065,6183311
concsweep,1,40301616840,6182597
collection,-1,40301556101,6380601
sweep,-1,45308558742,113
mark,-1,45308559659,30315
sweep,-1,45308595170,2328
concsweep,1,45308627285,6190520
concsweep,0,45308626897,6190839
collection,-1,45308559614,6425620
sweep,-1,50311744451,114
mark,-1,50311745315,21891
sweep,-1,50311772277,2108
concsweep,0,50311804845,6200024
concsweep,1,50311804846,6200113
collection,-1,50311745256,6427912
sweep,-1,55312542044,114
mark,-1,55312542939,22271
sweep,-1,55312570435,2242
concsweep,0,55312603024,6192797
concsweep,1,55312603026,6192800
collection,-1,55312542906,6420974
sweep,-1,60315197921,135
mark,-1,60315199189,34040
sweep,-1,60315238725,2650
concsweep,0,60315271074,6241302
concsweep,1,60315271107,6241314
collection,-1,60315199141,6486670
sweep,-1,65316241086,197
mark,-1,65316241950,30909
sweep,-1,65316278090,2218
concsweep,0,65316312916,6212977
concsweep,1,65316313137,6212777
collection,-1,65316241872,6451829
sweep,-1,70309917023,489
mark,-1,70309918199,22954
sweep,-1,70309945854,2164
concsweep,0,70309978077,6216406
concsweep,1,70309978079,6216408
collection,-1,70309918149,6444816
sweep,-1,75308376620,145
mark,-1,75308377519,22407
sweep,-1,75308405269,2258
concsweep,1,75308437618,6353567
concsweep,0,75308437615,6353569
collection,-1,75308377476,6590315
sweep,-1,80309782498,185
mark,-1,80309783500,28719
sweep,-1,80309817132,2256
concsweep,0,80309849385,6211487
concsweep,1,80309849385,6211530
collection,-1,80309783450,6445625
sweep,-1,85314866966,172
mark,-1,85314867817,22782
sweep,-1,85314895469,2342
concsweep,0,85314927712,6213965
concsweep,1,85314927712,6214295
collection,-1,85314867787,6460068
sweep,-1,90314894917,126
mark,-1,90314895727,21872
sweep,-1,90314922428,2702
concsweep,0,90314954166,6242385
concsweep,1,90314954465,6242126
collection,-1,90314895676,6470268
sweep,-1,95315916844,174
mark,-1,95315917738,21554
sweep,-1,95315944316,2277
concsweep,0,95315977483,6207571
concsweep,1,95315977490,6207606
collection,-1,95315917694,6434881
sweep,-1,100305371460,164
mark,-1,100305372284,22531
sweep,-1,100305400016,2327
concsweep,0,100305432693,6212007
concsweep,1,100305432690,6212017
collection,-1,100305372239,6440898
sweep,-1,105303895356,174
mark,-1,105303896191,22789
sweep,-1,105303923919,2411
concsweep,0,105303956317,6212864
concsweep,1,105303956360,6212874
collection,-1,105303896145,6359917
sweep,-1,110304018497,203
mark,-1,110304019499,21991
sweep,-1,110304046060,2157
concsweep,0,110304078442,6187348
concsweep,1,110304078461,6187349
collection,-1,110304019455,6414305
sweep,-1,115310607443,124
mark,-1,115310608268,22341
sweep,-1,115310635103,2101
concsweep,0,115310667402,6175093
concsweep,1,115310667524,6175286
collection,-1,115310608223,6402312
