event_type,gc_thread,start_ns,time_ns
sweep,-1,1835388005,186
mark,-1,1835394159,154559
sweep,-1,1835560050,2502
sweep,-1,1835564221,57252
concsweep,0,1835598897,6479462
concsweep,1,1835598891,6479446
collection,-1,1835394119,6723654
sweep,-1,3439135859,192
mark,-1,3439137167,159500
sweep,-1,3439307002,2371
sweep,-1,3439311103,56951
concsweep,1,3439346248,6502854
concsweep,0,3439346238,6502888
collection,-1,3439137130,6737408
sweep,-1,5040172742,440
mark,-1,5040174000,155035
sweep,-1,5040339506,2214
sweep,-1,5040362000,39620
concsweep,1,5040378179,6543174
concsweep,0,5040378181,6543232
collection,-1,5040173964,6750375
sweep,-1,6644119723,241
mark,-1,6644120837,154217
sweep,-1,6644280697,2419
sweep,-1,6644285307,49182
collection,-1,6644120800,6780303
concsweep,0,6644312223,6588865
concsweep,1,6644312148,6588953
