event_type,gc_thread,start_ns,time_ns
sweep,-1,3189889,183
mark,-1,3193699,39002
sweep,-1,3240546,2573
concsweep,0,3268526,15284
concsweep,1,3271244,12558
collection,-1,3193634,94303
sweep,-1,4793269,154
mark,-1,4793637,24889
sweep,-1,4823394,1532
sweep,-1,4848541,7012
concsweep,1,4852355,8678
concsweep,0,4850134,10894
collection,-1,4793586,74202
sweep,-1,6346049,125
mark,-1,6346392,19741
sweep,-1,6371055,1325
sweep,-1,6397409,5244
concsweep,1,6400727,9154
concsweep,0,6398362,11567
collection,-1,6346347,69394
sweep,-1,7911342,82
mark,-1,7911652,17680
sweep,-1,7934533,1426
sweep,-1,7960915,3683
concsweep,1,7963986,13638
concsweep,0,7961453,16208
collection,-1,7911607,78009
sweep,-1,9460771,83
mark,-1,9461053,21146
sweep,-1,9486999,1442
sweep,-1,9513052,5812
concsweep,0,9514278,16758
concsweep,1,9516632,14407
collection,-1,9461010,74450
sweep,-1,10896903,69
mark,-1,10897136,15019
sweep,-1,10915876,983
sweep,-1,10943957,2560
concsweep,1,10947662,6773
collection,-1,10897105,57798
concsweep,0,10945649,8797
sweep,-1,12004053,50
mark,-1,12004261,13708
sweep,-1,12021428,897
sweep,-1,12047776,3976
concsweep,1,12052916,9007
concsweep,0,12051279,10679
collection,-1,12004231,65685
sweep,-1,13106178,60
mark,-1,13106428,13942
sweep,-1,13123687,920
sweep,-1,13150849,4470
concsweep,1,13155610,6232
concsweep,0,13153913,7973
collection,-1,13106395,57194
sweep,-1,14203505,58
mark,-1,14203714,12467
sweep,-1,14219571,878
sweep,-1,14246077,4490
concsweep,1,14251269,5984
concsweep,0,14249578,7691
collection,-1,14203682,55993
sweep,-1,15327310,51
mark,-1,15327517,13914
sweep,-1,15344880,975
sweep,-1,15370588,8859
concsweep,1,15377224,5299
concsweep,0,15376236,6330
collection,-1,15327485,60946
sweep,-1,16440936,52
mark,-1,16441139,13226
sweep,-1,16457713,862
sweep,-1,16484623,4022
concsweep,0,16491028,8319
concsweep,1,16491554,7815
collection,-1,16441106,60452
sweep,-1,17546848,71
mark,-1,17547082,12856
sweep,-1,17563253,904
sweep,-1,17588485,7474
concsweep,1,17594738,5004
collection,-1,17547050,53105
concsweep,0,17594118,5664
sweep,-1,18659486,53
mark,-1,18659747,12079
sweep,-1,18675381,938
sweep,-1,18700944,9217
concsweep,0,18708658,4293
collection,-1,18659716,54284
concsweep,1,18708251,4729
sweep,-1,19773873,69
mark,-1,19774082,12360
sweep,-1,19790037,944
sweep,-1,19816913,5870
concsweep,0,19820091,11568
concsweep,1,19821533,10147
collection,-1,19774049,60360
sweep,-1,20867498,64
mark,-1,20867711,12486
sweep,-1,20883617,921
concsweep,1,20896861,63899
concsweep,0,20904016,56767
collection,-1,20867680,94805
sweep,-1,22046801,58
mark,-1,22047015,12735
sweep,-1,22063382,1062
