event_type,gc_thread,start_ns,time_ns
sweep,-1,38525389,133
mark,-1,38528385,24240
sweep,-1,38557256,2270
concsweep,0,38588786,9721
concsweep,1,38588566,9948
collection,-1,38528339,107104
sweep,-1,73992046,30
mark,-1,73992262,15574
sweep,-1,74011188,1009
concsweep,0,74043202,35527
concsweep,1,74042039,36717
collection,-1,73992233,223794
sweep,-1,109377946,29
mark,-1,109378131,13602
sweep,-1,109395248,1072
concsweep,0,109427024,36072
concsweep,1,109426326,36775
collection,-1,109378112,214604
sweep,-1,144827849,25
mark,-1,144828299,13473
sweep,-1,144845048,1159
concsweep,0,144877193,36347
concsweep,1,144876181,37384
collection,-1,144828280,208272
sweep,-1,177286274,43
mark,-1,177286481,16889
sweep,-1,177306617,1113
concsweep,0,177343051,96522
concsweep,1,177342461,97154
collection,-1,177286451,359700
