event_type,gc_thread,start_ns,time_ns
sweep,-1,6523575,101
mark,-1,6526423,81089
sweep,-1,6614271,2233
concsweep,1,6641031,22310
concsweep,0,6640476,22887
collection,-1,6526372,143690
sweep,-1,11044162,39
mark,-1,11044464,61439
sweep,-1,11109455,1130
concsweep,0,11140570,20403
concsweep,1,11141204,19792
collection,-1,11044431,129056
sweep,-1,14483118,49
mark,-1,14483336,65248
sweep,-1,14552085,923
sweep,-1,14579043,1071
concsweep,1,14579878,17907
concsweep,0,14579179,18622
collection,-1,14483301,125859
sweep,-1,17774683,49
mark,-1,17774908,60797
sweep,-1,17838862,1002
concsweep,0,17870093,27456
concsweep,1,17870811,26732
collection,-1,17774877,123924
sweep,-1,21080478,54
mark,-1,21080681,60329
sweep,-1,21144310,847
concsweep,0,21175076,30245
concsweep,1,21175610,29735
collection,-1,21080650,126139
sweep,-1,24380652,66
mark,-1,24380884,56373
sweep,-1,24440713,985
sweep,-1,24472424,638
concsweep,0,24471338,20076
concsweep,1,24471978,19474
collection,-1,24380853,121898
sweep,-1,27636190,44
mark,-1,27636395,53451
sweep,-1,27693227,899
concsweep,0,27723912,18693
concsweep,1,27724468,18139
collection,-1,27636362,117709
sweep,-1,30935624,86
mark,-1,30935909,60555
sweep,-1,30999870,968
collection,-1,30935878,124094
concsweep,0,31030784,29266
concsweep,1,31031344,28678
sweep,-1,34191713,64
mark,-1,34191933,54505
sweep,-1,34249618,955
concsweep,0,34280300,20453
concsweep,1,34282176,18561
collection,-1,34191902,121860
sweep,-1,37467186,48
mark,-1,37467403,52096
sweep,-1,37522561,962
concsweep,0,37553428,25278
concsweep,1,37555314,23395
collection,-1,37467373,114329
sweep,-1,40707574,53
mark,-1,40707808,51465
sweep,-1,40762520,992
concsweep,1,40795841,15766
concsweep,0,40794611,17009
collection,-1,40707775,107981
sweep,-1,43948211,63
mark,-1,43948418,49637
sweep,-1,44001377,841
concsweep,0,44032007,19274
concsweep,1,44032835,18450
collection,-1,43948387,117161
sweep,-1,47192181,55
mark,-1,47192389,49760
sweep,-1,47245391,931
concsweep,0,47278546,19457
concsweep,1,47279298,18731
collection,-1,47192359,117952
sweep,-1,50465844,72
mark,-1,50466064,51347
sweep,-1,50520547,825
concsweep,0,50552730,19067
concsweep,1,50553477,18392
collection,-1,50466033,118036
sweep,-1,53726184,66
mark,-1,53726388,52745
sweep,-1,53782139,949
sweep,-1,53787761,28011
concsweep,0,53814189,1812
collection,-1,53726355,89874
concsweep,1,53814979,1058
sweep,-1,57003184,60
mark,-1,57003464,51877
sweep,-1,57058648,945
concsweep,1,57090595,19371
concsweep,0,57089892,20078
collection,-1,57003432,120285
sweep,-1,60235290,60
mark,-1,60297695,52041
sweep,-1,60353100,983
concsweep,1,60387504,17655
concsweep,0,60386718,18445
collection,-1,60297639,120753
sweep,-1,63538358,64
mark,-1,63538562,50655
sweep,-1,63592490,974
concsweep,1,63624750,27470
concsweep,0,63624025,28194
collection,-1,63538527,150563
sweep,-1,66796000,67
mark,-1,66796210,51886
sweep,-1,66851330,1005
collection,-1,66796179,101649
concsweep,0,66881992,15821
concsweep,1,66883112,14714
sweep,-1,70024855,50
mark,-1,70025029,53739
sweep,-1,70081818,862
concsweep,1,70114953,17895
concsweep,0,70113955,18890
collection,-1,70024999,120584
sweep,-1,73331793,62
mark,-1,73332272,51876
sweep,-1,73387619,986
sweep,-1,73390293,31242
collection,-1,73332241,89969
concsweep,0,73420809,1412
concsweep,1,73421725,454
sweep,-1,76627151,52
mark,-1,76627358,50148
sweep,-1,76680584,1067
concsweep,1,76713459,18660
concsweep,0,76712584,19552
collection,-1,76627326,117155
sweep,-1,79858242,71
mark,-1,79858453,52768
sweep,-1,79914258,912
concsweep,1,79947196,20723
concsweep,0,79946362,21568
collection,-1,79858422,121062
sweep,-1,83084124,67
mark,-1,83084333,49617
sweep,-1,83136846,850
concsweep,1,83169083,16766
concsweep,0,83168208,17662
collection,-1,83084302,103593
sweep,-1,86314254,71
mark,-1,86314464,49422
sweep,-1,86366969,824
concsweep,1,86397569,18353
concsweep,0,86396810,19124
collection,-1,86314431,112865
sweep,-1,89559424,49
mark,-1,89559611,47683
sweep,-1,89610146,836
concsweep,0,89643382,19004
concsweep,1,89644237,18151
collection,-1,89559580,114028
sweep,-1,92804434,70
mark,-1,92804646,48499
sweep,-1,92856176,850
concsweep,1,92888182,18904
concsweep,0,92887404,19706
collection,-1,92804615,115583
sweep,-1,96046169,69
mark,-1,96046380,46497
sweep,-1,96095912,945
sweep,-1,96101545,28322
concsweep,0,96125891,4936
concsweep,1,96127948,2862
collection,-1,96046349,99942
sweep,-1,99347620,48
mark,-1,99347809,53262
sweep,-1,99404080,986
concsweep,0,99435105,22290
concsweep,1,99436959,20462
collection,-1,99347778,122135
sweep,-1,102610669,72
mark,-1,102610886,48600
sweep,-1,102662462,842
concsweep,0,102696748,19234
collection,-1,102610855,105547
concsweep,1,102697624,18380
sweep,-1,105843514,46
mark,-1,105843701,49585
sweep,-1,105896148,979
concsweep,1,105930460,16154
concsweep,0,105929645,16979
collection,-1,105843671,108401
sweep,-1,109108560,52
mark,-1,109108812,49284
sweep,-1,109161069,869
concsweep,0,109195000,19092
collection,-1,109108780,105662
concsweep,1,109195930,18182
sweep,-1,112369018,71
mark,-1,112369219,52271
sweep,-1,112424446,916
concsweep,1,112459143,37112
concsweep,0,112458246,38043
collection,-1,112369188,130183
sweep,-1,115683126,67
mark,-1,115683360,52111
sweep,-1,115738606,994
concsweep,0,115772462,21610
concsweep,1,115773275,20831
collection,-1,115683327,122172
sweep,-1,118905034,62
mark,-1,118905278,48918
sweep,-1,118957300,971
concsweep,0,118991083,16257
concsweep,1,118992136,15225
collection,-1,118905247,108418
sweep,-1,122187845,67
mark,-1,122188038,50062
sweep,-1,122240983,956
concsweep,0,122274924,19542
collection,-1,122188005,106899
concsweep,1,122275671,18817
sweep,-1,125417472,47
mark,-1,125417650,48128
sweep,-1,125468647,852
concsweep,0,125502567,16097
concsweep,1,125503337,15344
collection,-1,125417619,106489
sweep,-1,128692391,70
mark,-1,128692593,49914
sweep,-1,128745446,958
collection,-1,128692562,105702
concsweep,0,128779311,18955
concsweep,1,128780148,18157
sweep,-1,131943577,62
mark,-1,131943773,51323
sweep,-1,131997994,870
concsweep,0,132031508,18975
concsweep,1,132032336,18126
collection,-1,131943742,125630
sweep,-1,135301398,63
mark,-1,135301599,48776
sweep,-1,135353461,955
concsweep,0,135381782,23743
concsweep,1,135382501,23051
collection,-1,135301573,133447
sweep,-1,138602934,55
mark,-1,138603126,52607
sweep,-1,138658688,966
concsweep,1,138690757,16835
concsweep,0,138689979,17639
collection,-1,138603093,107374
sweep,-1,141862372,62
mark,-1,141862560,49647
sweep,-1,141915066,832
concsweep,1,141947864,17395
concsweep,0,141947020,18255
collection,-1,141862529,115085
sweep,-1,145079235,64
mark,-1,145079441,51082
sweep,-1,145133445,819
concsweep,1,145166436,17848
concsweep,0,145165426,18863
collection,-1,145079410,117268
sweep,-1,148314819,77
mark,-1,148315037,48324
sweep,-1,148366382,917
concsweep,1,148399418,26615
concsweep,0,148398669,27412
collection,-1,148315006,148149
sweep,-1,151552704,39
mark,-1,151552875,47477
sweep,-1,151603381,979
concsweep,0,151636912,19905
concsweep,1,151637667,19159
