event_type,gc_thread,start_ns,time_ns
sweep,-1,3195108,267
mark,-1,3197577,798121
sweep,-1,4002848,2655
sweep,-1,4040103,12120
concsweep,1,4034733,17546
collection,-1,3197532,855335
concsweep,0,4034731,17571
mark,-1,4053039,813626
concsweep,1,4903924,5530
concsweep,0,4903921,5581
sweep,-1,4869717,41616
collection,-1,4053010,858736
sweep,-1,30307546,238
mark,-1,30308321,3288313
sweep,-1,33608471,73289
concsweep,0,33645353,56177
collection,-1,30308295,3393477
concsweep,1,33645356,56177
sweep,-1,52482086,100
mark,-1,52482920,2709579
sweep,-1,55200247,2635
sweep,-1,55231401,1711
concsweep,1,55233305,104022
concsweep,0,55233295,104045
collection,-1,52482895,2905730
sweep,-1,67123507,47
mark,-1,67124191,1014885
sweep,-1,68149045,2593
sweep,-1,68170615,31430
concsweep,1,68187472,56565
concsweep,0,68187475,56559
collection,-1,67124165,1130674
sweep,-1,125008230,148
mark,-1,125009209,733651
sweep,-1,125749508,10857
sweep,-1,125780088,16455
concsweep,1,125785237,131889
concsweep,0,125785247,131838
collection,-1,125009180,911483
sweep,-1,178421290,130
mark,-1,178422142,731823
sweep,-1,179163282,2149
sweep,-1,179167475,46437
concsweep,1,179202004,113897
concsweep,0,179202014,113897
collection,-1,178422108,907233
sweep,-1,231819261,93
mark,-1,231820047,736670
sweep,-1,232563889,2130
sweep,-1,232585200,22507
concsweep,1,232597904,124892
concsweep,0,232597901,124911
collection,-1,231820014,920079
sweep,-1,285077382,108
mark,-1,285078212,721552
sweep,-1,285809539,2370
sweep,-1,285831397,23145
concsweep,1,285844328,122594
concsweep,0,285844326,122600
collection,-1,285078176,891196
sweep,-1,338387758,103
mark,-1,338388600,739692
sweep,-1,339137547,2285
sweep,-1,339159524,19594
concsweep,0,339176443,126304
concsweep,1,339176446,126315
collection,-1,338388566,931182
sweep,-1,392434101,118
mark,-1,392435017,989205
sweep,-1,393434610,11024
concsweep,1,393453518,185289
collection,-1,392434979,1204247
concsweep,0,393458187,180615
sweep,-1,446169176,157
mark,-1,446170038,702409
sweep,-1,446880943,10756
sweep,-1,446909154,2180
concsweep,1,446921652,174345
collection,-1,446170004,926788
concsweep,0,446921660,174342
sweep,-1,499494025,104
mark,-1,499494842,354833
sweep,-1,499858594,10884
sweep,-1,499905746,6000
concsweep,1,499900790,134527
concsweep,0,499900786,134537
collection,-1,499494807,546453
sweep,-1,553444813,113
mark,-1,553446036,737121
sweep,-1,554193262,2372
sweep,-1,554214136,11741
concsweep,1,554227340,123751
concsweep,0,554227337,123760
collection,-1,553446008,921680
sweep,-1,606368838,114
mark,-1,606369871,728212
sweep,-1,607107004,2454
sweep,-1,607111872,46305
concsweep,1,607146342,112754
concsweep,0,607146348,112745
collection,-1,606369842,904355
sweep,-1,659911924,122
mark,-1,659913222,737726
sweep,-1,660656991,2621
sweep,-1,660679437,21496
concsweep,0,660689169,133631
concsweep,1,660689172,133625
collection,-1,659913186,926173
sweep,-1,712725041,125
mark,-1,712726128,717985
sweep,-1,713454835,2217
sweep,-1,713459335,47855
collection,-1,712726103,881989
concsweep,1,713495426,112494
concsweep,0,713495433,112524
sweep,-1,765708998,112
mark,-1,765709963,1070936
sweep,-1,766792541,3075
sweep,-1,766797907,66155
concsweep,0,766854983,167753
collection,-1,765709928,1313122
concsweep,1,766853180,169569
sweep,-1,818715239,103
mark,-1,818716091,365130
sweep,-1,819089647,2529
sweep,-1,819127725,3138
concsweep,1,819121454,122361
concsweep,0,819120480,123340
collection,-1,818716056,540751
sweep,-1,872391480,118
mark,-1,872392372,896869
sweep,-1,873299055,2465
sweep,-1,873302903,2380
concsweep,0,873307555,161515
collection,-1,872392336,1077008
concsweep,1,873307550,161507
sweep,-1,925894382,119
mark,-1,925895397,526547
sweep,-1,926442235,2924
sweep,-1,926464598,25020
concsweep,0,926476290,121641
concsweep,1,926476280,121671
collection,-1,925895365,719332
sweep,-1,979183273,106
mark,-1,979184092,723727
sweep,-1,979916852,2225
sweep,-1,979937727,27442
concsweep,0,979955689,125802
concsweep,1,979955692,125807
collection,-1,979184055,914321
sweep,-1,1032227395,126
mark,-1,1032228304,716476
sweep,-1,1032954535,2281
sweep,-1,1032959412,45993
concsweep,1,1032995629,114208
concsweep,0,1032995623,114234
collection,-1,1032228268,896924
sweep,-1,1085453853,111
mark,-1,1085454732,744328
sweep,-1,1086208494,2113
sweep,-1,1086229535,21634
concsweep,1,1086242411,130678
concsweep,0,1086241623,131489
collection,-1,1085454686,935430
sweep,-1,1138818894,94
mark,-1,1138819900,809790
sweep,-1,1139639144,2731
sweep,-1,1139660802,1797
concsweep,0,1139675075,153324
concsweep,1,1139675068,153370
collection,-1,1138819868,1012541
sweep,-1,1191997210,107
mark,-1,1191998041,696797
sweep,-1,1192704555,2352
sweep,-1,1192724671,1851
concsweep,1,1192742090,148029
collection,-1,1191998006,893930
concsweep,0,1192742087,148039
sweep,-1,1244579101,159
mark,-1,1244579952,961680
sweep,-1,1245552020,2792
sweep,-1,1245570950,1842
collection,-1,1244579919,1195864
concsweep,1,1245590610,185124
concsweep,0,1245590608,185158
sweep,-1,1298046967,93
mark,-1,1298047755,461285
sweep,-1,1298520986,2521
sweep,-1,1298532655,9778
concsweep,1,1298562916,150232
collection,-1,1298047722,666506
concsweep,0,1298562912,150254
sweep,-1,1352183896,110
mark,-1,1352184739,895239
sweep,-1,1353089465,2514
sweep,-1,1353109109,2635
concsweep,1,1353123309,182452
collection,-1,1352184705,1121321
concsweep,0,1353123114,182669
sweep,-1,1406543552,91
mark,-1,1406628416,217021
sweep,-1,1406853550,10805
sweep,-1,1406883986,21223
concsweep,1,1406893724,115227
collection,-1,1406628320,380776
concsweep,0,1406893727,115187
sweep,-1,1460543210,108
mark,-1,1460544097,715605
sweep,-1,1461268675,2273
sweep,-1,1461290290,15413
concsweep,1,1461306952,127927
concsweep,0,1461306956,127925
collection,-1,1460544070,907971
sweep,-1,1513684511,40
mark,-1,1513685284,717888
sweep,-1,1514415050,10454
sweep,-1,1514436094,31310
concsweep,1,1514457695,116261
concsweep,0,1514457701,116270
collection,-1,1513685246,901308
sweep,-1,1567161642,106
mark,-1,1567162472,711075
sweep,-1,1567882686,10643
sweep,-1,1567912480,15548
concsweep,1,1567924127,127149
concsweep,0,1567924132,127174
collection,-1,1567162434,896601
sweep,-1,1620156195,117
mark,-1,1620157041,922731
sweep,-1,1621089669,2324
sweep,-1,1621093960,46889
concsweep,1,1621124936,148073
collection,-1,1620157004,1116889
concsweep,0,1621124937,148083
sweep,-1,1673237040,91
mark,-1,1673238074,528042
sweep,-1,1673777485,2464
sweep,-1,1673798275,18114
concsweep,1,1673817298,132663
concsweep,0,1673817308,132691
collection,-1,1673238041,717117
sweep,-1,1727127854,111
mark,-1,1727128684,715110
sweep,-1,1727852545,2516
sweep,-1,1727873548,11269
concsweep,1,1727892009,138366
concsweep,0,1727892006,138408
collection,-1,1727128648,903407
sweep,-1,1780108475,91
mark,-1,1780109259,3213109
sweep,-1,1783332989,2690
sweep,-1,1783365564,2258
concsweep,0,1783370864,192515
collection,-1,1780109224,3454418
concsweep,1,1783370867,192556
sweep,-1,1825147554,159
mark,-1,1825148319,2753028
sweep,-1,1827907888,2846
concsweep,1,1827941027,166400
concsweep,0,1827941024,166472
collection,-1,1825148286,3011035
sweep,-1,1874037436,158
mark,-1,1874038465,2122368
sweep,-1,1876172366,28147
concsweep,1,1876189391,161585
collection,-1,1874038429,2313253
concsweep,0,1876198090,152907
sweep,-1,1923847192,98
mark,-1,1923848052,1704535
sweep,-1,1925564678,2546
concsweep,1,1925581908,164022
concsweep,0,1925590626,155331
collection,-1,1923848021,1931424
sweep,-1,1971088842,161
mark,-1,1971089684,5500427
sweep,-1,1976601957,2715
