event_type,gc_thread,start_ns,time_ns
sweep,-1,23744240,184
mark,-1,23747135,21980
sweep,-1,23774022,1962
concsweep,1,23805595,97747
concsweep,0,23805602,97789
collection,-1,23747068,324444
sweep,-1,44272105,63
mark,-1,44272730,14447
sweep,-1,44290497,1140
concsweep,1,44321147,97938
concsweep,0,44320561,98572
collection,-1,44272623,314552
sweep,-1,64564190,46
mark,-1,64564421,12378
sweep,-1,64579820,1297
concsweep,1,64611592,98136
concsweep,0,64610874,98886
collection,-1,64564395,259078
sweep,-1,84859085,49
mark,-1,84859313,11462
sweep,-1,84874184,992
concsweep,1,84905901,97251
concsweep,0,84905213,97956
collection,-1,84859285,311724
sweep,-1,105199898,50
mark,-1,105200252,11689
sweep,-1,105215056,941
concsweep,1,105246150,98245
concsweep,0,105245645,98740
collection,-1,105200195,198872
sweep,-1,125493564,61
mark,-1,125493796,11125
sweep,-1,125508352,958
concsweep,1,125539125,98622
concsweep,0,125538345,99411
collection,-1,125493769,312235
sweep,-1,145838026,67
mark,-1,145838266,10899
sweep,-1,145852307,872
concsweep,0,145880861,101005
concsweep,1,145882861,98978
collection,-1,145838241,297824
sweep,-1,166359549,62
mark,-1,166359801,11706
sweep,-1,166374727,976
concsweep,0,166405894,100963
concsweep,1,166406495,100381
collection,-1,166359754,318836
sweep,-1,187150870,55
mark,-1,187151101,11067
sweep,-1,187165776,872
concsweep,1,187197444,100330
concsweep,0,187196430,101351
collection,-1,187151075,318627
sweep,-1,207789101,62
mark,-1,207789333,14968
sweep,-1,207807631,1066
concsweep,1,207841560,95751
concsweep,0,207840910,96451
collection,-1,207789307,316009
sweep,-1,228137933,52
mark,-1,228138179,10779
sweep,-1,228151941,967
concsweep,1,228183772,97269
concsweep,0,228183213,97908
collection,-1,228138150,310467
sweep,-1,248433274,45
mark,-1,248433500,10188
sweep,-1,248447005,922
concsweep,1,248478795,97353
concsweep,0,248478127,98105
collection,-1,248433471,310631
sweep,-1,268773588,57
