event_type,gc_thread,start_ns,time_ns
sweep,-1,689994643,247
mark,-1,690000535,114476
sweep,-1,690125787,2794
sweep,-1,690150135,1323
collection,-1,690000488,7291425
concsweep,0,690163817,7128119
concsweep,1,690163811,7128123
sweep,-1,1195395958,79
mark,-1,1195396594,78118
sweep,-1,1195484132,2693
sweep,-1,1195508892,1306
concsweep,1,1195521323,7150527
concsweep,0,1195521313,7150514
collection,-1,1195396556,7280413
sweep,-1,1697261193,129
mark,-1,1697261933,101842
sweep,-1,1697374161,2501
sweep,-1,1697397796,1266
collection,-1,1697261904,7289087
concsweep,0,1697412887,7138200
concsweep,1,1697412889,7138189
sweep,-1,2201155358,130
mark,-1,2201156082,184153
sweep,-1,2201350963,2597
sweep,-1,2201375862,1280
collection,-1,2201156048,7353507
concsweep,1,2201390026,7119541
concsweep,0,2201390032,7119511
sweep,-1,2702328375,175
mark,-1,2702329156,91710
sweep,-1,2702431140,2325
sweep,-1,2702454523,1279
collection,-1,2702329130,7264733
concsweep,0,2702468370,7125466
concsweep,1,2702468372,7125443
sweep,-1,3210540635,165
mark,-1,3210541378,79285
sweep,-1,3210630609,2296
sweep,-1,3210654009,1290
concsweep,0,3210669505,7104829
concsweep,1,3210669504,7104810
collection,-1,3210541350,7238785
sweep,-1,3712694357,209
mark,-1,3712695140,72206
sweep,-1,3712774542,2273
sweep,-1,3712798243,1338
concsweep,1,3712806455,7131535
concsweep,0,3712806448,7131560
collection,-1,3712695113,7251650
sweep,-1,4218085275,128
mark,-1,4218086410,103169
sweep,-1,4218201461,2545
sweep,-1,4218226357,1276
concsweep,0,4218238276,7122134
concsweep,1,4218238269,7122126
collection,-1,4218086361,7286348
sweep,-1,4721214685,191
mark,-1,4721215666,87812
sweep,-1,4721316135,2517
sweep,-1,4721339291,1195
sweep,-1,4721356221,2313
collection,-1,4721215637,7291639
concsweep,0,4721353821,7153542
concsweep,1,4721353815,7153537
sweep,-1,5225562388,171
mark,-1,5225563430,102145
sweep,-1,5225678314,2477
sweep,-1,5225701516,1604
collection,-1,5225563392,7290113
concsweep,1,5225716886,7136602
concsweep,0,5225716885,7136626
sweep,-1,5727735815,158
mark,-1,5727737012,100714
sweep,-1,5727848909,2431
sweep,-1,5727886228,1215
collection,-1,5727736976,7294105
concsweep,0,5727887140,7143811
concsweep,1,5727887132,7143803
sweep,-1,6230477564,169
mark,-1,6230478695,66969
sweep,-1,6230551313,2492
sweep,-1,6230574468,1232
concsweep,1,6230585971,7115204
concsweep,0,6230585978,7115212
collection,-1,6230478660,7236095
sweep,-1,6733675148,149
mark,-1,6733676112,104173
sweep,-1,6733791908,2833
sweep,-1,6733816647,1567
collection,-1,6733676082,7323850
concsweep,1,6733829871,7170067
concsweep,0,6733829861,7170054
sweep,-1,7240645727,124
mark,-1,7240646752,76976
sweep,-1,7240733519,2515
sweep,-1,7240755617,1270
collection,-1,7240646715,7244370
concsweep,1,7240768756,7122332
concsweep,0,7240768372,7122714
sweep,-1,7743795121,161
mark,-1,7743884035,67878
sweep,-1,7743961688,2475
sweep,-1,7743984788,1379
concsweep,1,7744002401,7157410
concsweep,0,7744002409,7157413
collection,-1,7743883982,7290204
sweep,-1,8248132097,203
mark,-1,8248133360,75761
sweep,-1,8248219777,2674
sweep,-1,8248251798,1575
concsweep,1,8248255400,7150336
collection,-1,8248133324,7276389
concsweep,0,8248255408,7150343
sweep,-1,8751764687,203
mark,-1,8751765911,82570
sweep,-1,8751857078,2532
sweep,-1,8751886131,1289
concsweep,0,8751892149,7221308
concsweep,1,8751892156,7221320
collection,-1,8751765881,7361895
sweep,-1,9254738177,264
mark,-1,9254739218,74000
sweep,-1,9254823344,2551
sweep,-1,9254847714,1370
concsweep,0,9254861812,7112152
collection,-1,9254739192,7236299
concsweep,1,9254861805,7112183
sweep,-1,9757043798,161
mark,-1,9757044755,96130
sweep,-1,9757152334,2643
sweep,-1,9757180184,1323
concsweep,1,9757192218,7153896
concsweep,0,9757192217,7153914
collection,-1,9757044726,7305025
sweep,-1,10262908546,227
mark,-1,10262909571,67018
sweep,-1,10262987546,2741
sweep,-1,10263010489,1195
collection,-1,10262909542,7263784
concsweep,0,10263023918,7149417
concsweep,1,10263023919,7149407
sweep,-1,10767419801,168
mark,-1,10767420757,79885
sweep,-1,10767510888,2492
sweep,-1,10767534551,1173
collection,-1,10767420731,7293946
concsweep,0,10767548664,7165995
concsweep,1,10767548665,7166014
sweep,-1,11272169243,286
mark,-1,11272170304,77784
sweep,-1,11272258331,2410
sweep,-1,11272282603,1278
collection,-1,11272170275,7262927
concsweep,0,11272295819,7137334
concsweep,1,11272295810,7137362
sweep,-1,11778690985,250
mark,-1,11778692073,100411
sweep,-1,11778803015,2522
sweep,-1,11778826290,1221
concsweep,0,11778840483,7131490
concsweep,1,11778840483,7131480
collection,-1,11778692041,7288657
sweep,-1,12282291596,180
mark,-1,12282292777,89853
sweep,-1,12282391544,2475
