event_type,gc_thread,start_ns,time_ns
sweep,-1,422365313,221
mark,-1,422371350,166538
sweep,-1,422546948,2593
sweep,-1,422576406,25747
concsweep,0,422581544,8009549
collection,-1,422371317,8221765
concsweep,1,422581526,8009585
sweep,-1,621979484,163
mark,-1,621980378,3203660
sweep,-1,625191203,2328
sweep,-1,625212054,26493
concsweep,0,625223702,7914595
concsweep,1,625223911,7914404
collection,-1,621980322,11162723
sweep,-1,824349029,144
mark,-1,824349775,3240057
sweep,-1,827599831,2541
sweep,-1,827618275,1755
concsweep,0,827607281,7873305
concsweep,1,827607272,7873334
collection,-1,824349729,11138374
sweep,-1,1025279789,161
mark,-1,1025280626,3187044
sweep,-1,1028476388,2426
sweep,-1,1028497183,33701
concsweep,0,1028513395,7833996
concsweep,1,1028513390,7834125
collection,-1,1025280578,11075966
sweep,-1,1227286889,321
mark,-1,1227287969,3204348
sweep,-1,1230499481,2923
sweep,-1,1230522022,28999
concsweep,1,1230535521,7851976
concsweep,0,1230535519,7851951
collection,-1,1227287921,11106014
sweep,-1,1428507125,329
mark,-1,1428508013,3193919
sweep,-1,1431709375,2452
sweep,-1,1431731485,28605
concsweep,0,1431743967,7876277
concsweep,1,1431743960,7876322
collection,-1,1428507967,11119033
sweep,-1,1629309467,169
mark,-1,1629310198,3208910
sweep,-1,1632526150,2394
sweep,-1,1632548225,30685
concsweep,0,1632561867,7843855
collection,-1,1629310091,11096126
concsweep,1,1632562341,7843417
sweep,-1,1830617915,160
mark,-1,1830618736,3251141
sweep,-1,1833875886,10767
sweep,-1,1833906887,20858
concsweep,0,1833912414,7864804
concsweep,1,1833912429,7864832
collection,-1,1830618701,11163595
sweep,-1,2030804410,124
mark,-1,2030805097,3255738
sweep,-1,2034067209,2392
sweep,-1,2034088733,29405
concsweep,0,2034102285,7862013
concsweep,1,2034102276,7862053
collection,-1,2030805053,11164346
sweep,-1,2231283646,284
mark,-1,2231284427,3277340
sweep,-1,2234569699,2338
sweep,-1,2234590816,30854
concsweep,0,2234605072,7835691
collection,-1,2231284386,11157044
concsweep,1,2234605064,7835737
sweep,-1,2432522511,189
mark,-1,2432523508,3251171
sweep,-1,2435783825,2488
sweep,-1,2435805293,33763
concsweep,0,2435822083,7888527
concsweep,1,2435822076,7888511
collection,-1,2432523460,11194179
sweep,-1,2633254990,161
mark,-1,2633255816,3279777
sweep,-1,2636541107,2210
sweep,-1,2636562214,27935
concsweep,0,2636574217,7825117
concsweep,1,2636574219,7825137
collection,-1,2633255796,11149820
sweep,-1,2835133900,169
mark,-1,2835134656,3272089
sweep,-1,2838414752,2237
concsweep,0,2838429865,7859412
concsweep,1,2838442416,7846891
collection,-1,2835134613,11158741
sweep,-1,3036452160,327
mark,-1,3036453034,3241327
sweep,-1,3039703095,2589
sweep,-1,3039726114,35383
concsweep,0,3039745231,7854688
concsweep,1,3039745233,7854716
collection,-1,3036452988,11153732
sweep,-1,3237629432,225
mark,-1,3237630271,3243797
sweep,-1,3240882216,2463
concsweep,0,3240917234,7888615
concsweep,1,3240917242,7888649
collection,-1,3237630231,11175959
sweep,-1,3438335619,119
mark,-1,3438336339,3283335
sweep,-1,3441625423,2369
sweep,-1,3441647326,26935
collection,-1,3438336299,11179156
concsweep,1,3441659138,7856389
concsweep,0,3441659147,7856392
sweep,-1,3639335679,160
mark,-1,3639336438,3277883
sweep,-1,3642622084,2344
sweep,-1,3642643332,30344
concsweep,0,3642658260,7879060
concsweep,1,3642658252,7879095
collection,-1,3639336394,11204620
sweep,-1,3842350639,252
mark,-1,3842351415,3350324
sweep,-1,3845711036,2401
sweep,-1,3845729274,1792
concsweep,1,3845718971,7876521
concsweep,0,3845718961,7876472
collection,-1,3842351369,11250534
sweep,-1,4045478499,129
mark,-1,4045479172,3272209
sweep,-1,4048757201,2475
sweep,-1,4048778164,27598
concsweep,1,4048790361,7813635
concsweep,0,4048790351,7813654
collection,-1,4045479110,11129611
sweep,-1,4246105426,241
mark,-1,4246106290,3265677
sweep,-1,4249379347,2297
sweep,-1,4249401387,32122
concsweep,0,4249415897,7853434
concsweep,1,4249415901,7853524
collection,-1,4246106243,11167947
sweep,-1,4447107999,370
mark,-1,4447109001,3299099
sweep,-1,4450416942,2370
sweep,-1,4450438841,33482
concsweep,1,4450454676,7875006
collection,-1,4447108961,11222388
concsweep,0,4450454683,7875018
sweep,-1,4650055491,268
mark,-1,4650056372,3291077
sweep,-1,4653354096,2643
sweep,-1,4653376858,27656
concsweep,0,4653388619,7849583
concsweep,1,4653388624,7849754
collection,-1,4650056338,11187516
sweep,-1,4853318191,136
mark,-1,4853319116,3362336
sweep,-1,4856687763,2764
collection,-1,4853319074,11264176
concsweep,0,4856692967,7890327
concsweep,1,4856692960,7890327
sweep,-1,5054871997,251
mark,-1,5054872886,3259928
sweep,-1,5058141838,2498
sweep,-1,5058163023,34291
concsweep,1,5058179814,7865513
collection,-1,5054872844,11175540
concsweep,0,5058179820,7865527
sweep,-1,5257248366,226
mark,-1,5257249148,3317850
sweep,-1,5260575906,2479
sweep,-1,5260597256,30620
concsweep,0,5260612489,8214498
concsweep,1,5260612479,8214521
collection,-1,5257249109,11579919
sweep,-1,5458448841,128
mark,-1,5458449762,3282027
sweep,-1,5461737203,2345
sweep,-1,5461758138,30357
concsweep,0,5461771325,7866397
concsweep,1,5461771864,7865888
collection,-1,5458449716,11191007
sweep,-1,5658807599,222
mark,-1,5658808372,3263919
sweep,-1,5662078889,2478
sweep,-1,5662100048,29026
concsweep,0,5662113446,7829202
concsweep,1,5662113427,7829256
collection,-1,5658808325,11136504
sweep,-1,5859842927,263
mark,-1,5859843762,3404433
sweep,-1,5863257524,11050
sweep,-1,5863282811,13431
concsweep,0,5863281568,7867300
concsweep,1,5863277294,7871610
collection,-1,5859843716,11308267
sweep,-1,6060975030,232
mark,-1,6060975810,3367698
sweep,-1,6064353224,2717
sweep,-1,6064375578,33695
concsweep,0,6064392525,7892425
collection,-1,6060975764,11310447
concsweep,1,6064392527,7892469
sweep,-1,6260854341,144
mark,-1,6260855020,3376128
sweep,-1,6264236230,10720
sweep,-1,6264267326,21267
collection,-1,6260854975,11215749
concsweep,1,6264271988,7798745
concsweep,0,6264271105,7799606
sweep,-1,6463249099,163
mark,-1,6463249876,3319689
sweep,-1,6466577821,2438
sweep,-1,6466600292,30382
concsweep,0,6466614690,7860677
collection,-1,6463249836,11225939
concsweep,1,6466614692,7860710
sweep,-1,6663325539,544
mark,-1,6663326615,3339541
sweep,-1,6666674954,2343
sweep,-1,6666696739,35102
concsweep,0,6666714422,7843830
concsweep,1,6666714414,7843873
collection,-1,6663326571,11235841
sweep,-1,6865620152,249
mark,-1,6865620762,3384858
sweep,-1,6869010332,2362
sweep,-1,6869050445,1690
concsweep,1,6869058304,7827647
concsweep,0,6869012981,7872936
collection,-1,6865620702,11266995
sweep,-1,7066206204,150
mark,-1,7066206897,3347313
sweep,-1,7069559766,2475
sweep,-1,7069581051,27529
concsweep,0,7069593722,7831415
