event_type,gc_thread,start_ns,time_ns
sweep,-1,2097241232,298
mark,-1,2097246655,2178120
sweep,-1,2099440733,3498
concsweep,0,2099478678,4905592
concsweep,1,2099478677,4905612
collection,-1,2097246587,7161062
sweep,-1,3898641425,230
mark,-1,3898642382,1960504
sweep,-1,3900611661,3100
concsweep,1,3900641972,5084443
concsweep,0,3900641974,5084460
collection,-1,3898642333,7099755
sweep,-1,5688982732,225
mark,-1,5688983973,2052537
sweep,-1,5691047175,2804
concsweep,0,5691085216,4925306
concsweep,1,5691085216,4925328
collection,-1,5688983939,7046556
sweep,-1,7487710596,240
mark,-1,7487711849,2265019
sweep,-1,7489988420,2776
collection,-1,7487711819,7288006
concsweep,0,7490027573,4972086
concsweep,1,7490027580,4972100
sweep,-1,9281444995,172
mark,-1,9281445918,2445222
sweep,-1,9283901975,2880
concsweep,1,9283939565,4916131
concsweep,0,9283939575,4916141
collection,-1,9281445868,7411558
sweep,-1,11076981000,124
mark,-1,11076982058,2881374
sweep,-1,11079874358,56783
concsweep,1,11079916260,4980524
collection,-1,11076982021,7918529
concsweep,0,11079916260,4980548
sweep,-1,12871602642,226
mark,-1,12871603874,3286403
sweep,-1,12874900456,2770
collection,-1,12871603821,8290480
concsweep,1,12874917298,4977018
concsweep,0,12874926353,4967962
sweep,-1,14658717283,161
mark,-1,14658718418,2730263
sweep,-1,14661460649,2958
concsweep,0,14661499120,4995341
concsweep,1,14661499119,4995362
collection,-1,14658718395,7779736
sweep,-1,16456550236,405
mark,-1,16456551444,2484017
sweep,-1,16459045479,2542
concsweep,1,16459053032,5064678
concsweep,0,16459053054,5064663
collection,-1,16456551399,7662167
sweep,-1,18248649732,132
mark,-1,18248650677,2798559
sweep,-1,18251459681,2524
concsweep,1,18251497701,5006772
concsweep,0,18251497693,5006772
collection,-1,18248650652,7874966
sweep,-1,20037398645,152
mark,-1,20037399608,2885673
sweep,-1,20040295925,50528
concsweep,1,20040333752,4944527
concsweep,0,20040333745,4944547
collection,-1,20037399565,7887726
sweep,-1,21829862225,172
mark,-1,21829863301,2752960
sweep,-1,21832627982,2928
concsweep,0,21832666414,4955060
concsweep,1,21832666422,4955059
collection,-1,21829863241,7792650
sweep,-1,23619310184,213
mark,-1,23619311139,3160474
sweep,-1,23622481565,2740
concsweep,0,23622520115,4952534
collection,-1,23619311115,8163083
concsweep,1,23622520113,4952545
sweep,-1,25417730955,178
mark,-1,25417731868,2876006
sweep,-1,25420619206,11319
concsweep,0,25420638763,4923974
concsweep,1,25420642514,4920211
collection,-1,25417731838,7868758
sweep,-1,27210819923,211
mark,-1,27210820915,3197382
sweep,-1,27214031543,2874
concsweep,0,27214072978,5035605
concsweep,1,27214072985,5035656
collection,-1,27210820888,8329714
sweep,-1,28997533392,159
mark,-1,28997534326,2812404
sweep,-1,29000356083,2866
sweep,-1,29000399575,8653
concsweep,0,29000392075,4940392
concsweep,1,29000392083,4940420
collection,-1,28997534297,7800088
sweep,-1,30788064827,171
mark,-1,30788065669,3080151
sweep,-1,30791156012,50715
collection,-1,30788065638,8015187
concsweep,0,30791193698,4887122
concsweep,1,30791193690,4887146
sweep,-1,32583569599,228
mark,-1,32583570603,2503587
sweep,-1,32586088047,3294
concsweep,0,32586126636,6277250
concsweep,1,32586126642,6277268
collection,-1,32583570544,8886255
sweep,-1,34377268864,212
mark,-1,34377269871,3229333
sweep,-1,34380511617,2719
concsweep,0,34380537637,4934474
collection,-1,34377269840,8205766
concsweep,1,34380528561,4943567
sweep,-1,36169452952,160
mark,-1,36169453885,2912084
sweep,-1,36172377495,2466
collection,-1,36169453854,7923621
concsweep,0,36172417055,4960414
concsweep,1,36172417055,4960432
sweep,-1,37965703086,61
mark,-1,37965703773,3394157
sweep,-1,37969107682,49882
collection,-1,37965703727,8360250
concsweep,1,37969145043,4918954
concsweep,0,37969145049,4918961
sweep,-1,39753166243,221
mark,-1,39753167264,2943237
sweep,-1,39756121266,3138
concsweep,1,39756157453,4910325
collection,-1,39753167194,7902254
concsweep,0,39756157442,4910322
sweep,-1,41546808603,217
mark,-1,41546809584,3059284
sweep,-1,41549881979,2876
concsweep,0,41549920860,6624830
concsweep,1,41549920853,6624872
collection,-1,41546809550,9819458
sweep,-1,43345036830,138
mark,-1,43345037890,3386612
sweep,-1,43348437931,55426
concsweep,1,43348479068,6287116
concsweep,0,43348479067,6287104
collection,-1,43345037847,9774585
sweep,-1,45154353207,292
mark,-1,45154354394,3175814
sweep,-1,45157538762,3042
concsweep,0,45157571907,6226053
concsweep,1,45157571901,6226077
collection,-1,45154354339,9522109
sweep,-1,46953414507,130
mark,-1,46953415464,3539497
sweep,-1,46956976718,47116
concsweep,0,46957010587,5817623
concsweep,1,46957010571,5817662
collection,-1,46953415404,9470507
sweep,-1,48748357701,230
mark,-1,48748358790,3113657
sweep,-1,48751484589,2669
concsweep,0,48751522787,6601496
concsweep,1,48751522795,6601475
collection,-1,48748358730,9771135
sweep,-1,50549277145,138
mark,-1,50549278197,3434375
sweep,-1,50552726080,29937
concsweep,1,50552743582,6217295
concsweep,0,50552752718,6208150
collection,-1,50549278084,9729533
sweep,-1,52340429563,81
mark,-1,52340430703,3150518
sweep,-1,52343593780,52716
concsweep,1,52343633188,5519566
concsweep,0,52343633186,5519584
collection,-1,52340430657,9891009
sweep,-1,54141480428,124
mark,-1,54141481405,3217805
sweep,-1,54144712050,51745
concsweep,0,54144751132,5013775
concsweep,1,54144751128,5013794
collection,-1,54141481349,8316864
sweep,-1,55941895409,120
mark,-1,55941896928,3061225
sweep,-1,55944972805,11330
concsweep,0,55944989934,4972072
collection,-1,55941896868,8068660
concsweep,1,55944998643,4963360
sweep,-1,57734085631,300
mark,-1,57734086709,3205035
sweep,-1,57737304583,2735
concsweep,1,57737343141,6379248
concsweep,0,57737343140,6379269
collection,-1,57734086676,9718248
sweep,-1,59523612170,219
mark,-1,59523613282,3107882
sweep,-1,59526731537,11238
concsweep,1,59526750597,6488891
concsweep,0,59526755589,6483876
collection,-1,59523613220,9647411
sweep,-1,61323288353,54
mark,-1,61323370145,3232872
sweep,-1,61326613351,2809
concsweep,0,61326650266,5947184
concsweep,1,61326650258,5947215
collection,-1,61323370084,9301260
sweep,-1,63121258701,214
mark,-1,63121259669,3517845
sweep,-1,63124789968,2835
concsweep,1,63124828545,5676486
concsweep,0,63124828544,5676509
collection,-1,63121259607,9292503
sweep,-1,64913742778,127
mark,-1,64913743784,3131451
sweep,-1,64916886900,2631
concsweep,0,64916913638,6208200
concsweep,1,64916903277,6218572
collection,-1,64913743722,9425792
sweep,-1,66712961929,188
