event_type,gc_thread,start_ns,time_ns
sweep,-1,1681952204,149
mark,-1,1681958313,159459
sweep,-1,1682126249,2643
concsweep,1,1682130784,6479150
concsweep,0,1682128595,6481346
collection,-1,1681958268,6661165
sweep,-1,3182365395,139
mark,-1,3182366392,182642
sweep,-1,3182558921,3037
concsweep,1,3182566329,6461406
concsweep,0,3182566367,6461394
collection,-1,3182366341,6704841
sweep,-1,4681648115,127
mark,-1,4681649070,156073
sweep,-1,4681815659,10786
concsweep,0,4681833382,6632755
concsweep,1,4681839462,6626677
collection,-1,4681649027,6828714
sweep,-1,6180029048,132
mark,-1,6180030215,150542
sweep,-1,6180191029,2495
concsweep,1,6180217520,6467656
concsweep,0,6180207313,6477884
collection,-1,6180030169,6674536
