event_type,gc_thread,start_ns,time_ns
sweep,-1,8880677,214
mark,-1,8884774,204450
sweep,-1,9098290,3495
sweep,-1,9123494,7743
concsweep,1,9127470,33040
concsweep,0,9127764,32900
collection,-1,8884709,278973
sweep,-1,21485964,68
mark,-1,21486565,133204
sweep,-1,21625654,1661
sweep,-1,21643794,23191
collection,-1,21486535,194635
concsweep,0,21656118,24898
concsweep,1,21655676,25332
sweep,-1,32952074,85
mark,-1,32952642,132230
sweep,-1,33090988,1650
sweep,-1,33118256,10382
concsweep,1,33122763,26941
concsweep,0,33123163,26501
collection,-1,32952615,198678
sweep,-1,44486698,81
mark,-1,44487416,126285
sweep,-1,44618555,1534
sweep,-1,44640719,14484
concsweep,1,44650442,22283
concsweep,0,44649955,22738
collection,-1,44487388,186900
sweep,-1,56090744,121
mark,-1,56091368,131843
sweep,-1,56230123,1653
sweep,-1,56249930,16007
concsweep,1,56263885,22711
concsweep,0,56263878,22675
collection,-1,56091342,196672
sweep,-1,67528976,82
mark,-1,67529583,129268
sweep,-1,67663269,1672
sweep,-1,67687083,10956
concsweep,1,67693888,26606
collection,-1,67529556,191965
concsweep,0,67693347,27155
sweep,-1,78943787,52
mark,-1,78944266,137463
sweep,-1,79088172,1603
sweep,-1,79092554,33780
concsweep,1,79124196,19871
collection,-1,78944240,200525
concsweep,0,79124191,19879
sweep,-1,104919677,147
mark,-1,104920624,150981
sweep,-1,105081028,2558
sweep,-1,105102255,36162
concsweep,1,105118187,80338
collection,-1,104920595,278608
concsweep,0,105118188,80348
sweep,-1,129436923,192
mark,-1,129438045,161917
sweep,-1,129605393,2380
sweep,-1,129624715,35266
concsweep,0,129637062,78745
concsweep,1,129637625,78193
collection,-1,129438013,281258
sweep,-1,153928550,126
mark,-1,153929432,151303
sweep,-1,154090485,2386
sweep,-1,154112964,35786
concsweep,1,154127461,82658
concsweep,0,154127461,82664
collection,-1,153929407,304947
sweep,-1,178424445,185
mark,-1,178425557,147820
sweep,-1,178583294,2471
sweep,-1,178602093,40135
concsweep,1,178620677,109706
collection,-1,178425527,305174
concsweep,0,178620686,109715
sweep,-1,202954822,197
mark,-1,202955984,151600
sweep,-1,203116476,2307
sweep,-1,203121028,54851
concsweep,1,203155689,68761
collection,-1,202955953,269073
concsweep,0,203155681,68759
sweep,-1,227467995,178
mark,-1,227469143,140922
sweep,-1,227619639,2299
sweep,-1,227629674,49847
concsweep,0,227658602,110861
concsweep,1,227658594,110872
collection,-1,227469113,319939
sweep,-1,252004530,196
mark,-1,252005529,141324
sweep,-1,252152011,2131
sweep,-1,252157913,44801
concsweep,1,252183155,114009
collection,-1,252005504,291867
concsweep,0,252183155,114089
sweep,-1,276559906,228
mark,-1,276560869,140970
sweep,-1,276792911,2582
sweep,-1,276798719,49308
concsweep,1,276826229,74543
concsweep,0,276826221,74548
collection,-1,276560842,396138
sweep,-1,301193991,198
mark,-1,301195004,140110
sweep,-1,301344757,2192
sweep,-1,301366597,35718
concsweep,1,301382073,78535
concsweep,0,301382072,78532
collection,-1,301194977,299883
sweep,-1,325786136,190
mark,-1,325787150,140227
sweep,-1,325936270,2299
sweep,-1,325945383,47634
concsweep,1,325972370,87254
collection,-1,325787124,273210
concsweep,0,325972379,87261
sweep,-1,350282190,178
mark,-1,350283128,143655
sweep,-1,350436490,2231
sweep,-1,350443872,49181
concsweep,1,350473699,83575
collection,-1,350283102,275298
concsweep,0,350473699,83547
sweep,-1,375355420,132
mark,-1,375356350,144719
sweep,-1,375506694,10677
sweep,-1,375530703,31170
concsweep,1,375528910,81665
collection,-1,375356327,254697
concsweep,0,375519115,91490
sweep,-1,399963673,170
mark,-1,399964706,136357
sweep,-1,400110631,10553
sweep,-1,400135165,37955
concsweep,1,400151450,79219
collection,-1,399964677,266917
concsweep,0,400151444,79225
sweep,-1,424509279,177
mark,-1,424510356,138476
sweep,-1,424658598,10461
sweep,-1,424684920,35872
concsweep,1,424699323,80145
concsweep,0,424699319,80124
collection,-1,424510330,331431
sweep,-1,449191270,178
mark,-1,449192439,136017
sweep,-1,449334890,2352
sweep,-1,449342078,45322
concsweep,1,449367894,77414
collection,-1,449192414,253244
concsweep,0,449367587,77713
sweep,-1,473753967,182
mark,-1,473754880,135898
sweep,-1,473898795,2246
sweep,-1,473908375,45811
concsweep,1,473934645,79245
concsweep,0,473934653,79229
collection,-1,473754852,275630
sweep,-1,498345012,182
mark,-1,498346165,135390
sweep,-1,498486739,2241
sweep,-1,498493715,43625
concsweep,1,498518011,103429
concsweep,0,498518011,103477
