event_type,time_ns
mark,79164
sweep,4533
sweep,2337
sweep,1809
sweep,1888
sweep,1827
sweep,2057
sweep,1815
sweep,5890
mark,55842
sweep,2557
sweep,2269
sweep,1806
sweep,1805
sweep,1819
sweep,1930
sweep,3198
sweep,6714
mark,51863
sweep,2459
sweep,2123
sweep,1805
sweep,1785
sweep,1861
sweep,1843
sweep,3310
sweep,6953
mark,55252
sweep,2507
sweep,2143
sweep,1762
sweep,1832
sweep,1811
sweep,2014
sweep,2952
sweep,7916
mark,48025
sweep,2507
sweep,2076
sweep,1735
sweep,1760
sweep,1734
sweep,1830
sweep,3572
sweep,6483
mark,52557
sweep,2349
sweep,2160
sweep,1746
sweep,1785
sweep,1750
sweep,1891
sweep,2511
sweep,8039
mark,49197
sweep,2295
sweep,2326
sweep,1720
sweep,1732
sweep,1744
sweep,1757
sweep,3806
sweep,6222
mark,51381
sweep,2286
sweep,2083
sweep,1684
sweep,1813
sweep,1782
sweep,1894
sweep,2468
sweep,8357
mark,50159
sweep,2411
sweep,2049
sweep,1753
sweep,1750
sweep,1736
sweep,1832
sweep,4013
sweep,6415
mark,53058
sweep,2249
sweep,2119
sweep,1707
sweep,1803
sweep,1769
sweep,1905
sweep,2439
sweep,8261
mark,46715
sweep,2494
sweep,2022
sweep,1733
sweep,1762
sweep,1735
sweep,1768
sweep,3999
sweep,5355
mark,51917
sweep,2646
sweep,2128
sweep,1748
sweep,1825
sweep,1770
sweep,1891
sweep,2049
sweep,8306
mark,50868
sweep,2279
sweep,1944
sweep,1744
sweep,1789
sweep,1759
sweep,1801
sweep,4066
sweep,6200
mark,52826
sweep,2519
sweep,2096
sweep,1730
sweep,1987
sweep,1720
sweep,1854
sweep,2383
sweep,8028
mark,49429
sweep,2402
sweep,1954
sweep,1698
sweep,1920
sweep,1734
sweep,1789
sweep,4167
sweep,6330
mark,52591
sweep,2451
sweep,2044
sweep,1728
sweep,1747
sweep,1727
sweep,1896
sweep,2530
sweep,8262
mark,57921
sweep,2307
sweep,1979
sweep,1701
sweep,1735
sweep,1724
sweep,1789
sweep,4059
sweep,7088
mark,53697
sweep,2241
sweep,2094
sweep,1682
sweep,1769
sweep,1722
sweep,2018
sweep,2792
sweep,8556
mark,48238
sweep,2263
sweep,2011
sweep,1709
sweep,1806
sweep,1712
sweep,1818
sweep,3955
sweep,6180
mark,53662
sweep,2200
sweep,1996
sweep,1692
sweep,1802
sweep,1696
sweep,1863
sweep,2447
sweep,8038
mark,50461
sweep,2604
sweep,1993
sweep,1727
sweep,1748
sweep,1727
sweep,1905
sweep,3902
sweep,6580
mark,51984
sweep,2214
sweep,2002
sweep,1695
sweep,1733
sweep,1724
sweep,1888
sweep,2727
sweep,7643
mark,46987
sweep,2417
sweep,2103
sweep,1692
sweep,1822
sweep,1792
sweep,1765
sweep,3940
sweep,5652
mark,51477
sweep,2301
sweep,2041
sweep,1721
sweep,1773
sweep,1825
sweep,1860
sweep,2310
sweep,7892
mark,52476
sweep,2332
sweep,2001
sweep,1706
sweep,1773
sweep,1753
sweep,1771
sweep,3888
sweep,7040
mark,53354
sweep,2255
sweep,2041
sweep,1732
sweep,1788
sweep,1765
sweep,1884
sweep,2921
sweep,8218
mark,44873
sweep,2281
sweep,1977
sweep,1707
sweep,1745
sweep,1700
sweep,1842
sweep,3924
sweep,5021
mark,50470
sweep,2265
sweep,2024
sweep,1663
sweep,1783
sweep,1724
sweep,1861
sweep,1881
sweep,7939
mark,51468
sweep,2303
sweep,1961
sweep,1694
sweep,1765
sweep,1732
sweep,1804
sweep,4087
sweep,6680
mark,54074
sweep,2341
sweep,1975
sweep,1732
sweep,1890
sweep,1741
sweep,2172
sweep,2659
sweep,8655
mark,47361
sweep,2314
sweep,1927
sweep,1700
sweep,1822
sweep,1731
sweep,1739
sweep,4060
sweep,5887
mark,50898
sweep,2244
sweep,1996
sweep,1735
sweep,1806
sweep,1741
sweep,2009
sweep,2203
sweep,8215
mark,44663
sweep,2432
sweep,1958
sweep,1681
sweep,1729
sweep,1732
sweep,1753
sweep,4123
sweep,5177
mark,50846
sweep,2331
sweep,1967
sweep,1754
sweep,1819
sweep,1802
sweep,1931
sweep,1997
sweep,8339
mark,51774
sweep,2410
sweep,1941
sweep,1740
sweep,1816
sweep,1764
sweep,1772
sweep,4313
sweep,6394
mark,53237
sweep,2240
sweep,2006
sweep,1713
sweep,1885
sweep,1720
sweep,1860
sweep,2541
sweep,8232
mark,43700
sweep,2322
sweep,2008
sweep,1725
sweep,1847
sweep,1727
sweep,1789
sweep,3996
sweep,4708
mark,51053
sweep,2409
sweep,2052
sweep,1711
sweep,1841
sweep,1720
sweep,1920
sweep,1742
sweep,8137
mark,53232
sweep,2300
sweep,2017
sweep,1711
sweep,1842
sweep,1762
sweep,1809
sweep,4166
sweep,7276
mark,34231
sweep,2517
sweep,2053
sweep,1719
sweep,1812
sweep,1719
sweep,1835
sweep,2981
sweep,4550
mark,50197
sweep,2213
sweep,1979
sweep,1696
sweep,1817
sweep,1741
sweep,1882
sweep,1787
sweep,7223
mark,54150
sweep,2334
sweep,2004
sweep,1735
sweep,1825
sweep,1742
sweep,1897
sweep,3995
sweep,6717
mark,31173
sweep,2292
sweep,1992
sweep,1725
sweep,1928
sweep,1727
sweep,1770
sweep,3047
sweep,3785
mark,49784
sweep,2280
sweep,2035
sweep,1728
sweep,1778
sweep,1741
sweep,2184
sweep,1798
sweep,6625
mark,52919
sweep,2574
sweep,2042
sweep,1701
