event_type,time_ns
mark,45661
sweep,5216
sweep,3393
sweep,1863
sweep,1977
sweep,1918
sweep,2005
sweep,1835
sweep,2460
mark,18788
sweep,2122
sweep,1774
sweep,1793
sweep,2034
sweep,2075
sweep,2075
sweep,2102
sweep,2691
mark,18296
sweep,2341
sweep,1781
sweep,1781
sweep,1878
sweep,1933
sweep,2042
sweep,1991
sweep,2545
mark,16777
sweep,2141
sweep,1748
sweep,1731
sweep,1823
sweep,1963
sweep,2079
sweep,1948
sweep,2400
mark,15961
sweep,1967
sweep,1794
sweep,1769
sweep,2068
sweep,1937
sweep,2191
sweep,1961
sweep,2481
mark,16622
sweep,2015
sweep,1777
sweep,1805
sweep,1812
sweep,1879
sweep,2074
sweep,1909
sweep,2377
mark,16635
sweep,1981
sweep,1796
sweep,1773
sweep,1790
sweep,1973
sweep,2048
sweep,1943
sweep,2416
mark,16717
sweep,1963
sweep,1714
sweep,1779
sweep,1794
sweep,1962
sweep,2049
sweep,1882
sweep,2322
mark,15555
sweep,1989
sweep,1777
sweep,1801
sweep,1817
sweep,1915
sweep,2161
sweep,2209
sweep,2376
mark,15965
sweep,2077
sweep,1790
sweep,1855
sweep,1800
sweep,1976
sweep,1924
sweep,1891
sweep,2521
mark,14636
sweep,2003
sweep,1745
sweep,1791
sweep,1763
sweep,1888
sweep,1838
sweep,1797
sweep,2492
mark,13730
sweep,2140
sweep,1803
sweep,1798
sweep,1844
sweep,1881
sweep,1806
sweep,1885
sweep,2291
mark,13247
sweep,2052
sweep,1782
sweep,1798
sweep,1772
sweep,1779
sweep,1804
sweep,1851
sweep,2308
mark,12952
sweep,2035
sweep,1747
sweep,1776
sweep,1777
sweep,1853
sweep,1781
sweep,1824
sweep,2027
mark,12251
sweep,2002
sweep,1765
sweep,1780
sweep,1782
sweep,1895
sweep,1796
sweep,1820
sweep,2135
mark,12498
sweep,1920
sweep,1804
sweep,1787
sweep,1808
sweep,1883
sweep,1782
sweep,1828
sweep,2095
mark,10983
sweep,1945
sweep,1769
sweep,1743
sweep,1738
sweep,1825
sweep,1734
sweep,1813
sweep,2146
mark,11502
sweep,1955
sweep,1734
sweep,1785
sweep,1799
sweep,1894
sweep,1778
sweep,1794
sweep,2114
mark,12114
sweep,1992
sweep,1767
sweep,1776
sweep,1782
sweep,1884
sweep,1788
sweep,1822
sweep,2122
mark,11399
sweep,1928
sweep,1786
sweep,1770
sweep,1774
sweep,1858
sweep,1782
sweep,1836
sweep,2111
mark,10788
sweep,1949
sweep,1765
sweep,1740
sweep,1766
sweep,1797
sweep,1759
sweep,1791
sweep,2028
mark,12086
sweep,1924
sweep,1762
sweep,1797
sweep,1822
sweep,1844
sweep,1782
sweep,1805
sweep,2142
mark,11258
sweep,1982
sweep,1762
sweep,1794
sweep,1816
sweep,1832
sweep,1801
sweep,1850
sweep,2163
mark,12008
sweep,2074
sweep,1755
sweep,1728
sweep,1758
sweep,1784
sweep,1758
sweep,1821
sweep,1891
mark,12093
sweep,1967
sweep,1800
sweep,1779
sweep,1813
sweep,1843
sweep,1775
sweep,1845
sweep,2153
mark,11868
sweep,1958
sweep,1776
sweep,1804
sweep,1791
sweep,1877
sweep,1821
sweep,1865
sweep,2199
mark,11978
sweep,2034
sweep,1787
sweep,1749
sweep,1765
sweep,1841
sweep,1748
sweep,1813
sweep,2147
mark,11140
sweep,1894
sweep,1713
sweep,1770
sweep,1813
sweep,1898
sweep,1729
sweep,1809
sweep,2065
mark,11544
sweep,1973
sweep,1756
sweep,1788
sweep,1802
sweep,1832
sweep,1782
sweep,1824
sweep,2139
mark,11278
sweep,1940
sweep,1770
sweep,1793
sweep,1746
sweep,1843
sweep,1759
sweep,1839
sweep,2021
mark,11098
sweep,1931
sweep,1740
sweep,1769
sweep,1774
sweep,1813
sweep,1748
sweep,1784
sweep,2016
mark,11390
sweep,1955
sweep,1753
sweep,1775
sweep,1791
sweep,1790
sweep,1794
sweep,1810
sweep,2074
mark,11161
sweep,1990
sweep,1794
sweep,1775
sweep,1780
sweep,1775
sweep,1790
sweep,1849
sweep,2116
mark,11013
sweep,1960
sweep,1739
sweep,1755
sweep,1766
sweep,1802
sweep,1773
sweep,1819
sweep,1984
mark,11596
sweep,1938
sweep,1754
sweep,1755
sweep,1791
sweep,1822
sweep,1746
sweep,1792
sweep,2068
mark,11624
sweep,1967
sweep,1783
sweep,1790
sweep,1784
sweep,1820
sweep,1774
sweep,1829
sweep,2126
mark,11200
sweep,2005
sweep,1767
sweep,1770
sweep,1736
sweep,1845
sweep,1778
sweep,1802
sweep,2051
mark,11288
sweep,1943
sweep,1727
