event_type,time_ns
mark,26211
sweep,3326
sweep,1798
sweep,2181
sweep,1872
sweep,1715
sweep,1781
sweep,2007
sweep,2198
mark,16695
sweep,2437
sweep,2029
sweep,1914
sweep,1786
sweep,1730
sweep,1859
sweep,2277
sweep,2311
mark,17833
sweep,2397
sweep,2409
sweep,2238
sweep,1993
sweep,1887
sweep,2005
sweep,2471
sweep,2377
mark,17283
sweep,2293
sweep,2019
sweep,2052
sweep,1768
sweep,1720
sweep,1756
sweep,2498
sweep,2285
mark,14924
sweep,2144
sweep,1784
sweep,1878
sweep,1745
sweep,1711
sweep,1777
sweep,2224
sweep,2138
mark,14880
sweep,2143
sweep,1777
sweep,1874
sweep,1738
sweep,1739
sweep,1772
sweep,2133
sweep,2175
mark,14246
sweep,2076
sweep,1796
sweep,1959
sweep,1792
sweep,1755
sweep,1736
sweep,2153
sweep,2106
mark,14363
sweep,2182
sweep,1809
sweep,1784
sweep,1920
sweep,1875
sweep,1770
sweep,2065
sweep,2324
mark,14750
sweep,2034
sweep,1807
sweep,1862
sweep,1760
sweep,1725
sweep,1770
sweep,2382
sweep,2085
mark,14473
sweep,2100
sweep,1740
sweep,1837
sweep,1756
sweep,1690
sweep,1738
sweep,2144
sweep,2196
mark,13905
sweep,1991
sweep,1816
sweep,1877
sweep,1835
sweep,1745
sweep,1778
sweep,2078
sweep,2158
mark,15046
sweep,2452
sweep,1948
sweep,1923
sweep,1796
sweep,1751
sweep,1752
sweep,2142
sweep,2127
mark,15169
sweep,2142
sweep,1808
sweep,1813
sweep,1783
sweep,1743
sweep,1749
sweep,2061
sweep,2416
mark,14441
sweep,2074
sweep,1801
sweep,1757
sweep,1775
sweep,1774
sweep,1722
sweep,2365
sweep,2149
mark,13743
sweep,2055
sweep,1759
sweep,1827
sweep,1781
