event_type,time_ns
mark,34934
sweep,2804
sweep,1890
sweep,1802
sweep,1843
sweep,2044
sweep,2152
sweep,1827
sweep,2186
mark,24664
sweep,2283
sweep,1789
sweep,1768
sweep,1858
sweep,1793
sweep,1966
sweep,1763
sweep,2471
mark,20678
sweep,2279
sweep,1767
sweep,1747
sweep,1691
sweep,1913
sweep,1958
sweep,1981
sweep,2002
mark,19709
sweep,2190
sweep,1756
sweep,1724
sweep,1969
sweep,1770
sweep,2115
sweep,1793
sweep,2206
mark,18741
sweep,2189
sweep,1808
sweep,1755
sweep,1704
sweep,1757
sweep,2000
sweep,1859
sweep,1999
mark,18261
sweep,2204
sweep,1782
sweep,1765
sweep,1737
sweep,1926
sweep,1991
sweep,1759
sweep,1955
mark,18690
sweep,2229
sweep,1805
sweep,1759
sweep,1737
sweep,1766
sweep,1977
sweep,1699
sweep,2045
mark,16325
sweep,2213
sweep,1762
sweep,1741
sweep,1787
sweep,1983
sweep,1914
sweep,1726
sweep,1921
mark,16981
sweep,2194
sweep,1735
sweep,1739
sweep,1756
sweep,1740
sweep,1940
sweep,1737
sweep,2101
mark,25551
sweep,2322
sweep,1753
sweep,1748
sweep,1788
sweep,1765
sweep,2195
sweep,1758
sweep,1979
mark,15505
sweep,2178
sweep,1788
sweep,1765
sweep,1730
sweep,1730
sweep,1906
sweep,1738
sweep,2043
mark,16298
sweep,2354
sweep,1803
sweep,1758
sweep,1726
sweep,1751
sweep,2388
sweep,1761
sweep,1977
mark,15773
sweep,2207
sweep,1736
sweep,1743
sweep,1953
sweep,1695
sweep,1972
sweep,1721
sweep,1979
mark,14864
sweep,2132
sweep,1743
sweep,1766
sweep,1736
sweep,1763
sweep,1876
sweep,1953
sweep,1966
mark,17661
sweep,2156
sweep,1740
sweep,1776
sweep,1717
sweep,1971
sweep,1971
sweep,1732
sweep,1989
mark,15530
sweep,2247
sweep,1732
sweep,1705
sweep,1749
sweep,1729
sweep,2090
sweep,1755
sweep,2118
mark,15822
sweep,2201
sweep,1755
sweep,1756
sweep,1745
sweep,1909
sweep,1959
sweep,1757
sweep,2054
mark,14983
sweep,2239
sweep,1728
sweep,1887
sweep,1720
sweep,1732
sweep,2029
sweep,1880
sweep,1959
mark,15216
sweep,2193
sweep,1768
sweep,1775
sweep,1760
sweep,1714
sweep,2188
sweep,1722
sweep,1945
mark,14367
sweep,2243
sweep,1827
sweep,1955
sweep,1761
sweep,1748
sweep,2084
sweep,1839
sweep,2002
mark,14653
sweep,2075
sweep,1734
sweep,1770
sweep,1752
sweep,1747
sweep,2217
sweep,1720
sweep,1975
mark,13424
sweep,2104
sweep,1708
sweep,1723
sweep,1904
sweep,1719
sweep,1981
sweep,1725
sweep,2086
mark,14064
sweep,2180
sweep,1752
sweep,1753
sweep,1812
sweep,1770
sweep,1986
sweep,1895
sweep,1922
mark,14646
sweep,2245
sweep,1703
sweep,1780
sweep,1932
sweep,1727
sweep,2137
sweep,1727
sweep,2004
mark,13968
sweep,2105
sweep,1710
sweep,1738
sweep,1709
sweep,1713
sweep,2000
sweep,1900
sweep,1919
mark,13867
sweep,2134
sweep,1746
sweep,1745
sweep,1734
sweep,2025
sweep,2049
sweep,1820
sweep,2033
mark,14179
sweep,2234
sweep,1719
sweep,1753
sweep,1723
sweep,1742
sweep,1983
sweep,1728
sweep,2106
mark,14833
sweep,2205
sweep,1754
sweep,1744
sweep,1745
sweep,1881
sweep,1967
sweep,1703
sweep,2016
mark,13360
sweep,2113
sweep,1756
sweep,1862
sweep,1736
sweep,1719
sweep,1900
sweep,1755
sweep,2086
mark,14657
sweep,2168
sweep,1770
sweep,1724
sweep,1724
sweep,1729
sweep,2163
sweep,1787
sweep,2198
mark,13750
sweep,2122
sweep,1740
sweep,1727
sweep,1830
sweep,1718
sweep,1831
sweep,1701
sweep,2052
mark,13180
sweep,2052
sweep,1747
sweep,1737
sweep,1740
sweep,1735
sweep,1905
