event_type,time_ns
mark,38663
sweep,6131
sweep,5286
sweep,5128
sweep,5832
mark,28599
sweep,6187
sweep,5302
sweep,5287
sweep,5927
mark,25046
sweep,5709
sweep,3402
sweep,3446
sweep,3969
mark,19065
sweep,3770
sweep,3465
sweep,3422
sweep,3858
mark,17633
sweep,3824
sweep,3451
sweep,3516
sweep,3778
mark,19079
sweep,3760
sweep,3472
sweep,3471
sweep,3911
mark,17279
sweep,3735
sweep,3457
sweep,3409
sweep,3802
mark,17947
sweep,3693
sweep,3414
sweep,3408
sweep,3879
mark,16030
sweep,3633
sweep,3518
sweep,3347
sweep,3750
mark,16418
sweep,3659
sweep,3450
sweep,3402
sweep,3687
mark,16196
sweep,3646
sweep,3530
sweep,3452
sweep,3744
mark,15302
sweep,3745
sweep,3488
sweep,3496
sweep,3701
mark,15781
sweep,3710
sweep,3416
sweep,3406
sweep,3973
mark,15076
sweep,3693
sweep,3371
sweep,3480
sweep,3611
mark,15087
sweep,3663
sweep,3507
sweep,3398
sweep,3691
mark,15140
sweep,3652
sweep,3542
sweep,3422
sweep,3755
mark,20601
sweep,3719
sweep,3390
sweep,3305
sweep,3789
mark,15405
sweep,3715
sweep,3496
sweep,3468
sweep,4037
mark,14320
sweep,3750
sweep,3512
sweep,3388
sweep,3765
mark,19373
sweep,3717
sweep,3435
sweep,3510
sweep,3678
mark,15442
sweep,3729
sweep,3435
sweep,3455
sweep,3636
mark,20414
sweep,3656
sweep,3468
sweep,3532
sweep,3809
mark,14833
sweep,3653
sweep,3498
sweep,3375
sweep,3727
mark,13283
sweep,3692
sweep,3397
sweep,3468
sweep,3565
mark,13370
sweep,3620
sweep,3408
sweep,3448
sweep,3736
mark,13781
sweep,3550
sweep,3498
sweep,3412
sweep,3869
mark,14524
sweep,3699
sweep,3474
sweep,3360
sweep,3937
mark,14101
sweep,3607
sweep,3475
sweep,3377
sweep,3685
mark,13324
sweep,3594
sweep,3522
sweep,3506
sweep,3814
mark,13504
sweep,3656
sweep,3461
sweep,3402
sweep,3695
mark,13893
sweep,3618
sweep,3474
sweep,3469
sweep,3639
mark,14106
sweep,3605
sweep,3482
sweep,3470
sweep,3811
mark,13173
sweep,3617
sweep,3490
sweep,3458
sweep,3734
mark,15015
sweep,3677
sweep,3393
sweep,3431
sweep,3510
mark,13750
sweep,3714
sweep,3444
sweep,3467
sweep,3703
mark,13689
sweep,3624
sweep,3465
sweep,3398
sweep,3717
mark,13512
sweep,3629
sweep,3425
sweep,3393
sweep,3804
mark,13636
sweep,3728
sweep,3491
sweep,3375
sweep,3692
mark,13485
sweep,3654
sweep,3510
sweep,3499
sweep,3776
mark,13677
sweep,3655
sweep,3464
sweep,3382
sweep,3644
mark,14689
sweep,3731
sweep,3469
sweep,3417
sweep,3595
mark,13962
sweep,3680
sweep,3348
sweep,3507
sweep,3785
mark,14215
sweep,3727
sweep,3432
sweep,3359
sweep,3770
mark,14263
sweep,3707
sweep,3397
sweep,3466
sweep,3744
mark,13244
sweep,3714
sweep,3405
sweep,3440
sweep,3721
mark,13031
sweep,3642
sweep,3498
sweep,3411
sweep,3766
mark,13277
sweep,3656
sweep,3415
sweep,3382
sweep,3839
mark,13460
sweep,3643
sweep,3425
sweep,3458
sweep,3696
mark,13925
sweep,3671
sweep,3479
sweep,3470
sweep,3720
mark,13386
sweep,3699
sweep,3418
sweep,3386
sweep,3759
mark,13769
sweep,3647
sweep,3393
sweep,3439
sweep,3569
mark,13064
sweep,3745
sweep,3496
sweep,3385
sweep,3845
mark,14302
sweep,3666
sweep,3432
sweep,3417
sweep,3708
mark,13319
sweep,3653
sweep,3401
sweep,3462
sweep,3728
mark,12962
sweep,3636
sweep,3408
sweep,3471
sweep,3741
mark,13332
sweep,3633
sweep,3411
sweep,3475
sweep,3823
mark,13494
sweep,3694
sweep,3414
sweep,3379
sweep,3762
mark,14113
sweep,3775
sweep,3582
sweep,3637
sweep,3893
mark,14401
sweep,3901
sweep,3617
sweep,3493
sweep,3727
mark,14463
sweep,3737
sweep,3519
sweep,3419
sweep,3777
mark,14491
sweep,3775
sweep,3454
sweep,3490
sweep,3594
mark,14450
sweep,3701
sweep,3575
sweep,3376
sweep,3741
mark,14291
sweep,3629
sweep,3447
sweep,3438
sweep,3739
mark,14392
sweep,3736
sweep,3422
sweep,3394
sweep,3795
mark,14083
sweep,3620
sweep,3497
sweep,3413
sweep,3681
mark,13687
sweep,3719
sweep,3447
sweep,3411
sweep,3840
mark,13799
sweep,3571
sweep,3433
sweep,3346
sweep,3910
mark,13859
sweep,3584
sweep,3485
sweep,3413
sweep,3760
mark,13812
sweep,3626
sweep,3480
sweep,3448
sweep,3683
mark,14155
sweep,3588
sweep,3458
sweep,3373
sweep,3725
mark,13639
sweep,3642
sweep,3341
sweep,3486
sweep,3532
mark,13697
sweep,3609
sweep,3507
sweep,3352
sweep,3746
mark,13710
sweep,3542
sweep,3497
sweep,3409
sweep,3636
mark,13854
sweep,3568
sweep,3429
sweep,3398
sweep,3769
mark,14349
sweep,3521
sweep,3432
sweep,3448
sweep,3683
mark,13741
sweep,3580
sweep,3480
sweep,3404
sweep,3805
mark,13914
sweep,3606
sweep,3418
sweep,3383
sweep,3686
mark,13147
sweep,3575
sweep,3421
sweep,3448
sweep,3886
mark,13288
sweep,3541
sweep,3465
sweep,3576
sweep,3788
mark,14502
sweep,3715
sweep,3464
sweep,3543
sweep,3836
mark,15377
sweep,3709
sweep,3464
sweep,3429
sweep,3598
mark,14888
sweep,3702
sweep,3446
sweep,3427
sweep,3790
mark,14516
sweep,3649
sweep,3525
sweep,3384
sweep,3713
mark,14571
sweep,3664
sweep,3421
sweep,3372
sweep,3835
mark,14250
sweep,3599
sweep,3498
sweep,3418
sweep,3715
mark,13936
sweep,3692
sweep,3471
sweep,3405
sweep,3774
mark,13917
sweep,3651
sweep,3426
sweep,3395
sweep,3660
mark,13376
sweep,3630
sweep,3402
sweep,3504
sweep,3638
mark,14780
sweep,3703
sweep,3513
sweep,3498
sweep,3835
mark,14966
sweep,3711
sweep,3527
sweep,3426
sweep,3845
mark,14040
sweep,3627
sweep,3470
sweep,3369
sweep,3665
mark,14018
sweep,3649
sweep,3413
sweep,3487
sweep,3717
mark,13685
sweep,3630
sweep,3464
sweep,3428
sweep,3746
mark,14232
sweep,3682
sweep,3438
sweep,3406
sweep,3756
mark,14367
sweep,3710
sweep,3467
sweep,3418
sweep,3678
mark,13506
sweep,3584
sweep,3469
sweep,3442
sweep,3731
mark,13704
sweep,3573
sweep,3413
sweep,3363
sweep,3743
mark,13995
sweep,3666
sweep,3466
sweep,3413
sweep,3515
mark,14532
sweep,3842
sweep,3479
sweep,3401
sweep,3690
mark,13974
sweep,3588
sweep,3469
sweep,3438
sweep,3766
mark,15636
sweep,3759
sweep,3376
sweep,3438
sweep,3940
mark,14375
sweep,3588
sweep,3529
sweep,3395
sweep,3665
mark,14399
sweep,3619
sweep,3484
sweep,3426
sweep,3773
mark,13496
sweep,3559
sweep,3465
sweep,3409
sweep,3725
mark,13884
sweep,3583
sweep,3369
sweep,3440
sweep,3682
mark,14088
sweep,3590
sweep,3501
sweep,3379
sweep,3779
mark,13818
sweep,3581
sweep,3448
sweep,3397
sweep,3723
mark,13348
sweep,3660
sweep,3459
sweep,3406
sweep,3527
mark,13312
sweep,3614
sweep,3430
sweep,3460
sweep,3800
mark,13122
sweep,3617
sweep,3415
sweep,3398
sweep,3838
mark,13451
sweep,3644
sweep,3402
sweep,3574
sweep,3835
mark,13774
sweep,3580
sweep,3458
sweep,3486
sweep,3705
mark,13660
sweep,3623
sweep,3455
sweep,3442
sweep,3717
mark,13452
sweep,3615
sweep,3428
sweep,3369
sweep,3710
mark,13295
sweep,3575
sweep,3451
sweep,3436
sweep,3763
mark,14123
sweep,3555
sweep,3506
sweep,3487
sweep,3732
mark,14032
sweep,3655
sweep,3414
sweep,3385
sweep,3745
mark,13717
sweep,3628
sweep,3424
sweep,3394
sweep,3505
mark,15420
sweep,3690
sweep,3477
sweep,3396
sweep,3815
mark,14216
sweep,3723
sweep,3468
sweep,3423
sweep,3741
mark,15318
sweep,3680
sweep,3391
sweep,3464
sweep,3683
mark,14921
sweep,3607
sweep,3461
sweep,3439
sweep,3588
mark,13367
sweep,3588
sweep,3468
sweep,3422
sweep,3622
mark,12884
sweep,3573
sweep,3408
sweep,3409
sweep,3621
mark,12850
sweep,3614
sweep,3471
sweep,3420
sweep,3657
mark,12459
sweep,3616
sweep,3480
sweep,3433
sweep,3625
mark,12934
sweep,3603
sweep,3426
sweep,3410
sweep,3721
mark,12624
sweep,3581
sweep,3467
sweep,3418
sweep,3527
mark,12568
sweep,3611
sweep,3482
sweep,3431
sweep,3626
mark,12174
sweep,3555
sweep,3449
sweep,3443
sweep,3680
mark,11992
sweep,3574
sweep,3465
sweep,3349
sweep,3670
mark,12668
sweep,3613
sweep,3415
sweep,3420
sweep,3551
mark,12795
sweep,3609
sweep,3403
sweep,3409
sweep,3685
mark,13215
sweep,3526
sweep,3439
sweep,3365
sweep,3632
mark,12138
sweep,3583
sweep,3389
sweep,3445
sweep,3572
mark,12464
sweep,3585
sweep,3444
sweep,3447
sweep,3666
mark,13248
sweep,3573
sweep,3451
sweep,3404
sweep,3701
mark,12364
sweep,3608
sweep,3373
sweep,3835
sweep,3819
mark,14716
sweep,4128
sweep,3718
sweep,3702
sweep,4026
mark,13829
sweep,3998
sweep,3687
sweep,3699
sweep,3966
mark,14553
sweep,4018
sweep,3677
sweep,3652
sweep,3860
mark,14695
sweep,3993
sweep,3694
sweep,3669
sweep,3901
mark,14312
sweep,4052
sweep,3691
sweep,3646
sweep,3849
mark,14331
sweep,3933
sweep,3638
sweep,3691
sweep,3880
mark,13349
sweep,3893
sweep,3687
sweep,3666
sweep,3903
mark,13764
sweep,3884
sweep,3630
sweep,3766
sweep,3903
mark,14180
sweep,3893
sweep,3633
sweep,3660
sweep,3966
mark,14212
sweep,3790
sweep,3656
sweep,3610
sweep,3723
mark,12808
sweep,3786
sweep,3636
sweep,3716
sweep,3840
mark,13349
sweep,3768
sweep,3691
sweep,3726
sweep,3861
mark,13562
sweep,3792
sweep,3635
sweep,3652
sweep,3891
mark,13572
sweep,3850
sweep,3611
sweep,3728
sweep,3870
mark,13613
sweep,3797
sweep,3688
sweep,3692
sweep,3922
mark,12935
sweep,3822
sweep,3675
sweep,3571
sweep,3879
mark,13496
sweep,3817
sweep,3596
sweep,3701
sweep,3769
mark,13285
sweep,3794
sweep,3707
sweep,3674
sweep,3963
mark,13348
sweep,3827
sweep,3648
sweep,3580
sweep,3908
mark,14655
sweep,3929
sweep,3614
sweep,3604
sweep,3829
mark,13391
sweep,3822
sweep,3623
sweep,3664
sweep,3886
mark,13195
sweep,3773
sweep,3685
sweep,3601
sweep,3952
mark,13901
sweep,3968
sweep,3620
sweep,3637
sweep,3906
mark,14215
sweep,3877
sweep,3708
sweep,3592
sweep,3847
mark,13740
sweep,3843
sweep,3675
sweep,3706
sweep,3864
mark,13378
sweep,3824
sweep,3659
sweep,3569
sweep,4018
mark,13258
sweep,3832
sweep,3594
sweep,3599
sweep,3770
mark,13388
