event_type,time_ns
mark,107402
sweep,3392
sweep,1772
sweep,2077
sweep,1475
sweep,1514
sweep,1629
sweep,1754
sweep,1120
sweep,844
sweep,916
sweep,990
sweep,894
sweep,887
sweep,916
sweep,1897
sweep,2221
mark,47598
sweep,2075
sweep,817
sweep,1113
sweep,813
sweep,857
sweep,896
sweep,981
sweep,964
sweep,798
sweep,885
sweep,883
sweep,829
sweep,817
sweep,1742
sweep,2607
sweep,1592
mark,44675
sweep,1453
sweep,805
sweep,1014
sweep,855
sweep,835
sweep,901
sweep,932
sweep,931
sweep,744
sweep,855
sweep,768
sweep,836
sweep,853
sweep,1259
sweep,2130
sweep,2447
mark,42769
sweep,1502
sweep,838
sweep,944
sweep,816
sweep,855
sweep,887
sweep,917
sweep,943
sweep,790
sweep,896
sweep,769
sweep,857
sweep,831
sweep,1686
sweep,2580
sweep,1833
mark,43073
sweep,1606
sweep,759
sweep,1100
sweep,824
sweep,902
sweep,872
sweep,972
sweep,942
sweep,814
sweep,899
sweep,782
sweep,867
sweep,950
sweep,1627
sweep,2889
sweep,3684
mark,45769
sweep,1718
sweep,992
sweep,1103
sweep,879
sweep,916
sweep,994
sweep,1181
sweep,1054
sweep,1066
sweep,1336
sweep,991
sweep,1086
sweep,968
sweep,2025
sweep,2966
sweep,2430
mark,42845
sweep,1729
sweep,884
sweep,1170
sweep,877
sweep,913
sweep,986
sweep,1028
sweep,909
sweep,781
sweep,881
sweep,767
sweep,794
sweep,853
sweep,1106
sweep,2585
sweep,2988
mark,42253
sweep,1608
sweep,794
sweep,1010
sweep,857
sweep,850
sweep,902
sweep,961
sweep,924
sweep,819
sweep,844
sweep,849
sweep,779
sweep,831
sweep,1657
sweep,3221
sweep,2410
mark,41827
sweep,1461
sweep,810
sweep,1013
sweep,865
sweep,830
sweep,888
sweep,935
sweep,857
sweep,794
sweep,1006
sweep,757
sweep,916
sweep,812
sweep,1634
sweep,2965
sweep,3068
mark,41688
sweep,1619
sweep,779
sweep,964
sweep,828
sweep,912
sweep,867
sweep,909
sweep,849
sweep,887
sweep,884
sweep,754
sweep,833
sweep,825
sweep,1833
sweep,3164
sweep,2566
mark,41293
sweep,1641
sweep,771
sweep,963
sweep,971
sweep,842
sweep,869
sweep,896
sweep,832
sweep,931
sweep,933
sweep,768
sweep,821
sweep,817
sweep,1327
sweep,2868
sweep,3360
mark,40893
sweep,1585
sweep,794
sweep,961
sweep,822
sweep,853
sweep,882
sweep,897
sweep,858
sweep,889
sweep,879
sweep,825
sweep,836
sweep,886
sweep,1806
sweep,3370
sweep,2703
mark,41054
sweep,1868
sweep,792
sweep,1080
sweep,827
sweep,859
sweep,870
sweep,977
sweep,817
sweep,846
sweep,904
sweep,778
sweep,818
sweep,830
sweep,1461
sweep,3289
sweep,3479
mark,40204
sweep,1554
sweep,1100
sweep,1003
sweep,824
sweep,845
sweep,842
sweep,925
sweep,893
sweep,846
sweep,852
sweep,763
sweep,964
sweep,810
sweep,1636
sweep,3880
sweep,2935
mark,20746
sweep,1431
sweep,803
sweep,1006
sweep,801
sweep,846
sweep,864
sweep,904
sweep,821
sweep,823
sweep,853
sweep,693
sweep,845
sweep,885
sweep,1304
sweep,2316
sweep,847
mark,39537
sweep,1444
sweep,1089
sweep,949
sweep,830
sweep,852
sweep,867
sweep,858
sweep,952
sweep,831
sweep,795
sweep,849
sweep,756
sweep,819
sweep,967
sweep,1991
sweep,2037
mark,76904
sweep,2027
sweep,1090
sweep,998
sweep,818
sweep,868
sweep,901
sweep,942
sweep,980
sweep,779
sweep,878
sweep,774
sweep,917
sweep,796
sweep,1906
sweep,2558
sweep,1663
mark,51044
sweep,2181
sweep,1619
sweep,980
sweep,910
sweep,839
sweep,850
sweep,936
sweep,852
sweep,747
sweep,843
sweep,915
sweep,939
sweep,830
sweep,1906
sweep,2851
sweep,1396
mark,51558
sweep,1586
sweep,1738
sweep,2018
sweep,1808
sweep,844
sweep,854
sweep,855
sweep,937
sweep,806
sweep,854
sweep,936
sweep,804
sweep,881
sweep,1037
sweep,799
sweep,825
mark,59851
sweep,1326
sweep,857
sweep,945
sweep,754
sweep,1155
sweep,2398
sweep,2065
sweep,1030
sweep,831
sweep,837
sweep,809
sweep,832
sweep,829
sweep,980
sweep,949
sweep,1015
mark,52435
sweep,1390
sweep,736
sweep,953
sweep,1588
sweep,1949
sweep,1561
sweep,1737
sweep,1670
sweep,914
sweep,843
sweep,851
sweep,838
sweep,797
sweep,822
sweep,873
sweep,997
mark,55913
sweep,1366
sweep,767
sweep,942
sweep,885
sweep,808
sweep,1832
sweep,2364
sweep,2101
sweep,1223
sweep,838
sweep,841
sweep,826
sweep,887
sweep,902
sweep,851
sweep,989
mark,53042
sweep,1305
sweep,768
sweep,884
sweep,834
sweep,1117
sweep,1872
sweep,1989
sweep,2403
sweep,1864
sweep,1079
sweep,807
sweep,855
sweep,825
sweep,809
sweep,964
sweep,937
mark,51231
sweep,1408
sweep,783
sweep,1047
sweep,740
sweep,837
sweep,1116
sweep,2606
sweep,2480
sweep,2058
sweep,1657
sweep,887
sweep,864
sweep,851
sweep,852
sweep,837
sweep,1066
mark,52138
sweep,1306
sweep,799
sweep,993
sweep,755
sweep,836
sweep,1081
sweep,2352
sweep,3016
sweep,2293
sweep,2119
sweep,1253
sweep,818
sweep,792
sweep,916
sweep,922
sweep,1039
mark,53088
sweep,1487
sweep,711
sweep,1129
sweep,815
sweep,764
sweep,827
sweep,1725
sweep,2774
sweep,2158
sweep,2488
sweep,1817
sweep,921
sweep,811
sweep,880
sweep,822
sweep,970
mark,52323
sweep,1410
sweep,767
sweep,1012
sweep,852
sweep,799
sweep,853
sweep,854
sweep,2354
sweep,2593
sweep,2750
sweep,1817
sweep,1362
sweep,871
sweep,868
sweep,1035
sweep,965
mark,52084
sweep,1357
sweep,820
sweep,909
sweep,821
sweep,857
sweep,761
sweep,948
sweep,1059
sweep,2642
sweep,2938
sweep,2285
sweep,1928
sweep,955
sweep,787
sweep,901
sweep,883
mark,49782
sweep,1371
sweep,711
sweep,975
sweep,747
sweep,846
sweep,813
sweep,823
sweep,826
sweep,1475
sweep,2958
sweep,2376
sweep,1931
sweep,1617
sweep,945
sweep,860
sweep,1046
mark,50595
sweep,1650
sweep,717
sweep,976
sweep,748
sweep,837
sweep,840
sweep,981
sweep,939
sweep,819
sweep,3232
sweep,2758
sweep,2220
sweep,1835
sweep,1026
sweep,893
sweep,1042
mark,52125
sweep,1416
sweep,783
sweep,929
sweep,859
sweep,763
sweep,840
sweep,970
sweep,1000
sweep,814
sweep,1205
sweep,2748
sweep,2322
sweep,2426
sweep,1765
sweep,954
sweep,1001
mark,49367
sweep,1462
sweep,939
sweep,905
sweep,862
sweep,806
sweep,843
sweep,928
sweep,817
sweep,841
sweep,900
sweep,2643
sweep,2645
sweep,2523
sweep,1941
sweep,1001
sweep,1118
mark,50193
sweep,1671
sweep,776
sweep,974
sweep,734
sweep,850
sweep,822
sweep,942
sweep,882
sweep,815
sweep,848
sweep,907
sweep,2825
sweep,2759
sweep,2303
sweep,1777
sweep,1047
mark,48607
sweep,1524
sweep,771
sweep,972
sweep,754
sweep,834
sweep,751
sweep,873
sweep,829
sweep,755
sweep,1022
sweep,1086
sweep,2789
sweep,2782
sweep,2314
sweep,2127
sweep,985
mark,50129
sweep,1623
sweep,788
sweep,982
sweep,834
sweep,761
sweep,852
sweep,835
sweep,881
sweep,832
sweep,940
sweep,825
sweep,1244
sweep,3022
sweep,2676
sweep,2554
sweep,1439
mark,49882
sweep,1468
sweep,798
sweep,978
sweep,861
sweep,966
sweep,834
sweep,921
sweep,903
sweep,841
sweep,838
sweep,837
sweep,947
sweep,3006
sweep,2724
sweep,2868
