event_type,time_ns
mark,59403
sweep,5013
sweep,1738
sweep,1609
sweep,1562
sweep,1945
sweep,948
sweep,1280
sweep,923
sweep,899
sweep,914
sweep,1247
sweep,881
sweep,946
sweep,959
sweep,1033
sweep,1341
mark,20337
sweep,2199
sweep,890
sweep,878
sweep,890
sweep,1137
sweep,906
sweep,1173
sweep,892
sweep,895
sweep,1303
sweep,1200
sweep,885
sweep,1033
sweep,1059
sweep,1047
sweep,1304
mark,30463
sweep,2104
sweep,935
sweep,887
sweep,874
sweep,1083
sweep,883
sweep,1136
sweep,893
sweep,861
sweep,1208
sweep,1146
sweep,863
sweep,1034
sweep,970
sweep,1000
sweep,1309
mark,46905
sweep,2116
sweep,886
sweep,851
sweep,866
sweep,1086
sweep,894
sweep,1265
sweep,863
sweep,876
sweep,1193
sweep,1208
sweep,854
sweep,1007
sweep,1068
sweep,1238
sweep,1435
mark,25749
sweep,2043
sweep,889
sweep,890
sweep,849
sweep,1172
sweep,867
sweep,1101
sweep,854
sweep,863
sweep,1065
sweep,1064
sweep,835
sweep,1019
sweep,1003
sweep,1231
sweep,1432
mark,19075
sweep,2090
sweep,855
sweep,896
sweep,851
sweep,1128
sweep,874
sweep,1120
sweep,886
sweep,875
sweep,1234
sweep,1127
sweep,884
sweep,1058
sweep,1013
sweep,1053
sweep,1342
mark,30291
sweep,2196
sweep,890
sweep,863
sweep,873
sweep,1094
sweep,872
sweep,1225
sweep,868
sweep,848
sweep,1068
sweep,967
sweep,900
sweep,1038
sweep,920
sweep,1018
sweep,1313
mark,30723
sweep,2048
sweep,880
sweep,869
sweep,898
sweep,1114
sweep,871
sweep,1148
sweep,941
sweep,859
sweep,1114
sweep,1095
sweep,862
sweep,1058
sweep,1264
sweep,1003
sweep,1334
mark,29801
sweep,2087
sweep,879
sweep,873
sweep,890
sweep,1184
sweep,882
sweep,1152
sweep,886
sweep,843
sweep,1188
sweep,1060
sweep,897
sweep,1040
sweep,1053
sweep,989
sweep,1289
mark,27992
sweep,2048
sweep,887
sweep,879
sweep,893
sweep,1064
sweep,897
sweep,1107
sweep,892
sweep,870
sweep,1136
sweep,1081
sweep,877
sweep,972
sweep,1049
sweep,1006
sweep,1269
mark,28375
sweep,2018
sweep,920
sweep,866
sweep,899
sweep,1070
sweep,882
sweep,1140
sweep,892
sweep,859
sweep,1112
sweep,1057
sweep,890
sweep,932
sweep,1040
sweep,1039
sweep,1430
mark,28724
sweep,2035
sweep,904
sweep,862
sweep,878
sweep,1299
sweep,907
sweep,1129
sweep,915
sweep,864
sweep,1030
sweep,1094
sweep,856
sweep,1086
sweep,995
sweep,963
sweep,1316
mark,29868
sweep,2138
sweep,838
sweep,867
sweep,883
sweep,1200
sweep,900
sweep,1058
sweep,903
sweep,863
sweep,1012
sweep,1066
sweep,861
sweep,913
sweep,947
sweep,911
sweep,1241
mark,27508
sweep,2026
sweep,871
sweep,862
sweep,861
sweep,988
sweep,858
sweep,1137
sweep,849
sweep,859
sweep,893
sweep,1055
sweep,851
sweep,932
sweep,920
sweep,890
sweep,1152
mark,26479
sweep,2007
sweep,887
sweep,886
sweep,873
sweep,976
sweep,882
sweep,1067
sweep,866
sweep,869
sweep,937
sweep,1050
sweep,876
sweep,887
sweep,915
sweep,866
sweep,1151
mark,27096
sweep,1968
sweep,845
sweep,855
sweep,921
sweep,992
sweep,888
sweep,1020
sweep,852
sweep,866
sweep,922
sweep,1006
sweep,861
sweep,855
sweep,896
sweep,857
sweep,1143
mark,26997
sweep,2058
sweep,879
sweep,872
sweep,874
sweep,903
sweep,868
sweep,1032
sweep,918
sweep,862
sweep,910
sweep,1193
sweep,861
sweep,919
sweep,851
sweep,856
sweep,1123
mark,25891
sweep,1985
sweep,850
sweep,832
sweep,854
sweep,936
sweep,855
sweep,1091
sweep,876
sweep,877
sweep,905
sweep,1027
sweep,867
sweep,910
sweep,879
sweep,886
sweep,1178
mark,26770
sweep,2013
sweep,845
sweep,867
sweep,882
sweep,976
sweep,872
sweep,1082
sweep,848
sweep,862
sweep,933
sweep,959
sweep,829
sweep,1029
sweep,893
sweep,893
sweep,1168
mark,27101
sweep,2010
sweep,866
sweep,864
sweep,926
sweep,1011
sweep,863
sweep,1361
sweep,893
sweep,867
sweep,888
sweep,944
sweep,843
sweep,875
sweep,889
sweep,888
sweep,1261
mark,26837
sweep,2001
sweep,921
sweep,880
sweep,864
sweep,942
sweep,864
sweep,1048
sweep,910
sweep,871
sweep,919
sweep,939
sweep,901
sweep,911
sweep,875
sweep,885
sweep,1156
mark,25966
sweep,2042
sweep,882
sweep,837
sweep,855
sweep,971
sweep,875
sweep,1019
sweep,888
sweep,852
sweep,886
sweep,984
sweep,833
sweep,870
sweep,4651
sweep,868
sweep,1130
mark,26729
sweep,1999
sweep,860
sweep,856
sweep,876
sweep,960
sweep,877
sweep,1053
sweep,882
sweep,880
sweep,907
sweep,969
sweep,855
sweep,914
sweep,959
sweep,872
sweep,1131
mark,27306
sweep,2068
sweep,856
sweep,868
sweep,871
sweep,989
sweep,869
sweep,1033
sweep,854
sweep,859
sweep,924
sweep,1015
sweep,857
sweep,903
sweep,881
sweep,863
sweep,1348
mark,28522
sweep,2057
sweep,855
sweep,883
sweep,898
sweep,1022
sweep,894
sweep,1246
sweep,860
sweep,912
sweep,1007
sweep,929
sweep,848
sweep,956
sweep,862
sweep,888
sweep,1202
mark,26936
sweep,1989
sweep,929
sweep,853
sweep,897
sweep,975
sweep,854
sweep,1067
sweep,934
sweep,847
sweep,918
sweep,921
sweep,853
sweep,920
sweep,876
sweep,855
sweep,1194
mark,26851
sweep,2006
sweep,854
sweep,864
sweep,879
sweep,967
sweep,878
sweep,1083
sweep,852
sweep,872
sweep,891
sweep,978
sweep,897
sweep,920
sweep,1043
sweep,882
sweep,1168
mark,27185
sweep,1958
sweep,850
sweep,834
sweep,883
sweep,1008
sweep,873
sweep,1094
sweep,868
sweep,868
sweep,899
sweep,933
sweep,861
sweep,879
sweep,861
sweep,901
sweep,1180
mark,27097
sweep,1970
sweep,848
sweep,853
sweep,875
sweep,975
sweep,875
sweep,1091
sweep,867
sweep,863
sweep,892
sweep,922
sweep,869
sweep,1102
sweep,871
sweep,876
sweep,1151
mark,26652
sweep,2011
sweep,894
sweep,858
sweep,870
sweep,992
sweep,882
sweep,1420
sweep,878
sweep,864
sweep,910
sweep,925
sweep,882
sweep,881
sweep,897
sweep,862
sweep,1223
mark,27630
sweep,1981
sweep,869
sweep,849
sweep,876
sweep,1016
sweep,890
sweep,1054
sweep,858
sweep,855
sweep,900
sweep,931
sweep,861
sweep,898
sweep,881
sweep,869
sweep,1194
mark,26746
sweep,1978
sweep,850
sweep,850
sweep,854
sweep,995
sweep,884
sweep,1056
sweep,867
sweep,893
sweep,897
sweep,915
sweep,873
sweep,881
sweep,926
sweep,872
sweep,1234
mark,27693
sweep,2011
sweep,833
sweep,899
sweep,856
sweep,972
sweep,866
sweep,1142
sweep,874
sweep,892
sweep,932
sweep,1139
sweep,871
sweep,917
sweep,895
sweep,877
sweep,1237
mark,26920
sweep,1998
sweep,857
sweep,856
sweep,867
sweep,975
sweep,879
sweep,1305
sweep,866
sweep,868
sweep,914
sweep,936
sweep,867
sweep,897
sweep,881
sweep,862
sweep,1171
mark,27751
sweep,2020
sweep,860
sweep,857
sweep,856
sweep,930
sweep,853
sweep,1120
sweep,916
sweep,845
sweep,931
sweep,944
sweep,844
sweep,897
sweep,967
sweep,884
sweep,1214
mark,27538
sweep,1978
sweep,859
sweep,895
sweep,914
sweep,1034
sweep,866
sweep,1124
sweep,873
sweep,885
sweep,886
sweep,926
sweep,847
sweep,898
sweep,911
sweep,867
sweep,1202
mark,27177
sweep,2015
sweep,855
sweep,873
sweep,872
sweep,1103
sweep,902
sweep,1047
sweep,867
sweep,899
sweep,897
sweep,1000
sweep,867
sweep,920
sweep,870
sweep,892
sweep,1223
mark,26778
sweep,1989
sweep,856
sweep,853
sweep,894
sweep,1170
sweep,888
sweep,1089
sweep,869
sweep,875
sweep,892
sweep,923
sweep,867
sweep,929
sweep,931
sweep,858
sweep,1174
mark,26784
sweep,1960
sweep,911
sweep,849
sweep,890
sweep,982
sweep,864
sweep,1056
sweep,848
sweep,880
sweep,896
sweep,908
sweep,878
sweep,900
sweep,865
sweep,897
sweep,1230
mark,26520
sweep,2000
sweep,855
sweep,848
sweep,864
sweep,1011
sweep,895
sweep,1077
sweep,878
sweep,864
sweep,879
sweep,893
sweep,880
sweep,907
sweep,903
sweep,900
sweep,1134
mark,26414
sweep,1964
sweep,848
sweep,871
sweep,890
sweep,1023
sweep,864
sweep,1084
sweep,881
sweep,885
sweep,912
sweep,1023
sweep,916
sweep,1135
sweep,952
sweep,933
sweep,1579
mark,29516
sweep,2136
sweep,917
sweep,1052
sweep,897
sweep,1332
sweep,927
sweep,1319
sweep,896
sweep,892
sweep,914
sweep,1012
sweep,865
sweep,941
sweep,882
sweep,869
sweep,1397
mark,28088
sweep,1983
sweep,879
sweep,865
sweep,853
sweep,916
sweep,886
sweep,1155
sweep,871
sweep,893
sweep,902
sweep,945
sweep,863
sweep,887
sweep,893
sweep,879
sweep,1309
mark,28170
sweep,1964
sweep,860
sweep,850
sweep,850
sweep,1037
sweep,841
sweep,1110
sweep,899
sweep,865
sweep,905
sweep,966
sweep,892
sweep,916
sweep,869
sweep,872
sweep,1160
mark,27114
sweep,1965
sweep,860
sweep,870
sweep,884
sweep,969
sweep,905
sweep,1063
sweep,848
sweep,854
sweep,895
sweep,933
sweep,850
sweep,879
sweep,858
sweep,874
sweep,1119
mark,27557
sweep,1955
sweep,868
sweep,839
sweep,845
sweep,1002
sweep,855
sweep,1051
sweep,880
sweep,855
sweep,899
sweep,954
sweep,891
sweep,887
sweep,896
sweep,875
sweep,1174
mark,27552
sweep,1973
sweep,887
sweep,883
sweep,867
sweep,962
sweep,895
sweep,1328
sweep,868
sweep,851
sweep,916
sweep,917
sweep,850
sweep,966
sweep,908
sweep,877
sweep,1199
mark,27010
sweep,2100
sweep,862
sweep,867
sweep,874
sweep,973
sweep,883
sweep,1081
sweep,894
sweep,870
sweep,912
sweep,922
sweep,855
sweep,879
sweep,884
sweep,945
sweep,1263
mark,26768
sweep,1983
sweep,883
sweep,882
sweep,876
sweep,971
sweep,878
sweep,1074
sweep,865
sweep,858
sweep,901
sweep,959
sweep,865
sweep,885
sweep,869
sweep,871
sweep,1141
mark,27327
sweep,1965
sweep,879
sweep,842
