event_type,time_ns
mark,88393
sweep,2830
sweep,1657
sweep,1752
sweep,1397
sweep,1488
sweep,1448
sweep,1362
sweep,1444
sweep,1372
sweep,1426
sweep,1345
sweep,1689
sweep,1385
sweep,1406
sweep,2447
sweep,5490
mark,91709
sweep,2435
sweep,1533
sweep,1528
sweep,1374
sweep,1377
sweep,1382
sweep,1359
sweep,1346
sweep,1399
sweep,1420
sweep,860
sweep,904
sweep,884
sweep,2808
sweep,3413
sweep,2709
mark,51538
sweep,1266
sweep,1017
sweep,1044
sweep,869
sweep,910
sweep,872
sweep,891
sweep,889
sweep,853
sweep,906
sweep,871
sweep,902
sweep,872
sweep,2987
sweep,3132
sweep,1957
mark,60003
sweep,1312
sweep,942
sweep,981
sweep,877
sweep,889
sweep,873
sweep,874
sweep,880
sweep,874
sweep,874
sweep,860
sweep,897
sweep,866
sweep,1386
sweep,4355
sweep,3343
mark,56569
sweep,1292
sweep,906
sweep,1003
sweep,855
sweep,892
sweep,873
sweep,874
sweep,878
sweep,872
sweep,887
sweep,882
sweep,892
sweep,875
sweep,3160
sweep,3807
sweep,1748
mark,56438
sweep,1352
sweep,919
sweep,967
sweep,887
sweep,970
sweep,867
sweep,861
sweep,866
sweep,883
sweep,878
sweep,878
sweep,901
sweep,875
sweep,1488
sweep,4584
sweep,3205
mark,52425
sweep,1360
sweep,916
sweep,1040
sweep,855
sweep,912
sweep,870
sweep,864
sweep,896
sweep,860
sweep,912
sweep,875
sweep,927
sweep,859
sweep,3440
sweep,3946
sweep,1420
mark,55755
sweep,1337
sweep,892
sweep,992
sweep,871
sweep,888
sweep,874
sweep,880
sweep,896
sweep,862
sweep,883
sweep,865
sweep,870
sweep,850
sweep,1558
sweep,4411
sweep,3077
mark,48586
sweep,1271
sweep,882
sweep,1002
sweep,861
sweep,892
sweep,872
sweep,879
sweep,865
sweep,853
sweep,872
sweep,866
sweep,858
sweep,869
sweep,3764
sweep,3578
sweep,850
mark,53347
sweep,1349
sweep,909
sweep,947
sweep,859
sweep,903
sweep,899
sweep,863
sweep,876
sweep,884
sweep,866
sweep,869
sweep,869
sweep,865
sweep,996
sweep,4395
sweep,2997
mark,59904
sweep,1343
sweep,902
sweep,959
sweep,866
sweep,882
sweep,857
sweep,855
sweep,895
sweep,880
sweep,873
sweep,864
sweep,878
sweep,846
sweep,3202
sweep,4109
sweep,2253
mark,57753
sweep,1178
sweep,880
sweep,971
sweep,869
sweep,898
sweep,853
sweep,874
sweep,859
sweep,867
sweep,857
sweep,876
sweep,860
sweep,922
sweep,2799
sweep,4535
sweep,3574
mark,42767
sweep,1183
sweep,914
sweep,987
sweep,855
sweep,885
sweep,875
sweep,873
sweep,862
sweep,887
sweep,896
sweep,857
sweep,913
sweep,1203
sweep,4037
sweep,2427
sweep,837
mark,50773
sweep,1101
sweep,928
sweep,962
sweep,870
sweep,891
sweep,880
sweep,863
sweep,860
sweep,860
sweep,869
sweep,896
sweep,880
sweep,853
sweep,865
sweep,2794
sweep,3318
mark,54994
sweep,1217
sweep,859
sweep,953
sweep,891
sweep,868
sweep,874
sweep,844
sweep,851
sweep,857
sweep,866
sweep,880
sweep,861
sweep,869
sweep,3417
sweep,3325
sweep,2664
mark,34453
sweep,1166
sweep,898
sweep,1013
sweep,863
sweep,879
sweep,865
sweep,881
sweep,899
sweep,867
sweep,869
sweep,857
sweep,871
sweep,1092
sweep,2650
sweep,3149
sweep,845
mark,48433
sweep,1095
sweep,874
sweep,962
sweep,870
sweep,877
sweep,879
sweep,843
sweep,878
sweep,867
sweep,890
sweep,888
sweep,876
sweep,847
sweep,870
sweep,3361
sweep,3681
mark,53693
sweep,1124
sweep,882
sweep,951
sweep,851
sweep,887
sweep,865
sweep,896
sweep,874
sweep,888
sweep,892
sweep,907
sweep,886
sweep,867
sweep,3253
sweep,4067
sweep,2401
mark,54432
sweep,1177
sweep,921
sweep,939
sweep,866
sweep,863
sweep,887
sweep,863
sweep,878
sweep,851
sweep,902
sweep,870
sweep,880
sweep,868
sweep,2746
sweep,4050
sweep,3888
mark,40459
sweep,1118
sweep,905
sweep,942
sweep,876
sweep,859
sweep,875
sweep,842
sweep,891
sweep,883
sweep,894
sweep,870
sweep,884
sweep,921
sweep,4005
sweep,2618
sweep,895
mark,50614
sweep,1129
sweep,882
sweep,949
sweep,878
sweep,875
sweep,865
sweep,873
sweep,887
sweep,862
sweep,843
sweep,892
sweep,857
sweep,869
sweep,1069
sweep,2792
sweep,3383
mark,53968
sweep,1150
sweep,876
sweep,965
sweep,879
sweep,869
sweep,857
sweep,856
sweep,862
sweep,856
sweep,867
sweep,874
sweep,866
sweep,851
sweep,3240
sweep,3302
sweep,2648
mark,31846
sweep,1104
sweep,901
sweep,955
sweep,859
sweep,860
sweep,874
sweep,866
sweep,869
sweep,877
sweep,874
sweep,870
sweep,852
sweep,1097
sweep,2978
sweep,2793
sweep,856
mark,49038
sweep,1076
sweep,917
sweep,978
sweep,860
sweep,882
sweep,863
sweep,869
sweep,898
sweep,875
sweep,866
sweep,867
sweep,888
sweep,870
sweep,877
sweep,2914
sweep,3258
mark,51826
sweep,1247
sweep,877
sweep,974
sweep,872
sweep,875
sweep,875
sweep,865
sweep,851
sweep,887
sweep,860
sweep,906
sweep,889
sweep,887
sweep,3026
sweep,3628
sweep,2226
mark,52599
sweep,1164
sweep,896
sweep,956
sweep,849
sweep,893
sweep,874
sweep,864
sweep,870
sweep,888
sweep,873
sweep,864
sweep,877
sweep,868
sweep,2851
sweep,4022
sweep,3716
mark,41381
sweep,1127
sweep,912
sweep,997
sweep,864
sweep,874
sweep,886
sweep,871
sweep,882
sweep,863
sweep,875
sweep,861
sweep,884
sweep,849
sweep,3815
sweep,3227
sweep,867
mark,50950
sweep,1073
sweep,881
sweep,974
sweep,859
sweep,874
sweep,875
sweep,869
sweep,859
sweep,883
sweep,878
sweep,871
sweep,861
sweep,878
sweep,861
sweep,3674
sweep,3284
mark,53892
sweep,1209
sweep,892
sweep,962
sweep,909
sweep,878
sweep,894
sweep,875
sweep,859
sweep,868
sweep,875
sweep,893
sweep,862
sweep,873
sweep,3393
sweep,3856
sweep,2547
mark,33532
sweep,1108
sweep,870
sweep,971
sweep,874
sweep,884
sweep,880
sweep,939
sweep,910
sweep,852
sweep,884
sweep,905
sweep,866
sweep,1162
sweep,2854
sweep,3113
sweep,861
mark,48571
sweep,1166
sweep,917
sweep,936
sweep,866
sweep,898
sweep,864
sweep,872
sweep,879
sweep,878
sweep,855
sweep,878
sweep,851
sweep,919
sweep,877
sweep,3381
sweep,3382
mark,52569
sweep,1098
sweep,992
sweep,937
sweep,866
sweep,871
sweep,874
sweep,872
sweep,869
sweep,886
sweep,893
sweep,871
sweep,892
sweep,870
sweep,2891
sweep,3739
sweep,2497
mark,33994
sweep,1106
sweep,898
sweep,1009
sweep,866
sweep,886
sweep,917
sweep,882
sweep,878
sweep,859
sweep,866
sweep,891
sweep,872
sweep,855
sweep,3019
sweep,3199
sweep,835
mark,48955
sweep,1083
sweep,900
sweep,953
sweep,889
sweep,899
sweep,891
sweep,864
sweep,884
sweep,898
sweep,865
sweep,876
sweep,884
sweep,855
sweep,877
sweep,3640
sweep,3340
mark,52107
sweep,1192
sweep,893
sweep,983
sweep,882
sweep,886
sweep,892
sweep,853
sweep,912
sweep,879
sweep,874
sweep,878
sweep,877
sweep,872
sweep,3185
sweep,4126
sweep,2037
mark,54500
sweep,1147
sweep,905
sweep,969
sweep,881
sweep,931
sweep,868
sweep,875
sweep,864
sweep,886
sweep,855
sweep,904
sweep,884
sweep,856
sweep,2742
sweep,4166
sweep,3724
mark,40139
sweep,1181
sweep,886
sweep,985
sweep,880
sweep,883
sweep,903
