event_type,time_ns
mark,845914
sweep,2371
sweep,1546
sweep,1606
sweep,1880
sweep,1917
sweep,1846
sweep,1599
sweep,1946
sweep,1722
sweep,2304
sweep,1908
sweep,2032
sweep,1627
sweep,1589
sweep,1707
sweep,2343
mark,3939390
sweep,2722
sweep,1780
sweep,1978
sweep,2115
sweep,2291
sweep,2379
sweep,2055
sweep,2308
sweep,2235
sweep,2389
sweep,2257
sweep,1782
sweep,1823
sweep,1822
sweep,1794
sweep,1840
sweep,1776
sweep,1851
sweep,1788
sweep,1851
sweep,1879
sweep,1788
sweep,676
sweep,1890
sweep,1571
sweep,1737
sweep,1573
sweep,1343
sweep,1531
sweep,951
mark,3640973
sweep,3061
sweep,1852
sweep,1890
sweep,1880
sweep,1813
sweep,1849
sweep,1884
sweep,1876
sweep,1893
sweep,1819
sweep,1847
sweep,1845
sweep,1847
sweep,1849
sweep,1823
sweep,1856
sweep,1974
sweep,4178
sweep,3918
sweep,3355
sweep,3825
sweep,2768
sweep,1341
sweep,1236
sweep,1755
sweep,1486
sweep,1602
sweep,1149
sweep,1558
sweep,1317
sweep,1645
sweep,1369
sweep,1197
sweep,1240
sweep,1539
sweep,1166
sweep,1470
sweep,1473
sweep,2014
sweep,1633
sweep,1899
sweep,1865
sweep,1535
sweep,1601
sweep,1620
sweep,1317
sweep,1850
sweep,992
sweep,1673
sweep,1310
sweep,1304
sweep,2033
sweep,1455
sweep,1257
sweep,1838
sweep,1341
sweep,1491
sweep,1251
sweep,1597
sweep,2409
sweep,1165
mark,2796224
sweep,4109
sweep,3950
sweep,3389
sweep,3522
sweep,3395
sweep,4206
sweep,3526
sweep,3891
sweep,3407
sweep,3815
sweep,3894
sweep,3807
sweep,3463
sweep,3821
sweep,3277
sweep,3617
sweep,3507
sweep,3687
sweep,3627
sweep,3456
sweep,3638
sweep,3738
sweep,1074
sweep,1924
sweep,1973
sweep,1832
sweep,1669
sweep,2332
sweep,1495
sweep,1570
sweep,1447
sweep,1419
sweep,1516
sweep,1356
sweep,1377
sweep,1593
sweep,1350
sweep,1602
sweep,1475
sweep,1282
sweep,1458
sweep,1359
sweep,1147
sweep,1150
sweep,1017
sweep,1362
sweep,1352
sweep,940
sweep,755
sweep,1335
sweep,899
sweep,1133
sweep,1171
sweep,1223
sweep,1175
sweep,1048
sweep,1458
sweep,791
sweep,919
sweep,1747
sweep,892
sweep,1938
sweep,1584
sweep,1828
sweep,812
sweep,1657
sweep,1994
sweep,1247
sweep,1427
sweep,1681
sweep,1885
sweep,623
sweep,1473
sweep,3784
sweep,4302
sweep,4638
sweep,4160
sweep,4431
sweep,4479
sweep,4423
sweep,4770
sweep,4548
sweep,4195
sweep,4398
sweep,4563
sweep,5078
sweep,4279
sweep,4700
sweep,4514
sweep,5296
sweep,4494
sweep,4908
sweep,4835
sweep,4413
sweep,4357
sweep,1428
sweep,2016
sweep,1707
sweep,1886
sweep,1582
sweep,1421
sweep,1528
sweep,1874
sweep,1325
sweep,1672
sweep,1384
sweep,1673
sweep,1916
sweep,5418
sweep,4290
sweep,4739
sweep,5480
sweep,2442
mark,1490830
sweep,6726
sweep,6145
sweep,5779
sweep,2151
sweep,1798
sweep,2046
sweep,1958
sweep,2106
sweep,1944
sweep,1947
sweep,1968
sweep,2123
sweep,2217
sweep,1887
sweep,2260
sweep,2240
sweep,397
sweep,699
sweep,350
sweep,661
sweep,379
sweep,1092
sweep,1224
sweep,867
sweep,1475
sweep,1691
sweep,1563
sweep,1369
sweep,1588
sweep,1491
sweep,1482
sweep,1304
sweep,1593
sweep,1594
sweep,1238
sweep,1619
sweep,1957
sweep,1463
sweep,1975
sweep,1660
sweep,1270
sweep,1514
sweep,2316
sweep,1352
sweep,1473
sweep,1890
sweep,1023
sweep,1831
sweep,1779
sweep,1966
sweep,914
sweep,1384
sweep,2155
sweep,1258
sweep,1319
sweep,1863
sweep,1715
sweep,699
sweep,1366
sweep,3462
sweep,4857
sweep,4175
sweep,4853
sweep,4242
sweep,4194
sweep,4539
sweep,4842
sweep,4189
sweep,4217
sweep,2743
sweep,2780
sweep,3661
sweep,2729
sweep,3038
sweep,2956
sweep,3542
sweep,3158
sweep,2949
sweep,3284
sweep,3000
sweep,3444
sweep,3151
sweep,2978
sweep,3143
sweep,3545
sweep,3033
sweep,3147
sweep,3363
sweep,3201
sweep,3609
sweep,1297
sweep,4547
sweep,4505
sweep,4483
sweep,4203
sweep,4600
sweep,4806
sweep,4456
sweep,4624
sweep,4947
sweep,4167
sweep,4197
sweep,5281
sweep,304
sweep,520
sweep,357
sweep,477
sweep,781
sweep,258
sweep,1250
sweep,392
sweep,350
sweep,360
sweep,308
sweep,131
sweep,198
sweep,320
mark,650555
sweep,2564
sweep,2101
sweep,1851
sweep,1368
sweep,1776
sweep,1346
sweep,1613
sweep,1845
sweep,4438
sweep,1757
sweep,1770
sweep,1582
sweep,1706
sweep,1728
sweep,1153
sweep,1472
sweep,1466
sweep,1949
sweep,1643
sweep,1881
sweep,1933
sweep,1611
sweep,2055
sweep,1583
sweep,1620
sweep,1650
sweep,1112
sweep,2226
sweep,1549
sweep,897
sweep,1524
sweep,1407
sweep,977
sweep,1847
sweep,2061
sweep,1302
sweep,1574
sweep,1321
sweep,2039
sweep,954
sweep,1218
sweep,1863
sweep,1741
sweep,1825
sweep,2325
sweep,1813
sweep,2061
sweep,1689
sweep,1976
sweep,1353
sweep,1823
sweep,1453
sweep,1598
sweep,1477
sweep,1427
sweep,1394
sweep,1683
sweep,1531
sweep,1645
sweep,1288
sweep,1615
sweep,1395
sweep,1719
sweep,1963
sweep,1951
sweep,1762
sweep,1986
sweep,1705
sweep,2210
sweep,1764
sweep,2079
sweep,1762
sweep,1847
sweep,1925
sweep,1965
sweep,1968
sweep,1955
sweep,1800
sweep,1835
sweep,1850
sweep,1880
sweep,1829
sweep,1998
sweep,1912
sweep,2011
sweep,1858
sweep,2017
sweep,2223
sweep,1864
sweep,3831
sweep,4814
sweep,4642
sweep,5249
sweep,618
sweep,519
sweep,365
sweep,2137
sweep,2013
sweep,1898
sweep,1959
sweep,1979
sweep,2172
sweep,2094
sweep,1935
sweep,1888
sweep,1816
sweep,1794
sweep,1718
sweep,954
sweep,490
sweep,619
sweep,303
sweep,399
sweep,1798
sweep,4342
sweep,4152
sweep,4174
sweep,4465
sweep,4552
sweep,4193
sweep,4549
sweep,3981
sweep,1368
mark,668255
sweep,2317
sweep,1861
sweep,2258
sweep,1972
sweep,1895
sweep,1804
sweep,1973
sweep,1941
sweep,1984
sweep,1999
sweep,442
sweep,2168
sweep,1758
sweep,2007
sweep,1715
sweep,1639
sweep,1942
sweep,1621
sweep,1600
sweep,1826
sweep,1387
sweep,1887
sweep,2011
sweep,1630
sweep,1416
sweep,1762
sweep,1262
sweep,1494
sweep,1519
sweep,1828
sweep,1303
sweep,1669
sweep,1450
sweep,2101
sweep,2118
sweep,1948
sweep,1292
sweep,1458
sweep,1202
sweep,2309
sweep,1295
sweep,1268
sweep,1262
sweep,1447
sweep,1144
sweep,2134
sweep,1490
sweep,1491
sweep,1247
sweep,1457
sweep,1827
sweep,864
sweep,1297
sweep,2076
sweep,1478
sweep,2213
sweep,2373
sweep,2526
sweep,1729
sweep,1574
sweep,1523
sweep,1535
sweep,1526
sweep,1529
sweep,1571
sweep,1767
sweep,1593
sweep,1262
sweep,1354
sweep,1658
sweep,1493
sweep,1443
sweep,1560
sweep,1458
sweep,1139
sweep,1825
sweep,1985
sweep,1624
sweep,1489
sweep,1362
sweep,1348
sweep,1411
sweep,1920
sweep,1085
sweep,1907
sweep,1817
sweep,1097
sweep,1455
sweep,1748
sweep,1929
sweep,1026
sweep,1758
sweep,2032
sweep,1927
sweep,2179
sweep,1670
sweep,1577
sweep,1278
sweep,1590
sweep,1340
sweep,2146
sweep,854
sweep,1800
sweep,2961
sweep,4824
sweep,5088
sweep,5526
sweep,4440
sweep,4668
sweep,4401
sweep,4742
sweep,4476
sweep,4416
sweep,4410
sweep,4708
sweep,4321
sweep,1833
sweep,2162
sweep,1884
sweep,1691
sweep,2109
sweep,1760
sweep,1963
sweep,1869
sweep,1002
mark,670359
sweep,2348
sweep,1758
sweep,2231
sweep,1838
sweep,1742
sweep,1870
sweep,2204
sweep,2038
sweep,2111
sweep,2023
sweep,268
sweep,1923
sweep,1954
sweep,2009
sweep,1530
sweep,1849
sweep,2040
sweep,1861
sweep,1502
sweep,1623
sweep,1815
sweep,1996
sweep,1657
sweep,1914
sweep,1537
sweep,1744
sweep,1401
sweep,1353
sweep,1731
sweep,1566
sweep,1372
sweep,1828
sweep,1406
sweep,1927
sweep,2262
sweep,1915
sweep,1390
sweep,2003
sweep,1051
sweep,2038
sweep,1391
sweep,1269
sweep,1235
sweep,1507
sweep,1006
sweep,1917
sweep,1983
sweep,1382
sweep,1221
sweep,1401
sweep,2002
sweep,1215
sweep,1161
sweep,2202
sweep,1514
sweep,2061
sweep,1991
sweep,1895
sweep,1908
sweep,2121
sweep,1472
sweep,1509
sweep,1484
sweep,1744
sweep,1307
sweep,1434
sweep,1316
sweep,1621
sweep,1832
sweep,1511
sweep,1393
sweep,1565
sweep,1496
sweep,1502
sweep,1039
sweep,1518
sweep,1663
sweep,1566
sweep,1829
sweep,1333
sweep,1162
sweep,1392
sweep,1736
sweep,1056
sweep,1652
sweep,1839
sweep,901
sweep,2055
sweep,1576
sweep,2318
sweep,1136
sweep,1493
sweep,2082
sweep,1438
sweep,1556
sweep,1418
sweep,1789
sweep,764
sweep,1644
sweep,3696
sweep,5182
sweep,4200
sweep,4328
sweep,3026
sweep,1847
sweep,2145
sweep,1871
sweep,1887
sweep,2001
sweep,2251
sweep,1787
sweep,1891
sweep,1927
sweep,1773
sweep,1814
sweep,3250
sweep,4797
sweep,4721
sweep,4108
sweep,4516
sweep,4664
sweep,4339
sweep,4436
sweep,4617
sweep,560
mark,682149
sweep,2353
sweep,2099
sweep,2329
sweep,2047
sweep,1746
sweep,1881
sweep,2056
sweep,1809
sweep,2017
sweep,1628
sweep,2071
sweep,1942
sweep,2001
sweep,1615
sweep,1506
sweep,1838
sweep,1515
sweep,1316
sweep,1560
sweep,1756
sweep,1686
sweep,1871
sweep,1999
sweep,1525
sweep,1569
sweep,1260
sweep,1395
sweep,1858
sweep,1438
sweep,1688
sweep,1763
sweep,1511
sweep,1598
sweep,2064
sweep,1947
sweep,1292
sweep,1585
sweep,1170
sweep,2137
sweep,1529
sweep,1206
sweep,1325
sweep,1456
sweep,947
sweep,2118
sweep,1719
sweep,1514
sweep,1422
sweep,1480
sweep,1805
sweep,1000
sweep,829
sweep,1958
sweep,1696
sweep,2077
sweep,2131
sweep,2543
sweep,2075
sweep,65143
sweep,1561
sweep,1684
sweep,1552
sweep,1584
sweep,1292
sweep,1426
sweep,1424
sweep,1310
sweep,1410
sweep,1452
sweep,1335
sweep,1553
sweep,1518
sweep,1583
sweep,1181
sweep,1482
sweep,1948
sweep,1498
sweep,1468
sweep,1567
sweep,1344
sweep,1453
sweep,1918
sweep,1196
sweep,1613
sweep,1847
sweep,1115
sweep,1735
sweep,1468
sweep,1876
sweep,1039
sweep,1820
sweep,2145
sweep,1273
sweep,1446
sweep,1520
sweep,2533
sweep,848
sweep,1451
sweep,2617
sweep,2423
sweep,1881
sweep,1814
sweep,3752
sweep,4601
sweep,4666
sweep,4630
sweep,4271
sweep,4879
sweep,4104
sweep,4427
sweep,4529
sweep,4072
sweep,4242
sweep,5012
sweep,3797
sweep,1870
sweep,1959
sweep,1746
sweep,1767
sweep,1988
sweep,2167
sweep,1786
sweep,1805
sweep,695
mark,671415
sweep,2265
sweep,1989
sweep,2116
sweep,1849
sweep,1843
sweep,1884
sweep,1840
sweep,1796
sweep,1903
sweep,1586
sweep,2004
sweep,1999
sweep,1937
sweep,1660
sweep,1681
sweep,2002
sweep,1530
sweep,1594
sweep,1358
sweep,1928
sweep,1812
sweep,1881
sweep,1832
sweep,1568
sweep,1562
sweep,1225
sweep,1570
sweep,1368
sweep,1512
sweep,1490
sweep,1254
sweep,1577
sweep,1800
sweep,1508
sweep,1924
sweep,1569
sweep,1566
sweep,1513
sweep,1557
sweep,1627
sweep,1728
sweep,1045
sweep,1441
sweep,1219
sweep,1381
sweep,1983
sweep,1199
sweep,1291
sweep,1540
sweep,1540
sweep,1666
sweep,1266
sweep,1535
sweep,1460
sweep,2022
sweep,1872
sweep,2189
sweep,1697
sweep,2355
sweep,1788
sweep,1957
sweep,1310
sweep,1584
sweep,1328
sweep,1362
sweep,1361
sweep,1277
sweep,1488
sweep,1319
sweep,1782
sweep,1562
sweep,1711
sweep,1537
sweep,1393
sweep,1277
sweep,2134
sweep,1145
sweep,1739
sweep,2090
sweep,1035
sweep,1765
sweep,1701
sweep,1248
sweep,1724
sweep,1377
sweep,1334
sweep,1400
sweep,1290
sweep,1753
sweep,1203
sweep,1601
sweep,2175
sweep,801
sweep,2086
sweep,1146
sweep,1678
sweep,1477
sweep,1230
sweep,1473
sweep,3779
sweep,4850
sweep,4059
sweep,4372
sweep,3064
sweep,2115
sweep,1936
sweep,1682
sweep,1869
sweep,1749
sweep,2005
sweep,1897
sweep,1818
sweep,2017
sweep,1780
sweep,1896
sweep,3117
sweep,4471
sweep,4423
sweep,4499
sweep,4263
sweep,4149
sweep,4162
sweep,4067
sweep,4050
mark,666690
sweep,2140
sweep,1823
sweep,2165
sweep,1869
sweep,1810
sweep,1945
sweep,1709
sweep,1823
sweep,2085
sweep,1671
sweep,2206
sweep,2146
sweep,1928
sweep,1563
sweep,1513
sweep,1906
sweep,1539
sweep,1558
sweep,1561
sweep,1630
sweep,1720
sweep,2074
sweep,1564
sweep,1578
sweep,1529
sweep,1154
sweep,1253
sweep,1527
sweep,1366
sweep,1558
sweep,1665
sweep,1626
sweep,1605
sweep,2035
sweep,1735
sweep,1230
sweep,1612
sweep,1184
sweep,2108
sweep,1344
sweep,1201
sweep,1323
sweep,1278
sweep,917
sweep,2142
sweep,1758
sweep,1394
sweep,1284
sweep,1288
sweep,1891
sweep,906
sweep,835
sweep,2128
sweep,1519
sweep,2435
sweep,1892
sweep,1921
sweep,1754
sweep,2537
sweep,1592
sweep,1663
sweep,1638
sweep,1487
sweep,1416
sweep,1674
sweep,1195
sweep,1419
sweep,1504
sweep,1485
sweep,1465
sweep,1519
sweep,1560
sweep,1574
sweep,1016
sweep,1578
sweep,1820
sweep,1621
sweep,1730
sweep,1666
sweep,1352
sweep,1408
sweep,1630
sweep,1217
sweep,1833
sweep,1801
sweep,859
sweep,1701
sweep,1495
sweep,2110
sweep,899
sweep,1513
sweep,1779
sweep,1406
sweep,1633
sweep,1478
sweep,1866
sweep,626
sweep,1714
sweep,2793
sweep,2153
sweep,2216
sweep,1807
sweep,3360
sweep,4719
sweep,4475
sweep,4431
sweep,4523
sweep,4529
sweep,4138
sweep,4411
sweep,4198
sweep,4167
sweep,4245
sweep,4965
sweep,3763
sweep,1907
sweep,1911
sweep,1710
sweep,1651
sweep,1812
sweep,2068
sweep,1700
sweep,1879
sweep,785
mark,671077
sweep,2756
sweep,1773
sweep,2175
sweep,1789
sweep,1750
sweep,2036
sweep,1897
sweep,1902
sweep,2097
sweep,1753
sweep,5727
sweep,1661
sweep,1928
sweep,1807
sweep,1886
sweep,1246
sweep,1375
sweep,2072
sweep,1988
sweep,2080
sweep,1854
sweep,1454
sweep,1482
sweep,1171
sweep,1277
sweep,1488
sweep,1358
sweep,1418
sweep,1645
sweep,1334
sweep,1815
sweep,2528
sweep,1677
sweep,1447
sweep,1749
sweep,1314
sweep,2074
sweep,1294
sweep,1212
sweep,1571
sweep,1397
sweep,912
sweep,1909
sweep,1479
sweep,1310
sweep,1466
sweep,1486
sweep,2052
sweep,1017
sweep,889
sweep,1880
sweep,1891
sweep,2126
sweep,2192
sweep,1848
sweep,1915
sweep,1741
sweep,1605
sweep,1453
sweep,1672
sweep,1601
sweep,1653
sweep,1606
sweep,1172
sweep,1274
sweep,1426
sweep,1610
sweep,1385
