event_type,time_ns
mark,28439
sweep,2438
sweep,1003
sweep,1127
sweep,1185
sweep,1156
sweep,1001
sweep,1010
sweep,921
sweep,929
sweep,963
sweep,1011
sweep,997
sweep,875
sweep,898
sweep,952
sweep,1112
mark,15503
sweep,1479
sweep,928
sweep,1166
sweep,930
sweep,1353
sweep,1075
sweep,1013
sweep,899
sweep,1040
sweep,1059
sweep,1182
sweep,1082
sweep,873
sweep,1227
sweep,1113
sweep,1476
mark,13805
sweep,1473
sweep,970
sweep,1109
sweep,899
sweep,1516
sweep,1109
sweep,1039
sweep,997
sweep,1066
sweep,1127
sweep,1177
sweep,1097
sweep,891
sweep,929
sweep,1143
sweep,1661
mark,14576
sweep,1467
sweep,946
sweep,1126
sweep,912
sweep,1422
sweep,1044
sweep,1037
sweep,912
sweep,1077
sweep,1144
sweep,1225
sweep,1000
sweep,877
sweep,1009
sweep,1486
sweep,1111
mark,13601
sweep,1375
sweep,966
sweep,1085
sweep,941
sweep,1353
sweep,1054
sweep,1026
sweep,918
sweep,1077
sweep,1072
sweep,1206
sweep,993
sweep,892
sweep,981
sweep,1565
sweep,1069
mark,13178
sweep,1313
sweep,892
sweep,1116
sweep,903
sweep,1385
sweep,1038
sweep,1016
sweep,902
sweep,1077
sweep,1101
sweep,1246
sweep,998
sweep,864
sweep,1358
sweep,1363
sweep,1301
mark,13922
sweep,1308
sweep,867
sweep,1093
sweep,977
sweep,1405
sweep,1065
sweep,1374
sweep,893
sweep,1234
sweep,1177
sweep,1214
sweep,1006
sweep,931
sweep,1262
sweep,1261
sweep,1141
mark,13286
sweep,1173
sweep,856
sweep,1179
sweep,952
sweep,1270
sweep,1031
sweep,1047
sweep,889
sweep,1086
sweep,1108
sweep,1384
sweep,1021
sweep,1335
sweep,914
sweep,1152
sweep,1149
mark,12888
sweep,1227
sweep,903
sweep,1069
sweep,1054
sweep,1258
sweep,1050
sweep,1071
sweep,896
sweep,1046
sweep,1144
sweep,1154
sweep,1003
sweep,1225
sweep,997
sweep,1184
sweep,1247
mark,12289
sweep,1122
sweep,854
sweep,1103
sweep,965
sweep,1302
sweep,1332
sweep,1058
sweep,904
sweep,1021
sweep,1134
sweep,1184
sweep,1007
sweep,1107
sweep,1087
sweep,1139
sweep,1161
mark,12497
sweep,1187
sweep,855
sweep,1182
sweep,882
sweep,1340
sweep,1118
sweep,1039
sweep,908
sweep,1037
sweep,1167
sweep,1134
sweep,992
sweep,1109
sweep,956
sweep,1357
sweep,1303
mark,18101
sweep,1403
sweep,853
sweep,1142
sweep,899
sweep,1345
sweep,1121
sweep,1018
sweep,908
sweep,1092
sweep,1062
sweep,1129
sweep,1469
sweep,933
sweep,957
sweep,1236
sweep,1440
mark,14265
sweep,1490
sweep,903
sweep,1205
sweep,947
sweep,1405
sweep,1133
sweep,1034
sweep,926
sweep,1222
sweep,1136
sweep,1183
sweep,1193
sweep,871
sweep,940
sweep,1316
sweep,1194
mark,13734
sweep,1151
sweep,871
sweep,1120
sweep,939
sweep,1333
sweep,1112
sweep,1019
sweep,898
sweep,1327
sweep,1104
sweep,1384
sweep,1030
sweep,871
sweep,918
sweep,1392
sweep,1088
mark,13001
sweep,1307
sweep,888
sweep,1169
sweep,897
sweep,1369
sweep,1143
sweep,1011
sweep,885
sweep,1108
sweep,1071
sweep,1732
sweep,1022
sweep,855
sweep,923
sweep,1287
sweep,1122
mark,12430
sweep,1153
sweep,858
sweep,1191
sweep,925
sweep,1274
sweep,1146
sweep,1246
sweep,886
sweep,1089
sweep,1199
sweep,1263
sweep,1055
sweep,864
sweep,898
sweep,1252
sweep,1089
mark,12760
sweep,1075
sweep,911
sweep,1076
sweep,906
sweep,1274
sweep,1129
sweep,992
sweep,881
sweep,1080
sweep,1249
sweep,1213
sweep,1068
sweep,875
sweep,929
sweep,1362
sweep,1030
mark,12420
sweep,1313
sweep,939
sweep,1043
sweep,900
sweep,1346
sweep,1045
sweep,1022
sweep,911
sweep,1074
sweep,1269
sweep,1254
sweep,1083
sweep,874
sweep,943
sweep,1286
sweep,1162
mark,13365
sweep,1326
sweep,943
sweep,1128
sweep,920
sweep,1381
sweep,1048
sweep,1036
sweep,956
sweep,1141
sweep,1255
sweep,1197
sweep,999
sweep,880
sweep,924
sweep,1263
sweep,1205
mark,13075
sweep,1370
sweep,942
sweep,1149
sweep,953
sweep,1446
sweep,1063
sweep,1018
sweep,952
sweep,1103
sweep,1042
sweep,1583
sweep,1011
sweep,860
sweep,952
sweep,1212
sweep,1328
mark,15833
sweep,1416
sweep,1106
sweep,1407
sweep,987
sweep,1535
sweep,1095
sweep,1014
sweep,1126
sweep,1326
sweep,1284
sweep,1556
sweep,1117
sweep,965
sweep,1126
sweep,1229
sweep,1357
mark,19232
sweep,1288
sweep,1006
sweep,1127
sweep,916
sweep,1607
sweep,1088
sweep,1027
sweep,1054
sweep,1034
sweep,1123
sweep,1285
sweep,1089
sweep,855
sweep,1037
sweep,1317
sweep,1216
mark,13213
sweep,1272
sweep,863
sweep,1123
sweep,954
sweep,1355
sweep,1066
sweep,1139
sweep,1190
sweep,1203
sweep,1532
sweep,1533
sweep,1788
