event_type,time_ns
mark,33105
sweep,2344
sweep,1010
sweep,1025
sweep,1179
sweep,994
sweep,1000
sweep,1036
sweep,984
sweep,922
sweep,970
sweep,966
sweep,1074
sweep,1029
sweep,1011
sweep,1277
sweep,1770
mark,23778
sweep,1579
sweep,915
sweep,918
sweep,1016
sweep,934
sweep,900
sweep,916
sweep,915
sweep,909
sweep,901
sweep,909
sweep,982
sweep,964
sweep,929
sweep,1083
sweep,1625
mark,23108
sweep,1488
sweep,902
sweep,950
sweep,951
sweep,914
sweep,943
sweep,889
sweep,889
sweep,928
sweep,916
sweep,911
sweep,967
sweep,952
sweep,928
sweep,1040
sweep,1298
mark,22027
sweep,1430
sweep,855
sweep,983
sweep,984
sweep,883
sweep,892
sweep,930
sweep,891
sweep,907
sweep,913
sweep,924
sweep,955
sweep,917
sweep,902
sweep,983
sweep,1208
mark,21465
sweep,1423
sweep,832
sweep,916
sweep,905
sweep,916
sweep,898
sweep,914
sweep,903
sweep,947
sweep,906
sweep,919
sweep,938
sweep,915
sweep,907
sweep,939
sweep,1315
mark,20325
sweep,1416
sweep,853
sweep,860
sweep,903
sweep,925
sweep,902
sweep,904
sweep,883
sweep,948
sweep,920
sweep,900
sweep,895
sweep,913
sweep,926
sweep,997
sweep,1492
mark,20401
sweep,1304
sweep,868
sweep,902
sweep,900
sweep,923
sweep,898
sweep,909
sweep,901
sweep,901
sweep,914
sweep,922
sweep,924
sweep,926
sweep,902
sweep,936
sweep,1141
mark,19219
sweep,1408
sweep,813
sweep,910
sweep,922
sweep,930
sweep,897
sweep,922
sweep,901
sweep,913
sweep,908
sweep,912
sweep,885
sweep,892
sweep,890
sweep,1050
sweep,1252
mark,19028
sweep,1296
sweep,855
sweep,881
sweep,891
sweep,904
sweep,912
sweep,961
sweep,902
sweep,906
sweep,895
sweep,874
sweep,888
sweep,929
sweep,922
sweep,978
sweep,1134
mark,18884
sweep,1257
sweep,859
sweep,902
sweep,923
sweep,934
sweep,897
sweep,897
sweep,883
sweep,903
sweep,914
sweep,914
sweep,918
sweep,918
sweep,912
sweep,920
sweep,1182
mark,18455
