event_type,time_ns
mark,33280
sweep,2429
sweep,1060
sweep,1199
sweep,983
sweep,1000
sweep,1130
sweep,1264
sweep,968
sweep,1075
sweep,916
sweep,918
sweep,972
sweep,984
sweep,930
sweep,1301
sweep,1423
mark,17149
sweep,1340
sweep,899
sweep,1056
sweep,951
sweep,1021
sweep,1107
sweep,1101
sweep,912
sweep,1011
sweep,958
sweep,972
sweep,997
sweep,942
sweep,957
sweep,1242
sweep,1485
mark,15987
sweep,1308
sweep,941
sweep,972
sweep,1009
sweep,1082
sweep,1106
sweep,1185
sweep,940
sweep,989
sweep,961
sweep,979
sweep,1041
sweep,946
sweep,963
sweep,1243
sweep,1387
mark,17126
sweep,1277
sweep,896
sweep,967
sweep,973
sweep,1042
sweep,1076
sweep,1188
sweep,983
sweep,1069
sweep,919
sweep,955
sweep,997
sweep,986
sweep,944
sweep,1338
sweep,1610
mark,16260
sweep,1283
sweep,873
sweep,1025
sweep,954
sweep,1063
sweep,1097
sweep,1120
sweep,955
sweep,1002
sweep,940
sweep,947
sweep,995
sweep,976
sweep,922
sweep,1356
sweep,1361
mark,15392
sweep,1216
sweep,920
sweep,1004
sweep,1010
sweep,1013
sweep,1101
sweep,1094
sweep,914
sweep,1155
sweep,914
sweep,924
sweep,1048
sweep,990
sweep,963
sweep,1121
sweep,1415
mark,17500
sweep,1319
sweep,921
sweep,1002
sweep,999
sweep,943
sweep,1109
sweep,1133
sweep,948
sweep,1039
sweep,935
sweep,910
sweep,966
sweep,951
sweep,964
sweep,1031
sweep,1302
mark,16978
sweep,1295
sweep,935
sweep,960
sweep,1010
sweep,1063
sweep,1054
sweep,1208
sweep,1018
sweep,1319
sweep,971
sweep,1002
sweep,1058
sweep,1023
sweep,999
sweep,1201
sweep,1540
mark,20665
sweep,9814
sweep,962
sweep,1194
sweep,1168
sweep,1030
