event_type,time_ns
mark,32534
sweep,2436
sweep,854
sweep,983
sweep,978
sweep,958
sweep,967
sweep,932
sweep,875
sweep,879
sweep,953
sweep,882
sweep,886
sweep,880
sweep,869
sweep,889
sweep,1235
mark,17845
sweep,1318
sweep,815
sweep,905
sweep,989
sweep,917
sweep,860
sweep,954
sweep,883
sweep,912
sweep,881
sweep,893
sweep,889
sweep,976
sweep,942
sweep,927
sweep,1249
mark,16227
sweep,1197
sweep,803
sweep,930
sweep,1031
sweep,902
sweep,78474
sweep,1000
sweep,923
sweep,959
sweep,967
sweep,928
sweep,899
sweep,905
sweep,902
sweep,910
sweep,1265
mark,16688
sweep,1211
sweep,827
sweep,945
sweep,999
sweep,898
sweep,885
sweep,1006
sweep,890
sweep,931
sweep,918
sweep,904
sweep,886
sweep,908
sweep,864
sweep,885
sweep,1208
mark,17278
sweep,1289
sweep,799
sweep,945
sweep,928
sweep,1008
sweep,951
sweep,988
sweep,937
sweep,1090
sweep,1055
sweep,910
sweep,906
sweep,898
sweep,891
sweep,920
sweep,1297
mark,16868
sweep,1205
sweep,810
sweep,913
sweep,958
sweep,917
sweep,897
sweep,942
sweep,929
sweep,915
sweep,957
sweep,920
sweep,904
sweep,936
sweep,919
sweep,925
sweep,1207
mark,18091
sweep,1206
sweep,825
sweep,918
sweep,967
sweep,877
sweep,891
sweep,969
sweep,918
sweep,951
sweep,1062
sweep,898
sweep,903
sweep,901
sweep,896
sweep,933
sweep,1269
mark,15799
sweep,1142
sweep,783
sweep,889
sweep,961
sweep,883
sweep,878
sweep,926
sweep,868
sweep,871
sweep,917
sweep,889
sweep,875
sweep,933
sweep,856
sweep,864
sweep,1177
mark,15232
sweep,1139
sweep,846
sweep,916
sweep,1001
sweep,913
sweep,876
sweep,953
sweep,923
sweep,951
sweep,878
sweep,920
sweep,901
sweep,897
sweep,896
sweep,926
sweep,1281
mark,17840
sweep,1212
sweep,842
sweep,1237
sweep,1128
sweep,1132
sweep,1056
sweep,1352
sweep,1216
sweep,1583
sweep,1571
sweep,1605
sweep,1243
sweep,1197
sweep,1800
sweep,1252
sweep,2428
mark,27555
sweep,1706
sweep,1233
sweep,1719
sweep,1518
sweep,1603
sweep,1516
sweep,1874
sweep,1466
sweep,2016
sweep,2017
sweep,1905
sweep,1585
sweep,1373
sweep,1670
sweep,1377
sweep,2293
mark,28314
sweep,1980
sweep,1384
sweep,1502
sweep,1655
sweep,1549
sweep,1344
sweep,1484
sweep,1215
sweep,1549
sweep,1372
sweep,1434
sweep,1283
sweep,1201
sweep,1220
sweep,1174
sweep,2210
mark,26691
sweep,1738
sweep,1324
sweep,1384
sweep,1240
sweep,1258
sweep,1127
sweep,1228
sweep,1079
sweep,1085
sweep,1126
sweep,953
sweep,895
sweep,944
sweep,926
sweep,966
sweep,1391
mark,16539
sweep,1192
sweep,787
sweep,921
sweep,977
sweep,919
sweep,876
sweep,956
sweep,889
sweep,907
sweep,881
sweep,905
sweep,884
sweep,883
sweep,932
sweep,902
sweep,1252
mark,14879
sweep,1153
sweep,800
sweep,928
sweep,1031
sweep,923
sweep,976
sweep,1064
sweep,912
sweep,945
sweep,1002
sweep,942
sweep,890
sweep,891
sweep,882
sweep,913
sweep,1440
mark,18214
sweep,1243
sweep,847
sweep,936
sweep,955
sweep,878
sweep,945
sweep,933
sweep,897
sweep,955
sweep,983
sweep,898
sweep,871
sweep,916
sweep,870
sweep,880
sweep,1218
mark,16290
sweep,1192
sweep,893
sweep,889
sweep,995
sweep,901
sweep,905
sweep,1005
sweep,889
sweep,1040
sweep,956
sweep,917
sweep,922
sweep,904
sweep,929
sweep,919
sweep,1277
mark,17714
sweep,1195
sweep,824
sweep,1029
sweep,1017
sweep,991
sweep,1055
sweep,1094
sweep,954
sweep,947
sweep,900
sweep,961
sweep,909
sweep,915
sweep,934
sweep,899
sweep,1136
mark,15451
sweep,1122
sweep,817
sweep,922
sweep,941
sweep,901
sweep,897
sweep,962
sweep,931
sweep,933
sweep,884
sweep,911
sweep,860
sweep,944
sweep,887
sweep,893
sweep,1245
mark,14337
sweep,1187
sweep,857
sweep,925
sweep,1001
sweep,953
sweep,922
sweep,1079
sweep,947
sweep,957
sweep,1040
sweep,928
sweep,908
sweep,896
sweep,886
sweep,896
sweep,1387
mark,17174
sweep,1296
sweep,800
sweep,892
sweep,951
sweep,916
sweep,907
sweep,992
sweep,858
sweep,869
sweep,929
sweep,878
sweep,882
sweep,899
sweep,877
sweep,874
sweep,1262
mark,15496
sweep,1133
sweep,821
sweep,912
sweep,966
sweep,857
sweep,890
sweep,953
sweep,869
sweep,881
sweep,943
sweep,934
sweep,873
sweep,892
sweep,877
sweep,907
sweep,1122
mark,14187
sweep,1158
sweep,827
sweep,948
sweep,1024
sweep,922
sweep,914
sweep,990
sweep,913
sweep,920
sweep,889
sweep,957
sweep,906
sweep,918
sweep,899
sweep,921
sweep,1252
mark,14310
sweep,1143
sweep,788
sweep,883
sweep,980
sweep,891
sweep,906
sweep,968
sweep,877
sweep,946
sweep,954
sweep,885
sweep,909
sweep,900
sweep,900
sweep,927
sweep,1293
mark,14647
sweep,1174
sweep,842
sweep,915
sweep,977
sweep,902
sweep,923
sweep,1009
sweep,887
sweep,972
sweep,916
sweep,944
sweep,881
sweep,900
sweep,887
sweep,907
sweep,1257
mark,15535
sweep,1152
sweep,827
sweep,934
sweep,1019
sweep,897
sweep,954
sweep,961
sweep,916
sweep,884
sweep,891
sweep,899
sweep,891
sweep,900
sweep,871
sweep,902
sweep,1185
mark,14669
sweep,1120
sweep,817
sweep,884
sweep,1012
sweep,894
sweep,864
sweep,987
sweep,879
sweep,915
sweep,927
sweep,909
sweep,899
sweep,884
sweep,917
sweep,919
sweep,1173
mark,13887
sweep,1171
sweep,781
sweep,902
sweep,928
sweep,920
sweep,874
sweep,971
sweep,883
sweep,882
sweep,908
sweep,916
sweep,977
sweep,889
sweep,906
sweep,925
sweep,1140
mark,13993
sweep,1122
sweep,827
sweep,923
sweep,984
sweep,908
sweep,918
sweep,974
sweep,914
sweep,855
sweep,914
sweep,900
sweep,898
sweep,899
sweep,955
sweep,891
sweep,1105
mark,13878
sweep,1142
sweep,861
sweep,900
sweep,1004
sweep,923
sweep,878
sweep,1036
sweep,921
sweep,901
sweep,913
sweep,907
sweep,871
sweep,885
sweep,914
sweep,947
sweep,1190
mark,15460
sweep,1215
sweep,778
sweep,892
sweep,953
sweep,917
sweep,851
sweep,983
sweep,889
sweep,912
sweep,889
sweep,930
sweep,898
sweep,941
sweep,880
sweep,854
sweep,1142
mark,15319
sweep,1095
sweep,799
sweep,952
sweep,952
sweep,923
sweep,877
sweep,954
sweep,910
sweep,866
sweep,918
sweep,961
sweep,888
sweep,889
sweep,873
sweep,933
sweep,1351
mark,14291
sweep,1131
sweep,818
sweep,925
sweep,1012
sweep,901
sweep,883
sweep,942
sweep,937
sweep,918
sweep,900
sweep,913
sweep,896
sweep,904
sweep,904
sweep,919
sweep,1155
mark,15071
sweep,1145
sweep,814
sweep,926
sweep,971
sweep,928
sweep,880
sweep,990
sweep,900
sweep,929
sweep,893
sweep,894
sweep,856
sweep,867
sweep,858
sweep,915
sweep,1040
mark,13996
sweep,1101
sweep,1072
sweep,900
sweep,972
sweep,896
sweep,880
sweep,929
sweep,891
sweep,871
sweep,872
sweep,896
sweep,894
sweep,917
sweep,875
sweep,887
sweep,1159
mark,14783
sweep,1144
sweep,832
sweep,952
sweep,1016
sweep,919
sweep,920
sweep,937
sweep,933
sweep,955
sweep,890
sweep,924
sweep,870
sweep,876
sweep,906
sweep,891
sweep,1128
mark,14422
sweep,1179
sweep,780
sweep,899
sweep,993
sweep,895
sweep,877
sweep,973
sweep,881
sweep,918
sweep,933
sweep,917
sweep,898
sweep,890
sweep,888
sweep,878
sweep,1151
mark,14265
sweep,1172
sweep,782
sweep,886
sweep,942
sweep,893
sweep,859
sweep,1041
sweep,844
sweep,857
sweep,883
sweep,889
sweep,863
sweep,890
sweep,883
sweep,910
sweep,1135
mark,14199
sweep,1119
sweep,823
sweep,921
sweep,979
sweep,900
sweep,863
sweep,949
sweep,836
sweep,863
sweep,894
sweep,921
sweep,883
sweep,902
sweep,865
sweep,917
sweep,1160
mark,13602
sweep,1150
sweep,1175
sweep,922
sweep,996
sweep,902
sweep,902
sweep,953
sweep,882
sweep,881
sweep,875
sweep,882
sweep,881
sweep,892
sweep,888
sweep,912
sweep,1117
mark,13966
sweep,1154
sweep,852
sweep,878
sweep,1003
sweep,924
sweep,902
sweep,989
sweep,892
sweep,905
sweep,930
sweep,925
sweep,919
sweep,901
sweep,906
sweep,900
sweep,1217
mark,14573
sweep,1181
sweep,825
sweep,881
sweep,987
sweep,899
sweep,903
sweep,1002
sweep,899
sweep,906
sweep,896
sweep,918
sweep,919
sweep,901
sweep,876
sweep,910
sweep,1187
mark,13966
sweep,1157
sweep,820
sweep,926
sweep,1019
sweep,929
sweep,899
sweep,962
sweep,917
sweep,922
sweep,903
sweep,911
sweep,889
sweep,903
sweep,896
sweep,920
sweep,1175
mark,14297
sweep,1131
sweep,855
sweep,891
sweep,995
sweep,922
sweep,868
sweep,1000
sweep,897
sweep,945
sweep,952
sweep,902
sweep,878
sweep,869
sweep,875
sweep,1049
sweep,1025
mark,16225
sweep,1208
sweep,834
sweep,903
sweep,955
sweep,884
sweep,891
sweep,940
sweep,882
sweep,893
sweep,914
sweep,905
sweep,895
sweep,890
sweep,885
sweep,902
sweep,1144
mark,14736
sweep,1114
sweep,817
sweep,925
sweep,990
sweep,899
sweep,912
sweep,961
sweep,928
sweep,924
sweep,912
sweep,919
sweep,858
sweep,902
sweep,910
sweep,931
sweep,1149
mark,14973
sweep,1187
sweep,817
sweep,901
sweep,985
sweep,911
sweep,867
sweep,1009
sweep,865
sweep,909
sweep,977
sweep,913
sweep,894
sweep,905
sweep,891
sweep,912
sweep,1159
mark,13812
sweep,1289
sweep,788
sweep,918
sweep,954
sweep,915
sweep,870
sweep,1006
sweep,910
sweep,915
sweep,914
sweep,902
sweep,907
sweep,922
sweep,868
sweep,911
sweep,1166
mark,14694
sweep,1138
sweep,834
sweep,919
sweep,991
sweep,924
sweep,907
sweep,912
sweep,880
sweep,879
sweep,899
sweep,909
sweep,904
sweep,922
sweep,873
sweep,930
sweep,1216
mark,18698
sweep,1202
sweep,830
sweep,920
sweep,1013
sweep,913
sweep,885
sweep,986
sweep,911
sweep,914
sweep,890
sweep,921
sweep,892
sweep,899
sweep,923
sweep,891
sweep,1137
mark,13571
sweep,1156
sweep,779
sweep,893
sweep,1009
sweep,911
sweep,856
sweep,983
sweep,912
sweep,905
sweep,887
sweep,903
sweep,900
sweep,894
sweep,898
sweep,901
sweep,1223
mark,15174
sweep,1163
sweep,804
sweep,889
sweep,982
sweep,903
sweep,880
sweep,968
sweep,946
sweep,933
sweep,873
sweep,927
sweep,902
sweep,886
sweep,872
sweep,901
sweep,1157
mark,14211
sweep,1191
sweep,822
sweep,894
sweep,994
sweep,889
sweep,874
sweep,1128
sweep,898
sweep,908
sweep,887
sweep,889
sweep,881
sweep,904
sweep,961
sweep,906
sweep,1155
mark,14025
sweep,1159
sweep,823
sweep,930
sweep,1151
sweep,928
sweep,900
sweep,973
sweep,934
sweep,935
sweep,926
sweep,920
sweep,895
sweep,908
sweep,903
sweep,898
sweep,1102
mark,13591
sweep,1180
sweep,785
sweep,906
sweep,1033
sweep,880
sweep,881
sweep,945
sweep,885
sweep,881
sweep,899
sweep,912
sweep,909
sweep,893
sweep,863
sweep,895
sweep,1133
mark,13409
sweep,1164
sweep,821
sweep,910
sweep,1072
sweep,941
sweep,929
sweep,960
sweep,900
sweep,908
sweep,876
sweep,869
sweep,894
sweep,920
sweep,900
sweep,916
sweep,1160
mark,15023
sweep,1152
sweep,807
sweep,908
sweep,1005
sweep,887
sweep,881
sweep,986
sweep,926
sweep,949
sweep,922
sweep,904
sweep,909
sweep,889
sweep,894
sweep,881
sweep,1204
mark,14383
sweep,1135
sweep,800
sweep,892
sweep,998
sweep,930
sweep,872
sweep,996
sweep,889
sweep,881
sweep,879
sweep,892
sweep,879
sweep,900
sweep,895
sweep,922
sweep,1120
mark,14073
sweep,1132
sweep,836
sweep,931
sweep,1010
sweep,920
sweep,860
sweep,915
sweep,897
sweep,890
sweep,920
sweep,902
sweep,889
sweep,924
sweep,925
sweep,937
sweep,1175
mark,19107
sweep,1203
sweep,841
sweep,924
sweep,1155
sweep,934
sweep,881
sweep,987
sweep,929
sweep,942
sweep,916
sweep,914
sweep,912
sweep,913
sweep,887
sweep,904
sweep,1066
mark,14011
sweep,1139
sweep,778
sweep,902
sweep,983
sweep,904
sweep,872
sweep,973
sweep,904
sweep,901
sweep,877
sweep,879
sweep,892
sweep,891
sweep,932
sweep,902
sweep,82122
mark,14575
sweep,1213
sweep,792
sweep,891
sweep,1006
sweep,951
sweep,900
sweep,938
sweep,911
sweep,956
sweep,876
sweep,914
sweep,893
sweep,903
sweep,872
sweep,920
sweep,1158
mark,14030
sweep,1160
sweep,832
sweep,898
sweep,964
sweep,912
sweep,893
sweep,1033
sweep,874
sweep,909
sweep,890
sweep,902
sweep,892
sweep,910
sweep,932
sweep,908
sweep,1058
mark,13441
sweep,1166
sweep,819
sweep,910
sweep,1006
sweep,893
sweep,883
sweep,1197
sweep,910
sweep,896
sweep,906
sweep,887
sweep,881
sweep,895
sweep,904
sweep,922
sweep,1121
mark,13575
sweep,1150
sweep,840
sweep,884
sweep,1008
sweep,919
sweep,903
sweep,955
sweep,910
sweep,899
sweep,883
sweep,959
sweep,881
sweep,897
sweep,884
sweep,879
sweep,1192
mark,15136
sweep,1165
sweep,815
sweep,938
sweep,1015
sweep,908
sweep,890
sweep,983
sweep,923
sweep,955
sweep,892
sweep,891
sweep,927
sweep,895
sweep,880
sweep,893
sweep,1235
mark,14556
sweep,1108
sweep,795
sweep,890
sweep,1041
sweep,926
sweep,909
sweep,1029
sweep,941
sweep,922
sweep,922
sweep,936
sweep,892
sweep,913
sweep,902
sweep,902
sweep,1205
mark,14808
sweep,1142
sweep,807
sweep,871
sweep,948
sweep,902
sweep,893
sweep,956
sweep,875
sweep,880
sweep,874
sweep,912
sweep,863
sweep,947
sweep,875
sweep,884
sweep,1199
mark,13277
sweep,1132
sweep,809
sweep,906
sweep,1000
sweep,907
sweep,867
sweep,972
sweep,877
sweep,880
sweep,896
sweep,904
sweep,908
sweep,899
sweep,873
sweep,915
sweep,1082
mark,13380
sweep,1162
sweep,848
sweep,920
sweep,1016
sweep,931
sweep,901
sweep,984
sweep,911
sweep,920
sweep,892
sweep,914
sweep,872
sweep,942
sweep,900
sweep,930
sweep,1092
mark,13264
sweep,1157
sweep,783
sweep,886
sweep,1009
sweep,921
sweep,877
sweep,1066
sweep,910
sweep,936
sweep,913
sweep,909
sweep,900
sweep,924
sweep,886
sweep,916
sweep,1273
mark,15246
sweep,1118
sweep,799
sweep,888
sweep,961
sweep,892
sweep,898
sweep,1028
sweep,907
sweep,925
sweep,871
sweep,911
sweep,902
sweep,903
sweep,891
sweep,934
sweep,1130
mark,15024
sweep,1175
sweep,844
sweep,930
sweep,1013
sweep,925
sweep,921
sweep,1070
sweep,926
sweep,916
sweep,935
sweep,915
sweep,899
sweep,972
sweep,900
sweep,927
sweep,1156
mark,14574
sweep,1187
sweep,841
sweep,919
sweep,1011
sweep,931
sweep,881
sweep,960
sweep,891
sweep,924
sweep,898
sweep,891
sweep,890
sweep,888
sweep,904
sweep,909
sweep,1051
mark,14020
sweep,1133
sweep,786
sweep,888
sweep,1246
sweep,894
sweep,869
sweep,999
sweep,868
sweep,863
sweep,879
sweep,876
sweep,892
sweep,883
sweep,876
sweep,880
sweep,1356
mark,13706
sweep,1155
sweep,820
sweep,923
sweep,957
sweep,907
sweep,943
sweep,989
sweep,928
sweep,887
sweep,874
sweep,919
sweep,908
sweep,933
sweep,913
sweep,916
sweep,1081
mark,13740
sweep,1150
sweep,798
sweep,897
sweep,995
sweep,917
sweep,887
sweep,972
sweep,942
sweep,953
sweep,906
sweep,919
sweep,890
sweep,896
sweep,910
sweep,946
sweep,1121
mark,14986
sweep,1181
sweep,789
sweep,867
sweep,970
sweep,907
sweep,870
sweep,945
sweep,913
sweep,913
sweep,896
sweep,877
sweep,899
sweep,896
sweep,879
sweep,905
sweep,1252
mark,13907
sweep,1105
sweep,819
sweep,944
sweep,989
sweep,883
sweep,913
sweep,959
sweep,916
sweep,903
sweep,909
sweep,905
sweep,891
sweep,880
sweep,874
sweep,924
sweep,1147
mark,14396
sweep,1135
sweep,824
sweep,923
sweep,999
sweep,925
sweep,892
sweep,979
sweep,900
sweep,936
sweep,931
sweep,926
sweep,918
sweep,900
sweep,921
sweep,930
sweep,1104
mark,13853
sweep,1124
sweep,775
sweep,866
sweep,983
sweep,912
sweep,874
sweep,976
sweep,893
sweep,929
sweep,896
sweep,875
sweep,886
sweep,859
sweep,875
sweep,874
sweep,1211
mark,15508
sweep,1203
sweep,786
sweep,886
sweep,958
sweep,889
sweep,882
sweep,961
sweep,914
sweep,969
sweep,922
sweep,914
sweep,903
sweep,873
sweep,868
sweep,915
sweep,1139
mark,15224
sweep,1211
sweep,850
sweep,953
sweep,983
sweep,923
sweep,970
sweep,993
sweep,898
sweep,952
sweep,892
sweep,948
sweep,898
sweep,915
sweep,844
sweep,916
sweep,1108
mark,15084
sweep,1131
sweep,799
sweep,856
sweep,997
sweep,878
sweep,889
sweep,962
sweep,902
sweep,922
sweep,906
sweep,871
sweep,865
sweep,887
sweep,884
sweep,916
sweep,1083
mark,15202
sweep,1163
sweep,788
sweep,921
sweep,932
sweep,896
sweep,909
sweep,976
sweep,879
sweep,865
sweep,920
sweep,893
sweep,881
sweep,884
sweep,880
sweep,882
sweep,1169
mark,15559
sweep,1128
sweep,828
sweep,946
sweep,972
sweep,908
sweep,885
sweep,966
sweep,886
sweep,893
sweep,973
sweep,868
sweep,904
sweep,885
sweep,885
sweep,917
sweep,1122
mark,15087
sweep,1245
sweep,799
sweep,882
sweep,956
sweep,894
sweep,914
sweep,977
sweep,907
sweep,928
sweep,899
sweep,932
sweep,891
sweep,881
sweep,911
sweep,877
sweep,1165
mark,15266
sweep,1170
sweep,788
sweep,878
sweep,952
sweep,908
sweep,877
sweep,1023
sweep,912
sweep,901
sweep,914
sweep,926
sweep,893
sweep,891
sweep,895
sweep,898
sweep,1204
mark,15280
sweep,1133
sweep,815
sweep,914
sweep,982
sweep,907
sweep,928
sweep,967
sweep,899
sweep,904
sweep,905
sweep,903
sweep,883
sweep,922
sweep,869
sweep,939
sweep,1494
mark,20418
sweep,1645
sweep,995
sweep,1533
sweep,1231
sweep,1384
sweep,1373
sweep,1551
sweep,1598
sweep,1333
sweep,1248
sweep,1421
sweep,1312
sweep,1458
sweep,1705
sweep,1214
sweep,1875
mark,23660
sweep,1700
sweep,1085
sweep,1241
sweep,1118
sweep,1129
sweep,1162
sweep,1302
sweep,1102
sweep,1123
sweep,1175
sweep,1161
sweep,1162
sweep,982
sweep,1063
sweep,943
sweep,1430
mark,18142
sweep,1196
sweep,855
sweep,971
sweep,1034
sweep,961
sweep,998
sweep,1062
sweep,953
sweep,984
sweep,1003
sweep,932
sweep,921
sweep,973
sweep,922
sweep,932
sweep,1352
mark,16073
sweep,1280
sweep,895
sweep,1013
sweep,1045
sweep,983
sweep,963
sweep,1095
sweep,973
sweep,983
sweep,973
sweep,996
sweep,951
sweep,957
sweep,942
sweep,943
sweep,1157
mark,15489
sweep,1221
sweep,862
sweep,963
sweep,1081
sweep,932
sweep,940
sweep,973
sweep,931
sweep,938
sweep,937
sweep,936
sweep,931
sweep,967
sweep,967
sweep,981
sweep,1241
mark,14433
sweep,1208
sweep,878
sweep,970
sweep,968
sweep,987
sweep,940
sweep,1035
sweep,977
sweep,983
sweep,1037
sweep,952
sweep,957
sweep,949
sweep,930
sweep,950
sweep,1223
mark,15526
sweep,1205
sweep,896
sweep,994
sweep,1016
sweep,982
sweep,969
sweep,1055
sweep,982
sweep,898
sweep,957
sweep,972
sweep,989
sweep,966
sweep,960
sweep,987
sweep,1171
mark,14172
sweep,1195
sweep,929
sweep,995
sweep,1025
sweep,998
sweep,959
sweep,1007
sweep,954
sweep,960
sweep,986
sweep,966
sweep,948
sweep,965
sweep,958
sweep,964
sweep,1276
mark,15418
sweep,1225
sweep,833
sweep,960
sweep,1050
sweep,920
sweep,901
sweep,1105
sweep,940
sweep,928
sweep,970
sweep,987
sweep,948
sweep,944
sweep,953
sweep,941
sweep,1207
mark,14628
sweep,1170
sweep,853
sweep,947
sweep,997
sweep,950
sweep,941
sweep,1059
sweep,952
sweep,938
sweep,959
sweep,963
sweep,959
sweep,944
sweep,907
sweep,960
sweep,1164
mark,14141
sweep,1216
sweep,863
sweep,976
sweep,1042
sweep,945
sweep,945
sweep,1025
sweep,962
sweep,974
sweep,1020
sweep,957
sweep,957
sweep,978
sweep,970
sweep,961
sweep,1237
mark,14622
sweep,1213
sweep,876
sweep,973
sweep,1044
sweep,987
sweep,952
sweep,1074
sweep,952
sweep,996
sweep,969
sweep,944
sweep,939
sweep,949
sweep,930
sweep,1165
sweep,1098
mark,14595
sweep,1176
sweep,833
sweep,938
sweep,1005
sweep,955
sweep,941
sweep,994
sweep,936
sweep,952
sweep,959
sweep,987
sweep,951
sweep,956
sweep,887
sweep,984
sweep,1347
mark,15393
sweep,1225
sweep,883
sweep,947
sweep,1080
sweep,964
sweep,977
sweep,1034
sweep,943
sweep,943
sweep,929
sweep,972
sweep,939
sweep,921
sweep,938
sweep,934
sweep,1124
mark,14501
sweep,1193
sweep,880
sweep,939
sweep,1066
sweep,949
sweep,938
sweep,984
sweep,957
sweep,960
sweep,961
sweep,937
sweep,939
sweep,962
sweep,952
sweep,950
sweep,1226
mark,14723
sweep,1193
sweep,833
sweep,922
sweep,991
sweep,941
sweep,945
sweep,1006
sweep,970
sweep,926
sweep,937
sweep,935
sweep,956
sweep,943
sweep,905
sweep,940
sweep,1223
mark,14212
sweep,1170
sweep,880
sweep,961
sweep,1017
sweep,949
sweep,934
sweep,1008
sweep,872
sweep,948
sweep,988
sweep,977
sweep,941
sweep,959
sweep,946
sweep,1018
sweep,1245
mark,14903
sweep,1244
sweep,857
sweep,950
sweep,1068
sweep,969
sweep,967
sweep,1035
sweep,972
sweep,976
sweep,958
sweep,923
sweep,920
sweep,958
sweep,975
sweep,926
sweep,1236
mark,15347
sweep,1273
sweep,840
sweep,941
sweep,1063
sweep,950
sweep,928
sweep,1065
sweep,941
sweep,949
sweep,940
sweep,923
sweep,945
sweep,932
sweep,947
sweep,946
sweep,1200
mark,14873
sweep,1206
sweep,876
sweep,886
sweep,1021
sweep,948
sweep,944
sweep,994
sweep,984
sweep,912
sweep,919
sweep,993
sweep,929
sweep,927
sweep,930
sweep,961
sweep,1208
mark,14525
sweep,1230
sweep,877
sweep,983
sweep,1050
sweep,953
