mark_time_ns,sweep_time_ns
59105,25744
45809,14496
26058,14978
30502,14877
36068,15150
26035,14869
22355,14774
24528,15293
37940,14290
53570,14461
60390,15058
35553,15024
34443,15178
16803,14870
48846,13921
58489,15163
63346,15201
46287,15022
45341,15236
34717,15184
56715,14640
27848,14880
21051,14930
46346,14171
60783,15750
23358,14724
47401,13923
60427,15265
23877,14753
47892,13891
60677,15131
41727,14959
32774,15212
58671,14207
49094,14918
24121,14972
18663,14841
22818,14614
34506,14644
54799,15008
59702,15162
54887,15460
64317,15496
43149,15099
36805,15143
50383,14359
20530,14804
25647,14880
48801,14674
34463,15216
47857,14754
33607,14534
21733,14780
48620,13976
60135,15623
72506,16717
49380,15787
20708,15278
25825,15212
48679,14975
36035,15734
43718,15269
34158,14951
21560,15330
48611,13986
59882,15273
63215,15207
46766,15240
20227,14866
24672,14683
47079,15005
34837,15024
42363,15109
33744,14704
21780,14858
47413,13991
62450,15730
63477,15091
45523,15257
20840,15394
25452,14876
47842,14563
34086,15325
44639,14862
34098,14591
21533,14649
46705,13806
61940,15187
64119,15268
46300,15061
20917,14927
25616,15151
48009,14832
34489,15035
44130,14959
53152,20187
34450,19333
83466,22663
94011,22327
109464,26967
76990,17773
22327,14879
26686,14916
50083,14928
34367,15283
41985,15032
32983,14727
22942,14742
47410,13759
59002,15091
62436,15160
49117,15148
20697,14787
24772,14754
47879,14590
35256,15005
43142,15041
35170,14544
21487,14672
47490,13981
59152,15135
63391,15045
45193,23483
22339,15018
25547,14719
47127,14608
34255,14871
44020,14845
33371,14699
21593,14700
46483,13829
44968,15084
