mark_time_ns,sweep_time_ns
3875583,64681
6368675,92689
10971739,201177
3467909,162825
3431735,160856
3426717,157032
3394250,157493
3394631,157284
3492095,164793
3448115,168592
3449459,156571
3478250,154444
3449199,153435
3440886,151559
3515663,150560
3605313,150829
3844984,372684
4232946,384254
10384427,510029
3317809,396451
3278389,391819
3349015,391834
3350151,394316
3463791,392745
3734730,399380
4758260,416473
8106909,467345
3244481,368980
3324182,400233
3344988,393886
3367389,394499
3385402,392551
3380454,390811
3820114,398276
4752157,411625
3498051,405357
3306814,402385
3359813,404370
3320472,391963
3365003,389002
3457624,389119
3755486,398779
4753311,415170
8346369,601844
3283346,545521
3344454,458947
3294135,435554
3303214,427110
3429119,411803
3392039,402078
3894524,404643
4685905,413894
3538560,408276
3291799,414883
3278035,397015
3350993,391845
3325208,395155
3467576,390630
3731615,395805
4789141,412923
8090863,465217
3283888,367277
3314908,399402
3312727,391925
3298431,389409
3433445,390556
3332622,391281
3822490,394805
4721497,408750
3543107,407262
3318292,404945
3338408,404582
3310453,395591
3371102,387720
3438862,398024
3783190,411615
4796629,425525
8106330,471650
3266075,376726
3306116,395236
3283179,387594
3384437,386158
3400011,391766
3391074,381384
3867073,385904
4622896,400931
3561041,395175
3294587,398081
3299002,396132
3319728,384184
3337483,385061
3447475,390438
3712694,392685
4757476,408818
8052019,459186
3293045,363566
3313920,393571
3281875,392579
3349667,389138
3414141,381604
3428538,388473
3867649,398665
4701624,406472
3552020,406907
3298105,405325
3255760,396534
3285401,387267
3418571,413263
3487586,507017
3795708,476450
4764005,473202
8065812,508984
3309819,396242
3313600,420503
3317079,404537
3317861,397598
3383217,392481
3369870,388040
3819480,389776
4647467,430987
3554248,416116
3294203,414177
3296194,402058
3292201,398233
3328189,399840
3488940,393855
3722738,396677
4749836,411713
8116009,464499
3253412,369647
3250581,401527
3335148,396817
3386843,391086
3435929,388722
3347502,388316
3813120,398880
4729395,413747
3472600,403449
3297748,404858
3284327,509981
3328868,401327
3405515,408385
3468417,397910
3771454,400307
4756634,415094
8088293,469926
3277486,373207
3347461,396321
3265456,388325
3331239,379231
3399405,379195
3397287,380639
3828876,384045
4710321,399244
3526140,400025
3325391,404918
3303480,388758
3293159,389368
3317666,386367
3469930,388604
3730644,391171
4779491,407463
8123887,456619
3289361,369413
3322156,394881
3335327,386990
3411553,387228
3370759,392502
3385200,384841
3870585,393880
4690611,408778
3507810,412053
3409992,546458
3477340,480608
3344780,452695
3351431,440799
3451504,433886
3747773,423620
4787813,436295
8065673,480662
3285737,377871
3298416,401288
3327240,396556
3361793,386679
3373191,388103
3338220,385608
3880627,391059
4611988,404536
3548091,398635
3240821,401994
3286110,390206
3331688,384296
3329457,393939
3460937,384044
3760699,393206
4754091,412358
8078763,461356
3292892,367166
3312375,399099
3353750,391779
3297769,385429
3441434,390379
3389892,390592
3916647,400527
4664048,428723
3611210,414584
3317261,405081
3299611,402918
3282707,396423
3334109,433064
3514020,397640
3747316,396608
4752656,414126
8056207,464080
3292502,362774
3318573,395630
3281449,397729
3356267,395380
3419066,393341
3397334,388305
3814399,402300
4684970,408933
3553795,398284
3274408,401356
3327878,396779
3318049,389952
3373411,395095
3472310,392508
3747080,390700
4807163,408664
8117370,460824
3295991,363968
3378701,393247
3326572,396395
3375395,387766
3446522,387996
3471821,464823
3824416,537640
4661406,475808
3538000,457853
3251233,436631
3309475,424278
3340100,409045
3363334,412318
3473149,400841
3733743,407976
4779978,417192
8108754,470750
3300502,372281
3277462,398463
3323927,468528
3383221,396998
3438635,394607
3418113,391196
3945464,397712
4709397,411171
3560240,403484
3319484,445847
3342625,398165
3342403,390229
3377570,387657
3476288,387320
3728377,395439
4784341,410446
8117789,467904
3291523,363212
3332260,392130
3361999,402217
3449710,409396
3375740,398764
3401071,394872
3802550,401614
4640363,407889
3599525,405629
3305590,403054
3268111,395630
3381470,391083
3377481,390473
3464053,387907
3696668,392391
4800543,413025
8161287,462612
3249158,360435
3275795,396239
3275489,395655
3360978,393216
3443770,391378
3331392,389466
3817262,398640
4697660,411245
3525314,403695
3275405,399574
3368757,395650
3366698,386458
3319578,387710
3480871,395300
3754470,392658
4745475,405893
8141708,457586
3294325,364775
3306706,477075
3296986,534456
3387066,476582
3437641,448080
3413040,431967
3889096,432555
4699379,431310
3566300,421418
3314489,415892
3324949,407213
3353639,395476
3392762,396448
3415718,395038
3664384,399849
4732162,414613
8098541,462463
3246987,367346
3307898,400083
3358895,398728
3318844,401831
3440711,396119
3363952,388841
3869414,400785
4623054,409128
3533799,404713
3244841,398363
3255063,392530
3338835,393672
