mark_time_ns,sweep_time_ns
27627,15027
14740,13915
13423,13812
13266,13885
13202,13636
13078,13729
12257,13272
12658,13596
26824,28028
31003,22957
14097,13729
13961,14043
12467,13972
20113,15158
13954,13654
17582,13610
12387,13495
13576,14081
12285,13477
13181,13290
12268,13593
12939,13432
13227,13454
12486,13650
12237,13529
11947,13511
12449,13567
12274,13442
11667,13161
12668,13599
11887,13354
12099,13500
12144,13740
12026,13362
11890,13384
11936,13575
12106,13470
14231,13519
12431,14226
11706,13886
11959,13849
11221,13132
11224,13585
11368,13581
11487,13740
11473,13837
11273,13583
11485,13751
10702,13526
10615,13485
11445,13226
10198,13260
11252,13537
10388,13476
10654,13530
11333,13438
11306,13644
27013,30012
26682,21584
13701,13485
12529,13356
12817,13432
16719,15164
12168,13469
13044,13710
11953,13568
13096,14019
11893,13470
11950,13522
11758,13378
12117,13524
12904,13636
11472,13474
11757,13426
12429,13705
13752,13575
12838,13695
11729,13573
12409,13609
11387,13471
11683,13482
11550,13495
11697,13563
12055,13731
11874,13690
11798,13618
13870,14488
11618,14032
11653,13775
11306,14032
10236,13484
10976,13602
10601,13561
11151,13539
10442,13478
11296,13461
11422,13457
11713,13689
11572,13529
10654,13441
13889,13452
12071,13681
12116,13419
11815,13595
11779,13531
11864,13413
27104,28860
26008,21155
13493,13549
13077,13882
12752,13813
18423,14873
13564,13402
12244,13727
12549,13446
13654,16746
12474,13591
12514,13377
12075,13497
11821,13520
12964,13661
12319,13364
11882,13793
11609,13921
12229,13593
11273,13631
12327,13560
11133,13537
11713,13579
11236,13460
11555,13644
12514,13558
10714,13613
11501,13423
11634,13703
14557,14264
12737,14057
11914,13918
12201,14034
11604,13846
11944,13590
11483,13387
11907,13528
11753,13632
11079,13442
12033,13460
11396,13557
11175,13407
11672,13654
11524,13699
11595,13472
11619,13471
11690,13190
12448,13403
11960,13398
26365,29521
26473,20826
13687,13788
12241,13634
12211,13692
17095,15867
13348,14632
12314,13720
11415,13602
13654,13991
12001,13580
11538,13535
11732,13642
11109,13367
11348,13513
11306,13447
10759,13514
11345,13445
11103,13632
11468,13146
12683,13944
12776,13721
11425,13488
12082,13426
12301,13754
11346,13300
12097,13536
11421,13558
11749,13088
13996,13887
12480,13713
11816,13450
11572,13773
11863,13701
11681,13544
11871,13469
12792,16479
12211,13059
12950,13439
11670,13470
11583,13533
12209,13667
11388,13550
11675,13342
11285,13497
12967,13779
11791,13640
11825,13628
11745,13654
26582,28463
25858,20766
13752,13787
10891,13580
12130,14029
17561,15667
12083,13539
11975,13556
12224,13742
13351,13792
12326,13672
12521,13562
11684,13560
11894,13545
13097,13877
12832,13488
12255,13582
11541,13485
11400,13461
11373,13472
