mark_time_ns,sweep_time_ns
269790,47531
146749,43548
136361,42971
122524,40527
150100,48069
163681,93823
163036,95033
151682,90919
144149,89710
141819,89364
140753,92846
151698,91781
146621,88538
142226,87374
143065,87173
140733,85666
143070,87481
142288,85551
144577,86170
140851,85570
142101,86965
138889,83579
152090,87072
140247,83080
138378,82480
142308,87218
138111,85315
142622,84582
132512,85525
131273,82626
155177,115928
157677,126798
133069,115702
129734,107588
130426,101955
129046,98960
129526,95499
130862,92602
130987,91788
130078,89954
126887,89677
129736,87856
128951,86497
129090,84372
131973,85981
137109,90259
126922,86082
128931,83984
127347,83832
128977,83782
165641,81469
129943,81554
125576,81524
128158,82798
125681,81373
130496,84963
126505,80775
129330,81477
129667,80176
129951,79705
126779,80460
129287,79534
125967,80668
129200,79464
126940,80399
129367,79933
137741,86341
131717,82086
126674,81405
129047,79777
127600,80107
151768,127167
153361,124129
136773,114305
128356,107660
130761,106195
128951,97756
131753,95655
128469,92435
128765,92640
129198,89595
131422,89493
127777,88675
130374,87911
127214,86931
132461,86336
140035,91035
131352,83838
127577,85009
130002,84531
127708,81951
130991,82104
126775,81164
129947,81357
128047,80343
129201,81851
126077,82161
131134,80154
126468,80742
129576,80867
127796,80253
129178,83702
127472,80324
128991,80858
125864,80493
130173,79646
127297,80376
133848,82656
128728,80874
130472,80766
126461,80387
131995,79770
147765,107280
155916,127488
133480,115300
133848,110040
130217,101256
130123,100865
129344,96173
130503,94718
126422,90294
150361,99928
126918,88539
128927,87494
128194,87218
128713,85988
127464,83739
127322,84866
139270,90392
133882,87970
129388,85334
129059,85052
129136,83474
129897,82745
127009,81222
129316,83062
128660,80823
131160,82523
127552,80596
130041,84247
128989,80667
129291,79168
127060,80545
129667,80974
127612,78706
130432,78880
129759,79630
128850,78853
130472,81818
130509,81889
125943,81228
129442,80213
130880,79107
149810,103264
154875,124219
136721,113127
128630,107605
129363,103105
128059,96479
131398,96309
128660,93107
132228,92360
129022,89702
129540,89752
127910,87596
128990,87681
126886,86020
128893,87008
127177,83371
136037,87772
130156,86574
129216,86462
128194,82685
129483,82527
126645,82351
128649,81505
126735,81789
129467,81269
127053,80841
130116,81789
128519,80092
129084,80851
128273,80066
130406,79767
138455,79709
129500,80199
126967,79684
130166,79352
128363,78095
137572,82954
131136,82943
128735,79784
130872,80141
130323,80069
156225,107605
157334,127943
132202,117666
131833,112046
128576,102970
130344,98993
128719,97000
134506,94953
126312,90893
128932,90512
128975,90588
128763,87726
127221,86926
127700,87362
128387,86189
128966,84072
132200,86096
140946,96806
129840,93350
132115,89227
127634,85921
131592,86424
127393,83587
130419,84874
126472,83790
130274,83792
128038,81852
127346,81321
127445,80551
129572,80322
125695,79570
131144,79931
133397,80637
130118,80404
126544,80789
130900,80077
133179,84181
132057,82603
126919,80425
128838,80201
125881,80264
147425,97823
155340,124152
136196,114656
129832,106495
130267,102332
127954,96970
130278,95876
126988,95447
132324,91643
128247,89802
131198,89165
129086,91395
131364,87259
126870,86028
129080,85539
126560,83044
140582,90966
127183,84790
128460,84081
130795,82052
130181,83369
126588,81842
129479,81758
127660,80367
129291,80691
128052,80285
129820,80363
127160,80257
128624,79690
127773,79353
129023,79341
127305,78488
129793,80677
127538,79415
133025,80566
126815,78768
133717,82104
129583,81535
128049,80160
127108,80092
129402,80471
148106,99316
160204,126688
134109,114570
135783,109282
127591,106268
130760,98752
128850,95011
129838,96744
127250,93325
129819,90166
127983,87529
128904,88736
126759,85784
129455,86063
127996,85539
129710,84062
136470,87475
130045,85577
127018,83268
129008,83193
128272,82473
129660,83238
127403,81882
131031,81100
127021,81486
130399,80402
109826,77907
