mark_time_ns,sweep_time_ns
206818,28159
64372,20402
68556,19855
63654,19361
60301,20392
79240,20709
56293,21768
61318,21310
54973,22443
54512,22090
53385,21942
52978,22005
53392,21847
52357,22521
52272,21693
52319,22322
71358,22187
58675,22472
51609,22310
50786,22031
49612,23049
52357,22333
44953,22074
26641,17815
40342,17264
39935,18208
48069,18942
51804,18312
53212,19348
50488,19974
51374,19677
53278,21370
54154,21433
53768,21065
51504,22230
51366,21573
51366,22568
51822,22094
51660,22003
51891,21861
51686,23092
52003,22139
50679,24012
51439,22415
52145,22446
49794,22882
50741,23161
49848,22699
49272,23392
26244,18267
39819,17856
41233,18978
42637,19150
41562,19901
42461,20532
41720,20838
43977,21151
41711,21630
44293,22110
41771,22443
43061,22577
42871,23165
42476,22489
41098,23358
41090,23131
41446,23273
41444,23628
42309,23734
40658,23491
16553,16906
56297,24136
61725,23455
68702,22476
54709,21103
52617,21299
49593,21206
48556,21600
45371,21865
46165,21917
44459,22192
43583,22472
43317,24045
48265,23918
47005,23412
43618,23455
50937,22910
57281,18638
59436,19555
53403,20516
57419,20617
55693,20886
54375,21300
52129,21683
52810,22183
53168,21844
52756,22066
52694,21981
51021,21768
51032,21871
51305,22831
54145,22044
50809,22572
49646,22391
48861,22993
55602,22469
48391,22064
50943,22493
26008,18455
41133,17834
40825,18476
42674,18974
40387,19290
48608,20314
52348,18496
52540,18279
52422,19771
51837,19632
51417,21143
51270,21612
51588,21176
52661,22643
51936,22179
50485,21653
50817,22050
50932,22186
49643,22395
50958,22240
48838,22257
48258,22353
49350,21803
50848,22829
44918,21990
26550,18558
41014,17630
40097,18565
41028,18452
41331,19163
40880,19513
42749,19858
39687,20139
16372,15585
38436,17184
40534,18160
41945,18603
41805,19640
42193,19553
40628,20033
42507,21296
43043,21415
42942,21652
41415,21102
49252,21347
52242,18423
52588,18205
52012,19812
52299,19799
51974,20892
51456,21264
51281,20718
52139,22096
52371,22128
53792,22066
51633,22481
53160,21859
50117,22563
51527,21928
50049,21441
50262,21771
49432,21320
51780,22566
45602,20934
40381,21000
41081,21016
42213,21524
16565,15650
40845,16963
42578,18585
41318,18879
41687,18703
42147,19642
40264,19567
16227,15143
40280,17134
39673,17929
40808,18652
49164,19188
51007,18336
52143,19203
50615,19887
51965,19495
51984,20596
51815,30216
53533,21938
53623,21856
51717,22666
51809,22084
52113,22427
51687,22059
51601,22312
50871,22346
52168,22820
51375,22568
50796,22355
49133,22181
49787,22546
53685,21801
51434,23298
45012,21481
26274,18732
40232,17446
40309,18050
47929,18392
51671,18150
53679,19057
50797,20200
51997,19862
50981,20588
51348,20474
51464,21876
51636,21106
51977,22054
52618,21480
51590,21953
51989,22306
51884,22180
51438,22537
52006,21594
49698,21813
50592,22120
49684,21758
49213,23603
49488,21956
50820,26451
62190,25047
57972,18618
56109,19276
54838,19883
53036,19678
52463,20810
51525,21025
51507,20765
53761,22285
51103,21698
51461,21757
51406,21947
50339,22359
51038,22531
50439,22489
50494,22013
49509,23231
48987,22494
51600,23637
46804,21744
39872,21011
40370,21025
41977,21885
41745,21933
42043,22511
41830,22587
43336,22995
41336,23889
42210,23720
41542,23582
41110,27657
42142,23894
43406,24675
43135,24532
42552,24969
39501,23809
40335,23842
41535,24224
41034,24282
41540,25094
41471,24757
40948,25018
41310,25300
42829,25629
78332,19633
55902,26814
52211,18460
54684,20049
53761,20306
51699,19509
52187,20832
50862,21622
52380,22020
53051,21616
52131,26207
52216,21746
50505,22082
53169,22079
51258,22594
51727,22357
50614,22166
69148,22862
51080,22108
50573,22256
48916,22562
51093,22144
45149,22120
42590,20655
47965,20959
49657,21686
52234,18304
52274,19384
52593,20348
52956,19647
51089,21058
53825,20877
53129,22405
53811,21828
51622,21722
51881,21662
50835,22088
49752,22110
51137,22309
50788,22770
54128,22811
52261,23429
52223,22429
51515,23375
50381,23351
49666,23473
50155,22376
51273,22695
27196,18144
40558,17023
40470,18241
40469,18715
40830,19180
41447,19645
41062,19912
16510,15039
39479,17036
40085,18686
41647,19134
41916,19114
45717,20096
42719,20463
42878,20960
41263,20896
40853,21877
43377,21868
42914,21744
46419,22237
40615,22775
41723,22810
41119,23172
40660,23070
41191,23504
41766,23576
41133,23907
42528,24721
43127,24023
43392,23991
42879,24485
42838,24606
41721,24023
15342,15175
37840,17092
42802,18225
39349,18563
40152,19331
41329,19667
40934,20384
41819,20695
41722,21470
43591,21715
41788,26830
66465,29852
25812,19506
59195,20020
61461,19551
51444,19673
52710,20207
47064,20494
47289,20871
45445,20983
47727,20940
55466,21837
58033,19177
68156,21340
59535,21315
59507,20550
57974,21111
56684,21388
54723,22444
53564,22360
52922,22615
51620,21698
52814,22127
51137,22364
52403,22183
50968,30707
50839,22262
50112,22081
50712,22467
49711,21751
49408,22445
49925,21972
54238,23021
43086,21007
38323,20092
40476,20883
42177,21171
40553,21577
41415,22126
39903,22203
41658,23385
41180,23019
41973,23012
49203,23463
52862,18645
52960,19756
50981,20659
52585,19666
51836,20916
51988,21202
52307,21416
53299,22295
53114,21827
52026,22074
50528,22291
50552,21750
52232,30339
51490,22500
51948,22455
50636,21719
50355,22536
50112,21676
51270,22784
50738,21516
49657,22105
26562,18321
39952,17108
39812,17851
41932,18543
44957,18879
49394,20203
53092,18595
54649,20106
52181,20242
51427,19681
52744,20931
53546,21278
56361,21094
53118,22435
52281,21681
53351,22690
52508,21939
52601,22122
51989,21740
51197,22634
51218,22392
51372,22752
52443,22578
50718,22042
49633,22241
49984,22262
52461,22517
27218,18468
38779,16912
40210,18075
41701,18746
42346,19401
41839,19725
41588,19984
40797,20526
41617,21497
43104,21678
42980,21765
41544,22132
43440,22257
43526,22270
14309,14982
39764,17147
41754,17760
40926,18764
41287,19553
41890,19893
41373,20108
42777,20512
41913,21373
43977,21632
42606,21740
42830,21951
42027,22129
42471,22847
40410,23441
43308,23338
41706,23242
41581,23410
42848,23571
42411,23911
42052,23949
41525,23829
16765,15279
38365,17393
42822,18223
41022,18659
50507,19323
52444,18176
52904,18990
51096,20027
51930,19418
52522,20547
52895,21009
52677,21643
53147,21638
52072,22283
52950,21953
51641,22425
63166,22033
51898,22607
51929,22462
51962,22386
50596,22236
51187,21934
48871,22135
50097,21991
49948,21820
51441,23053
43659,21289
26657,19036
40523,17109
41409,17831
49396,19184
52897,18208
52530,19513
51550,20346
51984,20558
62311,23070
64016,22274
57360,23460
56297,22913
55052,23593
55882,23011
55460,23446
52356,22842
53842,22765
51691,23051
53160,23000
52200,22958
53526,22833
50344,22855
50786,23998
55886,22552
52643,23020
51002,23173
52600,17923
51115,18608
53424,20053
52177,20014
51934,21585
51669,21736
51455,21280
51704,22504
51056,21619
52329,22130
50845,22261
50692,22323
49656,22562
50252,27007
50306,22197
50189,23537
48528,21764
50666,22771
45935,22492
41327,20873
41579,21278
41986,22188
41905,22019
42684,22453
41780,22749
41871,22864
42686,23367
42205,23393
41450,23455
41805,23836
41929,23847
42915,24415
42432,24440
42268,25155
40238,23392
41758,24217
42578,24292
41261,24564
41445,24871
42130,24740
41465,24958
41921,24660
42160,25311
77205,19987
50889,27016
52401,18750
52431,19809
50741,20408
51998,19870
52154,20981
51239,21623
53359,22557
52841,21495
51313,21808
51160,21887
51113,22162
53135,22077
51146,22312
52101,22504
50042,22901
51145,22650
50818,22027
50570,22127
50141,22951
51946,22032
45506,23716
44506,21073
42659,20810
49330,21686
52715,18579
57915,19513
51089,20289
51579,19660
50791,20833
53893,20799
52131,21674
52634,21619
51516,21701
51654,21515
51266,22227
53164,22120
52499,22107
52300,22406
51198,21818
51460,23402
51518,22094
50426,23023
50169,22606
50219,23666
49905,22351
50181,22511
26768,18352
42248,16908
40449,18251
41757,19220
42234,19082
44084,19668
41581,19776
17023,15363
40665,16949
46086,18206
41623,19018
41270,19544
41961,19945
42879,20223
42541,21177
44138,21245
42457,21475
41939,22284
43128,21948
43206,22266
41422,22380
42597,22544
42060,23358
41879,23321
41130,23331
41811,23463
40437,28440
68664,30528
82391,29426
62958,26524
58842,25670
54952,25511
50697,24960
20669,16181
44433,18031
46578,18334
43096,19034
42983,19110
42109,21531
50918,22491
49901,22328
48120,22642
47402,22773
44574,23015
44644,22946
18253,16693
40932,17580
41529,18509
41576,19081
41208,19640
41336,20304
42539,20645
42199,21156
45340,21408
49772,22055
53285,18827
56175,20098
52942,20759
53963,20045
53313,21274
55064,21248
54345,21856
53127,22106
50787,22088
51274,21876
52318,22233
51878,22200
52503,22093
50735,22349
51604,22098
50059,21703
50226,22554
48925,21928
48236,22416
48893,22149
51176,23062
44618,21226
39490,19881
40481,21012
41066,21050
39745,21571
40853,22679
41007,22247
40425,22838
40781,22998
40715,23199
49927,23459
51099,18543
52932,19918
50019,29205
53848,19991
52819,20964
53257,21231
52560,21046
52240,22097
51589,21896
51789,21716
52790,22486
51601,21768
50776,21848
49614,22271
50858,22318
49754,21797
50378,22137
48961,22667
49033,22954
49320,21693
