mark_time_ns,sweep_time_ns
3671834,66116
6632508,103254
10936038,230177
3456348,201092
3422696,198039
3415279,207375
3409270,207182
3407315,225312
3485394,221635
3482317,220219
3467853,219094
3468050,219207
3512500,219603
3503836,223308
3575260,220952
3682114,221293
3867614,486625
4281979,520369
10484437,620042
3296882,479868
3303164,495456
3292417,488304
3306243,484793
3455820,490158
3745432,492672
4737464,515221
8087841,565131
3296790,461203
3232868,486909
3238971,490005
3249434,496100
3309885,489800
3305369,489895
3432189,490003
4203381,504019
4247673,519570
3273395,487939
3273801,488232
3276817,489523
3273836,488953
3427743,498882
3657303,495404
4709437,512068
8313034,570203
3250776,454731
3263964,489685
3256421,498897
3266767,488241
3327473,490663
3311154,486378
3434440,489011
4213862,502227
4265251,514115
3281355,490886
3278650,485696
3271672,486584
3322190,489723
3398609,492529
3660642,493672
4704507,511000
8047501,564759
3243193,454376
3248683,491236
3252932,487562
3260840,490098
3316804,502542
3308897,488139
3433344,492766
4217673,501632
4319929,517446
3268235,487779
3270189,485770
3268603,491680
3282331,492261
3397818,486791
3651257,494858
4900239,532077
8283350,580772
3341454,461726
3290572,495307
3304486,494670
3318170,504246
3330027,515402
3368757,493472
3461215,505058
4224165,507003
4279089,523203
3301058,495869
3339645,506647
3278123,491687
3287924,498210
3387071,495069
3658260,498311
4714830,511724
8035396,567787
3251678,453467
3246517,488142
3284339,492579
3306370,488412
3322519,490086
3308619,488129
3438330,503634
4220871,502521
4268373,520758
3301849,491411
3282195,496153
3274951,487011
3299992,489375
3404947,499844
3736456,499096
4727282,520620
8034455,560949
3245352,457158
3250585,485034
3260661,490293
3282111,496391
3351614,488308
3310248,493123
3442975,492982
4199686,499480
4286859,522341
3269374,484776
3270577,490594
3274008,498084
3285079,497186
3394304,488883
3652386,507189
4707497,515399
8032524,567207
3246579,454725
3255432,486066
3256156,488372
3278998,489459
3374004,491648
3318576,487509
3434801,490943
4213519,499573
4262525,517455
3271948,489035
3274969,496146
3267770,488342
3277989,500169
3480943,496882
3677302,496463
4720476,514487
8061903,563019
3251782,459401
3251734,495415
3311394,501779
3313852,494723
3344528,494790
3326791,500946
3448048,492304
4253349,508648
4251055,518907
3273744,488338
3273900,489612
3265420,491732
3277302,493177
3398170,495552
3664400,490798
4708343,510125
8051328,562593
3249100,456383
3247088,493058
3259766,491155
3264699,487000
3319575,486286
3301578,490207
3440606,495283
4211849,500563
4280555,518875
3273651,488359
3270371,489121
3263847,506373
3341518,503569
3446632,498748
3732413,502709
4712627,518158
8060447,566226
3270906,457252
3252414,491078
3259234,491751
3271945,489338
3321197,492111
3316297,491734
3444966,498475
4223020,502932
4274071,517928
3273153,488453
3270120,491187
3272612,488836
3277801,491587
3392857,490847
3690829,496880
4696956,516787
8035589,598158
3243735,456589
3245431,491820
3258524,492195
3290819,490595
3314431,490193
3312267,494255
3434430,493997
4211055,503566
4262433,516993
3269377,489423
3382977,506322
3366409,501411
3335973,496243
3447359,496016
3707799,502325
4807821,516879
8130998,581801
3286860,466203
3263461,491731
3308978,494297
3279106,491376
3321571,491420
3309868,495475
3433776,491571
4214588,501521
4273842,515096
3267609,486392
3279513,486742
3270699,488190
3275800,493803
3402509,496254
3657670,494805
4751519,514498
8050642,572418
3248903,452897
3270515,489630
3267397,488671
3291270,488019
3316349,501161
3320017,488813
3430769,492496
4209348,521478
4265448,519638
3325064,490863
3278549,494129
3271548,489588
3284022,496969
3401979,492669
3662349,492664
4712851,512121
8081011,562953
3283609,455069
3247935,490119
3254190,495327
3262643,493009
3318020,496230
3303854,484172
3434284,490571
4211384,500980
4273639,518338
3270522,485184
3324322,488442
3267463,491050
3277909,487888
3402389,494648
