mark_time_ns,sweep_time_ns
47660,32154
18994,19261
17524,19161
17026,19535
26248,19485
17591,19792
16859,19297
16582,19596
16346,19269
16403,19367
16474,20205
19311,21461
18538,20209
16240,20060
16162,19698
17012,19567
17036,19761
16056,19049
15596,19361
15285,19335
16178,19051
16150,19623
16080,19290
17402,18855
16118,19049
15771,19613
15609,19778
15809,19449
15911,19441
15523,18949
15820,18835
16087,19318
15806,19004
15287,19784
15098,18764
16156,19426
16408,19559
15862,19120
16441,19234
15692,19149
15628,19286
15991,19151
15773,19441
16140,19038
15075,19369
15848,19327
14890,19535
16909,19455
15795,19372
16165,19265
16119,19510
16950,19469
16460,19495
16108,19577
15553,19312
15368,19029
15391,19453
15337,19830
15535,19357
15334,18914
15815,19262
16076,19160
15706,19137
15977,19238
14994,18987
15037,19281
16339,19278
15513,19397
15752,19568
15545,19095
15362,19143
15887,19169
15184,19343
16931,19436
16119,19414
15657,18941
15002,18813
15274,19339
15679,19250
16010,19103
15693,19446
15996,18896
16685,19535
16305,19000
15353,20559
18918,20962
17678,19481
16426,25450
16544,19806
15892,19892
15443,19825
15668,19717
16045,19627
15559,19562
15680,19724
15542,19956
15899,19888
16706,19880
16440,19936
15771,19670
18717,19984
17099,19731
15610,20766
16790,20002
17080,19512
16358,19840
15642,19461
17018,19622
16501,19745
15745,19956
16508,19435
16612,19111
16192,19533
16554,19712
15495,19306
15487,19344
15505,19418
15660,19066
15352,19746
15826,19718
15440,19652
15933,19239
16158,19512
14593,18982
15913,19226
15348,19223
15256,19521
16302,19391
16644,19017
15008,19503
15088,19027
15738,19226
15987,18930
15771,19165
16420,19242
16027,19393
15720,19274
15886,19522
15429,19527
15494,19850
16463,19273
16176,19264
15710,19462
17090,19698
15594,19101
15734,19121
15196,19346
15986,19322
15697,19012
15147,19102
15775,19220
15542,18783
15035,19347
14915,19635
15943,19867
15438,19102
16014,19499
15798,19989
16517,24009
27468,27615
26853,28078
26308,25796
23719,20478
17106,19440
15397,19307
16196,19253
16082,19410
16042,19419
15770,19492
15142,19647
15090,18902
15059,19050
15729,18970
16141,19517
16674,19485
15737,18959
15789,19422
15404,18809
15137,19560
15598,19396
15254,19238
16052,19131
15228,19083
15480,19621
15395,19711
15512,18991
15201,19145
15799,19435
15485,19081
16364,19480
15728,19094
16776,18997
15517,19096
15516,19456
16103,19314
