mark_time_ns,sweep_time_ns
177171,36200
146537,61044
127906,58134
110093,53975
124800,58419
124652,59404
126405,63833
135663,58108
127268,57230
122103,55493
124863,58708
125935,59201
118493,56410
104707,54770
119661,56033
124199,55458
124002,58197
109285,55042
124706,59294
127235,57844
121941,55581
125955,57949
123915,57323
121541,58624
119046,55185
116941,53055
123101,58335
120224,56120
124709,59101
123488,59399
109669,57833
119082,56386
125364,58266
125020,56245
104805,56465
126179,57572
135762,58229
115680,53989
126597,58427
118612,54480
117741,67772
128900,72768
135900,61752
129092,57396
123563,55818
156602,58430
126026,58094
131723,57475
119012,54492
130186,60231
127258,59005
104956,55209
125463,59507
119113,55314
125305,57276
125559,58714
126273,57602
123802,58058
119278,56655
124096,57385
126777,56421
123272,55855
127046,58998
118402,54445
117353,54553
103045,54944
122741,58991
117694,54624
125210,56575
105028,54172
126576,58050
128283,57628
126466,59361
125873,59235
135315,65784
125992,58121
124164,58228
122689,57625
123261,56636
124069,59845
121592,58518
123676,58199
114732,55307
124058,58731
125971,57947
104013,53711
123519,58880
119070,55335
124587,57791
119436,54327
124946,55581
124981,55596
119691,55176
119104,55335
125068,57940
122990,55537
123622,59814
126285,57905
123385,58108
117206,55281
126317,59710
116724,54179
126378,58598
123201,58494
119879,56150
103563,55115
124031,58233
117324,54788
121288,56571
121075,56022
124095,57850
124070,57146
120541,55810
128112,58366
124771,58631
122806,58164
121141,55882
123954,57501
165132,71804
124148,56977
127940,57537
125447,58747
138605,63544
127504,58659
120614,54409
123069,57638
124213,57325
121986,55540
127115,72454
155038,77198
135396,61540
126239,55771
125752,58104
119758,53937
125917,56888
113467,55303
125517,58616
118323,54123
119433,55714
124509,59568
118717,54307
123774,56762
125365,58896
125594,59095
125367,57990
129639,59011
124104,58283
123157,57297
124964,57321
125123,58892
125578,57943
124633,57670
105949,56179
121262,55965
122875,54551
129683,58227
120693,55091
126393,56537
124657,55980
125283,58843
124594,57210
124587,59153
132391,62860
133308,63234
126785,57371
123706,55372
125304,57539
118213,54728
121509,55910
124621,57596
126566,57768
114547,55853
125226,58492
124741,57850
118155,53772
126670,58705
124904,58188
118082,55167
117415,56143
126325,59437
118140,56512
122538,57127
102653,55852
125547,58694
124434,58650
123846,57254
128601,58707
124868,58394
119359,55477
122400,56441
118332,55959
125439,59703
124600,58166
124257,55963
117607,55540
118199,56032
124681,59352
118639,54783
124880,58162
122929,60490
128491,59408
104405,54925
128848,57847
121345,56883
132099,59561
124616,59291
135836,64966
127914,56743
135245,57755
122696,56120
116814,56448
125921,57851
118944,56769
127571,59244
125088,58528
124852,58006
124822,64994
159891,75920
136040,62583
126600,55978
126003,57804
127565,57498
104084,54083
125217,57450
119681,55175
127579,58243
124691,58582
128532,58548
127602,57445
105985,55962
121301,56225
123485,56879
125718,57297
125374,58644
126349,58418
120926,56614
127330,58709
123429,57943
123267,56883
129103,57912
117597,55161
125084,56755
125852,57389
121280,56669
123481,58825
124157,56861
102943,54550
120792,55817
118035,54435
122319,56681
104086,61093
136517,61812
124838,62868
121084,62734
151782,76801
126927,56601
130048,58118
117570,54378
125066,57248
128286,58894
123519,58983
123819,55641
111950,54426
125543,58778
126489,58637
129294,58418
119924,55522
124010,58392
124684,58825
127706,58553
124079,57635
109528,54456
126617,57436
124271,58552
122891,56859
125976,54764
124261,58503
134257,59524
124538,58085
117328,55166
125841,56896
122429,57263
120857,55764
124772,59698
122104,56932
127715,58976
127096,58740
117059,53526
122116,56799
129246,58578
125871,59083
123127,56909
123792,58505
123426,57730
122729,61368
122166,57565
127329,58878
123738,57559
124494,58435
122395,56066
123095,55760
123643,56656
119093,55271
124108,58884
126093,62019
143358,77285
134598,60088
105849,55988
125200,57179
119548,53746
126542,56266
123606,55747
125768,57262
120706,54612
123021,56920
125230,58305
121738,54177
103891,54599
125224,58939
122574,56331
121897,58083
124440,58401
125389,56875
123255,56424
125858,58799
124478,58839
124239,56357
125491,58595
124994,58731
120771,56111
114150,55830
118381,55534
125531,57508
122844,57267
122308,55636
118284,55628
124060,58946
117099,55851
125122,61532
128224,58654
126095,57207
118257,54679
125208,57569
123989,56413
129430,58917
123806,57259
124875,59343
124796,57371
119943,55707
122833,56649
102089,54864
120968,55109
116162,55890
123776,55670
126083,59141
125130,58345
122774,57184
114787,54391
124955,58187
125847,63120
124974,58790
103457,55451
124101,57935
118290,54768
125142,59325
125609,60221
123779,58248
123089,58267
125073,56883
124941,58101
125751,57179
122148,55948
124015,58463
124260,58893
123333,56075
123038,56826
106415,54776
127614,56925
124142,58054
121767,57001
127339,58734
123520,59140
125057,62172
138010,64936
132058,60508
130622,59165
122573,57849
105970,56220
125954,59002
119280,56309
117090,53960
123851,58570
118632,55451
118007,71538
156301,70393
130335,58184
128124,56736
125934,57231
122135,56250
126629,57680
134185,58575
103774,54146
124757,58286
121033,55346
119882,55782
124946,59520
120794,55607
127188,59331
123742,57294
125725,59235
124123,60270
106465,56027
126518,58575
127018,59532
126740,57931
122812,59342
125387,57782
117459,54169
104593,54068
126633,58481
126184,58350
119825,53559
131876,58952
124860,58011
126724,58291
125056,58638
125896,58559
142968,64863
127049,58138
118991,55316
117663,53709
124238,55779
121284,55491
120163,55367
125181,58311
122536,61499
126316,59230
126866,58335
125679,56031
123678,57946
125655,57858
122420,55237
124131,57378
123848,57433
123149,56762
131182,58416
125234,56751
123576,57725
121155,55129
126538,62886
125594,57928
122755,56292
129099,57186
124077,58204
126197,58489
105043,54313
126436,57942
126419,58211
126187,56447
123161,55702
124345,57913
125573,59156
126755,58495
123994,58156
124015,55501
126681,57998
125003,57867
126374,58304
119155,56262
129089,57783
123424,56579
122412,63300
120684,56721
125666,57886
125720,56870
122667,58747
128174,61521
124283,58690
123082,56715
124626,57467
127150,58725
124847,69961
170920,72434
142114,61810
129975,58867
126666,55891
130164,57989
126004,58159
123090,56997
106910,55052
128070,58310
124361,58811
125879,56825
123811,57715
129381,57178
120201,55295
126522,59716
122673,58181
127179,58815
125322,57702
126554,56533
122148,55918
118885,55456
123148,57313
121811,54628
124795,58003
127902,59228
123491,56313
124162,57532
125398,58625
122745,57329
127678,59605
125300,57712
122796,56416
121101,54798
126840,63743
136516,62911
126810,56426
127814,59326
123209,58416
125354,56750
117061,53523
124789,57777
128430,58516
123476,56460
120472,58800
123579,57662
123095,66482
124022,58268
123655,57569
121840,57826
132278,62049
128204,60470
117267,54108
120605,55696
120540,55060
131847,60070
122900,57549
119019,55783
117894,56426
119104,54855
118679,56451
125049,59253
125375,57631
121177,55695
126846,59396
124465,57961
103951,52937
118394,54470
124500,59510
127028,56611
126707,59274
125458,58503
122205,57162
130035,57399
124512,58796
124271,57960
105487,55027
128048,59247
118053,58630
135012,62882
130040,60910
120124,57557
128506,59294
129829,60726
129610,59785
127007,59446
122310,56176
118550,54398
123522,68483
154177,78599
131721,62600
129271,59368
119823,55151
103081,54987
120855,55911
119819,55641
124292,57196
104492,55590
125072,58057
123544,58863
128686,56409
124891,61331
124984,58299
120808,54954
123040,56309
122748,56098
126025,60388
125257,60204
121246,56424
127518,59200
126777,59532
125136,57898
120216,54494
119528,54045
122677,58230
122876,57706
118952,54715
124686,58043
127389,57292
127897,58479
125110,57977
125500,57018
125303,62874
129006,60643
128697,59547
122973,56667
119707,54603
122942,58632
123900,56585
114596,54890
125049,58640
123100,59112
125791,58954
105213,54272
123837,57134
125438,58416
126534,57688
106424,55407
124433,58884
123658,57867
122352,55883
122147,56864
125314,58357
123121,57056
126578,58506
118152,56142
125211,59134
124185,58110
135149,61750
157315,137840
136281,128766
141611,129087
