mark_time_ns,sweep_time_ns
48321,33328
35283,33136
25847,32441
25438,33057
26059,24319
17037,19915
15249,19193
15055,19600
15329,19764
16749,19541
15256,19410
16300,19837
17207,20080
14598,19332
16907,19352
15279,20224
17005,19653
14940,19161
15253,19924
15177,19838
17283,19600
15786,25326
16854,20314
17351,20600
16107,20891
14748,19842
15370,20130
28119,20382
15354,20182
17503,20391
15893,20134
16408,19806
16808,19442
15559,19441
15108,19392
14795,19060
15783,19737
15968,19680
15780,19225
15086,19594
15926,19844
16260,19447
15861,19052
14874,19197
15582,19376
16848,19780
15206,19663
16912,19336
14761,19119
15793,19679
14886,19107
15665,19168
14770,19219
15350,19333
15460,19412
15520,19476
14392,19074
14506,19412
15846,19581
14086,19511
16052,19591
14729,19720
15232,20117
16443,19510
15578,19750
16606,19259
16019,19411
16674,19379
14750,19440
17305,19651
14891,19332
15245,19949
16469,19671
15428,19645
15337,19386
16283,20003
16937,19938
15077,19010
16244,19293
15655,19572
15110,19405
16380,19126
15744,19389
15021,19448
14709,19091
15451,19438
15461,19425
15090,19623
15056,19171
14228,19499
16047,19768
15998,19184
14931,19379
15156,19416
15002,20072
14882,19455
16538,19453
14573,19547
15864,19193
14878,19390
16302,19838
16950,19534
15745,19581
15676,19522
15194,19730
15668,19881
14696,19565
14592,19753
15713,19937
14976,19898
15805,19187
15017,19231
15912,19887
15240,19100
16500,20185
14616,20192
17000,20059
15850,19196
16324,19139
15773,19572
16260,19430
15902,19063
15132,19496
15014,19189
14935,19345
16172,19578
15574,19811
16585,20248
15105,19255
15778,20318
15158,19224
16538,19147
15842,19162
15024,19063
17456,19636
15595,19403
15434,19709
15243,19162
16269,18964
15608,19284
15708,19054
14738,19461
16283,19035
15313,20014
15393,19533
16373,19343
15381,19267
16014,19489
16349,19186
17193,19938
15692,19561
15501,19203
17011,19270
15248,18974
14960,19754
14573,19421
15088,19364
14256,19386
16275,20687
15674,19516
15576,19361
16505,19874
14893,19244
14248,19468
15274,19695
16377,19877
15368,19466
16149,19725
14927,19423
15714,19321
15804,19289
14178,19403
15401,19487
15194,19331
16277,19544
15024,19487
15510,19718
14893,19543
14355,19691
14885,20032
16357,19892
15969,19082
14495,19128
16485,20495
15642,19347
16168,18979
15624,19778
15416,19254
15517,19302
15033,19219
14881,19225
15989,19373
15746,19996
15078,19525
16480,19601
14431,19800
16533,19356
15884,19311
15971,19462
14772,19651
17136,19824
16429,19589
15493,19913
15302,19485
14964,19826
16456,19358
15752,19245
14441,19563
16140,19857
15500,19586
15933,19815
15565,19315
15437,19598
14970,19384
16417,19138
14880,19590
16584,19596
15406,19576
15346,19293
14044,19385
14776,19491
15677,19223
15091,19524
16585,19756
15613,19328
15760,19294
15037,19721
15125,30162
18805,20978
25216,20236
16887,19926
15476,19340
17301,20117
15321,19978
