mark_time_ns,sweep_time_ns
142283,23697
77375,21644
81876,21230
74774,20708
62484,19244
55533,19293
54016,18746
53002,19484
54773,19318
20108,16578
50983,19298
53840,19341
50212,19675
51167,19707
51799,21649
44407,10123
49318,19640
53688,19643
53204,20295
55446,20293
60956,20914
49419,19975
52099,20728
54331,20760
53549,20975
54705,20719
53760,21114
48907,20532
52813,21932
54483,21950
54772,22562
58660,21682
53738,22257
55406,22232
57598,21976
56602,22902
54487,21950
54911,22369
57105,22458
77530,24098
55604,24043
57428,25058
44434,10871
54521,23304
54319,23321
104563,26441
57072,25978
44236,11285
50807,23608
54209,23900
61918,23187
60287,24158
60596,24000
98113,26659
59060,24396
60689,24034
61569,24019
62967,24216
56574,23115
61114,24523
39450,22642
64051,24833
103222,28853
68284,25089
66678,25525
65765,25250
67396,25411
65309,25545
82240,26346
65034,25418
49062,24222
72287,34625
63173,25928
67148,26097
65706,26159
29079,24039
70847,26323
65645,26321
67489,26607
67341,26802
65475,27173
71700,27082
68507,27187
63615,27195
70725,27647
66338,27520
66467,27624
69066,28251
70086,28145
68059,28398
114747,30714
71054,28124
68031,29366
52485,12671
66799,29038
24580,25839
71186,29674
75649,29776
72104,29875
72556,29587
98984,31690
75686,29546
70350,29516
90315,37876
84107,36006
80368,34421
83639,33314
76453,31591
72281,31640
74840,31293
75497,31276
70496,31617
68661,31355
70844,31899
72436,31892
72332,31463
106229,33024
75886,31640
73358,31363
76660,32064
74515,32312
77498,31817
136526,35455
77020,32418
75632,32113
75630,32610
75562,32673
74467,32969
78772,32954
80019,33824
74586,33229
94004,34493
105952,35224
113442,35101
112980,35890
120306,36596
71453,33321
73159,34107
73118,34893
79821,34014
76416,35320
87975,36644
105210,38690
73916,36110
79524,36057
75786,35445
77717,35195
85532,36234
71603,35573
79151,36132
77088,36117
80823,35645
75757,35803
77891,37123
79025,36144
124449,39409
77864,36206
78874,36907
58988,14224
77677,36953
74320,37454
77648,39864
58900,14418
76002,37053
71663,36731
77456,37502
106212,40257
79717,38420
83395,39242
75445,38283
79504,38749
27288,35199
78231,38650
80850,47747
21935,24179
49513,37856
83980,40154
92630,40418
82992,39104
85159,39380
78990,40063
78856,39972
81740,40292
77892,40688
78800,40837
33245,38631
80591,40798
78702,40501
82648,40891
78158,41182
82123,40743
80328,40862
133837,44302
80380,41700
75614,42259
81641,44330
63150,15648
78945,42509
131652,44601
81444,41981
80401,43389
78788,42522
85254,43006
76705,43407
92575,46802
81383,43894
84648,44329
77130,43074
82952,44161
81645,43634
83745,45503
64242,42836
81867,44179
82064,44106
78974,43859
75743,44479
99512,45883
86531,46583
150644,48073
78666,45389
85247,45273
80984,57080
23766,27949
81916,48271
75466,47039
80124,45888
91569,47089
86327,46432
84843,46853
109358,79121
95198,74349
91816,66860
84652,60456
83922,59539
83422,55871
79775,55082
80874,52150
79971,52972
76992,52169
82654,52515
81543,51226
80440,50767
82732,50996
81143,51260
79318,50792
81015,51552
83909,50094
85078,50608
153800,53985
81516,51052
84994,50587
86561,51119
83576,51545
84486,51588
131639,56597
89520,55372
81114,51605
80698,51780
81048,51315
86747,51216
87177,51340
82216,52082
82847,51888
86506,52944
87246,51092
84170,51862
77802,52478
84578,52722
86946,52546
85727,53758
80267,53920
89497,53515
85429,53017
51639,51125
83841,54437
82404,53848
114887,55113
81760,53574
90590,55032
86727,54796
85814,55574
134335,64717
56849,52521
84152,54500
88519,55825
83339,55437
86487,56197
82661,54776
87685,56126
86305,55410
82024,55979
86441,56419
81847,55408
86962,56467
87951,58752
89356,56070
81121,57565
91283,60901
87993,58050
88763,60927
71607,18470
86383,58545
82515,57675
84290,58709
36155,55466
83184,59532
83770,58826
85605,58320
84390,58031
116713,60328
87051,58562
84920,59747
88338,59793
83816,58627
177114,66582
90435,59314
