mark_time_ns,sweep_time_ns
2701739,45680
6916429,116494
30973,105547
3509144,118656
3492331,118917
3497217,118945
3521160,119243
3492780,117932
3503054,119563
3478909,142226
3405023,136249
3318086,132904
3208016,126583
3277586,124522
3309288,124680
3242281,122835
3262257,120625
3313175,120017
3328082,118845
3254775,118840
3264394,115495
3339289,116761
3358636,114883
3362016,112562
3332980,111844
3408964,112595
3575620,113097
3612375,220188
3919643,223765
4507485,231801
4449165,226994
9394216,303887
3413002,495135
3491580,555297
3666090,544933
3564141,520147
3704791,518688
4421612,516123
8723509,606148
3381656,529233
3505681,498194
3517003,505563
3523133,507856
3595948,514474
3780265,508136
5467156,536104
4908228,515383
3457173,506667
3477249,500138
3502711,494402
3547879,493458
3696497,491978
4416679,503078
9118337,591561
3351521,470305
3352727,569775
3361084,557911
3346480,537942
3618292,541598
4469231,544143
9110821,611392
