mark_time_ns,sweep_time_ns
42071,25128
31775,23513
26540,17856
23337,17765
25248,17229
22453,17970
22119,18320
19744,18437
20549,18272
20918,18766
21866,18395
30659,25809
18925,17131
17392,17063
18170,17371
20069,17765
18534,17504
18383,17523
18834,17889
19801,18510
18171,17898
16019,17786
16681,17951
15161,17943
16087,18190
15742,18415
15285,18068
16128,18552
16268,18549
16270,18604
17085,18813
16882,19123
16961,18910
18513,19231
17936,19637
16982,19365
17348,19680
15857,19407
15569,19458
16439,20271
16832,20114
18324,20203
17299,20093
17987,20459
16481,20458
17591,20569
17834,20869
18276,20763
17967,20968
17627,21281
18267,21192
16832,21522
19521,21353
18927,21690
18182,21607
17980,21688
18552,22299
17669,22433
18662,22100
18094,22387
19109,22450
19777,22350
18162,22642
19521,22899
19351,22866
21603,23482
21403,23130
19444,23416
18369,23292
19197,23393
21169,23735
20184,24231
20158,24845
20777,24150
21339,24884
20313,24347
21074,24769
21789,24797
19881,25015
19643,24783
20507,24898
21238,25031
21625,25606
21610,25942
21270,26030
22481,25340
20549,25377
23634,26429
22043,26201
22937,26119
21536,26390
23567,27122
21527,26577
22264,26913
21442,26756
22827,26999
22411,26860
26509,27298
22637,27179
22187,27350
23930,27952
22085,28030
22672,27945
23937,27988
22846,27966
23691,28226
24400,28212
22578,28365
22588,29059
23095,28448
22415,29270
23300,29156
22499,28890
21980,29030
22052,28805
23401,29798
24417,29160
22452,29826
23745,29887
23785,30209
22819,30307
22890,30494
23599,30726
22564,30416
25178,31112
24712,30919
23075,31229
23868,31679
22288,31196
24783,31878
22435,31263
22809,31597
24007,31455
23134,32126
24275,32259
23201,32412
23659,31589
24032,32004
24025,32482
23136,32503
23872,32988
23859,31896
22559,32797
25433,34093
23886,33700
24923,32969
28415,36190
28391,36941
25649,35800
26475,34740
25492,34245
25634,34370
24929,34592
23595,33196
24784,34080
25069,34782
22367,34588
23103,34745
22675,34258
23436,34852
22846,35043
24605,34901
24638,35664
23906,34970
22966,34722
25580,35567
25440,35557
24782,36528
23528,35637
24086,36140
25157,36481
23656,36408
26381,37070
23866,36759
25163,36152
23904,45120
25889,37162
24875,36786
24742,36773
24908,37947
28756,40184
27225,39595
27966,39190
26919,39523
27344,39481
26574,39256
26115,39965
25853,39093
25372,39773
26621,40365
26034,40188
26457,40536
26611,39949
27148,40566
24729,40609
27386,40942
27382,40750
24533,40895
24724,40855
25215,41405
26156,40219
24924,40956
25157,41205
24556,41623
24965,40175
23478,40219
25190,40812
26226,41311
25869,41329
25383,40976
26985,41929
24375,41502
26520,41342
24239,41569
26109,42112
25457,42355
25693,42045
26639,42165
25965,42544
25974,43127
25526,42915
26472,43102
27179,42805
26371,42753
27607,43240
28526,43624
25722,43540
25567,43518
26636,43323
26736,43908
28241,44425
27262,44059
25325,43650
26162,44412
27237,44471
27314,44011
26726,44841
27159,45504
25619,45187
26584,44347
26148,44908
28779,44834
27479,45211
27191,45536
27833,45438
28416,46016
27858,46277
26791,45841
26410,45567
26508,45767
25954,46815
27904,46677
26355,45717
27829,46420
26698,47132
26449,46315
28341,46659
28389,46601
26007,47066
27032,47415
27349,47357
27469,47009
25388,47255
26976,47457
25981,47736
27525,47730
25331,47721
28875,48295
26329,48756
28267,48034
26122,47814
26859,48831
29305,55642
29136,54099
29102,52206
29198,52737
25947,50849
27703,50194
27146,50256
26953,50022
26261,50674
28529,51585
26196,50553
26714,50349
28379,50641
27975,51562
25181,49775
26219,50749
27105,50580
29459,51106
27826,50771
27200,51172
25948,50820
25819,51447
28398,51309
29033,51425
27429,51813
27057,52279
27767,52192
26437,52407
26344,51878
26645,52147
28531,52795
28300,52639
26139,52562
27184,52641
26961,52791
27312,52845
25797,52978
27933,53922
28182,53540
27743,53202
27620,53263
27582,54682
26631,54569
26490,54590
26731,54171
28332,53808
28188,58672
28776,56331
27819,56569
28456,57254
28468,56887
25419,56595
26468,56713
27362,56411
27970,56713
25916,57082
27733,56964
26220,56705
35114,57553
26156,57097
29094,56998
27299,57470
26671,57742
29495,58390
28929,57978
27424,57869
26162,57719
28198,58500
26787,58844
25980,56765
28153,57687
24783,57013
29251,58249
34978,57691
28267,57869
28323,58244
28075,58805
25808,57666
27934,58478
28056,58882
33054,59584
27973,58892
26902,58964
28387,58748
28460,59021
26557,58718
28284,59460
26897,59582
28616,59023
28461,59094
26576,59760
28355,60112
31250,59587
27929,60184
27563,60140
28837,60392
27506,60386
28217,60371
27192,60724
28349,60910
26981,60744
26339,60148
27171,60556
28992,61363
27923,61705
26606,61214
26893,61448
27487,61356
27391,61103
29043,62763
28516,61632
26380,62553
30511,62598
29321,61339
27149,62416
27330,61831
27350,69274
27045,63825
27076,63098
26806,62916
28391,63328
28607,62919
28822,63773
27295,63837
28225,64346
28027,64719
26863,63954
26266,63295
27492,64696
26671,64511
28694,64408
27571,65043
30051,67587
29827,77054
28897,71763
35754,69069
28648,69186
29046,68866
28584,69393
28517,67958
27485,68445
27745,67019
27282,67695
26407,67354
29593,67564
27993,72481
26397,66928
27427,67254
28139,67714
44629,67548
28779,78905
29180,70680
28802,69554
28723,69797
28707,69096
30587,69688
29402,70177
28807,69889
29694,70908
27964,70057
29093,69825
28591,70821
30937,70085
28544,69723
27865,70396
29024,71059
27968,70797
28903,70083
29191,71200
28161,71232
29757,71493
29779,72293
28207,72257
29417,71065
27728,71388
27412,72039
27573,69716
29593,69921
28839,70705
27462,69412
28610,71266
29274,70487
27757,70981
28269,70637
29102,71080
30171,71027
28752,71583
28277,71458
28921,71959
29156,71885
28683,72169
27109,71919
29429,72283
44695,71534
29201,71910
28228,72504
28055,72764
28127,72421
27096,73439
27797,72219
30134,73246
28049,73358
29474,73032
28446,74002
26705,73161
28417,73514
28050,74320
28998,74109
30158,73995
30503,74201
34448,74263
29980,74585
28070,74839
27600,74316
27994,75037
28296,74950
26988,74538
27945,74887
28461,74956
28189,74744
29921,75499
29228,75192
28869,75845
26953,76643
28529,76198
28890,76154
30023,76457
27520,76372
30089,76547
27910,76884
28772,77087
28734,77474
29024,77822
28488,76699
29360,77399
28829,77173
28786,77684
29425,78431
28746,81570
28798,80145
29558,80280
30367,81170
28003,81134
30101,81657
37859,80669
28703,81353
27611,80905
31206,80270
29102,81061
29728,81657
29355,81523
30912,81798
27342,82322
29060,81315
28532,82882
29377,83394
26988,82570
28681,82201
28494,81438
27934,80829
29061,80618
27992,80776
27875,80920
28446,80830
29140,81716
30761,82112
28791,81567
28815,82333
27939,81140
26575,82307
27924,82614
28452,82079
29297,82997
29909,82581
29003,82797
28136,86333
29965,83334
29995,83389
28707,83071
28591,83026
29125,83927
29652,84947
28832,83092
29963,84025
27562,83109
27861,84463
28104,84406
28427,84503
28712,84205
29323,85937
29538,83897
27658,84747
29157,86024
27573,85270
28061,85408
30182,85479
28681,85476
29404,86171
28382,86080
28276,85924
31203,90674
31205,123949
28389,98938
29283,95900
29912,94614
32036,92079
29053,92518
30038,92288
27159,90845
29385,91234
28502,92040
28842,94090
30197,90282
28531,89413
28134,94921
28067,92393
29912,89581
27607,91075
27509,89902
28416,90400
30419,90255
28584,90484
28759,88304
29573,91347
28116,89781
29275,90598
29223,90780
28323,90436
30522,89572
28567,89960
28605,89614
28503,91108
28272,89972
30796,89803
