timestamp_ns,collection,mark_time_ns,sweep_time_ns
3318546,0,2024339,507057
9264402,1,4601141,1158368
19490857,2,5897213,2247254
32806983,3,1461977,615328734
656960531,4,1410469,444176
662484652,5,1411531,456259
668206570,6,1427772,464896
673771349,7,1421610,452983
679365503,8,1449593,470958
685185589,9,1465353,464786
690702766,10,1435006,454577
696339342,11,1452269,464385
702123208,12,1438302,464145
707619686,13,1546859,480586
713349931,14,1505159,490626
719262182,15,1490581,493250
724832732,16,1508996,488381
730566813,17,1639816,555809
736601307,18,1665775,543997
742325970,19,1621592,524760
748107292,20,1965386,663315
754427210,21,2136353,732697
760848742,22,1967781,617147
767041057,23,3924552,1586214
793140903,24,6341179,2528200
844793233,25,1546017,706406
864877200,26,1529686,704072
884680563,27,1550937,712448
904406619,28,2226734,1014274
926209633,29,1405951,808742
945150783,30,1425958,777993
964551327,31,1458882,785858
983656409,32,1604279,862264
1003305729,33,2010432,991039
1024583171,34,1427962,767133
1043791330,35,1426700,785146
1063038142,36,1430907,774467
1082600114,37,1645938,831936
1102131138,38,1921784,913261
1122626851,39,1417061,769577
1141979604,40,1421540,767734
1161110305,41,1485201,793994
1180551758,42,1603376,817669
1199874474,43,4269189,2017266
1223217635,44,1454603,762123
1242558386,45,1432742,761922
1261883498,46,1474170,789074
1281214129,47,1587166,810214
1300686571,48,4489669,2181058
1323983915,49,1425347,760289
1343032438,50,1424957,738929
1362472730,51,1454332,753577
1381565608,52,1804350,874847
1401611012,53,430601,470988
1420704602,54,1435998,702930
1439894956,55,1431910,719181
1459075381,56,1463781,709913
1478407616,57,2165218,1050202
1499245832,58,1413845,793262
1518240403,59,1405309,776089
1537676576,60,1427651,775729
1556814289,61,1629567,837536
1576692114,62,2025612,968937
1597244986,63,1450305,770018
1616466189,64,1441588,771872
1635694606,65,1436328,788503
1655093798,66,1615790,825755
1674488742,67,1920992,916117
1694946754,68,1431408,768495
1714603477,69,1427491,770288
1734001967,70,1471015,803372
1753626139,71,1646569,874337
1774270425,72,4599909,2064296
1799030938,73,1562499,808100
1822026095,74,1567869,804865
1842869241,75,1627562,809574
1863491965,76,1737102,855150
1884353425,77,4828215,2142454
1908975955,78,1545807,760320
1928792614,79,1503065,752084
1948730743,80,1518385,766671
1967954161,81,1772269,870078
1987739479,82,426824,470266
2006732327,83,1415087,702019
2025896461,84,1420959,714783
2045154795,85,1484881,723379
2064613010,86,2181578,1067095
2085465343,87,1430276,799204
