timestamp_ns,collection,mark_time_ns,sweep_time_ns
7512056,0,32813,18395
12055165,1,11331,7514
14875860,2,10470,7584
17674864,3,9629,7043
20489318,4,9869,6672
23295626,5,9248,7544
26095693,6,8736,7114
28900578,7,8667,6923
31701837,8,8365,6803
34498596,9,8747,6713
37292020,10,8226,7063
40097036,11,8226,7033
42898435,12,8206,6813
45691378,13,8065,7083
48510280,14,8686,6743
51323170,15,8076,7033
54126362,16,7986,7243
56932000,17,8225,6783
59762384,18,7915,6733
62576667,19,8306,6562
65375882,20,7895,6993
68160298,21,7985,7014
70957108,22,8186,6883
73752376,23,7804,6713
76553394,24,8326,6532
79345935,25,7855,7104
82133077,26,7785,6953
84919177,27,7965,6823
87715466,28,7775,6682
90505744,29,8276,6552
93296793,30,7815,6983
96102209,31,7675,7033
98904089,32,8025,6803
101703764,33,7825,6723
104493611,34,8496,6864
107291834,35,7775,6983
110088253,36,7795,6924
112883030,37,7975,6773
115692434,38,7774,6703
118506246,39,8436,6893
121317344,40,7774,6984
124125576,41,7845,6933
126926543,42,8126,7123
129739685,43,7834,6864
132550421,44,8446,6773
135354285,45,7774,7214
138148210,46,7905,6953
140963946,47,7885,6923
143759603,48,7725,6953
146559209,49,8346,6873
149362601,50,7705,6953
152168138,51,7755,6953
154973745,52,8026,6853
157768381,53,7775,7174
160570521,54,8216,6803
163369906,55,7725,7053
166162538,56,7685,6913
168955131,57,7895,6943
171758934,58,7645,6923
174571654,59,8256,6853
177383984,60,7805,6813
180190873,61,7755,6973
182996610,62,7965,6944
185792509,63,7815,6943
188585862,64,8226,6743
191383053,65,7875,6903
194174172,66,12394,7043
196973266,67,7845,6843
199762222,68,7775,6953
202555776,69,8055,6743
205361593,70,7745,6903
208175105,71,7735,6963
210991582,72,7815,6923
213815624,73,7835,7043
216633094,74,8125,6793
219438921,75,7755,6943
222246041,76,8166,6542
225048572,77,7915,6703
227844420,78,7745,6642
230653373,79,8035,7034
233451166,80,7644,6683
236260940,81,8216,6512
239056388,82,7855,7093
241856434,83,7835,6843
244669625,84,7965,6773
247472998,85,7704,6683
250277833,86,8216,6472
253076387,87,7734,6954
255889628,88,7715,6993
258696026,89,7925,6813
261496323,90,7755,6933
264297311,91,8166,6482
267108539,92,7765,7113
269900540,93,7734,7194
272700676,94,7935,6743
275515580,95,7725,6663
278352216,96,8146,6643
281188682,97,7685,6963
283996894,98,7775,6863
286793995,99,7995,6673
289672220,100,7805,6683
292477716,101,8086,6492
295296358,102,7895,6984
298107256,103,7804,6984
300934524,104,7915,6773
303739479,105,7675,6712
306546498,106,8326,6593
309367815,107,7735,6983
312186006,108,7815,6923
314995761,109,7755,6903
317790888,110,7715,6702
320588940,111,8376,6803
323394507,112,7805,7043
326194713,113,7805,6943
329005661,114,7875,6783
331822579,115,7805,6673
334642353,116,8226,6763
337457768,117,7705,6963
340260870,118,7905,6894
343054064,119,8005,7133
345854772,120,7774,6924
348659417,121,8315,6833
351470143,122,7825,7224
354286210,123,7915,7013
357108899,124,7805,6903
359906972,125,7875,7013
362703912,126,8296,6763
365514008,127,7724,6903
368322830,128,7875,6984
371143045,129,7925,6933
373955765,130,7865,7204
376764038,131,8255,6763
379553293,132,7855,6944
382370412,133,7705,7073
385186238,134,7835,6903
388011262,135,7675,6963
390829553,136,8105,6773
393645500,137,7865,7003
396464522,138,7895,6934
399262184,139,7785,6873
402077920,140,7885,6973
404895129,141,8085,6753
407707839,142,7755,6883
410516312,143,7745,6953
413332469,144,7795,6923
416146902,145,7755,6983
418956296,146,7985,6773
421760580,147,7675,6903
424568161,148,7755,6963
427378978,149,7775,6993
430188663,150,7775,6973
433003948,151,8045,6813
435818231,152,7775,6863
438631423,153,8195,6603
441434244,154,7775,6613
444229381,155,7805,6683
447043755,156,8045,7084
449851125,157,7675,6712
452665078,158,8165,6573
455479361,159,7885,7144
458298704,160,7825,6984
461113328,161,7945,6743
463937070,162,7724,6713
466750131,163,8015,6542
469559915,164,7815,6953
472382374,165,7825,7094
475203311,166,7965,6833
478014548,167,7785,6963
480829112,168,8206,6512
483644698,169,7795,6943
486447469,170,7705,7224
489248227,171,7995,6703
492061439,172,7774,6893
494879579,173,8276,6542
497704533,174,7795,6933
500524517,175,7795,7013
503338480,176,7925,6803
506149507,177,7705,6693
508956737,178,8116,6512
511771471,179,7855,6984
514581136,180,7785,6993
517378697,181,7895,6673
520201016,182,7745,6763
523010440,183,8036,6512
525820516,184,7654,7014
528639708,185,7825,6973
531463359,186,7966,6863
534273455,187,7704,6723
537075365,188,8366,6723
539882525,189,7755,6963
542693311,190,7785,7064
545495101,191,7815,6773
548316327,192,7785,6793
551133837,193,8175,6763
553945726,194,7775,6963
556755270,195,7805,7034
559650438,196,8085,7114
562473037,197,7785,6903
565328038,198,8456,6903
568222264,199,8025,7454
571167096,200,8216,7053
574058446,201,7945,6813
576950257,202,8006,7043
579843230,203,8447,7033
582738298,204,7905,7143
585652562,205,13897,11993
588591513,206,14848,15129
591479717,207,19427,12183
594389683,208,15269,11031
597261436,209,24276,14768
600139871,210,24577,14889
603015372,211,23725,13606
605884299,212,20680,13165
608768626,213,24937,13606
611626773,214,19537,12494
614478207,215,17102,11021
617322287,216,17764,10571
620377520,217,21211,14467
623335668,218,25027,15359
626215997,219,22743,13165
629197268,220,21671,13386
632205041,221,21601,14517
635214476,222,21992,13576
639471799,223,28815,19698
