timestamp_ns,collection,mark_time_ns,sweep_time_ns
8466473,0,103878,113516
22284703,1,103768,123395
34167677,2,90292,98728
46160318,3,88819,101293
58073549,4,82497,95893
69642804,5,76717,88649
81338961,6,80674,92636
92979502,7,82367,93148
104717669,8,73550,92677
116337881,9,79041,90232
127980717,10,79591,91605
139584007,11,80353,95041
151081355,12,79792,87306
162697860,13,80263,94229
174319615,14,79642,94720
185914639,15,78149,86976
197515044,16,79942,91625
209155665,17,79531,92727
220836493,18,88969,95502
232427630,19,77517,90824
244140949,20,79221,93498
255788914,21,87948,94250
267424906,22,80223,86816
279150089,23,80473,93699
290854611,24,82317,93789
302475746,25,81515,84010
314082663,26,80904,91154
325738372,27,78029,93869
337352543,28,79502,93728
348823821,29,79672,89170
360507455,30,80493,92757
372158015,31,79772,93668
383720547,32,80012,88018
395328506,33,80203,91985
406961082,34,78960,93107
418638012,35,73480,81686
430216605,36,79882,91033
441816258,37,77738,92977
453454685,38,81164,93639
464996137,39,78259,90493
476575552,40,78279,91955
488218247,41,80503,94510
499750532,42,80533,89030
511358370,43,78840,94220
523052523,44,81125,94109
534793967,45,73870,86275
546375725,46,80945,90522
557990748,47,79501,93439
570291366,48,87076,103427
583121254,49,80213,93227
595343272,50,79422,92326
607415767,51,80413,92757
619440710,52,78439,85513
631109245,53,79040,92386
642832974,54,79672,93518
654631816,55,72268,80894
666293428,56,79211,94159
678004874,57,80743,93118
689767778,58,80513,94531
701365788,59,77217,89610
713056845,60,79472,91664
724790414,61,79742,94900
736458507,62,79050,87026
748126110,63,79180,91795
759813850,64,78359,94891
771550274,65,74462,81666
783233436,66,80253,93388
794949892,67,80052,92637
806718797,68,80965,95211
818378565,69,78419,89340
830134506,70,80213,91103
841912849,71,80183,93849
853633062,72,79191,98919
865409903,73,78720,90482
877086673,74,81004,94390
888867241,75,74061,82427
900493584,76,79161,91444
912170876,77,78499,94330
923846513,78,80584,94901
935404377,79,77948,87798
947157512,80,77898,92286
958839602,81,80684,94390
970444095,82,77738,87116
982098141,83,79291,92517
993762648,84,79842,93809
1005460518,85,74141,82167
1017088085,86,80212,89331
1028770465,87,79111,93598
1040433709,88,80083,95111
1052001351,89,78350,88578
1063652883,90,78239,91154
1075334884,91,80122,93518
1086923235,92,78279,85332
1098578444,93,78239,89651
1110344263,94,80914,95532
1122095075,95,71105,79722
1133711009,96,83700,92636
1145393530,97,77086,92527
1157104014,98,81095,94259
1168645606,99,77337,90252
1180401908,100,81455,96254
1192069591,101,78118,97055
1203653033,102,78139,86945
1215291690,103,78700,91795
1226930137,104,78620,94029
1238616866,105,73530,80594
1250210778,106,80393,90382
1261890704,107,79792,93288
1273577974,108,81195,103918
1285115058,109,79271,89190
1296769967,110,76886,92917
1308494157,111,80062,94510
1320186978,112,78279,89160
1331930204,113,78068,92847
1343658462,114,80494,95502
1355450021,115,73971,80493
1367145366,116,79652,89781
1378953547,117,79762,93358
1390754333,118,80383,94700
1402398211,119,78349,88028
1414152949,120,78639,92397
1425922416,121,80723,94911
1437618963,122,77598,95522
1449358212,123,77688,92086
1461325035,124,79782,94380
1473147593,125,73109,83249
1484969369,126,79792,93799
1496758553,127,79772,93238
1508542638,128,81615,96935
1520444988,129,78980,89931
1532327239,130,80984,94200
1544131031,131,78490,96864
1555873967,132,78329,87597
1568030382,133,87807,99279
1580820933,134,83770,98017
1593111774,135,76666,83108
1604986901,136,79492,92897
1616801625,137,79972,92206
1628620325,138,79632,95281
1640323605,139,75735,89410
1652090017,140,79331,92787
1663877657,141,80574,93648
1675607319,142,79301,87066
1687377576,143,80985,92746
1699121785,144,80574,94279
1711021089,145,73009,80373
1722756320,146,80684,93118
1734561155,147,78890,94530
1746451822,148,79912,94049
1758154582,149,78039,88158
1769964395,150,78950,93148
1781780972,151,79571,95222
1793511584,152,79311,86635
1805272515,153,81064,93749
1817012355,154,79962,93008
1828886911,155,74082,79621
1840622013,156,79221,91995
1852403662,157,78660,93589
1864247351,158,81084,93549
1875966842,159,77738,89941
1887765845,160,79031,93828
1899572092,161,78650,94970
1911343121,162,78780,86285
1923142966,163,78620,92276
1935019927,164,86635,101684
1946965500,165,74241,82738
1958716962,166,79210,91375
1970545030,167,77127,91284
1982377197,168,79361,96073
1994085847,169,76125,88439
2005781133,170,78229,92205
2017460146,171,79943,94840
2029163908,172,78139,87797
2040825188,173,77989,90402
2052471881,174,80073,92827
2064427733,175,74782,81295
2076086769,176,79822,90132
2087807143,177,78539,93128
2099532535,178,80413,95091
2111150122,179,77608,89240
2122861107,180,77868,91124
2134584256,181,78219,93668
2146229606,182,77859,86314
18446744071572446512,183,78760,93508
18446744071584109325,184,81355,93178
18446744071595895143,185,73670,80774
18446744071607547416,186,80464,91855
18446744071619241709,187,79041,90001
18446744071630958316,188,81074,95051
18446744071642676995,189,76727,88709
18446744071654358494,190,79151,90673
18446744071666083396,191,77919,94861
18446744071677684041,192,77638,85473
18446744071689363837,193,77257,91404
18446744071701020598,194,80053,92887
18446744071712784665,195,73871,85012
18446744071724418133,196,79902,91695
18446744071736132063,197,77758,93719
18446744071747843580,198,80012,94230
18446744071759455125,199,79261,89220
18446744071771188443,200,80163,92987
18446744071782883227,201,80524,94370
18446744071794490455,202,78880,87236
18446744071806178526,203,79111,92026
18446744071817843093,204,80123,93929
18446744071829634662,205,73100,81775
18446744071841289099,206,80063,90482
18446744071853015835,207,78910,93649
18446744071864932982,208,81666,96654
18446744071876550810,209,76997,89030
18446744071888253200,210,91464,91013
18446744071900079063,211,80193,93759
18446744071911707912,212,79231,86054
18446744071923375384,213,79191,90182
18446744071935270400,214,80804,93879
18446744071947117615,215,74742,82477
18446744071958802130,216,80623,91134
18446744071970553351,217,80704,93418
18446744071982644722,218,89360,103026
18446744071995108111,219,79491,91434
18446744072007155426,220,79021,95342
18446744072019156354,221,79502,94540
18446744072031104571,222,78750,87968
18446744072043112813,223,80454,94239
18446744072054877270,224,87086,97305
18446744072066638792,225,73009,81766
18446744072078271318,226,78449,88729
18446744072090013031,227,79451,93178
18446744072101719608,228,79442,94610
18446744072113303110,229,78520,90392
18446744072124986333,230,77347,90262
18446744072136663023,231,81916,93829
18446744072148308994,232,88789,87316
18446744072160002486,233,79702,90953
18446744072171636584,234,81055,94520
18446744072183400871,235,72749,81746
18446744072195054657,236,79161,91434
18446744072206748420,237,78189,94440
18446744072218426733,238,78499,95602
18446744072230028720,239,76646,89721
18446744072241725188,240,78870,93579
18446744072253422186,241,80353,93719
18446744072265012732,242,78019,85513
18446744072276663322,243,78099,92646
18446744072288328260,244,81004,95081
18446744072300040658,245,74532,81786
18446744072311704292,246,78981,89631
18446744072323434765,247,77407,93368
18446744072335175607,248,79912,96935
18446744072346780540,249,77858,88970
18446744072358505662,250,79531,92076
18446744072370171371,251,78510,94680
18446744072381923304,252,77859,88498
18446744072393585346,253,79121,89851
18446744072405217081,254,77137,93929
18446744072416951750,255,72939,82037
18446744072428563287,256,78659,91415
18446744072440225488,257,78380,98698
18446744072451949569,258,80393,94290
18446744072463587736,259,78710,90292
18446744072475328337,260,76906,92246
18446744072487095910,261,80594,96083
18446744072498834497,262,78049,88038
18446744072510559219,263,79041,90893
18446744072522294560,264,81456,92195
18446744072534105266,265,73209,81987
18446744072545809218,266,79491,90593
18446744072557651293,267,79922,92987
18446744072569406793,268,80193,93939
18446744072581054467,269,78029,88749
18446744072592880953,270,77307,91965
18446744072604663293,271,79592,94250
18446744072616343621,272,79772,86675
