timestamp_ns,collection,mark_time_ns,sweep_time_ns
3875977,0,34416,18304
5422645,1,21902,14658
6955346,2,24457,14157
8489811,3,19927,13837
10005790,4,22242,14237
11536296,5,20269,14297
13034702,6,10931,7494
13899810,7,10881,7675
14757515,8,10250,7223
15620289,9,12103,7735
16522368,10,11793,8146
17407996,11,12454,8386
18268346,12,10931,7544
19129908,13,11142,7454
19998905,14,13385,8045
20908137,15,12684,7745
21785209,16,11612,7865
22638595,17,11241,7775
23495668,18,12544,8096
24384532,19,12905,8586
25276332,20,11622,7665
26127825,21,10930,7605
26985689,22,11633,7694
27840238,23,11382,7784
28745153,24,11852,7775
29605703,25,11001,7935
30458037,26,10641,7253
31308208,27,12884,7725
32179608,28,11162,7304
33077079,29,10901,7604
33925205,30,10730,7094
34772069,31,10620,7625
35614895,32,11071,7895
36511163,33,10791,7865
37383165,34,10350,7083
38230570,35,10530,7525
39073908,36,12894,7675
39930871,37,10700,7785
40771363,38,9658,6903
41609610,39,11702,8236
42452537,40,12353,7454
43295593,41,10069,7405
44154340,42,12023,7925
45050638,43,10800,7485
45892322,44,12494,7304
46726912,45,11001,7434
47566643,46,11111,7544
48408738,47,11101,7654
49244711,48,10560,7384
50077969,49,12093,7454
50917279,50,11201,7254
51750166,51,10440,7675
52582172,52,10460,7013
53411983,53,12474,7554
54244259,54,10190,7203
55075403,55,10119,7394
55906156,56,11773,7785
56737361,57,12143,7694
57566821,58,10210,7133
58398466,59,11813,7574
59219982,60,10650,7254
60050375,61,11051,7113
60873984,62,9388,6773
61700760,63,12865,7133
62525482,64,10460,7714
63350163,65,10320,7494
64177781,66,12774,7765
65008534,67,12123,7464
65838726,68,10891,6983
66660812,69,10330,7284
67488640,70,10360,7254
68319073,71,11011,7063
69148443,72,10691,6993
69971182,73,10740,7484
70798178,74,10269,6924
71620024,75,11753,7073
72450537,76,11752,7384
73277673,77,10510,7164
74100111,78,10119,7294
74926455,79,10711,7133
75751357,80,11693,7394
76584355,81,10470,7133
77404287,82,10821,6823
78231945,83,10139,7334
79053360,84,10951,7154
79889614,85,10269,7394
80709577,86,10349,7354
81533807,87,11482,7775
82357918,88,11111,7304
83186097,89,11862,7384
84015377,90,10139,7304
84838355,91,11462,7515
85666444,92,10981,7203
86487609,93,11692,7544
87318632,94,11202,7684
88143124,95,10369,7094
88968336,96,11312,7164
89792958,97,11562,7254
90621537,98,11813,7564
91447271,99,9388,6482
92352897,100,11241,7825
93222865,101,14888,9669
94140103,102,12914,8116
95053494,103,10339,7765
95876462,104,10019,7745
96703548,105,10200,7173
97528140,106,10259,7244
98370695,107,9759,7324
99208822,108,11753,8065
100129377,109,11462,7865
101038680,110,13997,8205
101891896,111,10580,7314
102733129,112,10991,7414
103577188,113,10540,7635
104463868,114,14397,8727
105357641,115,9929,6943
106200878,116,10039,7054
107038144,117,9438,6943
107882643,118,12163,7755
108790584,119,12944,8026
109659430,120,10700,7665
110496104,121,10871,7685
111338480,122,10991,7554
112238315,123,10931,8816
113147527,124,11202,7133
113986216,125,10911,7834
114827759,126,9939,7244
115665787,127,10690,7444
116511679,128,11341,7625
117357000,129,10650,7314
118192963,130,10189,7234
119035659,131,10500,7133
119873385,132,10570,7104
120711292,133,10931,7324
121555601,134,10881,7725
122392617,135,10029,7143
123224081,136,12404,7444
124073801,137,9588,7584
124905405,138,10601,7394
125740457,139,10320,7444
126574526,140,12394,7655
127412513,141,9348,6783
128252935,142,10450,7244
129084660,143,10250,7123
129915824,144,10019,7254
130742480,145,10079,7354
131576139,146,11071,7224
132405049,147,10550,7835
133236754,148,10379,6934
134064591,149,12153,7615
134902217,150,9188,7194
135728562,151,9448,6683
136563213,152,9648,6933
137394467,153,12364,7584
138225260,154,10530,7334
139057466,155,11071,7625
139881847,156,10180,7093
140708162,157,9849,7214
141529648,158,10119,7374
142358337,159,10841,7544
143180184,160,10329,7915
144011959,161,10460,7113
144834186,162,11652,7384
145663707,163,12233,7444
146488539,164,9738,7324
147312609,165,10460,6993
148145296,166,12564,7534
148972422,167,10701,7324
149799849,168,9999,7013
150620202,169,9939,6894
151444664,170,11922,7855
152276729,171,9709,7013
153110639,172,11391,7084
153938937,173,10350,7284
154769230,174,10690,7274
155597188,175,10570,7464
156433101,176,12464,7434
157265036,177,9759,7124
158092043,178,10419,7475
158924399,179,11532,7604
159753118,180,9859,7394
160587308,181,10370,7043
161408152,182,10250,7043
162235199,183,10570,7184
163058418,184,12033,7414
163891385,185,11893,7314
164712941,186,9789,6582
165540889,187,11482,7594
166369728,188,11362,7294
167202205,189,11842,7595
168037226,190,10340,7073
168864533,191,9858,6783
169694214,192,11432,7113
170523965,193,11612,7204
171357213,194,10450,7214
172187576,195,10560,6743
173019040,196,9348,7044
173844734,197,11472,7274
174675427,198,10520,6964
175497163,199,10651,7444
176370578,200,11752,7414
177195390,201,12203,7394
178029419,202,11352,7144
178862156,203,10510,7545
179690014,204,10269,7234
180525336,205,10290,6772
181352452,206,11683,7694
182187794,207,11052,7594
183013328,208,10360,7223
183851004,209,11222,7163
184680666,210,11922,7174
185515907,211,11713,7394
186346650,212,9468,6763
187176001,213,9288,6753
188005311,214,11963,7404
188836776,215,11592,6973
189663371,216,10370,7685
190488574,217,10109,7444
191320299,218,10259,7124
192149209,219,10229,7294
192984631,220,9849,7193
193810435,221,10700,7284
194642220,222,10159,6984
195470879,223,11673,8045
196313555,224,10240,7164
197139930,225,10711,7314
197969892,226,10560,7474
198796096,227,12965,7685
199629645,228,9608,6974
200463965,229,9899,6913
201291903,230,9267,6904
202122245,231,11843,7614
202951696,232,11642,7324
203787288,233,10570,7405
204616308,234,10510,7525
205448254,235,10590,7404
206277725,236,9678,7014
207107336,237,10380,6983
207942398,238,10740,7835
208773712,239,9598,7144
209599686,240,10500,7424
210432152,241,11021,7555
211265460,242,10731,7214
212094480,243,10190,7183
212926165,244,10360,7074
213754244,245,10069,6943
214587772,246,10671,7213
215415139,247,10240,7534
216244590,248,9989,6973
217066817,249,12364,7404
217897470,250,9558,7184
218724626,251,10400,7284
219553817,252,10229,7374
220397895,253,12494,8186
221230812,254,9388,6793
222063970,255,10170,6993
222889423,256,10280,7113
223721319,257,9688,7214
224555779,258,10410,7584
225390881,259,11101,7274
226217246,260,10570,7835
227048380,261,10440,6903
227883051,262,11882,7775
228718503,263,9217,7094
229543816,264,9428,6722
230372655,265,9578,6823
231203418,266,12324,7654
232037287,267,10380,7354
232870506,268,11051,7544
233696039,269,10280,6963
234527995,270,9768,7304
235355201,271,10250,7504
236193188,272,10941,7745
237020785,273,10470,7855
237854204,274,10349,7074
238680178,275,11582,7214
239512694,276,12304,7524
240349008,277,9628,7264
241177146,278,10270,7023
242008070,279,12594,7344
242838352,280,10660,7374
243670798,281,9969,6924
244498756,282,9879,7044
245328508,283,11873,7865
246159331,284,9559,6953
246991718,285,11372,7053
247817933,286,10409,10100
248650309,287,10730,7234
249475732,288,10450,7634
250309040,289,12283,7364
251139593,290,9708,7224
251974875,291,10500,7614
252806600,292,11411,7625
253637994,293,9909,7424
254471963,294,10250,7123
255299110,295,10369,6994
256133580,296,10600,7434
256962420,297,12063,7384
257798233,298,11902,7465
258625129,299,9788,6763
259479327,300,11652,7855
260312595,301,11392,7354
261146474,302,11812,7665
261980423,303,10099,7004
262807159,304,9808,6884
263636700,305,11411,7084
264471260,306,11602,7324
265305721,307,10429,7064
266129641,308,10640,6733
266961416,309,9198,7143
267791268,310,11792,7445
268624766,311,10601,6893
269443957,312,10771,7284
270274881,313,11592,7434
271097158,314,11963,7494
271938010,315,12524,7885
272842584,316,11252,8466
273715969,317,10259,7184
274548485,318,10260,6953
275375882,319,11762,7595
276214891,320,11121,7805
277046977,321,10360,7173
277882329,322,11342,7203
278717391,323,11842,7204
279556690,324,11873,7514
280394327,325,9378,6622
281227535,326,10099,7284
282060181,327,11592,7675
282897327,328,10620,7174
283733881,329,10320,7825
284572519,330,10260,7584
285411528,331,10040,7213
286236801,332,10230,7314
287071462,333,9518,7324
287898068,334,10480,7444
288730394,335,10490,7013
289558582,336,11923,8005
290394665,337,10220,7184
291219267,338,10570,7304
292050812,339,10419,7394
292878168,340,13205,7905
293713320,341,9508,6813
294544333,342,9799,7024
295371299,343,9378,6833
296207042,344,11973,7705
297036854,345,11572,7304
297871585,346,10540,7534
298698731,347,10490,7565
299530747,348,10710,7545
300362973,349,9739,7033
301196702,350,10560,7043
302025071,351,10800,7705
302855493,352,9689,7043
303682629,353,10360,7264
304517911,354,11021,7535
305351620,355,10680,7174
306178265,356,10070,7173
307010141,357,10119,7043
307843218,358,10180,7274
308677068,359,10640,7304
309502861,360,10420,7525
310335258,361,9759,7013
311161172,362,12664,7464
312000131,363,9648,7274
312826937,364,10249,7244
313653612,365,10210,7303
314482953,366,12403,7625
315315098,367,9218,6743
316149939,368,10000,7133
316975202,369,10150,7123
317806326,370,10010,7354
318634355,371,10119,7434
319468745,372,10971,7374
320302324,373,10560,7734
321133708,374,10640,6933
321968088,375,12604,7825
322805043,376,9268,7083
323629504,377,9528,6663
324461800,378,9619,6903
325292323,379,12223,7485
326123267,380,10490,7253
326956855,381,11021,7575
327782198,382,10270,7013
328616739,383,9788,7194
329443635,384,10149,7344
330277574,385,10931,7564
331103508,386,10290,7905
331943259,387,10249,7104
332770465,388,11753,7364
333605837,389,12334,7294
334435508,390,9869,7164
335264157,391,10320,6953
336097947,392,12413,7264
336928239,393,10690,7244
337760415,394,9869,6993
338586169,395,9969,6973
339415940,396,11873,8035
340246794,397,9618,7104
341076054,398,11322,7143
341899323,399,10340,7204
342762077,400,10901,7364
343591468,401,10630,7635
344432681,402,12514,7624
345264386,403,9749,7043
346091532,404,10380,7655
346923909,405,11381,7705
347754972,406,9799,7474
348590886,407,10239,7114
349415838,408,10289,7074
350248445,409,10440,7273
351076142,410,12334,7394
351921143,411,11782,7344
352748369,412,9608,6673
353577489,413,11482,7575
354406279,414,11171,7344
355236832,415,11672,7604
356072193,416,10551,6933
356899390,417,9809,6833
357729091,418,11602,7144
358587156,419,12825,7745
359500537,420,11532,7855
360407185,421,11482,7344
