mark_time_ns,sweep_time_ns
89932,31069
128745,28214
60685,26992
24106,15850
32973,17434
49485,19447
44234,57339
49876,38513
52460,39506
136760,43924
53532,38513
39015,38834
62028,40457
73790,41449
55636,39215
52040,39796
61888,40717
39746,39645
68441,41869
61187,40918
52871,39164
43463,39295
52540,41149
48111,39746
49534,39676
65595,39986
50777,39425
53241,40367
60576,39906
52109,38874
44886,38343
48973,38694
51068,40857
45707,39175
49294,39816
60615,38714
56628,38864
44976,37872
48893,37531
57780,38403
59564,38773
109939,41219
85113,138333
70915,119398
101944,119417
80363,116983
92546,114499
75664,117794
81656,117915
63882,119588
84682,118125
183980,121081
90282,115450
92737,118085
190583,121833
69061,117895
73029,116833
65154,115691
65224,117494
85343,116762
87287,118536
141489,121482
88830,115199
68541,119077
92155,117174
77588,113386
63230,113236
76215,117784
89541,118676
76616,123425
76255,117253
87677,119188
68361,117784
74351,117053
92606,118977
63321,114819
69362,115591
72678,112124
77417,115841
69322,115841
64493,120640
89330,116732
74582,119959
71566,118767
72869,117073
80634,118656
83589,120059
76947,118496
58591,113236
65454,114929
97415,120189
62920,119348
67869,118666
61567,121191
95572,117344
90983,120169
76055,115480
205612,127113
68941,117625
87236,121321
73570,117915
69542,116863
71466,118165
65245,117945
73420,116723
60395,118987
63962,117684
74612,120580
72699,117894
74763,116902
227985,122543
66457,116382
75143,114378
60606,115300
68450,115230
74802,118516
60355,116362
81565,118766
64774,115991
189992,119818
67047,116022
95482,116011
97455,118336
62880,116772
78650,119297
71346,118235
89420,117935
76957,116001
87506,119698
88849,118587
73440,115159
63280,118616
94440,116211
67829,118987
63831,116472
72779,116171
197907,124938
67329,115951
62329,120930
67388,114839
71446,118115
62890,114549
80393,119628
81936,117434
110671,119006
74341,118185
56898,114619
70054,121281
96915,123836
75614,122363
82658,122283
73310,124918
67629,125119
100030,124137
77768,124046
93498,123836
74973,125259
75965,121271
74051,121111
71146,123716
151799,127563
87055,118787
80273,121491
75784,121412
75093,119688
62298,119077
84781,117765
78570,146318
90532,117875
65024,118626
65796,116993
127643,120660
70674,117364
82297,119277
80503,117895
63421,116302
68862,119668
58702,114288
77798,113266
72648,115931
88519,114869
77267,119248
64964,118857
81656,117955
86655,118726
75875,116963
155987,122584
72148,115460
67529,118536
61066,117314
69973,120941
78440,117855
67158,117845
73089,114789
80494,166677
68871,114919
64724,114077
85914,118475
179773,121291
93027,118145
74282,119157
70384,116212
90071,118386
78429,132202
68731,114678
64713,117073
85703,114829
81014,120099
70695,116822
63481,116071
189751,123125
62389,115691
56477,117384
71075,119708
75554,115249
89721,120850
76265,116112
72859,119207
76806,115360
65174,118095
74171,116182
91695,115430
185814,122514
80152,115280
62730,117333
61107,115470
92236,118836
187167,122283
75704,115811
71366,118295
73139,118977
73139,117965
78078,121802
88298,121803
77979,119037
62118,116883
65184,116301
94149,115210
64884,119287
69743,116682
61106,117294
75374,119448
69282,117935
72668,115831
85373,148764
85763,118616
96323,117194
76897,117334
62089,117193
68791,119538
85162,119218
96194,118345
79662,114468
74943,117343
75414,118195
73781,117544
76206,120539
80563,117544
64603,118606
58281,114327
77708,116643
80203,126401
91414,116171
