mark_time_ns,sweep_time_ns
1250333,42671
1751338,126741
1972279,149214
4889468,188660
2123007,383521
1226979,305462
1315137,310752
1207652,317405
1168317,314289
1202061,319068
3133161,418308
1262036,329828
1266854,323747
1289378,325169
1268006,328396
1262456,328787
1236717,315852
1218653,316363
1182754,315501
1191772,314790
1172013,318447
1183476,318497
1207661,322595
1169730,317505
1180200,315721
1184738,314429
1181702,316534
1175811,319489
1178266,316563
1189797,320661
1187273,343655
1177905,318858
1183666,316463
1186041,314930
1172805,313898
1209896,317746
1196701,317285
1214394,319489
1196230,318467
1220235,315261
1199887,315341
1228571,318187
1177985,313918
1213052,320692
1179228,317295
1179859,318617
1170320,314840
1180711,320521
1177374,314900
1191350,318347
1195759,318897
1249862,323937
1214675,315281
1209325,315301
1190479,316212
1196931,315532
1215607,314058
1194577,318287
1195769,313909
1200148,313838
1197813,314259
1201861,316744
1193806,315952
1203894,320311
1178316,317094
1175911,320160
1179378,320401
1172875,317716
1172134,325471
1190238,318617
1190879,314500
1226628,321502
1187443,316524
1178967,322775
1184548,314158
1181401,319269
1167084,314259
1177704,315422
1172104,325821
1178275,319830
1161193,312115
1180469,342723
1172515,327534
1184427,317235
1341547,332093
1203273,317194
1182834,315722
1196249,316524
1182554,314349
1199006,318567
1184548,314109
1214725,321162
1191591,319408
1188856,320501
1148069,320370
1176843,330781
1189317,327083
1190319,317375
1194637,318848
1198815,318096
1189687,317606
1202362,317615
1184417,315682
1190489,314830
1178517,313006
1192613,319389
1171974,315491
1185319,321512
1171483,314520
1188856,316714
1176973,322886
1190479,319348
1199857,318497
2402879,332354
1183195,319889
1188265,316333
1177965,313958
1187142,317215
1159891,317294
1191211,318677
1166162,317826
1186872,318036
1181331,312075
1182334,316894
1165912,315000
1181972,317526
1181592,321192
1219023,318567
1186191,316112
1205648,320501
1208473,314259
1192813,320331
1190268,319379
1198254,321613
1181401,317906
1177364,324158
1166573,338204
1176752,330110
1181622,327965
1191170,318487
1188546,316272
1189447,316103
1171783,313738
1202081,317235
1209545,312285
1215938,317715
1214615,321112
1194967,317505
1179037,315391
1195919,321593
1175320,316143
1196951,316283
1175460,313187
1195499,319609
1189948,320300
1197553,318607
1182053,320491
1184588,319328
1170742,317956
1182654,316503
1184558,315361
1192883,317666
1181803,318056
1183926,315020
1163598,313097
1181031,309540
1160181,311925
1178757,319359
1174639,319619
1190458,330711
1170020,313588
1187213,318547
1194516,317696
1184788,316844
1190128,319809
1232910,324147
1193495,339737
1177314,329397
1168086,329698
1197682,319690
1186512,313196
1197693,319639
1193525,313116
1224253,314950
1216398,312496
1216639,315301
1206760,315542
1206209,320380
1212792,316493
1185450,318607
1158698,318568
1182233,317796
1179828,313017
1179978,319600
1175570,314860
1202893,333615
1197623,320040
1190769,320812
1179989,317866
1190570,315551
1188155,316112
1204806,321613
1180410,314379
1188676,306003
1176803,312335
1191571,314730
1170551,314579
1184117,318978
1183926,315471
1191161,329548
1174849,326232
1205468,316223
1212110,314951
1193965,313919
1187112,318948
1281662,319279
1231126,321152
1191661,315722
1189547,313177
1181852,318187
1171222,317896
1183636,315902
1173427,312956
1205328,316934
1187273,322535
1196330,316433
1180630,315261
1210567,315391
1205137,315552
1202051,317856
1189437,319089
1194577,318207
1196039,315742
1193415,315962
1191812,316763
1193033,320972
1193224,319368
1189477,322985
1176202,316393
1191431,319649
1182053,312245
1203864,316203
1171793,313758
1182183,314189
1181973,314970
1205137,319649
1177955,315892
1179397,315532
1187323,313107
1188926,316133
1174719,317495
1179758,314570
1179217,314229
1172585,320852
1169489,313137
1185770,313437
1176954,326792
1191241,336441
1295790,325480
1200048,316864
1188545,314750
1197422,316263
1178376,316523
1194897,312466
1176862,312115
1196590,314860
1179658,315631
1191571,319930
1176402,316003
1188736,314128
1169650,321192
1178717,316744
1179038,313918
1188004,316954
1171894,317906
1181772,328827
1165722,327614
1178627,326211
1196921,320812
1212531,317515
1199316,314659
1183806,319469
1191501,322094
1197752,318137
1186672,316804
1198113,316333
1183065,315181
1189076,319388
1181502,313437
1190970,316583
1174809,314680
1191982,315311
1167866,315211
1190789,319529
1164981,317024
1186652,341951
1174298,329208
1197462,319589
1195639,318988
1217210,322545
1171573,314870
1186712,318837
1174388,321252
1181492,319549
1180490,319779
1180049,317355
1172975,330290
1165972,327705
1196250,313157
1199647,316954
1188976,313057
1206689,315612
1189758,315802
1200247,315682
1174518,314750
1174498,320071
1172786,330900
1180339,327134
1171614,319939
1208323,325881
1196661,320290
1183155,322284
1176232,317445
1177594,317656
1201330,317846
1226468,316323
1185059,311964
1192964,315261
1186972,315742
1192423,315121
1175000,315171
1174579,314289
1176372,316884
1263498,325200
1209916,315661
1195679,315702
1193795,316843
1186552,316232
1173436,310793
1202562,316152
1179729,320030
1184467,318648
1163297,316843
1180009,327544
1181963,314609
1204946,318367
1182373,319870
1212451,318717
1208453,314720
1200848,315512
1210918,318066
1187222,320501
1192122,319108
1193234,321854
1173386,317956
1192362,318978
1178856,316163
1187143,317074
1171512,317175
1172915,316053
1182143,317605
1195769,321062
1193825,317585
1178256,318246
1185169,317004
1186561,313337
1182063,317866
1196470,315191
1187413,313908
1191761,319479
1171072,314769
1193404,319299
1170561,313548
1181271,317916
1170701,316784
1184297,330360
1176342,326682
1178836,326633
1177294,329698
1210918,318988
1186140,309190
1206429,320611
1205347,320431
1202131,318166
1194817,318708
1192633,318076
1177303,318978
1192903,313548
1186702,315301
1189327,317325
1170671,315020
1182073,316162
1168918,317996
1172675,322234
1162405,317375
1183566,330510
1181551,332003
1185429,330731
1172715,316493
1193144,314810
1213533,313367
1191210,314279
1210918,322835
1254641,318036
1171452,315632
1190399,315221
1174037,313698
1174528,313678
1175751,317666
1185840,323506
1169288,313698
1187212,327695
1169379,325681
1186892,318467
1168046,314269
1198244,319158
1192863,323877
1193284,317806
1176543,315902
1197793,322375
1176102,314139
1182775,319559
1180029,313327
1200559,319699
1217230,316933
1214785,316393
1183295,313798
1186451,320972
1185188,317415
1201080,319949
1169789,315621
1186752,318738
1183045,315631
1197423,314419
1165050,314379
1181983,316353
1199716,325160
1176172,318978
1168476,318698
1184488,316302
1175110,314820
1181302,316784
1176071,308298
1184628,349776
1182574,332604
1203243,321723
