mark_time_ns,sweep_time_ns
28184,14427
9648,7324
8526,7274
8135,7084
7875,7344
7915,7674
28966,13956
9208,8696
7475,7293
13235,7174
7364,7234
7334,7415
7123,7084
7113,7425
7074,7244
7223,7525
7174,7374
7164,7424
7024,7163
15860,7645
6963,7214
7094,7164
6993,7214
7004,7384
6964,7143
7093,7435
6934,7233
12644,18535
33935,30338
32983,29096
33434,30678
33875,31921
33253,28174
22583,8276
6933,7304
7154,7594
6943,7093
7083,7384
7033,7254
6873,7093
7013,7444
7084,7354
7003,7134
6853,7224
6974,7414
8436,7184
7103,7595
6993,7435
6924,7243
6923,7214
7084,7574
6933,7153
7124,7424
6934,7223
7043,7354
6923,7244
7093,7575
6833,7214
7164,7464
6943,7284
7124,7174
6964,7244
7144,7464
6943,7083
7064,7544
6913,7224
7093,7525
6994,7394
7123,7404
6974,7143
7223,7404
6903,7274
29276,25278
10150,10510
7815,7584
7204,7073
6943,7445
7113,7334
7074,7023
7454,7454
6803,7324
6773,7164
6793,7214
7223,7555
6923,7064
6963,7444
6713,7224
6983,7304
6823,7213
6944,7504
6873,7093
7284,7575
6973,7244
6983,7094
31730,28565
32963,29196
32732,30529
33834,30569
44505,37792
15560,8596
8786,7515
8156,7474
7665,6963
7614,7444
7284,7274
7294,7123
7144,7144
7094,7454
7074,7043
7134,7294
6943,7073
7054,6963
6983,7094
7094,7404
6843,6884
6913,7244
6843,7234
7043,7034
6903,7274
6863,7083
6823,6943
6803,7134
6873,7664
6863,7033
7013,7294
6732,7094
6833,7213
6964,7153
7224,7424
6753,7013
6843,7274
6742,7124
6853,6963
6753,7104
7043,7615
6753,6953
7013,7274
8867,7504
7695,7705
7614,8076
7033,7494
6933,7084
7083,7304
7555,7855
6873,6923
6753,7133
6913,7324
6963,6954
6973,7384
6742,7114
6743,6953
6844,7073
7053,7324
6913,6943
7003,7284
6863,7324
6843,6924
7024,7364
6823,7064
6752,6994
6893,7114
6903,7505
7004,7484
7254,7705
6773,7334
7815,8376
17453,16512
7004,7414
6894,6983
6873,7404
6873,7073
6843,6884
6983,7063
7154,7334
6753,6943
7073,7244
6633,7093
6763,6893
6753,7103
6944,7313
6823,6984
7033,7494
6913,7064
6883,6883
6843,7043
7034,7424
6843,7134
6873,7445
6723,7053
6883,6883
6743,7003
6803,7294
6793,6913
6963,7394
6823,7234
6833,7113
6752,7174
6833,7153
6883,7304
6824,6903
6933,7364
6773,7143
6673,6923
6763,7043
7264,8146
6923,6974
7064,7534
6883,7184
6833,7094
6753,7113
6863,7334
6783,6923
6893,7534
6853,7234
6783,6883
6823,7224
6823,7264
6703,6903
6913,7314
6703,7134
6803,7004
6833,7083
6853,7284
6823,7063
6953,7264
6753,7084
6813,7103
6693,7023
7163,7535
6813,7314
7124,7434
6984,7424
7104,7093
31721,28374
7645,7274
6964,7113
6813,7104
6953,7475
6883,6934
6863,7244
6893,7073
6783,7124
7044,7123
6963,7354
6963,6914
7204,7504
6853,7274
6973,7064
6843,7194
6953,7284
6964,6893
7294,7334
6692,7064
6873,7093
6803,7184
6993,7264
6833,6873
6853,7254
6733,7113
6813,6913
6903,7294
6944,7364
6772,6894
6863,7244
6803,7164
6873,6964
6873,7083
7074,7494
6833,6903
6833,7274
6793,7064
6833,7054
7825,7735
6883,7144
6833,7093
6833,7204
6984,7384
6723,6913
6873,7535
7033,7855
6993,7484
6753,7214
6903,7304
7023,7274
7044,7324
6923,7244
6813,6954
6853,7124
6953,7244
6843,7003
6793,7214
