mark_time_ns,sweep_time_ns
44766,24156
23024,13967
11282,7755
10349,7454
9719,7554
10309,8286
9859,7804
9629,7724
9077,7545
8997,7344
8917,7564
9267,7565
8927,7404
8817,7534
8766,7655
8576,7374
8626,7314
8907,7474
8566,7344
9157,7474
8907,7535
8556,7504
8967,7444
8897,7183
8596,7494
8877,7384
8897,7494
8576,7535
9077,7605
9368,8265
9057,7925
8787,7464
8587,7664
8717,7193
9598,8095
9098,8085
9097,7915
8657,7524
9037,7675
8656,7404
8636,7394
9528,8075
8517,7364
8827,7575
8637,7685
8467,7334
8907,7494
8676,7564
8686,7374
8746,7455
8687,7414
8867,7394
8496,7504
8596,7555
8727,7554
8857,7555
8536,7525
8596,7284
8467,7283
8646,7314
8526,7304
8756,7454
8396,7524
8847,7454
8747,7434
8305,7555
8747,7434
8597,7213
8737,7464
8466,7444
8456,7404
8396,7454
8667,7474
8667,7534
8526,7354
8436,7394
8426,7585
8437,7223
8717,7464
8476,7544
8647,7263
8466,7475
8416,7444
8306,7253
8446,7244
8416,7464
8446,7284
9277,7314
8747,7585
8476,7294
8527,7414
8516,7454
8616,7264
8486,7444
8617,7233
8546,7445
8766,7435
8516,7444
8426,7354
8767,7474
8696,7785
8246,7274
8766,7485
8336,7584
8356,7063
8807,7414
8446,7464
8286,7264
8436,7444
8577,7474
8506,7274
8406,7274
8436,7484
8466,7304
8736,7424
8406,7625
8215,7204
8717,7424
8617,7654
8456,7304
8697,7444
8436,7204
8616,7264
8345,7435
8496,7454
8526,7465
8817,7454
8587,7474
8597,7294
8506,7274
8517,7253
8456,7314
8646,7484
8527,7885
8737,12473
8807,8266
8456,8045
8726,8076
8887,8947
8927,8647
8676,7785
8817,7644
8656,7554
9137,7955
8807,8987
8787,8656
8666,8927
8507,8215
8476,7534
8727,8296
8406,7745
8696,8086
8406,7814
8576,7775
8416,7764
8627,7804
8546,8196
8716,7986
9478,7544
9108,8135
8937,7595
8967,7775
8716,7845
8907,7534
8757,7694
8968,7514
8557,7875
8917,7654
8657,7804
8506,7564
8806,7595
8586,7575
8376,7454
8877,7565
8526,7654
8457,7083
8786,7555
8506,7454
8336,7243
8386,7394
8406,7434
8436,7314
8466,7234
8426,7454
8416,7394
8697,7464
8416,7654
8236,7224
8596,7354
8897,7535
8616,7334
8587,7414
8456,7254
8617,7244
8466,7444
8356,7445
