mark_time_ns,sweep_time_ns
48573,21320
23895,14398
20740,14587
19989,14146
18996,14989
18765,14588
9418,7634
9688,8256
9017,7435
10019,8076
9118,8155
9047,7584
9849,7825
9097,7795
8727,7905
8836,8086
10249,7745
9178,7945
9909,7775
8857,7835
10210,7895
9559,7905
8877,7985
9317,7915
8587,7504
8967,7985
8656,7615
8596,7625
8816,8086
9127,7695
9077,7885
9028,8095
8697,7885
9508,8116
9699,7785
8967,7695
8957,7685
8766,7505
9528,8005
9007,8416
10490,8807
9428,7765
9137,7835
8867,7925
8917,7474
8747,7644
9138,7814
10069,7745
8656,7605
10029,8035
8836,7865
9137,7474
9608,8115
8616,7775
9187,7855
8816,7855
9147,7695
8777,8235
8717,8146
8517,7714
8666,7705
8847,7995
8566,7374
10109,8306
8567,7674
9519,7754
8857,8095
9889,7965
8857,7915
9418,7895
8957,7935
8606,7555
8556,7885
8516,7715
8817,7845
9028,7784
8597,7764
8556,8066
8556,7845
8406,7314
8596,7645
8696,7795
8476,7514
9689,7644
9207,7705
9518,8126
8937,7655
9388,7715
8817,8045
9759,8055
8766,7715
8716,7795
8856,7445
8968,7885
8526,7685
8797,7555
8526,7815
8766,7515
9959,15499
8527,8175
9048,7814
8586,7865
9248,7925
9307,7555
8536,7925
8707,7725
8626,7544
8436,7775
8806,7815
9027,7916
9288,7885
9017,7835
8656,8076
8416,7665
9848,7905
8617,7634
9298,7875
8977,7705
9979,8025
9078,8025
8516,7514
9108,8035
8246,7594
8637,7283
8957,7915
8546,7635
8556,7695
9588,8236
8987,8085
9688,7705
8617,7915
9759,8256
9578,7715
9177,7815
8586,8005
8447,7334
9228,8065
9668,8877
9117,7645
9017,8046
8817,7845
9027,7675
8165,7825
8676,7695
8746,7725
9388,8106
8797,7865
9157,7695
9027,8256
8627,7724
9448,7825
9107,8246
9308,7734
8596,7885
9608,7825
8616,8046
8666,7524
8697,7925
8737,7905
8917,7915
8867,7685
8696,7845
8537,7474
9769,7715
8546,8055
9638,7605
8587,7544
9408,7895
9228,8186
8887,7915
9047,7815
8416,8045
9438,7675
8486,7274
8557,7845
8486,7514
9208,7745
8717,8216
9358,8426
8816,7565
8516,7865
9669,7875
8987,7585
9248,8506
8717,7615
9558,7725
8796,8076
9087,7705
8616,7725
8806,8086
8556,7484
8305,7475
8206,7624
8116,7644
9719,7725
8516,7805
9248,7844
8737,7664
8457,7704
9018,7855
8987,7865
8616,7795
9749,8656
9598,8095
8907,7865
8606,7725
8927,7825
9188,7694
9138,8225
9337,7595
8817,7905
8687,7945
9738,7725
8707,8085
9558,8116
9097,8136
9979,7555
9277,7986
8977,8156
16251,7905
8517,8265
9778,8366
8837,7795
8767,7765
9218,8156
9808,8506
8757,7945
9468,7956
9157,8176
8777,8025
8987,7755
8617,7784
9508,9468
9058,7644
9658,8105
8607,7775
10280,7534
8857,7925
9117,8226
8536,7434
8516,7704
8667,7785
9117,7795
8787,8376
8817,7795
10109,8125
8776,8286
9097,7795
9639,8315
9048,8185
9298,7684
8677,8105
9588,8105
9237,7725
8656,7795
8807,7895
8797,7975
8947,7945
8998,7774
8716,7966
8456,7625
9548,7785
8607,8125
9769,7705
8606,7574
9408,7965
9067,8326
8957,7975
9247,7965
8607,8185
9578,7835
8676,7415
8697,7975
8567,7604
9408,8015
8837,8847
9478,8707
9037,7634
8757,8015
9768,7995
9157,7655
9568,8537
8667,7634
9438,7765
8887,8165
9097,7755
8677,7795
8938,8135
8486,7494
8476,7504
8295,7705
8175,7695
10059,8086
16031,7885
9298,7925
8807,7695
8646,7705
9117,7905
9017,7915
8676,7875
8997,8086
8937,7584
9157,7975
8727,7865
9027,7735
9318,7845
9168,8265
9357,7595
8857,7915
8677,7965
9849,7815
8677,8175
9808,8176
9208,8196
10029,7654
9268,8055
8987,8156
8927,8016
8596,8196
9869,8306
8827,7785
8806,7735
9147,8266
9919,8145
8827,7895
9438,7935
8877,8106
8697,7855
8667,7734
8416,7725
9438,7966
8947,7574
9648,8066
8486,7674
10140,7564
8877,7885
9157,8176
8526,7444
8526,7735
8487,7774
9017,7906
8917,8626
8987,7795
10049,8186
8907,8406
9077,7855
9598,8396
9128,8145
9599,7764
8786,8186
9579,7975
9057,7855
8807,8236
8957,7805
9057,8106
9157,8016
9108,7775
8747,7975
8416,7565
10230,8316
8697,8145
9698,7695
8627,7614
9398,8095
9348,8226
8847,7915
9218,7905
8617,8235
9488,7775
8666,7464
8696,8076
8697,7644
9468,7855
8797,8296
9528,8576
9007,7585
8546,7925
9688,7925
9048,7604
9408,8487
8717,7645
9588,7835
8907,8115
9148,7744
8686,7745
8877,8125
8547,7564
8416,7574
8376,7705
8226,7805
9809,7895
8677,7905
9328,7985
8767,7705
8496,7715
9257,8196
9118,7925
8617,7895
8937,8076
8937,7544
9008,8135
8516,7765
8706,7695
9248,7885
9177,8306
9298,7585
8747,7915
8787,8015
9718,7875
8727,8145
9458,8356
9098,8155
9769,7625
9257,7965
8957,8146
9017,7955
