mark_time_ns,sweep_time_ns
87733,20390
117672,22288
69856,18630
19787,15122
51762,18400
49476,17514
91411,21202
31222,17585
48801,17759
87628,20796
27633,16321
48889,17264
87192,20877
26986,15528
48551,18070
49114,17830
91423,21422
72348,19115
19190,15248
49306,17220
48795,17389
88273,21065
68574,19665
17883,14910
48818,17298
49919,17513
92202,39400
71267,19566
19555,21400
50719,17404
49055,17456
89955,21258
68167,19069
18974,14754
48941,17526
48487,17428
90290,21345
69139,19548
19317,15539
49148,17262
47858,17515
89421,21243
67873,19019
18775,14689
48983,17449
48596,17379
89682,21112
70769,19240
18934,15421
49118,17163
49060,17301
88956,21222
68134,19026
19056,15145
49108,17238
48172,17286
90078,21110
68689,19399
19168,15415
48780,17143
48845,17540
88721,21258
69424,19128
18953,14746
49346,17167
48869,17527
88683,21124
69241,19490
19006,15372
48693,17279
48737,17426
90194,21210
68876,19250
19242,14794
49130,17160
48346,17314
115280,22525
121155,27239
39623,28793
69656,27043
77482,39094
139158,27612
125475,29718
35172,19573
51954,17591
50605,17475
91859,21379
69984,19868
19318,15580
49549,17331
48823,17225
91303,21517
68805,19089
19026,14885
49992,17630
48510,17429
90407,21134
69490,19518
18744,15490
48548,17308
50376,17436
89801,21458
68592,19214
18804,14769
48993,17294
49747,17456
94718,21468
68866,19405
18796,15433
49321,17343
48844,17318
89801,21496
67732,19220
19330,14945
48739,17153
48555,17326
89736,21045
69515,19585
18288,15489
49318,17411
49738,17393
90460,21231
70075,19145
19416,14858
48970,17549
48285,17386
90022,21369
68987,19153
18858,15459
49277,17166
49248,17520
89456,21241
68338,18965
19217,14799
48725,17796
48473,17254
88909,21036
69062,19489
18619,15474
49341,17146
49383,17257
88350,21391
68827,18929
19249,14730
49458,17265
48243,17344
89625,21042
68216,19400
18977,15596
48706,17163
48525,17157
88136,21137
68492,19042
19399,14954
48575,22589
48595,17252
88684,20920
69192,19460
19201,15501
48463,17110
48502,17557
88956,21229
69583,19014
18608,15095
48287,17196
48534,17199
90900,21097
69907,19436
18395,15546
48203,17176
49298,17270
89030,21332
71452,19374
19254,14751
48655,17322
48189,17393
89915,21156
70039,19446
18907,15498
50187,17156
48916,17358
89349,21155
67947,19146
18909,14908
48831,17270
48363,17196
91257,21165
68494,19408
19245,15336
48323,17192
48539,17309
89998,21073
68765,19153
18712,14649
53380,17264
48726,17448
90865,20998
68996,19308
18752,15560
48611,17168
50242,17484
89261,21334
68394,19150
19648,14840
48355,17159
48701,17500
90020,20990
68710,19526
18698,15384
49313,17169
48832,17409
88856,21135
68534,18962
22209,15531
50074,17269
48411,17399
88918,21058
68565,19499
19074,15457
49428,17225
54306,18530
98494,22306
70665,19552
19383,15609
49658,17705
49073,17985
90758,21842
70635,19979
19601,15856
50299,17578
49394,18073
