mark_time_ns,sweep_time_ns
50171,27798
49551,17220
47166,16571
46192,16658
29911,16813
49307,14911
36111,15904
60708,15003
13592,15720
50859,15002
44703,15452
32905,15626
62713,15597
37373,15949
42121,16337
25977,16404
23220,15182
46561,14452
54873,15745
19531,15127
39799,15587
18482,15516
28034,15259
42189,15044
16489,15347
38356,15596
38852,15692
40391,15876
24968,16170
47020,14326
32484,15826
56763,14656
12734,15385
48973,14906
44241,15412
31942,15686
55146,15454
36720,15761
40649,15896
25003,15898
18331,15252
47352,14492
55700,15834
19211,15095
39488,15308
18439,15494
28376,15131
41424,14716
15898,15205
39020,15589
37738,15727
39146,15705
26099,16333
47775,14278
32779,15750
54825,14593
12819,15408
49428,14852
43670,15417
31571,15609
56478,15215
35003,15936
39541,15881
25237,15968
18903,15227
46078,14465
55087,15732
19332,15138
40375,15354
18026,15687
28247,15254
41038,14857
16503,15234
37811,15621
39200,15675
40786,15726
25188,16250
43074,14362
32652,15776
55961,14739
12341,15353
48957,14931
45285,15340
31427,15615
54873,15256
36175,15767
40763,15914
24665,15905
18545,15208
47622,14491
54812,15725
18980,15149
38946,15455
18407,15520
27809,15203
49922,15456
17345,15634
41758,15771
39064,15703
40002,15697
26259,16360
44211,14396
32534,15736
55799,14614
12373,15376
50342,14851
44319,15255
31670,15664
55543,15120
35666,15673
39514,15965
24676,15911
19492,15248
46354,14362
55120,15720
19743,15249
41017,15313
18604,15454
29222,15323
43543,14880
16855,15227
37881,15570
39368,15731
40234,15586
24442,16179
44299,14425
32947,15689
57169,14563
12457,15302
49406,14870
45413,15363
