mark_time_ns,sweep_time_ns
28706,16456
17583,15889
17116,15932
26331,27680
25777,26585
16429,16377
14185,14883
17949,16811
15157,14999
20684,14718
14240,14806
14754,15090
14267,14824
14017,15077
13578,14693
13992,14775
13902,14857
13779,14973
13398,14566
18223,14970
14078,15063
13990,14859
14257,14817
14060,15137
15071,15078
17877,16798
15190,15194
13223,14599
10997,14348
11346,14745
10637,14209
11473,14773
10815,14533
10692,14298
11223,14537
10666,14880
10625,14184
10948,14742
10845,14239
11395,14427
10923,15060
10662,14565
10737,14363
10786,14490
11379,14690
10457,14127
10728,14755
11361,14673
10799,14310
10732,14518
11561,15688
11465,14365
11567,14852
10791,14584
28253,42393
25523,25534
18061,16283
17187,14897
16975,15953
14882,15457
13916,14858
13365,15010
14179,15125
14203,22956
14151,15110
13400,14636
13368,15028
14165,15235
14060,15448
13102,14703
14319,15285
13423,14618
13967,14512
13600,14652
13851,14903
13413,14522
16704,17271
13157,15712
11650,14796
10725,15225
10533,14955
11070,14775
10620,14862
10888,15176
10325,14642
11413,15156
10647,14890
11236,14552
10985,14863
11065,15115
11121,14247
11764,14972
11098,14737
11330,14555
11307,14714
11474,15155
10929,14529
11339,15078
10997,14952
11266,14892
11419,14958
12137,15175
11377,14285
10865,14736
11261,15253
25298,26520
24512,21284
19615,17237
18619,15583
16318,15510
14175,15081
13968,14779
14037,14871
13139,15137
13878,14577
14154,15425
12995,14932
13962,14993
14132,15032
13816,14914
13378,14493
13570,14755
13540,15160
13891,14536
14787,15162
13139,14569
15499,15792
15853,15874
15297,15199
14583,14464
11934,15086
12002,14922
11602,14478
11232,14701
11598,14961
11327,14294
11623,15067
11683,14425
11298,14263
11469,14611
11659,14828
11893,14352
11585,15044
12072,14644
11651,14492
11224,14472
11456,15089
11210,14337
11074,14957
11901,14620
11165,14295
11632,14583
13044,15311
12444,14419
12581,14928
11690,14921
25184,25934
23775,20816
17436,15790
13810,14934
18724,15856
13879,15798
13309,14709
13554,15318
14095,14708
14299,14602
13415,14611
14457,15062
13236,14616
14059,15085
13297,14629
13919,14543
13651,14607
12934,14995
13793,14600
13767,15046
13717,14545
14023,14775
16204,15431
12206,15135
10980,14303
11210,14923
11298,14477
11230,14217
11556,14546
10946,14751
10822,14214
11139,14785
10434,14457
10495,14293
11219,14489
11140,14789
10515,14347
11061,14491
10647,14700
10894,14235
10322,14308
10611,14527
10551,14755
10607,14275
10873,14778
10480,14533
10582,14197
12970,15204
12596,15002
11604,14316
11691,14902
24992,26495
25533,20451
16725,15574
13448,15568
16966,15836
14717,15618
13584,15232
13668,14499
13494,14630
13608,15066
13878,14614
13337,14923
14271,14709
13612,14565
13439,14636
13364,15059
13670,14561
13364,15142
13624,14704
12953,14897
14583,14881
14382,15833
17561,15524
11914,15085
10382,14762
10445,14515
10521,14860
10652,14513
9915,14398
10147,14462
10219,14648
10113,14156
10079,14916
9801,14667
9993,14284
10255,14479
10613,14759
9912,14209
10523,14995
9985,14658
10182,14228
10093,14479
10203,14768
10017,14197
10287,14922
10546,14412
10497,14128
12604,23854
11337,15075
11567,14220
10816,14782
23994,25702
25472,24271
14156,15220
13712,15584
16198,15722
15117,15694
13982,15027
13809,14791
13801,14689
14234,15175
14066,14562
14299,15108
13866,14966
14612,14687
13054,14887
13772,14713
13914,14670
13629,14638
14648,15106
16104,14686
14633,15024
13803,14706
17050,15962
14807,14906
13902,15147
12584,14624
12929,14876
11779,14817
12494,14282
12027,14501
11704,14895
11684,14300
11949,14956
11233,14576
11866,14349
11244,14652
11875,14871
11543,14219
11460,14869
11612,14561
11620,14675
11677,14922
12237,15162
11480,14369
11657,14761
11065,14486
11169,14198
11396,14615
12266,16047
11629,14834
11839,15188
23352,24599
24977,23886
17732,16546
16744,15621
15816,15324
15089,15380
14203,15251
13712,14674
13372,14961
13438,14642
13832,14943
13830,14663
12897,14837
13781,14698
13788,14980
13551,14651
13262,14630
14386,14701
13508,14909
13644,14543
13709,15016
14140,14750
17024,16334
13276,15345
12276,15060
11222,14424
12208,14897
11305,14407
13815,14157
11285,14509
11490,14773
11296,14266
11052,14701
10675,14422
11456,14080
11398,14340
10882,14689
10558,14224
11065,14912
10726,14872
10660,14307
10728,14702
11052,14305
10629,14019
11814,14916
11025,14846
10936,14126
11493,14700
11744,15046
11753,14565
12014,14688
27426,31134
25295,26553
16082,16206
14291,15371
14805,15926
17501,15193
14058,15436
13479,14699
14222,14990
13500,14561
13263,14643
13589,14962
13256,15065
14094,14788
13716,15098
13967,14674
13822,14648
13328,14668
13574,14914
13551,14714
13805,15125
13603,14739
16014,16083
13560,15293
12478,15030
11614,14276
12216,14891
11466,14865
12264,14316
11277,14867
11446,14496
11764,14011
11107,14605
11526,14863
11292,14163
11286,14770
11454,14443
11174,14153
11783,14420
11349,14683
11982,14130
11648,14606
11479,14400
10990,14122
11405,14463
11369,14731
11133,14151
11306,14733
12494,15286
11593,14209
11399,14474
20719,19966
34304,38295
18997,16360
16631,15720
13842,14746
16964,15607
