mark_time_ns,sweep_time_ns
157164,35830
146018,53038
118364,46356
146989,63092
148920,72365
135421,58434
128639,56381
127900,51751
125116,48612
127896,54782
137481,59322
125110,47076
138367,57047
126648,50796
117375,45687
141952,61389
126373,49849
118129,46035
128528,53230
125849,48971
129073,56433
125675,52718
131499,127955
139759,60180
124869,52840
230907,48826
130601,55695
127019,56982
127458,48734
126533,54044
122930,50688
126709,47708
132337,54253
125365,52367
123751,47145
124247,54580
123342,51158
132713,47486
139528,60984
124304,48889
122943,48411
129324,54963
126723,50177
123281,47104
127793,53692
125044,51214
125146,50934
126120,54445
126183,51089
121066,45874
127587,54866
128873,51466
121830,48171
130278,57969
124815,50639
120009,48205
128654,54937
136841,59147
118463,56622
124318,51186
138740,59614
133269,56115
122294,51500
124997,53363
129989,56017
122921,51360
126096,48139
126426,54702
125752,53053
124469,47616
132075,54638
124810,50488
124194,48108
125455,53463
123016,50686
123730,47242
124648,54744
124538,49863
122013,46111
128124,53728
123675,50324
121223,46257
128691,53717
124673,49598
121860,45804
127236,54590
127386,50995
120772,46532
126460,52847
128967,50712
118705,46004
138937,58420
143853,70150
132530,66008
139971,62010
126221,50884
117456,47228
136781,54375
125559,50056
118665,46568
130211,53930
131252,54852
121376,46406
129650,54675
125779,50490
118233,46043
128703,53040
123702,50375
117878,46367
128144,54331
124717,49611
117803,46564
129132,53399
124316,53318
116060,46044
128813,54209
124664,50176
118499,46558
133735,53910
126506,49863
118487,46339
127901,53722
123292,49479
117649,46160
128323,53856
124655,49115
118890,46084
129445,54943
125199,49626
117641,46035
130122,53802
123453,49398
118747,46566
128139,54470
124931,50120
124452,50680
133182,55578
126992,51356
120244,47708
132676,54905
126081,51165
120433,47302
132691,55475
127822,50276
120205,47952
131381,55350
125964,49760
120167,48090
131031,55887
125729,50472
118912,47668
132691,59134
126480,51724
119613,45816
130884,55701
126126,50299
118107,46715
131635,55071
128201,51027
126049,46472
130818,55046
127695,50707
123671,48933
134103,56987
130392,52398
122736,48851
133895,57201
126204,50439
122043,46913
130453,54819
127388,50668
121330,47211
131604,56044
126844,50683
119448,47090
130136,54791
124523,50328
118363,47139
137173,59663
153690,71553
135448,68444
144463,71143
127862,51127
119764,47197
130959,56422
123437,49896
119360,46600
134254,54148
123877,49924
121062,48819
130870,55177
124682,50703
116795,45275
128001,53770
125502,50964
117525,45685
127689,53883
124404,50116
117926,45482
129525,54836
126049,50231
117976,45680
129875,54126
124573,49915
116760,46360
129546,54494
123493,50386
116203,45586
134586,53932
124459,50030
116156,45854
