mark_time_ns,sweep_time_ns
45901,24225
32152,23194
27752,23567
26411,21608
27352,24196
20780,16392
18769,15019
18352,15913
17748,14795
18063,15508
16738,15808
16735,14754
18270,15112
16393,15307
15786,15283
16027,15551
17881,15036
15652,15243
16207,14898
15490,14986
16623,15168
15756,14906
14896,15124
14997,15431
14556,15147
13671,15241
14500,14605
14709,15139
14743,15275
14737,15315
13806,15110
14135,14963
13806,15490
15102,15354
14813,15937
14362,15450
13672,14862
15139,15998
14144,15072
12899,14581
14265,15300
15068,15776
14865,14516
13525,14713
14132,14356
13412,14946
17291,16299
17399,15474
15797,15535
15917,15532
15957,15319
16583,16015
16703,15691
15512,16279
16373,15866
15013,15009
14442,15977
15401,15107
21944,15217
15026,16222
14406,15186
15391,15330
14432,15516
13478,15736
13293,15106
15861,15978
14667,16209
15882,15236
14092,15666
15498,16000
14550,15020
13632,15500
15280,15972
14229,15741
14360,15575
13903,14994
18672,15250
13560,15699
14523,16082
13437,15478
14687,15342
13845,15900
15541,15819
15153,16463
14590,15928
13639,15408
14588,16479
16144,15551
14330,15063
15636,15736
15569,16345
15414,15429
13543,14931
13467,14790
13455,15406
14466,15561
15573,15028
14193,15376
14226,15418
14593,15204
15512,16095
15224,15760
15413,16040
15437,16119
14055,14861
14463,16004
14218,14971
14964,15391
14792,16051
13599,14845
14474,14994
13921,15134
13575,15305
13335,14680
15418,15509
14258,15731
15708,14810
14501,15256
15037,15557
13950,14541
13921,14984
13884,15439
13311,15311
19003,15100
13641,14574
12823,14915
13405,15275
13523,15219
13230,15026
13400,14889
13153,15397
14535,15403
14008,16000
14370,15515
13915,14925
14615,16078
13900,15094
12871,14557
23470,15825
14963,15791
13804,14868
14393,15215
19035,15395
19141,16103
21174,16414
21432,15655
20445,15746
26712,15329
20392,16350
21573,16790
20845,16955
20370,16859
20335,16581
18502,15343
17491,16397
17292,15281
17356,15464
17743,16314
16377,15193
17967,15502
17118,15627
16791,16523
19031,16373
19922,16183
17217,16498
18641,15306
16575,15733
16840,15485
15435,14659
15482,15088
15931,15455
14621,15252
14006,15298
14605,14611
14390,15034
14326,15231
14673,15348
13778,15089
13544,14944
13303,15447
14951,15362
14473,15993
13885,15519
12943,14997
14443,16036
13659,15153
12440,14546
13774,15405
14043,15620
14003,14762
12584,14497
12463,14236
12342,14963
13331,15171
14453,14650
12669,14914
13034,15025
13026,14794
14000,15275
14504,15404
13957,15937
14049,15341
12611,14478
12886,15440
12846,14493
14013,14834
13272,15695
12934,14825
14280,14763
13729,15225
12848,15249
12804,14565
14946,15417
13517,15648
15184,14824
13248,15241
14043,15426
13331,14622
12603,14873
13173,15360
12960,15345
12538,15010
13790,14627
13230,14930
13425,15161
13285,15145
12705,14951
13224,14847
13460,15585
14486,15339
13950,16006
13459,15497
12795,14882
13837,16022
13262,15032
12723,14635
14224,15315
14157,15744
14027,14905
12507,14642
12345,14356
12099,14792
13377,15134
14632,14583
12767,14789
12832,14905
13170,14796
13813,15310
13585,15323
13673,15457
14199,15339
12447,14445
12623,15518
12869,14461
14250,14778
13369,15651
12523,14660
13967,14843
13499,15037
13228,15308
12729,14634
15240,15470
13866,15680
14826,14720
13044,15071
14757,15490
13890,14344
13061,14957
13811,15319
14766,15368
14106,15224
13437,14584
13434,14842
13685,15076
14062,15244
22578,14958
13819,15003
13378,15341
15286,15278
14346,15917
13991,15385
13626,14858
15077,15927
14063,15084
13616,14575
14809,15559
14462,15730
13804,14859
13170,14533
13055,14267
12406,14919
13505,15225
14722,14459
12591,14811
12810,14888
13308,14939
14069,15216
14376,15270
13717,15415
14885,15463
13647,14513
13073,15471
13058,14509
14198,14829
13637,15569
13210,14720
14314,14777
13822,15173
13490,15302
13244,14583
15033,15445
13800,15567
15011,14763
13814,15150
14492,15403
14417,14530
13342,14920
13439,15304
13125,15152
13075,15012
13435,14573
13260,14953
13564,15118
13517,15170
12980,15007
13603,14791
13146,15383
14475,15343
14754,16025
14034,15258
13878,14973
15013,15936
13688,15064
12982,14578
14665,15192
15241,15682
13954,14850
12948,14603
13052,14282
12523,14920
13494,15066
14472,14523
13208,14816
13201,14801
13470,14671
15544,15205
15175,15338
14481,15505
14148,15299
12748,14431
13548,15395
13025,14553
13801,14788
13523,15345
13083,14750
13995,14721
13647,15036
12957,15392
13039,14671
15321,15610
13839,15624
15706,14922
14477,15161
15013,15281
13949,14522
13872,15086
14132,15305
13295,15473
12973,15121
13592,14593
13088,14851
12798,15126
13389,15266
12631,14984
13125,14895
13386,15434
16063,15374
15146,16008
14113,15438
14384,14977
15097,16017
14365,15007
13689,14604
14951,15204
14441,15682
14169,14884
12522,14635
13131,14343
12664,14938
13772,15048
14633,14560
13101,14980
13924,15137
14164,14806
14550,15680
14605,15348
14354,15492
14637,15419
13281,14518
13362,15558
13371,14622
14863,14841
14063,15771
13439,14715
14736,14770
14138,15274
13683,15396
14029,14650
15417,15484
14040,15642
15405,14853
13865,15234
14845,15492
13919,14618
13598,15057
13847,15361
13697,15281
13149,15041
13848,14600
13801,15015
13346,15198
14221,15201
96175,14809
14055,15243
13417,15564
15448,15365
14901,16042
14410,15577
13803,14959
16508,16065
14381,15117
13076,14670
14384,15535
14917,15733
14079,14903
12863,14710
12895,14454
12571,14885
14879,15240
15184,14541
13018,14843
13283,14978
13997,14818
14547,15340
14789,15296
14421,15424
14773,15360
12680,14552
12882,15572
12760,14553
14152,14862
14019,15648
13002,14799
15204,14854
14459,15178
14537,15562
13577,14700
15640,15526
14687,15734
16029,14920
14143,15215
15227,15402
14339,14536
13538,15009
14097,15410
13680,15261
13534,15083
13400,14595
13343,14924
13972,15124
13514,15261
13233,15073
13955,14979
14393,15534
15432,15337
15169,16096
14404,15437
13945,14908
14441,16013
14110,15146
13245,14598
14696,15350
14582,15737
14121,14951
13331,14800
13649,14740
13018,14895
13873,15246
15415,14637
13311,14883
13407,15011
13250,14852
14431,15379
14163,15286
13935,15532
14480,15557
12885,14446
13186,15580
13304,14573
14988,14871
14355,15625
13429,14840
14567,14748
16219,16387
16077,16400
15197,15686
17386,16456
14824,15782
16355,14898
14251,15225
15411,15480
14854,14664
14768,15093
14192,15452
14793,15292
14174,14910
14415,14511
14073,14838
13927,15261
14733,15223
13537,15119
14094,14833
13637,15437
15323,15214
14247,15881
13820,15405
13884,14845
15061,16079
14474,15002
13156,14532
15315,15264
15446,15840
14301,14856
13214,14652
13602,14309
13088,14818
14289,15216
14952,14564
13193,15003
12980,14962
13341,14748
14326,15357
14273,15285
14086,15478
14335,15447
14134,14497
14477,15582
13233,14539
14458,14809
13800,15576
13455,14807
14446,14811
13762,14890
12967,15234
12699,14607
15081,15427
13903,15735
15296,14715
13769,15151
14703,15381
15016,14149
14008,15029
13977,15357
13541,15268
13224,15144
14061,14558
13601,14893
13450,15058
13906,15191
13089,15034
13822,14800
13783,15486
14791,15345
14235,15936
14556,23725
13737,14937
15281,16119
14038,15075
13545,14596
15239,15195
15492,15765
13784,14819
13053,14499
12694,14282
12657,14879
13451,15087
14400,14686
13030,14883
13002,14965
18646,14761
14195,15363
14974,15409
15055,15525
14417,15435
12989,14455
13386,15457
13577,14591
14778,14930
13830,15613
13149,14740
14768,14937
13649,15180
13581,15378
13407,14593
15075,15527
14099,15733
15386,14886
14440,15272
15336,15523
14354,14660
14259,15098
13880,15462
13544,15273
13205,15040
13775,14691
13045,14965
13466,15141
13553,15227
13036,14960
13589,14916
13363,15472
14857,15297
15756,16043
14331,15456
13178,14868
14769,16122
14231,15014
12804,14632
14811,15311
15238,15705
14455,15014
12739,14556
12813,14367
12544,14908
13640,15121
14785,14621
13002,14905
13369,14906
14553,15056
14968,15462
14865,15461
14509,15603
14652,15493
13572,14456
13764,15441
13307,14485
14702,14794
14286,15659
13804,14720
14815,14897
14445,15238
13391,15404
13261,14636
16346,15459
13363,15723
15486,15047
13839,15245
15208,15505
13706,14684
13894,15094
13715,15411
13045,15179
12673,15106
12977,14631
13488,14918
13567,15443
13288,15190
13819,15054
14317,15000
14400,15400
15134,15283
14813,16154
14679,15609
13925,14951
19946,16082
13706,15174
12765,14597
14531,15429
14951,15786
14392,14897
13088,14595
12771,14328
13105,14987
13866,15115
15385,14985
13058,14895
13687,15092
13882,14733
14713,15320
14694,15318
14595,15526
14673,15603
13018,14505
13038,15540
12606,14531
13948,14808
13568,15586
12829,14866
14037,14830
14122,15380
13839,15451
13188,14595
16147,15477
14250,15668
15973,14851
14091,15258
15002,15417
14193,14593
13860,15036
14020,15306
13413,15302
17773,15176
13316,14570
13289,14937
13049,15217
13724,15532
12929,15348
13279,14959
13637,15446
14951,15366
14889,15986
13991,15469
13494,15155
14137,16103
13894,15112
12895,14534
14822,15362
15044,15718
14062,14880
12992,14594
13905,14366
12901,14913
14339,15215
15391,14528
13868,14938
13607,15051
14150,14854
15207,15375
14514,15370
14092,15474
14303,15396
13483,14553
13219,15518
12917,14522
13913,14871
14069,15613
13198,14705
14241,14727
13979,14979
13872,15359
13100,14629
15245,15483
13754,15723
14897,15005
13599,15364
14242,15423
13584,14675
13818,14995
13482,15336
13182,15234
13156,15043
14036,14583
13622,14932
13964,15110
13668,15103
13737,14946
13570,14880
13744,15382
14699,15241
14132,15943
14186,15324
13506,14928
14306,16031
13704,15067
13100,14509
14293,15202
15363,15776
14464,14817
13240,14551
13627,14339
12991,14797
14217,15025
15270,14573
12510,14887
13053,14893
13322,14779
14589,15363
14531,15268
13894,15387
13972,15344
12714,14431
12819,15406
13262,14543
14142,14732
13484,15564
12872,14748
14038,14900
13232,15368
12953,15492
12859,14623
15150,15534
14502,15705
15435,14849
14527,15167
15354,15487
14192,14572
13687,14985
14293,15331
14344,15464
13691,15189
13512,14659
13460,14965
13182,15187
13901,15171
12983,14999
13327,14939
13179,15524
14613,15328
14273,16002
14154,15343
13127,14974
14592,16010
13737,100784
13647,14699
14579,15329
14750,15809
14484,14952
13122,14731
13102,14445
12971,14976
13505,15258
14562,14598
12991,14867
13195,14997
13601,14820
14324,15269
14768,15191
14330,15451
14635,15425
13029,14537
13691,15541
13486,14530
14377,14938
13585,15635
13332,14854
14362,14763
13402,15178
13214,15395
13334,14649
15702,15464
13961,15638
15206,14871
13536,15229
15171,15586
14076,14561
13789,15065
14347,15440
13749,15478
13330,15182
13675,14420
12977,14923
13101,15253
13819,15214
13339,15058
13480,14887
13200,15520
15069,15356
14183,16064
13879,15624
14106,14997
15335,16002
14353,15075
13033,14555
14633,15293
15539,15871
14110,14962
13054,14544
13344,14343
12534,14935
13888,14979
14813,14504
13072,14951
13303,14971
13863,14756
14631,15372
14464,15325
14926,15563
14519,15425
13474,14470
13254,15525
13324,14577
14006,14990
13482,15746
13232,14709
14170,14856
13676,15093
13328,15443
13110,14718
14954,15546
13860,15593
16315,14861
14555,15185
15566,15451
14414,14627
13966,15017
13755,15433
13820,15603
13066,15136
13736,14631
13811,14992
13879,15246
14240,15243
13308,15015
13477,14852
13080,15486
15699,15469
15137,16079
14553,15575
13688,14945
14634,16193
14006,15120
13135,14608
14610,15289
14914,15726
14614,14966
13340,14633
13567,14402
13032,14943
14001,15036
14601,14516
13951,14909
13881,15000
13988,14820
14913,15266
15199,15352
14379,15526
14288,15336
13308,14564
13680,15596
13167,14505
14062,14855
13937,15750
13350,14682
14824,14713
13736,15105
13289,15483
13766,14624
15935,15427
14500,15695
15631,14738
13886,15210
14766,15378
14115,14610
13337,15001
13648,15411
13281,15222
13279,15342
13255,14486
13642,14885
13354,15120
13554,15172
14179,14981
13925,14964
14021,15522
15425,15407
14730,15954
16617,16111
16177,15637
16427,16474
15566,15616
13913,14610
15367,15370
15481,15661
14709,14874
13285,14638
13395,14362
13854,14904
14459,20529
15295,14635
13288,15004
13649,15114
13657,14859
14306,15321
14054,15340
13760,15606
14275,15495
12388,14516
13453,15421
13580,14530
14334,14927
13035,15884
12523,14822
14848,14996
14308,15274
13911,15328
14180,14648
15875,15647
14964,15775
15527,15048
14273,15252
15992,15547
14363,14615
14003,14987
14349,15402
14019,15237
13498,15042
13518,14684
13995,15031
14138,15269
15028,15296
13577,14954
14396,15002
13655,15742
14907,15423
14611,16075
14548,15528
13595,14894
14797,16046
13989,15157
13318,14690
14764,15348
14733,15753
14740,15114
13452,14743
14140,14383
13161,14920
14166,15222
14570,14570
13441,14902
13595,15202
13548,14891
14509,15467
14490,15343
14532,15485
14154,15394
12535,14433
12713,15557
12374,14544
14461,14815
13743,15566
12994,14812
14283,14857
13706,15076
13224,15491
13425,14638
15168,15470
13663,15591
15074,14838
13572,15244
14770,15461
13857,14628
13727,15268
14079,15440
14700,15352
13918,15219
14274,14701
13641,14979
13650,15247
14314,15276
13783,15182
13665,14903
13401,15533
19541,16005
19104,17352
22505,17005
19371,16331
20805,17090
18713,15498
18052,14994
21585,16828
20114,17110
19017,15929
17390,15325
16726,15027
16240,15465
17302,15765
17999,15096
16093,15490
16641,15296
17742,15880
17378,16237
17659,16638
19355,17271
18644,16269
16586,15516
16290,16335
15746,15140
16428,23415
15649,15885
14602,14924
15580,14922
14612,15330
13633,15509
14007,14691
15587,15428
14049,15793
14938,14866
14328,15268
14801,15475
13402,14641
13684,15005
14019,15388
13329,15299
12710,15140
12983,14588
12693,14854
12736,15156
13318,15418
12458,15067
13157,14817
13000,15480
14321,15355
14316,16261
14018,15471
12933,14904
13821,15937
13430,14955
12366,14553
13595,15340
14268,15712
13472,14790
12436,14554
12291,14241
11872,14742
12870,15293
13570,14474
12153,14994
13343,15190
13060,14793
13580,15420
13455,15308
13302,15535
13769,15356
12515,14383
12150,15487
11916,14518
13229,14746
12941,15649
11758,14756
13316,14796
12762,15076
12528,15338
12178,14637
15142,15502
13504,15646
14604,14823
12797,15176
14114,15413
13468,14610
12909,15080
13190,15214
13113,15164
12448,15084
12665,14467
12664,14869
12933,15024
13278,15114
12330,15141
13895,14964
13196,15470
14377,15342
13768,15968
13440,15437
13341,14905
14116,15984
13657,15151
12644,14507
14250,15220
14212,15703
13579,14847
12691,14551
12697,14272
12213,14854
12893,15278
14418,14660
13185,14930
12535,14961
13044,14722
13921,15236
13952,15303
13470,15515
13570,15333
12458,14549
12359,15455
12140,14481
13869,14783
13315,15599
12647,14836
13829,14820
