mark_time_ns,sweep_time_ns
117250,32931
57215,22371
51509,34661
73557,18022
55737,16990
40918,13752
41015,13892
39607,12815
39631,13339
71487,15035
39198,13036
70465,14852
35692,12858
66078,14856
27965,12656
24476,12413
33295,12431
45934,13808
38877,12853
38355,13394
37554,13656
37665,12889
68926,14759
68504,14157
37008,12993
66910,14504
60460,14552
43061,13246
37598,13371
67650,13920
36960,12957
68036,14449
36928,12766
36216,12712
67133,14709
61460,14588
48163,13498
37448,13189
37925,13622
38239,13855
68849,15032
68905,15607
69280,15378
94651,17124
63037,26055
22823,23769
31322,24919
78729,26037
67098,26163
67567,27115
62844,25860
29644,24204
64667,26401
63544,25947
60250,25923
25002,24391
64797,26460
63048,26062
59318,25177
64320,24233
55288,23840
23504,22603
31785,23244
72150,25561
100673,26818
55616,24865
51090,24819
49521,25046
22296,23617
32145,24097
70391,26048
67333,26532
65146,25991
29729,24483
68633,26469
64660,26700
63532,26447
60083,26422
87402,27154
37980,27493
41863,24886
50129,25181
20724,23621
30119,24589
70589,26333
64596,26202
29766,24181
69924,26416
65970,26128
63505,26232
62981,25741
28827,24127
31870,23370
69365,25252
65913,25614
30411,23379
70951,25220
65512,25302
64408,25841
63862,25612
60216,25602
89048,27101
38696,24424
43924,24408
22592,23692
43052,25607
67725,26677
64516,26625
63261,26479
59740,26415
61518,25821
22337,23560
30923,24490
73880,26554
65895,26420
64018,26226
62794,25932
29740,24199
65555,26143
63060,26017
61795,26443
89103,26938
72380,25605
73686,24775
39412,23887
38178,23316
37829,23656
51738,24428
50973,24590
22486,22754
32010,24069
69059,25217
67810,25587
97241,26614
45739,24095
51275,24610
50858,24839
22409,22929
31020,23850
69757,25313
33379,23995
36815,23787
37887,24265
39648,24712
38212,24449
38716,24836
38444,24555
38544,24792
39101,24243
50290,25759
50043,25349
22393,24081
31175,24570
69931,26744
66308,25885
31003,24621
70075,26078
65575,25917
64765,26162
62572,25968
61163,24644
25989,22163
30759,23486
35334,23471
70660,25713
69527,25703
35192,24116
71807,26254
69637,26258
35289,24333
72068,26153
70665,25928
68406,25798
66961,25901
31353,24687
70651,26412
65918,26546
63387,25848
29383,24674
67842,26329
67665,26119
62499,26475
29711,24172
32401,24583
70988,26074
66768,26290
64748,25969
30864,24183
69779,25951
66093,24942
63629,25566
63350,25306
56683,25402
55826,24280
22295,22145
31781,22783
69621,25370
65774,25708
64858,25962
63101,25600
30123,22980
66060,25462
62785,25656
61781,25859
87817,26926
72177,25865
72304,25189
38434,24120
38587,24287
37183,24587
51355,25314
50852,25302
22091,23352
32148,24533
69450,26255
66063,26205
96678,27601
46083,24957
50577,25709
51116,25279
25559,23141
31001,24292
70018,26266
34180,24589
36286,24497
37853,24847
38954,24943
37969,24607
39410,24627
38471,24645
38716,25116
39078,24521
50554,25593
50178,25185
22195,24025
31833,24342
70620,26207
66079,26071
30881,24668
70960,25947
67150,25212
65284,25213
63386,25387
61078,24775
25838,22430
30709,22658
35265,23707
70002,25401
82146,25594
35617,24459
75988,26600
78068,27532
39915,25164
79549,27108
75311,26740
70462,25635
67948,26104
30823,24548
69755,26312
66023,26316
64267,26098
29332,24448
67838,25930
62883,25325
62212,26101
29420,24064
32183,24577
70949,26051
67245,25955
63529,26264
30471,24363
68937,26240
65704,26242
62719,26235
62374,25672
56731,25902
55438,25432
22299,23193
31643,24269
70679,25391
67315,25244
66590,26404
62770,25379
29717,23430
64992,25573
62669,25260
61700,25942
88343,26785
70419,25206
71774,25517
38687,24231
38189,23939
37809,23865
51442,25151
50867,24978
22538,23141
32803,24716
69660,25965
67075,26073
95594,27375
46855,24993
52078,25576
51560,25601
22120,23573
31207,24833
69591,26373
32837,24729
36836,24814
37965,24435
39172,24585
38307,24843
38467,24924
38599,25065
38305,25066
38955,24253
50113,25503
49683,24178
22446,22028
31066,23283
69205,25321
65932,25276
31152,23197
69673,24951
67176,25217
64994,25642
62957,25438
59964,25654
25918,22896
30491,23654
35311,24127
70961,25414
70097,29471
35433,24470
72130,26576
70041,26237
35665,24525
72252,25814
69921,26406
68365,26688
65909,25933
30893,24362
73462,26257
66728,26449
63263,26313
29221,24407
68926,26428
63621,26171
63024,26573
29737,24203
32023,24775
70394,26444
66020,26501
64589,26036
30122,24365
69567,26553
65388,26130
63457,26324
62523,25689
56887,25842
55395,25403
22189,23432
30806,24728
68663,26392
65642,26073
64142,26160
62979,26507
30052,24188
66195,24841
62834,24999
61961,25483
88150,27069
71809,25613
72587,25538
38650,24410
38204,24461
37656,24432
51476,25101
50733,25191
22408,23550
32268,24545
69234,26527
68305,26174
97624,27413
46221,24960
51125,25477
51162,25321
22138,23369
30847,24791
70039,26473
33140,24717
35866,24270
38193,24501
38949,24589
38306,24338
39547,24638
38357,23567
39189,24112
39222,23152
49993,24264
50094,24226
22597,22519
32218,24546
68442,25585
67735,25551
31460,23616
71252,25064
67057,25335
64117,25823
62763,29338
59669,25487
25654,22708
30989,24037
35399,24597
70583,26169
69108,26004
35389,24276
71414,26275
70439,26176
35827,24326
71516,26208
70888,25948
69072,26789
67296,26161
31895,24787
70410,26555
65329,26424
63292,25956
29433,24582
67569,26341
62883,25971
63263,26233
29608,23942
32116,24564
74638,27184
66681,26110
64230,26464
30123,24413
68895,25165
65145,25259
62719,25205
62875,25600
57446,24796
55532,24212
22103,22338
30972,23196
69267,25162
65567,25741
63955,25841
62342,25471
29780,23191
64852,25246
63164,25344
62043,25429
88420,27072
70837,25663
73050,25134
38041,24039
38931,23977
37105,24041
51051,24914
51089,25063
22264,22629
32547,23987
68739,25655
65965,25639
96459,27526
46277,24936
50927,25231
50986,25167
21921,23284
31351,24484
70005,26468
34760,24366
35760,24547
39202,24438
39348,24028
37755,24430
39132,24328
38371,24559
38597,24769
38684,24153
49915,25737
50450,25066
22045,23781
31264,24769
69277,26567
65878,26148
31238,24765
72160,26271
67293,26294
63151,26603
63043,26585
60295,26201
26101,23855
30566,24042
36586,25620
71275,26303
69623,26109
35063,24872
71340,26374
103279,27839
94475,27471
39117,23917
50901,23811
23352,22839
31213,23103
37205,23288
37850,23712
71482,25304
38503,23019
38516,23658
71755,25896
38530,22996
70644,25554
71884,25225
37932,22851
70073,25338
72370,25144
71564,25197
38352,23646
37843,23755
38540,23464
71770,25504
70615,25507
38288,24017
38195,23966
37908,23466
37661,23383
38065,23733
51395,24143
50273,24772
52661,24973
20792,22108
31082,23704
70729,25917
69405,25662
30305,23773
35654,23440
69882,25810
70558,25745
35542,24256
70945,25756
70344,26208
34906,24225
71585,26303
69872,26204
35702,24456
71711,25959
