mark_time_ns,sweep_time_ns
2973955,49360
5994551,90578
10712298,234203
3329687,210500
3310668,219872
2579824,187132
2832093,182831
2989500,178200
3005997,171669
3032967,170923
3069326,165878
3137696,162818
3168280,160945
3186841,159549
3185028,157371
3403526,167552
3444608,385964
4030273,446253
10026846,558306
3234300,447321
3197561,445355
3230240,445320
3284544,445862
3266191,446742
3455238,442687
4455685,448365
7808335,495897
3207446,431078
3188718,453778
3222640,454909
3357752,469055
3287247,470872
3360479,458655
3493537,459033
4407542,457428
2656940,480689
3220259,453495
3280099,481430
3224051,456076
3245053,468039
3261866,455790
3483057,457747
4453833,465703
7801638,492377
3221636,414381
3197087,456407
3193004,444812
3228949,445098
3298164,442395
3330490,441588
3500352,441790
4432215,446161
2634981,487596
3240226,445838
3250316,443328
3253576,443554
3250007,441587
3283531,451924
3458365,443252
4431424,460373
7754116,498011
3215793,459400
3342310,457041
3272134,453302
3274701,453716
3332326,473259
3338036,442241
3612900,447540
4496875,453349
2721983,474501
3236376,454337
3232884,452670
3213903,467648
3275688,453790
3262535,451996
3453311,452155
4465365,456830
7815188,499427
3199387,414761
3204731,446230
3220413,444952
3226849,441975
3268582,446766
3292596,458241
3514405,438835
4446707,452080
2647689,487273
3204093,454663
3220843,452963
3226977,449831
3227506,482161
3280381,456714
3507856,457057
4418443,460051
7997820,492995
3267161,434167
3276491,463891
3241246,472828
3262960,460541
3293150,461264
3355120,455674
3504097,458064
4425100,454589
2632959,483511
3218398,453798
3198521,469797
3215631,455495
3244745,451510
3252692,455325
3467331,453043
4431432,467150
7805718,492475
3201675,414337
3231423,444630
3220481,449025
3231492,443076
3241101,443369
3329618,443021
3512285,447479
4425343,448253
2633915,487959
3226197,443095
3217058,444578
3211603,461907
3241777,446711
3256965,447706
3462619,447336
4466587,456864
7825460,498459
3226190,419235
3215675,446384
3253201,449570
3274242,448943
3304303,446640
3339067,445183
3535756,458492
4607176,457220
2658226,474642
3221213,451938
3214901,453005
3259657,452146
3249707,451464
3245656,466528
3453190,451603
4527011,472259
7791508,495697
3224659,415460
3235091,442857
3213109,443892
3236621,442567
3295917,440479
3298938,444092
3516543,442437
4433124,439886
2630496,484532
3211210,455500
3215791,455823
3238770,455631
3248772,449052
3365016,461383
3519667,464116
4504678,465185
7784227,484918
3233069,429127
3228308,453644
3225740,454480
3266693,484714
3284375,456032
3368763,458326
3515247,457531
4433096,457881
2654041,480851
3217352,454101
3201335,458328
3231388,452911
3229328,451790
3262370,455982
3472069,458389
4440881,467518
7866528,501581
3298012,413639
3178934,457306
3212573,444547
3222134,478568
3308076,441940
3354022,442330
3492092,443514
4454480,451644
2625276,486398
3221023,443195
3212912,443922
3309056,449552
3291722,448705
3295190,449708
3506134,449435
4478093,457029
7765007,494550
3213266,420239
3237769,448833
3234480,449300
3216865,449197
3288827,497124
3354121,449878
3536152,452764
4544990,468632
2703802,474693
3232420,455818
3225129,455641
3214024,451587
3257349,451081
3262220,465596
3465486,448389
4456611,467960
7956741,501691
3220429,414343
3236865,443551
3212051,458689
3241083,443936
3294270,438132
3328787,441209
3554379,442478
4492280,448723
2669106,583833
3261344,457140
3289410,459220
3261348,472201
3289512,457742
3290017,449988
3468184,456547
4455002,459780
7816754,487415
