mark_time_ns,sweep_time_ns
87356,29461
50703,17819
53663,18455
50215,17809
49240,17074
48950,17301
49904,17800
49241,17898
47524,17526
49814,18055
49645,17561
47216,17609
48851,17202
50253,17695
46882,17643
47365,17390
48792,17369
49253,17466
49704,18080
47650,17144
46762,16841
47791,17390
48961,17498
49540,17475
47181,17275
48455,17418
46437,17284
48564,17989
49121,17373
48934,17037
48542,17750
47290,17582
46874,17087
48303,17447
48379,17691
48601,17309
48850,17829
46414,17325
46229,17657
47647,17641
48267,17003
48282,17572
47175,17211
46557,16996
47320,17547
48321,17748
48887,17204
49055,17490
46815,17397
46154,17559
47606,17682
49068,16847
48475,17984
46779,17126
45895,16795
47674,17315
48829,17700
49122,17247
48841,17777
46826,17395
47073,17258
47738,17675
48615,16685
48494,17605
46941,17393
46110,16900
47271,17435
48149,17929
48597,17252
49002,17463
46085,17306
46503,17297
48102,17503
49137,16731
48356,17467
46986,17279
46373,16895
47847,17593
48322,17638
49116,17129
48910,17540
45985,17227
46807,17477
47315,17604
48544,16718
48086,17845
47057,17322
46683,16791
49173,17848
49230,17495
49710,17016
49200,17718
47602,17426
46725,17414
48403,17831
48932,16776
48202,17697
46803,17670
46663,17040
47424,17422
49729,17967
50293,17275
50388,18078
46629,17526
46844,17820
47935,17476
49540,16996
48789,17622
47053,17538
46818,17179
48091,17251
48706,17631
48879,17138
49078,17512
46689,17326
46553,17677
47862,17514
48857,16834
47649,17452
46451,17274
46064,16799
47202,17081
48433,17657
48818,17207
48437,17830
46417,17401
46260,17429
47782,17413
48896,16775
48015,17525
47636,17337
46825,16891
48003,17555
49176,17605
49627,17120
48998,17509
46665,17286
46184,17414
47260,17554
48215,16942
47815,17757
46625,17351
46289,16810
47129,17369
49461,17571
53653,17472
48972,17508
46718,17380
46400,17335
47687,17434
50154,16890
48729,17460
47395,17259
47126,16962
47760,17573
48791,17487
48935,17059
49784,17609
46782,17280
46445,17487
47387,17479
49079,16661
50903,18765
48717,18389
47752,17677
48579,17998
50134,17795
50639,17592
50703,18050
48017,17682
47819,17996
49067,17940
50419,17296
49844,18157
48555,17590
47164,17500
49224,17863
49764,18110
49705,17698
50613,17999
47334,17664
48608,17899
49187,17992
50190,17343
49712,17994
48004,17754
47465,17200
48498,17775
48954,17701
48852,17113
49329,17572
46575,17113
46271,17422
47194,17580
48587,16710
48259,17648
46478,17566
45681,16775
47353,17213
