mark_time_ns,sweep_time_ns
1480210,51953
1694292,70253
730665,60456
1309582,56075
1020769,92190
450909,127958
701554,159953
485838,161774
285751,127686
591496,139125
563504,132378
601017,141792
497491,136072
629364,161290
306367,136920
628152,154307
365620,138345
523991,133674
564470,119366
1455928,128164
1159422,125225
1080283,178947
2358960,159987
1592670,196284
1022125,267806
1055494,274316
1133431,292036
2430145,286752
1386997,231898
1260306,232200
1175670,235685
1139175,238334
1072798,237724
1247443,283329
1053066,294246
927559,279730
1028389,282719
2856143,264345
2432658,261620
2227070,292189
1506680,258711
1372596,241964
1551307,278832
1244184,287032
2574303,242332
2670123,256678
914380,253040
813984,275156
807089,271873
805412,268255
748521,250137
2133651,320112
1459871,303901
1290097,290819
2546934,238483
1543442,233377
1492624,230348
1501017,274088
1215981,278223
1020986,232168
1022036,264223
863247,240020
889355,238001
861026,241416
847418,242587
862794,257602
972355,277819
770359,240892
784498,245041
929738,283107
945195,297111
2725932,258245
2579976,315282
1782658,289748
1428628,282630
1295047,284013
1170066,280620
1137466,282638
2541714,240715
1575742,239797
1444551,250120
1420065,275219
1178276,271426
1148772,291528
995375,278110
992420,275611
746374,246663
887190,262273
805864,242468
805941,239502
897270,275570
779390,244334
974719,303776
2832772,269601
2286708,233740
2144642,244696
3100324,270073
905114,238498
959488,241492
2107358,272246
1632708,269873
1563659,282110
1108588,239068
1186266,285076
1138045,286561
954092,274530
893740,279977
749158,241124
944399,309528
2802850,258524
2513466,234185
2271780,257002
2136582,306676
1662944,288768
1441321,291287
1216082,292409
1274295,328173
1184113,278839
1189049,283671
2401809,303806
1475304,259126
1288006,262860
1180568,271534
1101230,275545
1070804,275163
915631,237756
991849,275918
923219,283298
901453,287812
770983,236469
764166,239811
965064,280858
2824618,264378
2486908,268295
1963866,236869
1949161,273145
1925306,294756
1148775,279224
1096174,281573
1214749,255181
2573495,238753
1520970,231306
1407161,232097
1482598,278405
1204984,268714
1148612,279874
1285128,303244
760452,238628
729367,248924
1948770,272286
1732014,314399
1064866,262642
1126184,262675
2259609,269254
1784619,266126
1343914,231577
1378464,275082
1159470,233865
1058998,237942
1106669,276462
1040877,273833
959757,272862
862684,277382
812179,243122
1011138,283331
2868878,261708
2388997,274402
2219196,300176
1524161,279625
1327667,276346
1257288,275637
1218547,288959
995703,272979
2514426,240727
1687454,271680
1550605,283507
1256266,283240
1224603,300747
1123063,299230
751383,241563
1774601,271771
1875130,297964
1420594,280297
1373318,285322
1267949,289804
2590174,243863
1595956,261387
1429020,266449
1375689,289206
1038497,239595
1160070,282467
1021455,273254
951002,271279
1019099,283841
2963069,288547
2153046,241389
2153660,277990
1973754,305043
1295252,277985
955185,245109
1100403,278522
1153760,287324
2605861,240905
1733994,274630
1354817,259331
1359318,293041
1158460,289443
1009825,268974
919853,282157
814872,240415
852070,268142
767926,241625
1001482,284577
904300,300709
2691604,261262
2405387,271109
2142129,296433
1763670,305942
1044520,241190
1196556,295599
1035502,276846
2555928,241990
1639011,259280
1325174,228003
1284824,259500
1121382,238665
1242940,281550
1259216,278811
845196,268823
756012,241789
749711,247593
871877,276982
783417,240094
868265,283317
2748872,231896
2707230,271635
2250443,280610
2933330,312647
942919,272320
1459624,304244
1060169,265996
2647830,245718
1526324,231899
1578127,279407
1212201,242638
1338010,279011
1205410,280273
870478,242575
910948,239138
914825,241612
854476,241413
871434,244074
875571,239800
958746,275638
937204,278265
762061,265259
766078,268091
2045859,311333
1347669,285537
1174057,259548
1219814,290398
2109895,274680
1631554,265026
1387601,261525
1188103,233869
1188515,269689
1097887,274420
1070987,288728
1024274,290260
754183,241800
1942084,267533
1667702,290765
1155891,243867
1119653,241956
1375658,297146
2597875,238945
1604496,256522
1335841,231867
2250768,260322
771944,241141
942793,290913
2790353,272266
2716493,337632
1517175,269858
1446487,268712
1040456,270113
1162012,272133
1105933,277253
2562411,241824
1787783,284799
1418289,266287
1188319,270499
972373,234738
1083927,277321
980593,281299
994017,281332
947052,276826
830486,280109
790998,270345
2788681,257798
2483699,261305
2248049,269939
2091078,301400
1560840,278845
1187309,255532
1181391,262973
1258177,292671
1072139,279649
2653892,241790
1525671,231255
2694401,256143
2834206,254922
2522528,268356
2164995,280747
1943329,320586
1282249,274621
1200914,269837
1113790,271416
1087968,281771
985659,263820
2369401,320303
1426470,231819
1370044,253012
1215614,233148
1044080,239055
999233,243207
1054692,235367
1097842,277933
1020198,288042
951415,285522
2932164,276538
2487265,279310
1913547,272888
1593364,267950
1731492,311335
1206181,299015
2509319,243550
1758914,287620
1265023,235909
1129867,245262
1107355,234377
1258453,280762
1126589,285542
858807,241785
892627,243151
825873,241056
844641,242116
884513,240454
1028600,285888
973622,277132
2766004,250624
2870481,301331
1693978,241891
1642758,273011
1893717,312898
1062614,286363
2589224,248176
1864313,297171
1349432,273905
1116663,238084
1026234,244545
1187378,276919
1077341,271060
1111829,315321
844463,281357
2738163,258819
2475308,257854
2256578,264076
2335739,340142
1600523,335420
1245901,233846
1113575,285606
2569820,244735
1504417,233805
1483219,259230
1364074,264094
1144262,237666
1155956,271413
986562,236077
1185869,300788
946392,281258
836069,247589
834627,275859
748870,241789
1030271,302632
3022740,310292
2114572,275847
1663604,242998
1765195,272100
2722893,298613
302304,264201
1276103,301423
1155733,303777
1109434,257664
2556535,242276
1528186,231501
1469893,267329
1279042,263727
1120141,240081
1039676,240044
981391,241878
998757,239958
1265609,309559
820746,243229
779650,243333
814868,242483
926797,280041
743659,244053
2137293,303940
1459108,275698
1543094,306347
1111159,286877
2519818,241419
1756785,271548
1314725,228888
2308134,263538
2625389,265023
2168391,281630
1753218,286935
1378444,270150
2321998,270621
203325,249444
2475894,240394
1547092,233024
1460755,268671
1354236,260727
1085446,237631
1127294,269798
1080010,270691
1028836,271831
926707,274920
809118,244272
861940,273151
829480,266585
959011,297015
2794627,270102
2413318,285502
2010869,264619
1860881,286507
1727724,323735
1058478,276029
959237,244339
985428,246545
1001145,243540
2402285,316415
1627993,272289
1256186,240983
1245576,262521
1187984,295490
964465,238529
1015513,275278
868972,239282
1022062,282515
1118434,315777
2850268,282793
2379697,320880
1717720,286688
1457889,292616
1349445,318048
1289589,266610
2493355,242086
1644997,262807
1414800,260460
1440076,296273
1010160,240872
1044812,272335
946903,239564
1224647,284382
858370,270084
955396,279705
2937266,267271
2481841,273414
1892227,240283
1899869,282239
1561893,275094
1229593,262951
1157836,271968
1148134,271532
1056534,248138
1218058,292363
2573945,243908
1562713,237047
1410531,234499
1489777,278756
1307829,274217
1121142,285033
860957,242865
777417,241914
1082654,295262
968293,287532
2959960,278055
2473578,282578
2127578,278196
1607738,269697
1492408,297577
1250090,323747
1211890,256161
2596517,245724
2024416,314070
1342777,276917
1294116,290802
908134,240365
979014,264260
813710,240152
862162,239630
858082,237228
1064802,276853
915423,289972
2854167,274608
2026661,237244
1890557,236511
1763291,240169
1807506,280979
2578775,272019
457481,253342
2595997,239035
1529690,227688
1502888,263623
1268456,234595
1191537,232520
1256922,270158
1001624,240480
965528,249791
1031891,282116
970150,272716
775604,241745
2089490,320065
1613113,291545
1252803,287622
1084986,286420
2571348,248060
2725997,260251
965913,281279
907827,287859
2851417,277022
2517034,292864
1742282,236902
1641124,262482
1475486,259556
1355404,281741
1094280,274690
1080419,275662
998015,274757
1020082,266122
1139568,300695
1268181,298532
1129243,276692
1194264,261781
2579708,243441
1559282,234601
1447927,257734
1246339,236591
1199045,236324
1313328,274519
1243434,270482
935160,262764
897002,272670
756382,244620
880599,266010
885595,275130
754231,243346
743857,247932
1977478,267581
1698068,288641
1282155,262597
2201966,288826
277745,289009
1169110,272539
1168890,262942
2507416,246487
1513008,233389
1391920,234385
1428678,271744
1255949,267763
1155019,274802
1041274,270285
1044812,283457
932562,272487
765885,241653
758137,247687
1988421,270527
1591639,238932
1798058,312208
1207468,277812
2577731,240714
2494569,258315
937623,240871
1109549,274676
2010786,272781
1670267,274878
1545496,273860
1604181,301262
957071,268722
960309,258767
2266184,312296
1537355,271902
1328755,252929
1150163,234598
1015563,245967
1156519,284620
940177,237647
954436,236973
990511,271835
906128,270379
857370,273749
835464,275069
1044937,300607
2894139,295708
1990605,270559
2839750,290188
555094,243121
2586035,251198
1601177,266851
1414757,275199
1358820,285972
1202550,281731
1033351,273375
999799,279149
932234,284006
886068,275061
871392,277832
2748412,235082
2527678,255450
2281273,256445
2105266,300326
1489113,264742
1392754,278928
1181905,266684
1155092,266689
1161417,275997
1017323,243606
1100394,274186
2434136,306769
1588518,261539
1164144,238160
1168577,263922
1075388,233640
975983,241919
1055613,270831
937621,274894
1039444,289910
778678,239131
1792858,267951
2051908,313710
1523472,287084
1278008,272656
1197515,276649
1347401,286021
1113675,269302
2592704,244265
2688137,258160
971219,280818
2032648,273019
1496948,298175
1013849,242059
1100155,273991
1147845,274204
2560036,241793
1773414,286700
1274174,233816
1162637,236433
1083944,233821
1177539,277268
977499,239215
1008609,268663
885619,242797
1028373,284767
781314,239417
817578,241349
1048381,296801
2863397,280298
2784443,347648
2265861,418525
892772,257404
2527715,244088
1623138,255215
1353024,234745
1490225,281469
1156793,272891
1214090,285019
944305,278058
1999653,266706
1760843,309391
1371528,285589
1084521,276388
1022228,259233
1061378,273874
1066995,278841
2501032,242216
1645736,260522
1398279,257417
1305808,275625
1196430,278825
1003772,241667
997824,260882
949102,266093
1025646,284971
800681,243126
859102,273634
780951,236824
775934,243515
939751,272418
859931,282420
2847784,276268
2272207,233950
2253871,282522
1639312,239916
1847727,278589
1732652,335824
1175347,232684
925251,243783
1115509,286569
2578019,242070
2692019,261906
790627,237557
969957,243482
4007501,254192
1250677,280851
2331910,315162
1639958,269451
1226446,232810
1163994,237570
1095416,235643
1282175,278596
901888,241818
926126,237103
1052505,285216
2036575,268537
1485830,237935
1524597,274366
1410775,291403
1144784,278034
940637,243881
957401,243853
1155633,306412
974268,262711
1015704,278577
2623367,242908
1584624,264507
2804732,318606
2774039,292883
2110749,303178
1486122,284399
1306360,291140
986037,243724
1226423,295152
2592635,244521
1641223,266955
1435491,266218
1357311,290347
1042120,237047
951301,239199
921189,240440
1007722,263001
904963,241798
1070501,294937
1181512,332246
2518462,270635
2277631,283766
1789281,273082
1615702,276687
1302869,279307
1164886,283414
1105105,283399
1077129,278095
2123741,271521
1558798,226763
1375341,256734
1230993,235589
1223846,262716
1034928,239171
1212151,282945
1120455,277552
899682,278095
975843,299524
2893542,290294
2438457,289362
1628711,241661
1668111,276457
1484696,267957
1445782,289792
1013368,246803
1009421,250896
1246148,282143
1158455,281937
2513566,239823
1629400,258864
1478312,274152
1158187,239540
1114955,235274
1238422,280490
1098818,285509
1055085,285576
753429,238513
1762262,275549
1853789,243250
1894866,285238
1382664,266295
1299829,273881
1235742,281589
941574,243295
980857,242019
1244372,289883
1190091,249434
2481373,243044
1501792,229430
1427480,230045
1323856,234589
1160389,231692
1217729,276654
1053894,242128
1049201,261515
1043999,285173
1127571,303786
869191,284399
2778543,269740
2452720,303118
1902920,278926
1505026,282415
1346483,296457
1089189,283960
1063980,274536
1256893,271022
2573655,242286
1533186,232693
1552763,263398
1276472,260332
1136138,241355
1099025,271682
1024759,263926
1090282,291109
876406,241739
890690,253046
834071,239407
828019,240798
787945,240602
791237,237183
797365,241827
786744,241819
850751,237622
809821,242126
841236,241929
853129,240368
985889,277355
1928757,269445
1794300,316612
1038331,265081
938821,244468
1088791,281426
2166018,296734
1945361,323255
1223619,277918
1093230,278170
1045278,280028
949678,231570
1033008,266971
766037,240007
906704,283772
766350,240145
804806,269711
770248,241157
742552,244367
757472,242970
837438,271970
763680,247569
849280,267128
819653,271043
786699,244433
1010864,296928
2670355,233942
2520324,261831
2159279,275768
1727596,239337
1748928,278952
1512048,277661
1351228,282552
972072,246581
1232152,306878
2564241,243234
1524140,228946
1352285,231089
1286098,234732
1169808,237735
1092270,241916
1234674,267463
912195,245110
965175,243113
917963,244020
1016472,280688
1025785,291157
815291,272612
779942,240565
1002932,281730
2792776,271313
2393921,284318
1937555,283077
1533632,270353
1416431,276224
2389348,272837
450055,298957
1133999,291825
1070808,254187
2576723,240872
1822339,293783
1316947,268043
1113753,238249
1099580,237297
1220699,278511
923356,241424
1055830,280823
1064983,293034
890780,278346
3029730,308924
2140225,270285
1826107,284033
1584624,281429
1386410,279598
1283581,280621
1090872,279242
1402156,304295
1212567,301338
1198190,270449
1159747,233980
1013537,266857
2501350,239768
1542642,235289
1475555,259268
1289849,257950
1248514,275216
1242058,297508
999546,270902
866240,241233
967322,279655
919955,276346
759419,243374
878576,267092
871851,282284
867125,281120
3975051,273850
1553122,301678
2423068,290321
1384359,231348
1459384,266261
1244008,269219
1160886,288676
875131,242446
914772,237941
860683,243614
889152,243605
880250,243231
953660,271820
885292,272667
849690,278390
757053,236932
1778815,266520
2017919,285711
1478092,246342
1455896,239958
1317031,243217
1359369,266185
1263185,272547
1477357,329297
2574214,240598
1540689,234546
1541559,274482
1198861,233742
1114800,235902
1058345,235026
1028352,239162
1173812,282963
924972,237021
937786,260416
1025955,273952
780246,240285
1976065,273912
1826097,303613
975232,257668
1066272,240461
1561354,313109
1193597,305200
949690,268193
1321255,266936
1292288,269527
2481926,291329
1377611,260836
1229773,238935
1213462,236960
1266002,284240
966750,238444
904618,240998
921378,244444
919954,235372
879237,242483
869048,247308
927400,237931
922499,271906
938390,272928
812867,241637
915982,278266
951778,304359
2818844,280151
2520376,302262
2661372,267677
571186,257046
1202478,248447
2539133,239118
2707073,251700
820814,232397
801761,241949
808259,244771
857728,237036
841687,239803
788470,242758
836206,238923
796737,245413
988285,284851
771555,237513
1967503,274583
1731509,296548
1164436,276450
2117467,271259
1597816,226950
1495139,231106
1493920,289598
1222640,275527
1166848,299591
1101751,297112
740612,245423
780057,270561
795940,270778
796251,266192
795724,272196
756312,237635
1971056,274739
1894387,302805
2517935,238670
2701330,258238
760173,239367
823010,240858
978684,285887
905802,283457
2787181,262529
2459212,272507
2127976,275451
1700412,242170
1715186,243057
1966468,303216
1258319,285775
1109869,287430
2604171,240644
1513797,237537
1420012,256543
1276451,260830
1188996,236932
1025383,246258
1229796,275352
1104392,278106
2183417,309349
1510880,281036
1625475,330422
2527359,245785
1686348,271134
1275461,233851
1227399,234156
1188314,236403
1064760,239000
1104020,271956
1009444,271026
879450,242754
896612,245997
2042315,272198
1842887,257625
1707118,295663
1400551,289098
1104195,279625
1026874,274215
1112190,288050
2573518,241189
1657381,269591
1438307,273233
1324287,288612
1078735,276650
1034602,267144
968674,261926
930309,270577
843519,239414
969726,283049
782690,241678
787530,246392
933254,276180
856171,278303
2775146,263664
2416187,280981
2025925,262665
2119569,310975
1285849,284239
1258419,288534
1195460,301671
1163448,245571
2574013,242767
1627734,256326
2654675,290006
2666477,224144
2526492,270695
2104261,273234
1777949,279776
1491978,266320
1350485,268934
1085663,245370
1151142,241242
1207311,279126
1126046,281336
1003897,264636
1031021,273166
2561961,244285
1700065,269990
1449894,271912
1155417,242868
1106539,237459
1144444,265157
961115,240375
1074903,276620
1001911,278504
805300,241172
775797,243022
780294,241129
1986697,275017
1633026,262499
1597031,280766
1312115,277802
1213266,278416
1131084,279271
995291,260400
1075001,288371
2534314,243279
1539537,237048
1415478,228921
2464648,263497
2563658,230135
2316843,237858
2381689,273032
1762766,269615
1560112,268627
1317611,268634
1266723,265636
1141824,274391
1108120,284152
1143441,298387
1194786,264766
2546874,241887
1545805,231962
1496958,262015
1242735,237009
1413369,297876
1108795,287086
984417,289288
920225,289594
886525,296729
2675451,256317
2563666,281738
1970661,267451
1899084,294606
